Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,0.0,500
10,00000000-0000-0000-0000-000000000001,1,2160.0,525
20,00000000-0000-0000-0000-000000000000,0,0.0,500
20,00000000-0000-0000-0000-000000000001,1,2160.0,528
30,00000000-0000-0000-0000-000000000000,0,0.0,500
30,00000000-0000-0000-0000-000000000001,1,2160.0,528
40,00000000-0000-0000-0000-000000000000,55,118800.0,502
40,00000000-0000-0000-0000-000000000001,56,120960.0,525
50,00000000-0000-0000-0000-000000000000,55,118800.0,528
50,00000000-0000-0000-0000-000000000001,56,120960.0,528
60,00000000-0000-0000-0000-000000000000,55,118800.0,528
60,00000000-0000-0000-0000-000000000001,56,120960.0,528
70,00000000-0000-0000-0000-000000000000,55,118800.0,528
70,00000000-0000-0000-0000-000000000001,56,120960.0,528
80,00000000-0000-0000-0000-000000000000,55,118800.0,528
80,00000000-0000-0000-0000-000000000001,56,120960.0,528
90,00000000-0000-0000-0000-000000000000,55,118800.0,528
90,00000000-0000-0000-0000-000000000001,56,120960.0,528
100,00000000-0000-0000-0000-000000000000,56,120960.0,1314
100,00000000-0000-0000-0000-000000000001,55,118800.0,1367
110,00000000-0000-0000-0000-000000000000,56,120960.0,2100
110,00000000-0000-0000-0000-000000000001,55,118800.0,2071
120,00000000-0000-0000-0000-000000000000,56,120960.0,1978
120,00000000-0000-0000-0000-000000000001,55,118800.0,2015
130,00000000-0000-0000-0000-000000000000,56,120960.0,1928
130,00000000-0000-0000-0000-000000000001,55,118800.0,2071
140,00000000-0000-0000-0000-000000000000,56,120960.0,1889
140,00000000-0000-0000-0000-000000000001,56,120960.0,2038
150,00000000-0000-0000-0000-000000000000,56,120960.0,1871
150,00000000-0000-0000-0000-000000000001,56,120960.0,2100
160,00000000-0000-0000-0000-000000000000,48,103680.0,1823
160,00000000-0000-0000-0000-000000000001,56,120960.0,1870
170,00000000-0000-0000-0000-000000000000,48,103680.0,1871
170,00000000-0000-0000-0000-000000000001,54,116640.0,1824
180,00000000-0000-0000-0000-000000000000,48,103680.0,1815
180,00000000-0000-0000-0000-000000000001,56,120960.0,1988
190,00000000-0000-0000-0000-000000000000,47,101520.0,1814
190,00000000-0000-0000-0000-000000000001,50,108000.0,1986
200,00000000-0000-0000-0000-000000000000,50,108000.0,1923
200,00000000-0000-0000-0000-000000000001,51,110160.0,1957
210,00000000-0000-0000-0000-000000000000,42,90720.0,1904
210,00000000-0000-0000-0000-000000000001,46,99360.0,1907
220,00000000-0000-0000-0000-000000000000,42,90720.0,1700
220,00000000-0000-0000-0000-000000000001,46,99360.0,1814
230,00000000-0000-0000-0000-000000000000,40,86400.0,1680
230,00000000-0000-0000-0000-000000000001,41,88560.0,1770
240,00000000-0000-0000-0000-000000000000,40,86400.0,1642
240,00000000-0000-0000-0000-000000000001,41,88560.0,1671
250,00000000-0000-0000-0000-000000000000,38,82080.0,1624
250,00000000-0000-0000-0000-000000000001,35,75600.0,1609
260,00000000-0000-0000-0000-000000000000,38,82080.0,1585
260,00000000-0000-0000-0000-000000000001,35,75600.0,1500
270,00000000-0000-0000-0000-000000000000,31,66960.0,1491
270,00000000-0000-0000-0000-000000000001,28,60480.0,1413
280,00000000-0000-0000-0000-000000000000,31,66960.0,1385
280,00000000-0000-0000-0000-000000000001,28,60480.0,1300
290,00000000-0000-0000-0000-000000000000,26,56160.0,1300
290,00000000-0000-0000-0000-000000000001,21,45360.0,1174
300,00000000-0000-0000-0000-000000000000,26,56160.0,1242
300,00000000-0000-0000-0000-000000000001,21,45360.0,1100
310,00000000-0000-0000-0000-000000000000,22,47520.0,1167
310,00000000-0000-0000-0000-000000000001,20,43200.0,1082
320,00000000-0000-0000-0000-000000000000,22,47520.0,1128
320,00000000-0000-0000-0000-000000000001,20,43200.0,1071
330,00000000-0000-0000-0000-000000000000,18,38880.0,1033
330,00000000-0000-0000-0000-000000000001,19,41040.0,1045
340,00000000-0000-0000-0000-000000000000,18,38880.0,1014
340,00000000-0000-0000-0000-000000000001,18,38880.0,1042
350,00000000-0000-0000-0000-000000000000,18,38880.0,1014
350,00000000-0000-0000-0000-000000000001,17,36720.0,989
360,00000000-0000-0000-0000-000000000000,18,38880.0,1014
360,00000000-0000-0000-0000-000000000001,17,36720.0,985
370,00000000-0000-0000-0000-000000000000,18,38880.0,1014
370,00000000-0000-0000-0000-000000000001,17,36720.0,985
380,00000000-0000-0000-0000-000000000000,18,38880.0,1014
380,00000000-0000-0000-0000-000000000001,17,36720.0,985
390,00000000-0000-0000-0000-000000000000,18,38880.0,1014
390,00000000-0000-0000-0000-000000000001,17,36720.0,985
400,00000000-0000-0000-0000-000000000000,18,38880.0,1014
400,00000000-0000-0000-0000-000000000001,17,36720.0,985
410,00000000-0000-0000-0000-000000000000,18,38880.0,1014
410,00000000-0000-0000-0000-000000000001,17,36720.0,985
420,00000000-0000-0000-0000-000000000000,18,38880.0,1014
