Makespan (s),Workflow Response time (s)
809,810.0
1151,1151.0
15142,15142.0
7234,7234.0
16834,16834.0
13298,13298.0
15590,15616.0
14177,14177.0
14197,14197.0
1450,1450.0
8594,8643.0
11872,12101.0
9032,9284.0
4394,4693.0
10619,11085.0
15593,16207.0
10213,10803.0
12161,12789.0
12799,13583.0
10772,11622.0
12484,13469.0
14992,16110.0
12318,13430.0
14809,16082.0
14810,16049.0
14869,16105.0
14810,16043.0
14809,16039.0
14810,16039.0
10434,11659.0
14923,16186.0
12707,13966.0
14724,16143.0
10539,11949.0
14608,16012.0
12841,14233.0
14453,15985.0
12199,13720.0
14163,15920.0
14183,15932.0
14203,15937.0
14163,15890.0
14205,15931.0
14205,15928.0
11806,13528.0
14061,15924.0
14073,15930.0
14021,15877.0
14059,15913.0
14066,15919.0
12219,14070.0
13979,15910.0
13982,15905.0
11959,13877.0
11851,13912.0
10835,13211.0
13460,15843.0
11237,13609.0
13144,15813.0
13240,15903.0
13143,15797.0
13143,15791.0
11393,14026.0
13185,15820.0
13197,15822.0
13266,15886.0
13140,15750.0
13183,15791.0
11131,13733.0
13121,15787.0
10995,13658.0
10989,13653.0
11069,13879.0
11662,14499.0
11142,13995.0
11025,13991.0
12684,15734.0
12684,15728.0
12704,15746.0
12658,15705.0
12649,15696.0
10960,14005.0
10650,13754.0
12630,15736.0
10852,13946.0
10804,14029.0
10712,14004.0
10340,13729.0
10340,13729.0
10511,13906.0
10533,14020.0
12148,15670.0
12188,15710.0
12186,15710.0
10533,14054.0
10448,14043.0
12020,15720.0
10116,13812.0
10160,13986.0
10021,14017.0
10017,14059.0
9892,14006.0
9898,14081.0
9449,13705.0
9801,14123.0
11141,15618.0
9348,13824.0
9430,13906.0
9424,13921.0
9548,14088.0
11063,15605.0
11082,15623.0
9395,13933.0
9298,13847.0
9305,13857.0
11118,15770.0
9441,14093.0
9143,13822.0
9391,14072.0
9513,14342.0
9224,14176.0
9434,14396.0
10566,15586.0
9206,14214.0
10498,15568.0
10497,15567.0
9263,14333.0
9207,14396.0
9200,14413.0
10326,15560.0
8822,14055.0
10217,15562.0
9062,14399.0
8938,14378.0
8895,14356.0
10062,15548.0
8911,14397.0
10015,15547.0
8531,14063.0
8648,14187.0
8384,14043.0
8595,14385.0
8543,14392.0
8514,14392.0
