Makespan (s),Workflow Response time (s)
856,857.0
60268,60268.0
59976,59999.0
63322,63614.0
63278,63334.0
43149,43170.0
61214,63151.0
40906,42848.0
41497,43780.0
39946,42610.0
39238,42107.0
39841,43320.0
38416,42073.0
38135,42067.0
38928,42964.0
58395,62724.0
38599,42917.0
39193,43548.0
39733,44593.0
37665,42872.0
41974,47603.0
56540,62618.0
41492,47564.0
56159,62586.0
56159,62552.0
56171,62562.0
56155,62546.0
56154,62543.0
56154,62542.0
40299,46687.0
56087,62590.0
41981,48480.0
55655,62605.0
40558,47503.0
55548,62516.0
44142,51117.0
54862,62490.0
45491,53115.0
54092,62428.0
54110,62438.0
54128,62443.0
54085,62399.0
54119,62435.0
54119,62432.0
44203,52516.0
53731,62430.0
53738,62434.0
53691,62386.0
53728,62417.0
53736,62426.0
44738,53426.0
53368,62414.0
53367,62407.0
44302,53337.0
44143,53693.0
42719,53024.0
52032,62353.0
43831,54141.0
51112,62320.0
51160,62362.0
51111,62305.0
51110,62299.0
43200,54375.0
51094,62321.0
51081,62300.0
51168,62382.0
51055,62259.0
51093,62295.0
43153,54349.0
50542,62287.0
42603,54345.0
42701,54463.0
42475,54499.0
42903,55083.0
42487,55048.0
42158,55072.0
49062,62236.0
49062,62230.0
49080,62246.0
49044,62210.0
49042,62205.0
41898,55059.0
41344,54836.0
48722,62246.0
41520,55032.0
41280,55116.0
41252,55381.0
40704,55135.0
40699,55146.0
40856,55321.0
40590,55410.0
47284,62174.0
47330,62220.0
47331,62219.0
40560,55445.0
40119,55458.0
46435,62214.0
39507,55275.0
39336,55405.0
38864,55403.0
38656,55441.0
38229,55392.0
37897,55428.0
37231,55124.0
37394,55644.0
43592,62122.0
36842,55380.0
36999,55548.0
36852,55577.0
36837,55725.0
43131,62111.0
43139,62127.0
36809,55796.0
36466,55682.0
36513,55742.0
41685,61153.0
36195,55661.0
36092,55658.0
36380,55961.0
36002,55941.0
35418,55792.0
35715,56189.0
41268,62092.0
35205,56023.0
41039,62074.0
41039,62073.0
35103,56137.0
34797,56242.0
35086,56592.0
40256,62066.0
34459,56271.0
38807,61064.0
34334,56583.0
34182,56570.0
33883,56550.0
39248,62052.0
33783,56587.0
38993,62052.0
33223,56284.0
33332,56397.0
32872,56264.0
32769,56576.0
32681,56583.0
32358,56588.0
32249,56588.0
31953,56599.0
31781,56581.0
31572,56600.0
31273,56563.0
31152,56600.0
30862,56599.0
30748,56601.0
30438,56600.0
30273,56589.0
30026,56599.0
29785,56600.0
29609,56604.0
29140,56448.0
29050,56415.0
28706,56415.0
28362,56300.0
28343,56300.0
28531,56488.0
28407,56414.0
28255,56607.0
28201,56607.0
27852,56599.0
33218,62032.0
27834,56649.0
32891,62032.0
27398,56542.0
32716,62032.0
27537,56850.0
27172,56792.0
31374,61075.0
27034,56730.0
27108,56805.0
32304,62019.0
27260,56975.0
26874,56848.0
26764,56929.0
31785,62183.0
26365,56764.0
26383,56781.0
26241,56724.0
26178,56722.0
26181,56761.0
26334,56909.0
26006,56876.0
25715,56799.0
25696,56802.0
25634,56759.0
25634,56761.0
25618,56761.0
25632,56779.0
25732,57060.0
25574,57040.0
25485,57015.0
25488,57032.0
30324,61972.0
25365,57013.0
25361,57007.0
25339,57006.0
25333,57006.0
25324,57005.0
25316,57005.0
25308,57005.0
25288,57005.0
25246,57006.0
25223,57006.0
25213,57007.0
25199,57009.0
25161,57011.0
25103,57011.0
25070,57011.0
25057,57010.0
25057,57010.0
25046,57010.0
25018,57010.0
24967,56973.0
24992,57011.0
24983,57011.0
24962,57011.0
24937,57031.0
24900,57012.0
24896,57016.0
24844,57016.0
24813,57016.0
24790,57018.0
24775,57018.0
24764,57017.0
24751,57019.0
24729,57019.0
24671,56982.0
24683,57019.0
24678,57029.0
24590,57017.0
24541,57020.0
24659,57152.0
24440,57019.0
24452,57037.0
24422,57020.0
24423,57027.0
24401,57026.0
24334,57025.0
24296,57025.0
24279,57025.0
24225,56984.0
23785,57017.0
23776,57017.0
23761,57011.0
23242,57145.0
22940,57125.0
22796,57160.0
22503,57002.0
22329,57124.0
26944,61929.0
22047,57028.0
22046,57029.0
22044,57040.0
26909,61916.0
22016,57021.0
22005,57022.0
26887,61915.0
22009,57035.0
21988,57035.0
21958,57034.0
21804,56996.0
21830,57034.0
21872,57097.0
21609,57068.0
26410,61901.0
26401,61896.0
21524,57024.0
21503,57005.0
21563,57090.0
26248,61890.0
26245,61890.0
21429,57082.0
26086,61739.0
21426,57079.0
26230,61890.0
22134,57793.0
25860,61888.0
21065,57095.0
21045,57133.0
20893,57096.0
20890,57096.0
20882,57097.0
21596,57817.0
21586,57817.0
21560,57797.0
21555,57797.0
21569,57815.0
21581,57839.0
25502,61882.0
21434,57814.0
25498,61883.0
25498,61882.0
21435,57819.0
25496,61882.0
21418,57804.0
21421,57812.0
21416,57813.0
25478,61881.0
25478,61881.0
21447,57849.0
21335,57830.0
21305,57810.0
21298,57810.0
25360,61878.0
21311,57829.0
21283,57811.0
21306,57838.0
21272,57820.0
21271,57820.0
21282,57839.0
21247,57820.0
21233,57822.0
21233,57822.0
21207,57826.0
21200,57826.0
21177,57826.0
21162,57826.0
21156,57826.0
21146,57826.0
21160,57846.0
21133,57828.0
21128,57828.0
21117,57828.0
21109,57828.0
21105,57828.0
21088,57828.0
21059,57829.0
21039,57829.0
21024,57828.0
21012,57832.0
25053,61877.0
21013,57837.0
21007,57837.0
21001,57837.0
21034,57874.0
20878,57840.0
20876,57840.0
20869,57840.0
20865,57840.0
20861,57840.0
20859,57840.0
20861,57844.0
20850,57844.0
20844,57844.0
20841,57844.0
20819,57844.0
20828,57863.0
20798,57846.0
20781,57846.0
24780,61876.0
20739,57846.0
20732,57846.0
20726,57845.0
20719,57845.0
20714,57845.0
20712,57845.0
20700,57845.0
20695,57845.0
20679,57845.0
20701,57882.0
20562,57845.0
20586,57882.0
20506,57864.0
20482,57845.0
20470,57850.0
20460,57852.0
20477,57873.0
20437,57844.0
20440,57848.0
20422,57848.0
20420,57849.0
20377,57823.0
20402,57848.0
20401,57848.0
20325,57830.0
20343,57848.0
20327,57847.0
20327,57848.0
20311,57847.0
20309,57847.0
20308,57847.0
20274,57829.0
20290,57847.0
20263,57827.0
20276,57845.0
20268,57845.0
20249,57845.0
20230,57843.0
20197,57826.0
20215,57844.0
20217,57846.0
20195,57843.0
20159,57823.0
20180,57843.0
20151,57823.0
20182,57861.0
20162,57842.0
20176,57861.0
20142,57841.0
20139,57841.0
20122,57841.0
20116,57842.0
20096,57847.0
20089,57846.0
20075,57846.0
20072,57847.0
20074,57851.0
20060,57852.0
20058,57853.0
23915,61728.0
20022,57834.0
20017,57833.0
20005,57831.0
20024,57851.0
24001,61854.0
23999,61853.0
23994,61853.0
20031,57890.0
19955,57854.0
19931,57833.0
20006,57913.0
23876,61850.0
19953,57927.0
19882,57873.0
23876,61865.0
23728,61718.0
23856,61846.0
23871,61862.0
23727,61717.0
23727,61717.0
23855,61846.0
19899,57890.0
19908,57906.0
23838,61847.0
19897,57907.0
19859,57907.0
19838,57888.0
23631,61693.0
23653,61716.0
23694,61757.0
19825,57887.0
23769,61833.0
19841,57905.0
23766,61833.0
23778,61847.0
23778,61847.0
23771,61847.0
23768,61845.0
19827,57904.0
23761,61844.0
19821,57904.0
19829,57925.0
19772,57925.0
19746,57905.0
23667,61842.0
19719,57894.0
19732,57913.0
19724,57913.0
19703,57913.0
19661,57895.0
19669,57913.0
19663,57913.0
23590,61841.0
19661,57913.0
19611,57895.0
19608,57895.0
19604,57895.0
19630,57931.0
19588,57912.0
23360,61685.0
19569,57893.0
19587,57912.0
19555,57893.0
19573,57912.0
19575,57918.0
19347,57970.0
19291,57917.0
19291,57917.0
19309,57934.0
19284,57916.0
19311,57953.0
19215,57916.0
19215,57915.0
19215,57915.0
19231,57933.0
19198,57915.0
19198,57915.0
19200,57933.0
19179,57915.0
19180,57933.0
19142,57915.0
19141,57916.0
19140,57915.0
19140,57914.0
19136,57915.0
19129,57915.0
19125,57915.0
19124,57915.0
19122,57915.0
19121,57915.0
19121,57915.0
19121,57916.0
19120,57916.0
19110,57916.0
19110,57916.0
19109,57916.0
19107,57916.0
19106,57916.0
19106,57916.0
19106,57916.0
19105,57916.0
19104,57916.0
19104,57916.0
19104,57916.0
19093,57916.0
19090,57916.0
19089,57915.0
19089,57915.0
19088,57915.0
19087,57915.0
19085,57915.0
19084,57915.0
19085,57916.0
19074,57916.0
19108,57954.0
19034,57917.0
19032,57917.0
19032,57917.0
19031,57917.0
19031,57917.0
19030,57917.0
19030,57917.0
19029,57917.0
19028,57917.0
19020,57917.0
19017,57917.0
19017,57917.0
19016,57917.0
19014,57917.0
19013,57917.0
22930,61835.0
19011,57917.0
19007,57918.0
19007,57918.0
18998,57918.0
18997,57918.0
18985,57918.0
18985,57918.0
18985,57918.0
18985,57918.0
18984,57918.0
18984,57918.0
18984,57918.0
18984,57918.0
18981,57918.0
18982,57918.0
18979,57919.0
18976,57919.0
18971,57919.0
18961,57919.0
18959,57919.0
18958,57919.0
18956,57919.0
18956,57919.0
18956,57919.0
18955,57920.0
18947,57919.0
18944,57919.0
18942,57919.0
18940,57919.0
18938,57917.0
18937,57917.0
18937,57915.0
18935,57922.0
18928,57923.0
18874,57921.0
18874,57921.0
18873,57921.0
18873,57921.0
18872,57921.0
18890,57939.0
18871,57921.0
22779,61829.0
18871,57921.0
18877,57928.0
18702,57921.0
18700,57920.0
18689,57920.0
18689,57920.0
18669,57920.0
18628,57920.0
18625,57920.0
18614,57920.0
18614,57920.0
18614,57920.0
18615,57921.0
18615,57921.0
18610,57921.0
18610,57922.0
18603,57921.0
18600,57921.0
18594,57921.0
18585,57921.0
18580,57922.0
18571,57922.0
18566,57922.0
18557,57923.0
18554,57923.0
18554,57923.0
18554,57923.0
18588,57958.0
18553,57923.0
18551,57923.0
18546,57923.0
18545,57924.0
18544,57924.0
18544,57924.0
18544,57924.0
18543,57923.0
18546,57926.0
18540,57926.0
18537,57926.0
18537,57926.0
18535,57927.0
18532,57927.0
18531,57927.0
18536,57939.0
18534,57938.0
18534,57942.0
18526,57942.0
18526,57942.0
18517,57942.0
18513,57942.0
18512,57942.0
18505,57942.0
18523,57961.0
18503,57942.0
18503,57942.0
18503,57943.0
18500,57943.0
18499,57943.0
18499,57943.0
18497,57943.0
18497,57943.0
18490,57943.0
18490,57943.0
18509,57963.0
18489,57943.0
18489,57943.0
18489,57943.0
18515,57969.0
18489,57943.0
18486,57943.0
18483,57943.0
18483,57943.0
18482,57945.0
18514,57979.0
18502,57967.0
18499,57967.0
18497,57967.0
18494,57967.0
18490,57967.0
18487,57967.0
18484,57967.0
18483,57967.0
18479,57967.0
18474,57967.0
18467,57966.0
18463,57966.0
18462,57966.0
18462,57966.0
18455,57966.0
18456,57967.0
18454,57967.0
18453,57967.0
18450,57967.0
18443,57960.0
18443,57960.0
18463,57980.0
18475,57992.0
18480,57997.0
18466,57983.0
18481,57999.0
18451,57965.0
22138,61667.0
22137,61666.0
22137,61666.0
22137,61665.0
18,39544.0
18429,57955.0
22122,61811.0
18237,57950.0
54,39763.0
18201,57943.0
21906,61650.0
18215,57958.0
21905,61649.0
18312,58055.0
21670,61646.0
17962,57936.0
17965,57953.0
17964,57952.0
17945,57935.0
17928,57933.0
17937,57942.0
17795,57933.0
17799,57940.0
17793,57951.0
17778,57951.0
17755,57933.0
17867,58043.0
34,40437.0
32,40451.0
37,40470.0
24,40457.0
21195,61633.0
17491,57929.0
18,40478.0
18,40478.0
18,40477.0
17601,58060.0
39,40513.0
17616,58093.0
37,40514.0
17616,58093.0
17616,58093.0
21154,61630.0
17451,57927.0
38,40514.0
17449,57925.0
17449,57925.0
17615,58091.0
17615,58091.0
17614,58090.0
17615,58091.0
21152,61628.0
18,40494.0
17613,58090.0
21151,61628.0
21151,61628.0
17613,58090.0
18,40495.0
17613,58089.0
17609,58089.0
18,40495.0
21147,61627.0
17444,57925.0
17603,58089.0
17604,58090.0
17603,58090.0
18,40506.0
17602,58090.0
18,40506.0
17441,57930.0
17599,58090.0
17597,58089.0
18,40510.0
18,40510.0
17598,58090.0
18,40510.0
17596,58089.0
18,40511.0
17597,58090.0
17597,58090.0
17598,58091.0
17598,58091.0
0,40493.0
17598,58091.0
18,40512.0
18,40512.0
18,40512.0
18,40512.0
18,40512.0
16,40510.0
18,40520.0
18,40522.0
24,40528.0
16,40526.0
37,40548.0
18,40529.0
0,40511.0
17579,58090.0
18,40530.0
18,40530.0
18,40530.0
18,40530.0
37,40549.0
18,40530.0
17417,57929.0
17403,57928.0
18,40544.0
21100,61626.0
18,40545.0
17402,57929.0
18,40547.0
18,40547.0
18,40547.0
17398,57928.0
18,40549.0
17398,57929.0
18,40563.0
17489,58034.0
17366,57929.0
20,40619.0
18,40619.0
18,40619.0
17327,57928.0
18,40620.0
17326,57928.0
18,40621.0
17324,57928.0
17324,57928.0
18,40623.0
18,40623.0
17323,57928.0
18,40628.0
18,40628.0
17318,57928.0
18,40637.0
18,40637.0
18,40637.0
19,40638.0
17308,57928.0
17407,58029.0
38,40661.0
0,40624.0
17304,57928.0
18,40645.0
37,40666.0
18,40647.0
17296,57928.0
17398,58031.0
17290,57927.0
18,40656.0
18,40656.0
17289,57927.0
17391,58031.0
0,40642.0
32,40675.0
92,40749.0
18,40675.0
18,40675.0
17374,58032.0
18,40692.0
18,40692.0
18,40692.0
18,40693.0
18,40693.0
17251,57927.0
18,40695.0
18,40695.0
17355,58032.0
18,40711.0
18,40712.0
18,40712.0
18,40713.0
18,40713.0
18,40713.0
17335,58030.0
32,40730.0
18,40730.0
18,40730.0
37,40750.0
18,40731.0
18,40731.0
18,40731.0
18,40731.0
18,40732.0
18,40732.0
18,40732.0
18,40732.0
18,40734.0
18,40734.0
18,40735.0
37,40754.0
37,40759.0
18,40740.0
18,40740.0
20,40750.0
18,40750.0
18,40750.0
37,40769.0
18,40750.0
18,40750.0
18,40750.0
92,40824.0
18,40749.0
18,40749.0
18,40749.0
18,40749.0
18,40749.0
18,40749.0
0,40732.0
18,40750.0
18,40750.0
18,40751.0
19,40752.0
18,40752.0
17295,58032.0
