Time (s),Tasks #
55.0,2543
112.0,2845
59.0,293
74.0,4218
448.0,35
75.0,967
57.0,1039
37.0,1059
94.0,4592
38.0,210
131.0,1405
527.0,11
455.0,73
151.0,211
427.0,21
150.0,1067
40.0,59
18.0,1360
457.0,86
96.0,392
61.0,194
435.0,109
62.0,121
0.001,4896
20.0,97
433.0,169
77.0,216
472.0,88
22.0,47
450.0,123
512.0,11
466.0,35
225.0,454
474.0,42
168.0,632
207.0,719
170.0,320
516.0,9
483.0,25
462.0,85
498.0,14
161.0,20
114.0,252
42.0,78
581.0,14
44.0,21
490.0,21
459.0,37
440.0,34
133.0,218
501.0,22
420.0,26
529.0,6
446.0,48
572.0,7
431.0,154
481.0,31
650.0,6
429.0,34
631.0,3
138.0,47
142.0,47
442.0,110
629.0,7
616.0,8
437.0,88
648.0,5
100.0,58
451.0,145
148.0,16
488.0,14
412.0,44
64.0,65
464.0,32
611.0,6
453.0,131
596.0,6
461.0,49
627.0,4
633.0,3
475.0,33
514.0,8
144.0,38
496.0,13
140.0,42
614.0,5
468.0,55
157.0,36
137.0,59
46.0,9
638.0,7
146.0,23
438.0,75
609.0,5
551.0,6
2687.0,1
879.0,2
79.0,83
2509.0,1
662.0,1
518.0,10
544.0,12
2455.0,1
2046.0,2
562.0,9
622.0,9
1164.0,5
2505.0,1
618.0,13
624.0,12
1550.0,2
2235.0,1
1622.0,2
2377.0,1
1861.0,1
520.0,9
83.0,43
2350.0,3
279.0,24
224.0,12
1657.0,1
237.0,9
87.0,17
557.0,12
625.0,5
403.0,36
1368.0,2
383.0,27
612.0,9
2059.0,1
701.0,2
1983.0,1
1014.0,1
229.0,21
2351.0,1
1294.0,4
209.0,76
1907.0,1
2420.0,1
1764.0,1
505.0,16
331.0,6
605.0,13
1738.0,1
992.0,1
164.0,19
903.0,4
1035.0,3
2207.0,1
216.0,9
120.0,30
2562.0,1
825.0,2
109.0,7
907.0,10
2109.0,1
2300.0,1
2464.0,1
259.0,5
477.0,18
542.0,12
101.0,40
1238.0,1
2653.0,2
270.0,10
533.0,9
1735.0,1
1072.0,2
2435.0,1
188.0,946
2001.0,1
1859.0,1
394.0,18
2103.0,1
1566.0,1
2555.0,1
414.0,259
1388.0,2
729.0,2
972.0,3
2250.0,1
1081.0,3
2381.0,1
187.0,19
561.0,8
1240.0,1
2383.0,1
2359.0,1
159.0,32
1361.0,1
1596.0,2
342.0,42
1057.0,1
2029.0,1
2375.0,1
1303.0,1
135.0,99
1211.0,1
357.0,238
1207.0,1
607.0,4
261.0,20
2557.0,1
2196.0,1
2418.0,1
1335.0,3
509.0,11
1633.0,1
1964.0,1
381.0,24
1905.0,1
2238.0,1
577.0,11
1644.0,1
396.0,337
303.0,12
81.0,46
392.0,20
1911.0,1
2462.0,1
1122.0,1
2005.0,1
98.0,75
2366.0,1
1074.0,2
503.0,8
2685.0,1
2561.0,1
2457.0,1
511.0,13
425.0,33
538.0,10
416.0,63
487.0,26
246.0,90
201.0,19
320.0,179
540.0,13
546.0,8
470.0,53
564.0,9
162.0,28
301.0,202
592.0,4
601.0,8
214.0,8
555.0,9
424.0,60
548.0,7
579.0,4
66.0,28
283.0,175
585.0,2
961.0,4
385.0,51
172.0,83
696.0,3
398.0,45
1218.0,2
362.0,33
338.0,271
1077.0,2
405.0,25
359.0,231
409.0,6
1012.0,1
1192.0,1
898.0,2
1051.0,1
1342.0,1
125.0,11
231.0,31
640.0,8
422.0,14
792.0,2
748.0,4
651.0,4
1298.0,4
325.0,10
1242.0,1
694.0,10
1237.0,1
1135.0,1
924.0,8
222.0,5
361.0,84
590.0,5
553.0,10
242.0,17
1277.0,1
377.0,450
348.0,14
774.0,2
522.0,8
620.0,13
1064.0,2
959.0,1
766.0,1
401.0,16
888.0,3
983.0,5
779.0,1
712.0,16
833.0,2
492.0,12
1009.0,1
920.0,4
998.0,1
687.0,2
494.0,9
1283.0,1
735.0,3
1116.0,2
714.0,7
738.0,2
1344.0,2
340.0,92
835.0,2
1324.0,1
1055.0,2
905.0,8
946.0,2
531.0,5
344.0,24
587.0,5
1222.0,2
1212.0,1
1357.0,1
864.0,2
801.0,1
1066.0,2
690.0,1
953.0,2
731.0,11
372.0,8
1244.0,1
574.0,5
407.0,10
846.0,3
570.0,4
1140.0,1
890.0,1
816.0,1
812.0,5
911.0,2
842.0,5
1431.0,1
762.0,1
851.0,1
796.0,1
1711.0,1
1333.0,1
1451.0,2
875.0,1
1411.0,2
988.0,1
1714.0,1
761.0,1
1425.0,3
1742.0,1
968.0,2
757.0,1
1829.0,1
1705.0,1
790.0,1
814.0,1
1509.0,1
1727.0,2
588.0,6
1250.0,1
872.0,2
1574.0,1
1372.0,1
1931.0,1
933.0,1
811.0,4
1142.0,1
1837.0,1
896.0,1
1729.0,1
855.0,1
1087.0,1
1124.0,1
1620.0,1
1798.0,1
583.0,7
166.0,8
603.0,5
155.0,48
594.0,4
175.0,12
116.0,69
196.0,11
2062.0,1
770.0,6
2157.0,1
2085.0,1
751.0,6
646.0,2
2214.0,1
1507.0,2
1972.0,1
653.0,3
1157.0,1
2083.0,1
925.0,6
1379.0,1
666.0,3
1248.0,1
2362.0,1
1350.0,3
1022.0,2
2120.0,1
783.0,1
668.0,3
1220.0,2
753.0,4
2253.0,1
831.0,2
1312.0,4
709.0,1
725.0,1
827.0,2
2140.0,1
1520.0,1
966.0,2
944.0,4
848.0,2
2031.0,1
1061.0,1
1637.0,1
1975.0,1
850.0,2
2068.0,2
2162.0,1
1937.0,1
2181.0,1
1974.0,1
1787.0,1
887.0,7
772.0,4
2118.0,1
2218.0,1
1581.0,1
733.0,2
1272.0,1
174.0,72
192.0,156
211.0,42
227.0,89
190.0,62
298.0,11
335.0,8
296.0,9
388.0,3
327.0,10
292.0,11
364.0,26
277.0,11
379.0,62
885.0,4
322.0,50
264.0,129
244.0,291
153.0,72
316.0,5
194.0,11
444.0,84
485.0,5
716.0,2
507.0,10
1098.0,1
411.0,35
657.0,11
853.0,1
598.0,7
861.0,2
1001.0,1
805.0,5
931.0,2
661.0,1
287.0,9
737.0,2
370.0,3
637.0,16
964.0,5
272.0,3
387.0,10
912.0,1
568.0,7
262.0,162
1068.0,1
957.0,1
937.0,2
1181.0,3
1125.0,2
809.0,4
975.0,2
1127.0,1
918.0,1
768.0,5
866.0,6
1107.0,2
318.0,33
274.0,10
205.0,16
294.0,5
655.0,24
324.0,22
1105.0,1
1396.0,1
1338.0,1
257.0,7
255.0,6
1387.0,1
1257.0,1
1144.0,1
1370.0,1
674.0,11
1359.0,1
1405.0,1
238.0,9
253.0,8
92.0,82
600.0,18
24.0,2
559.0,11
351.0,4
1020.0,2
742.0,1
1100.0,1
418.0,28
644.0,4
550.0,5
118.0,31
179.0,18
500.0,7
203.0,10
185.0,9
535.0,6
183.0,12
575.0,5
48.0,7
683.0,1
659.0,2
70.0,7
679.0,3
524.0,14
51.0,4
68.0,13
664.0,3
88.0,11
103.0,18
53.0,3
50.0,3
525.0,8
305.0,6
479.0,22
85.0,13
72.0,5
670.0,3
1018.0,2
868.0,1
329.0,7
981.0,2
970.0,1
838.0,2
883.0,3
844.0,1
1120.0,1
718.0,1
942.0,2
950.0,2
1216.0,1
346.0,18
1088.0,1
1038.0,1
787.0,4
1003.0,3
862.0,3
881.0,5
900.0,2
1101.0,1
1000.0,1
1112.0,1
1025.0,2
566.0,9
1031.0,1
1114.0,1
994.0,1
285.0,9
974.0,1
290.0,4
1151.0,1
1172.0,2
938.0,1
1200.0,1
129.0,8
177.0,13
537.0,5
635.0,3
235.0,14
266.0,15
368.0,13
124.0,20
355.0,35
300.0,31
122.0,13
337.0,18
314.0,4
312.0,2
198.0,14
333.0,7
400.0,23
807.0,3
788.0,1
901.0,2
181.0,10
288.0,18
390.0,12
281.0,22
200.0,21
250.0,35
375.0,8
111.0,6
374.0,30
212.0,23
107.0,7
16.0,6
692.0,7
711.0,4
366.0,33
750.0,10
307.0,8
105.0,8
220.0,10
675.0,12
755.0,3
309.0,4
251.0,12
350.0,4
268.0,8
127.0,8
677.0,3
233.0,4
707.0,2
727.0,3
353.0,4
218.0,12
275.0,7
240.0,6
90.0,4
642.0,4
1874.0,1
35.0,3
248.0,14
1353.0,2
1314.0,1
1446.0,1
962.0,2
1407.0,1
909.0,3
1483.0,1
1481.0,2
1518.0,1
1351.0,1
1429.0,1
1374.0,2
311.0,1
1392.0,1
927.0,1
1542.0,1
1279.0,1
1505.0,1
1468.0,1
1355.0,3
1185.0,1
705.0,2
688.0,1
700.0,3
722.0,1
685.0,1
672.0,1
794.0,1
1694.0,1
1618.0,1
1561.0,1
1375.0,1
1070.0,1
1090.0,1
1092.0,1
1525.0,1
