Makespan (s),Workflow Response time (s)
809,810.0
931,931.0
10383,10383.0
1110,1110.0
11486,11486.0
10532,10532.0
10487,10487.0
10190,10190.0
10204,10204.0
504,504.0
2292,2292.0
8773,8777.0
2757,2757.0
1695,1842.0
3738,3877.0
10468,10634.0
1647,1791.0
9440,9598.0
9040,9315.0
7579,7862.0
8788,9151.0
10085,10552.0
8496,8966.0
10155,10645.0
10157,10614.0
10157,10611.0
10152,10603.0
10156,10604.0
10157,10604.0
7043,7486.0
10169,10644.0
8995,9466.0
10028,10619.0
7543,8200.0
9905,10578.0
9267,9928.0
9853,10551.0
8403,9090.0
9762,10485.0
9783,10498.0
9803,10503.0
9763,10456.0
9800,10497.0
9800,10494.0
8221,8914.0
9620,10492.0
9621,10487.0
9578,10443.0
9620,10479.0
9620,10478.0
8584,9440.0
9547,10475.0
9547,10467.0
8327,9242.0
8244,9277.0
7396,8597.0
9194,10404.0
7780,8979.0
8935,10378.0
8989,10426.0
8935,10363.0
8935,10357.0
7839,9246.0
8963,10383.0
9015,10425.0
9065,10470.0
8921,10316.0
8963,10356.0
7547,8934.0
8954,10397.0
7452,8892.0
7489,8923.0
7573,9097.0
8185,9722.0
7628,9211.0
7557,9192.0
8625,10329.0
8631,10329.0
8725,10421.0
8663,10358.0
8568,10260.0
7482,9172.0
7196,8924.0
8621,10352.0
7417,9136.0
7402,9199.0
7313,9174.0
7007,8906.0
7007,8906.0
7203,9102.0
7225,9187.0
8307,10282.0
8353,10328.0
8355,10328.0
7254,9224.0
7151,9195.0
8223,10322.0
6892,8979.0
6947,9133.0
6853,9179.0
6858,9221.0
6775,9168.0
6742,9209.0
6339,8830.0
6622,9163.0
7624,10217.0
6312,8904.0
6428,9024.0
6425,9041.0
6546,9206.0
7517,10191.0
7515,10189.0
6342,9013.0
6281,8972.0
6293,8984.0
8167,10907.0
6308,9048.0
6084,8862.0
6407,9189.0
6353,9238.0
6084,9072.0
6328,9351.0
7117,10179.0
6076,9169.0
6993,10131.0
6993,10129.0
6152,9288.0
6122,9351.0
6138,9371.0
6903,10144.0
5773,9013.0
6775,10119.0
6015,9357.0
5978,9336.0
5903,9314.0
6685,10129.0
5911,9355.0
6676,10128.0
5569,9021.0
5692,9145.0
5452,9018.0
5713,9343.0
5710,9351.0
5669,9351.0
5655,9351.0
5594,9351.0
5554,9346.0
5568,9367.0
5513,9326.0
5525,9367.0
5503,9366.0
5444,9367.0
4927,9367.0
4912,9354.0
4923,9366.0
4893,9366.0
4890,9369.0
4710,9197.0
4733,9238.0
4552,9238.0
4286,9114.0
4284,9112.0
4492,9319.0
4407,9236.0
4576,9443.0
4562,9443.0
4534,9423.0
5196,10089.0
4569,9461.0
5202,10108.0
4437,9343.0
5196,10108.0
4320,9229.0
4181,9165.0
5072,10084.0
4091,9098.0
4233,9241.0
5055,10077.0
4339,9367.0
4195,9226.0
4217,9291.0
5045,10264.0
3943,9162.0
3963,9181.0
3863,9119.0
3790,9056.0
3887,9158.0
3997,9263.0
3983,9278.0
3869,9193.0
3882,9206.0
3818,9149.0
3818,9149.0
3828,9159.0
3839,9168.0
3858,9195.0
3787,9163.0
3762,9143.0
3773,9153.0
4633,10029.0
3744,9140.0
3744,9134.0
3744,9132.0
3744,9132.0
3744,9131.0
3742,9131.0
3742,9131.0
3728,9131.0
3728,9131.0
3728,9131.0
3716,9131.0
3716,9131.0
3716,9131.0
3711,9131.0
3711,9131.0
3710,9130.0
3710,9130.0
3708,9130.0
3708,9130.0
3668,9090.0
3707,9130.0
3703,9130.0
3703,9130.0
3723,9151.0
3702,9130.0
3702,9131.0
3696,9131.0
3698,9133.0
3698,9133.0
3698,9133.0
3698,9132.0
3696,9130.0
3698,9132.0
3656,9092.0
3696,9132.0
3694,9133.0
3685,9123.0
3678,9123.0
3824,9268.0
3671,9124.0
3692,9145.0
3667,9124.0
3667,9124.0
3647,9123.0
3647,9122.0
3636,9122.0
3635,9121.0
3781,9262.0
3451,9130.0
3451,9130.0
3570,9258.0
3543,9262.0
3505,9240.0
3558,9298.0
3380,9151.0
3355,9225.0
4114,10002.0
3295,9179.0
3295,9178.0
3267,9149.0
4090,9972.0
3245,9125.0
3290,9171.0
4113,9993.0
3263,9141.0
3261,9140.0
3251,9138.0
3195,9081.0
3248,9137.0
3276,9180.0
3188,9135.0
4009,9953.0
4008,9951.0
3144,9087.0
3090,9032.0
3187,9131.0
3982,9945.0
3982,9945.0
3118,9080.0
4092,10052.0
3164,9124.0
3982,9942.0
3200,9159.0
3920,9939.0
3103,9122.0
3144,9163.0
3042,9123.0
3042,9123.0
3040,9122.0
3060,9142.0
3060,9142.0
3039,9121.0
3039,9121.0
3056,9140.0
3077,9161.0
3823,9935.0
3006,9118.0
3829,9941.0
3829,9940.0
3026,9137.0
3832,9943.0
3006,9117.0
3006,9116.0
2999,9116.0
3816,9933.0
3816,9933.0
3040,9156.0
2958,9134.0
2924,9113.0
2924,9113.0
3750,9939.0
2944,9133.0
2917,9113.0
2934,9133.0
2914,9112.0
2913,9112.0
2932,9133.0
2903,9112.0
2903,9112.0
2903,9112.0
2901,9112.0
2902,9113.0
2896,9113.0
2896,9113.0
2896,9113.0
2896,9113.0
2916,9133.0
2890,9113.0
2890,9113.0
2890,9113.0
2888,9113.0
2886,9113.0
2875,9113.0
2875,9113.0
2875,9113.0
2875,9112.0
2875,9112.0
3699,9937.0
2874,9112.0
2872,9112.0
2872,9112.0
2912,9152.0
2841,9112.0
2834,9112.0
2834,9112.0
2819,9112.0
2819,9112.0
2818,9112.0
2818,9112.0
2818,9112.0
2818,9112.0
2818,9112.0
2818,9112.0
2838,9132.0
2817,9112.0
2817,9112.0
3625,9927.0
2810,9112.0
2810,9112.0
2800,9111.0
