Time (s),Tasks #
61.0,2543
124.0,2845
65.0,293
81.0,4218
493.0,35
83.0,967
63.0,1039
40.0,1059
104.0,4592
42.0,210
144.0,1405
581.0,11
502.0,73
167.0,211
471.0,21
165.0,1067
44.0,59
20.0,1360
504.0,86
106.0,392
67.0,194
479.0,109
69.0,121
0.001,4896
22.0,97
477.0,169
85.0,216
520.0,88
24.0,47
495.0,123
565.0,11
514.0,35
248.0,454
522.0,42
185.0,632
228.0,719
187.0,320
569.0,9
532.0,25
510.0,85
548.0,14
177.0,20
126.0,252
46.0,78
640.0,14
48.0,21
540.0,21
506.0,37
485.0,34
146.0,218
553.0,22
463.0,26
583.0,6
491.0,48
630.0,7
475.0,154
530.0,31
716.0,6
473.0,34
695.0,3
153.0,47
157.0,47
487.0,110
693.0,7
679.0,8
481.0,88
714.0,5
110.0,58
497.0,145
163.0,16
538.0,14
455.0,44
71.0,65
512.0,32
673.0,6
500.0,131
657.0,6
508.0,49
691.0,4
697.0,3
524.0,33
567.0,8
159.0,38
546.0,13
155.0,42
677.0,5
516.0,55
173.0,36
151.0,59
51.0,9
704.0,7
161.0,23
483.0,75
671.0,5
608.0,6
2961.0,1
969.0,2
87.0,83
2765.0,1
730.0,1
571.0,10
600.0,12
2706.0,1
2255.0,2
620.0,9
685.0,9
1283.0,5
2761.0,1
681.0,13
687.0,12
1708.0,2
2463.0,1
1787.0,2
2620.0,1
2051.0,1
573.0,9
91.0,43
2589.0,3
308.0,24
246.0,12
1826.0,1
261.0,9
95.0,17
614.0,12
689.0,5
444.0,36
1508.0,2
422.0,27
675.0,9
2269.0,1
773.0,2
2185.0,1
1118.0,1
253.0,21
2591.0,1
1426.0,4
230.0,76
2102.0,1
2667.0,1
1944.0,1
557.0,16
365.0,6
667.0,13
1916.0,1
1093.0,1
181.0,19
995.0,4
1140.0,3
2432.0,1
238.0,9
132.0,30
2824.0,1
910.0,2
120.0,7
1000.0,10
2324.0,1
2534.0,1
2716.0,1
285.0,5
526.0,18
597.0,12
112.0,40
1365.0,1
2924.0,2
297.0,10
587.0,9
1912.0,1
1181.0,2
2683.0,1
208.0,946
2206.0,1
2048.0,1
434.0,18
2318.0,1
1726.0,1
2816.0,1
457.0,259
1530.0,2
804.0,2
1071.0,3
2479.0,1
1191.0,3
2624.0,1
206.0,19
618.0,8
1367.0,1
2626.0,1
2600.0,1
175.0,32
1500.0,1
1759.0,2
377.0,42
1165.0,1
2236.0,1
2618.0,1
1436.0,1
148.0,99
1334.0,1
393.0,238
1330.0,1
669.0,4
287.0,20
2818.0,1
2420.0,1
2665.0,1
1471.0,3
561.0,11
1800.0,1
2165.0,1
420.0,24
2100.0,1
2467.0,1
636.0,11
1812.0,1
436.0,337
334.0,12
89.0,46
432.0,20
2106.0,1
2714.0,1
1236.0,1
2210.0,1
108.0,75
2608.0,1
1183.0,2
555.0,8
2959.0,1
2822.0,1
2708.0,1
563.0,13
469.0,33
593.0,10
459.0,63
536.0,26
271.0,90
222.0,19
353.0,179
595.0,13
602.0,8
518.0,53
622.0,9
179.0,28
332.0,202
653.0,4
663.0,8
236.0,8
612.0,9
467.0,60
604.0,7
638.0,4
73.0,28
312.0,175
644.0,2
1059.0,4
424.0,51
189.0,83
767.0,3
438.0,45
1342.0,2
400.0,33
373.0,271
1187.0,2
446.0,25
395.0,231
451.0,6
1116.0,1
1314.0,1
989.0,2
1159.0,1
1479.0,1
138.0,11
255.0,31
706.0,8
465.0,14
873.0,2
824.0,4
718.0,4
1430.0,4
359.0,10
1369.0,1
765.0,10
1363.0,1
1251.0,1
1018.0,8
244.0,5
397.0,84
651.0,5
610.0,10
267.0,17
1408.0,1
416.0,450
383.0,14
853.0,2
575.0,8
683.0,13
1173.0,2
1057.0,1
844.0,1
442.0,16
979.0,3
1083.0,5
859.0,1
785.0,16
918.0,2
542.0,12
1112.0,1
1014.0,4
1100.0,1
757.0,2
544.0,9
1414.0,1
810.0,3
1230.0,2
787.0,7
814.0,2
1481.0,2
375.0,92
920.0,2
1459.0,1
1163.0,2
997.0,8
1042.0,2
585.0,5
379.0,24
646.0,5
1346.0,2
1336.0,1
1495.0,1
953.0,2
883.0,1
1175.0,2
761.0,1
1051.0,2
806.0,11
410.0,8
1371.0,1
632.0,5
448.0,10
932.0,3
628.0,4
1257.0,1
981.0,1
900.0,1
895.0,5
1004.0,2
928.0,5
1577.0,1
840.0,1
938.0,1
877.0,1
1885.0,1
1469.0,1
1600.0,2
965.0,1
1555.0,2
1089.0,1
1889.0,1
838.0,1
1571.0,3
1920.0,1
1067.0,2
834.0,1
2016.0,1
1879.0,1
871.0,1
897.0,1
1663.0,1
1904.0,2
648.0,6
1377.0,1
961.0,2
1734.0,1
1512.0,1
2128.0,1
1028.0,1
893.0,4
1259.0,1
2024.0,1
987.0,1
1906.0,1
942.0,1
1197.0,1
1238.0,1
1785.0,1
1981.0,1
642.0,7
183.0,8
665.0,5
171.0,48
655.0,4
193.0,12
128.0,69
216.0,11
2273.0,1
848.0,6
2377.0,1
2297.0,1
828.0,6
712.0,2
2440.0,1
1661.0,2
2173.0,1
720.0,3
1275.0,1
2295.0,1
1020.0,6
1520.0,1
734.0,3
1375.0,1
2604.0,1
1487.0,3
1126.0,2
2336.0,1
863.0,1
736.0,3
1344.0,2
830.0,4
2483.0,1
916.0,2
1446.0,4
781.0,1
800.0,1
912.0,2
2359.0,1
1675.0,1
1065.0,2
1040.0,4
934.0,2
2238.0,1
1169.0,1
1804.0,1
2177.0,1
936.0,2
2279.0,2
2383.0,1
2134.0,1
2404.0,1
2175.0,1
1969.0,1
977.0,7
851.0,4
2334.0,1
2444.0,1
1742.0,1
808.0,2
1402.0,1
191.0,72
212.0,156
232.0,42
251.0,89
210.0,62
328.0,11
369.0,8
326.0,9
428.0,3
361.0,10
322.0,11
402.0,26
306.0,11
418.0,62
975.0,4
355.0,50
291.0,129
269.0,291
169.0,72
348.0,5
214.0,11
489.0,84
534.0,5
789.0,2
559.0,10
1210.0,1
453.0,35
724.0,11
940.0,1
659.0,7
948.0,2
1104.0,1
887.0,5
1026.0,2
728.0,1
316.0,9
812.0,2
408.0,3
702.0,16
1063.0,5
300.0,3
426.0,10
1006.0,1
626.0,7
289.0,162
1177.0,1
1055.0,1
1032.0,2
1302.0,3
1240.0,2
891.0,4
1075.0,2
1242.0,1
1012.0,1
846.0,5
955.0,6
1220.0,2
351.0,33
302.0,10
226.0,16
324.0,5
722.0,24
357.0,22
1218.0,1
1538.0,1
1475.0,1
283.0,7
281.0,6
1528.0,1
1385.0,1
1261.0,1
1510.0,1
742.0,11
1497.0,1
1548.0,1
263.0,9
279.0,8
102.0,82
661.0,18
26.0,2
616.0,11
387.0,4
1124.0,2
818.0,1
1212.0,1
461.0,28
710.0,4
606.0,5
130.0,31
197.0,18
551.0,7
224.0,10
204.0,9
589.0,6
202.0,12
634.0,5
53.0,7
753.0,1
726.0,2
77.0,7
748.0,3
577.0,14
57.0,4
75.0,13
732.0,3
97.0,11
114.0,18
59.0,3
55.0,3
579.0,8
336.0,6
528.0,22
93.0,13
79.0,5
738.0,3
1122.0,2
957.0,1
363.0,7
1081.0,2
1069.0,1
924.0,2
973.0,3
930.0,1
1234.0,1
791.0,1
1038.0,2
1046.0,2
1340.0,1
381.0,18
1200.0,1
1144.0,1
867.0,4
1106.0,3
951.0,3
971.0,5
991.0,2
1214.0,1
1102.0,1
1226.0,1
1130.0,2
624.0,9
1136.0,1
1228.0,1
1095.0,1
314.0,9
1073.0,1
320.0,4
1269.0,1
1291.0,2
1034.0,1
1322.0,1
142.0,8
195.0,13
591.0,5
700.0,3
259.0,14
293.0,15
