Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000004,0,0.0,500
10,00000000-0000-0000-0000-000000000000,0,0.0,500
10,00000000-0000-0000-0000-000000000003,0,0.0,500
10,00000000-0000-0000-0000-000000000007,0,0.0,500
10,00000000-0000-0000-0000-000000000001,0,0.0,500
10,00000000-0000-0000-0000-000000000006,0,0.0,500
10,00000000-0000-0000-0000-000000000002,0,1960.0,522
10,00000000-0000-0000-0000-000000000005,0,0.0,500
20,00000000-0000-0000-0000-000000000004,0,0.0,500
20,00000000-0000-0000-0000-000000000000,0,0.0,500
20,00000000-0000-0000-0000-000000000003,0,0.0,500
20,00000000-0000-0000-0000-000000000007,0,0.0,500
20,00000000-0000-0000-0000-000000000001,0,0.0,500
20,00000000-0000-0000-0000-000000000006,0,0.0,500
20,00000000-0000-0000-0000-000000000002,0,1960.0,524
20,00000000-0000-0000-0000-000000000005,0,0.0,500
30,00000000-0000-0000-0000-000000000004,0,0.0,500
30,00000000-0000-0000-0000-000000000000,0,0.0,500
30,00000000-0000-0000-0000-000000000003,0,0.0,500
30,00000000-0000-0000-0000-000000000007,0,0.0,500
30,00000000-0000-0000-0000-000000000001,0,0.0,500
30,00000000-0000-0000-0000-000000000006,0,0.0,500
30,00000000-0000-0000-0000-000000000002,0,1960.0,525
30,00000000-0000-0000-0000-000000000005,0,0.0,500
40,00000000-0000-0000-0000-000000000004,0,0.0,500
40,00000000-0000-0000-0000-000000000000,0,0.0,500
40,00000000-0000-0000-0000-000000000003,0,0.0,500
40,00000000-0000-0000-0000-000000000007,0,0.0,500
40,00000000-0000-0000-0000-000000000001,0,0.0,500
40,00000000-0000-0000-0000-000000000006,0,0.0,500
40,00000000-0000-0000-0000-000000000002,0,1960.0,525
40,00000000-0000-0000-0000-000000000005,0,0.0,500
50,00000000-0000-0000-0000-000000000004,0,56840.0,519
50,00000000-0000-0000-0000-000000000000,0,47040.0,519
50,00000000-0000-0000-0000-000000000003,0,50960.0,519
50,00000000-0000-0000-0000-000000000007,0,56840.0,519
50,00000000-0000-0000-0000-000000000001,0,39200.0,519
50,00000000-0000-0000-0000-000000000006,0,37240.0,519
50,00000000-0000-0000-0000-000000000002,0,43120.0,524
50,00000000-0000-0000-0000-000000000005,0,47040.0,519
60,00000000-0000-0000-0000-000000000004,0,56840.0,525
60,00000000-0000-0000-0000-000000000000,0,47040.0,525
60,00000000-0000-0000-0000-000000000003,0,50960.0,525
60,00000000-0000-0000-0000-000000000007,0,56840.0,525
60,00000000-0000-0000-0000-000000000001,0,39200.0,525
60,00000000-0000-0000-0000-000000000006,0,37240.0,525
60,00000000-0000-0000-0000-000000000002,0,43120.0,525
60,00000000-0000-0000-0000-000000000005,0,47040.0,525
70,00000000-0000-0000-0000-000000000004,0,56840.0,525
70,00000000-0000-0000-0000-000000000000,0,47040.0,525
70,00000000-0000-0000-0000-000000000003,0,50960.0,525
70,00000000-0000-0000-0000-000000000007,0,56840.0,525
70,00000000-0000-0000-0000-000000000001,0,39200.0,525
70,00000000-0000-0000-0000-000000000006,0,37240.0,525
70,00000000-0000-0000-0000-000000000002,0,43120.0,525
70,00000000-0000-0000-0000-000000000005,0,47040.0,525
80,00000000-0000-0000-0000-000000000004,0,56840.0,525
80,00000000-0000-0000-0000-000000000000,0,47040.0,525
80,00000000-0000-0000-0000-000000000003,0,50960.0,525
80,00000000-0000-0000-0000-000000000007,0,56840.0,525
80,00000000-0000-0000-0000-000000000001,0,39200.0,525
80,00000000-0000-0000-0000-000000000006,0,37240.0,525
80,00000000-0000-0000-0000-000000000002,0,43120.0,525
80,00000000-0000-0000-0000-000000000005,0,47040.0,525
90,00000000-0000-0000-0000-000000000004,0,56840.0,525
90,00000000-0000-0000-0000-000000000000,0,47040.0,525
90,00000000-0000-0000-0000-000000000003,0,50960.0,525
90,00000000-0000-0000-0000-000000000007,0,56840.0,525
90,00000000-0000-0000-0000-000000000001,0,39200.0,525
90,00000000-0000-0000-0000-000000000006,0,37240.0,525
90,00000000-0000-0000-0000-000000000002,0,43120.0,525
90,00000000-0000-0000-0000-000000000005,0,47040.0,525
100,00000000-0000-0000-0000-000000000004,0,56840.0,525
100,00000000-0000-0000-0000-000000000000,0,47040.0,525
100,00000000-0000-0000-0000-000000000003,0,50960.0,525
100,00000000-0000-0000-0000-000000000007,0,56840.0,525
100,00000000-0000-0000-0000-000000000001,0,39200.0,525
100,00000000-0000-0000-0000-000000000006,0,37240.0,525
100,00000000-0000-0000-0000-000000000002,0,43120.0,525
100,00000000-0000-0000-0000-000000000005,0,47040.0,525
110,00000000-0000-0000-0000-000000000004,0,56840.0,525
110,00000000-0000-0000-0000-000000000000,0,45080.0,897
110,00000000-0000-0000-0000-000000000003,0,50960.0,525
110,00000000-0000-0000-0000-000000000007,0,52920.0,965
110,00000000-0000-0000-0000-000000000001,0,39200.0,525
110,00000000-0000-0000-0000-000000000006,0,31360.0,779
110,00000000-0000-0000-0000-000000000002,0,41160.0,863
110,00000000-0000-0000-0000-000000000005,0,47040.0,525
120,00000000-0000-0000-0000-000000000004,0,56840.0,525
120,00000000-0000-0000-0000-000000000000,0,45080.0,1075
120,00000000-0000-0000-0000-000000000003,0,50960.0,525
120,00000000-0000-0000-0000-000000000007,0,52920.0,1175
120,00000000-0000-0000-0000-000000000001,0,39200.0,525
120,00000000-0000-0000-0000-000000000006,0,31360.0,900
120,00000000-0000-0000-0000-000000000002,0,41160.0,1025
120,00000000-0000-0000-0000-000000000005,0,47040.0,525
130,00000000-0000-0000-0000-000000000004,0,47040.0,896
130,00000000-0000-0000-0000-000000000000,0,35280.0,1000
130,00000000-0000-0000-0000-000000000003,0,45080.0,875
130,00000000-0000-0000-0000-000000000007,0,45080.0,1111
130,00000000-0000-0000-0000-000000000001,0,35280.0,795
130,00000000-0000-0000-0000-000000000006,0,31360.0,900
130,00000000-0000-0000-0000-000000000002,0,35280.0,977
130,00000000-0000-0000-0000-000000000005,0,37240.0,811
140,00000000-0000-0000-0000-000000000004,0,47040.0,1100
140,00000000-0000-0000-0000-000000000000,0,35280.0,949
140,00000000-0000-0000-0000-000000000003,0,45080.0,1075
140,00000000-0000-0000-0000-000000000007,0,45080.0,1075
140,00000000-0000-0000-0000-000000000001,0,35280.0,950
140,00000000-0000-0000-0000-000000000006,0,31360.0,900
140,00000000-0000-0000-0000-000000000002,0,35280.0,950
140,00000000-0000-0000-0000-000000000005,0,37240.0,975
150,00000000-0000-0000-0000-000000000004,0,37240.0,1051
150,00000000-0000-0000-0000-000000000000,0,27440.0,915
150,00000000-0000-0000-0000-000000000003,0,31360.0,1006
