Makespan (s),Workflow Response time (s)
24,34041.0
89052,106951.0
165794,177521.0
22,34788.0
24,34765.0
163206,194358.0
163172,194366.0
379,379.0
163230,194382.0
84880,99129.0
24,34661.0
84637,98522.0
84616,98505.0
93066,114493.0
93082,114508.0
98224,122641.0
97869,121937.0
96864,119149.0
97805,121836.0
98228,122650.0
98335,122566.0
98308,122574.0
24,33873.0
24,33846.0
39,39.0
561,561.0
540,540.0
127378,160020.0
169917,194421.0
172891,194821.0
149518,182332.0
162487,192810.0
149698,182312.0
22,26787.0
24,34784.0
131395,164588.0
137031,170535.0
136938,170858.0
0,34521.0
136977,170914.0
136947,170883.0
136876,170744.0
136893,170780.0
136897,170780.0
24,34556.0
22,34038.0
136935,170864.0
136918,170618.0
136882,170750.0
0,34903.0
0,34904.0
24,34050.0
131092,164108.0
136641,170068.0
133072,166366.0
136862,170658.0
132980,166233.0
0,34890.0
0,34890.0
0,34898.0
0,34902.0
0,34905.0
0,34889.0
97748,121815.0
0,34888.0
0,34899.0
0,34904.0
133069,166362.0
0,34894.0
136641,170068.0
0,34900.0
127692,160501.0
0,34871.0
162782,194413.0
171789,194650.0
24,34554.0
186323,197739.0
172319,194716.0
162881,192839.0
89072,106936.0
121195,153130.0
62040,74474.0
24,33944.0
108620,140272.0
172053,194675.0
55163,66888.0
149785,182297.0
0,34776.0
164404,194364.0
163236,194373.0
108435,139576.0
0,34057.0
163188,194354.0
24,33960.0
137004,170546.0
137034,170543.0
136641,170068.0
0,34463.0
24,34492.0
108555,139721.0
133069,166360.0
131884,165118.0
132959,166210.0
24,34612.0
24,32768.0
136850,170719.0
0,34747.0
0,31978.0
0,34741.0
22,33962.0
0,34775.0
122099,154560.0
137031,170536.0
0,34791.0
0,34731.0
68,2515.0
0,31989.0
1255,33245.0
0,34767.0
121934,153868.0
0,34555.0
120400,152320.0
0,34710.0
0,34899.0
0,34643.0
0,34862.0
0,34866.0
0,34864.0
24,33599.0
25,25.0
0,34865.0
0,34866.0
160151,193383.0
159998,193374.0
0,34821.0
162837,194404.0
162660,194403.0
162868,194409.0
133061,166203.0
24,33865.0
24,33964.0
162863,194406.0
161458,194383.0
162865,194406.0
161514,194387.0
183241,206102.0
0,34787.0
162925,194398.0
0,34888.0
0,34898.0
0,34818.0
0,34888.0
4,34906.0
162867,194409.0
0,34780.0
0,34888.0
0,34818.0
0,34887.0
25,26.0
0,34865.0
0,34891.0
162850,194404.0
0,34850.0
1293,36097.0
0,34801.0
0,34865.0
0,34821.0
0,34815.0
162830,194404.0
163128,194378.0
0,34804.0
1,33879.0
160844,194341.0
172625,205290.0
24,34786.0
162857,194409.0
0,34791.0
172524,205280.0
10,34823.0
8,34814.0
162551,194486.0
135977,169368.0
162556,194443.0
172530,205287.0
162776,194469.0
163051,194376.0
136345,171064.0
20,34834.0
20,34834.0
22,34856.0
0,34736.0
0,34815.0
20,34888.0
30,34836.0
22,34836.0
51,34802.0
20,34853.0
170916,194591.0
136444,171063.0
135975,169366.0
136921,170616.0
173249,194903.0
163551,194402.0
130,34900.0
20,34888.0
22,34880.0
20,34854.0
20,34788.0
20,34865.0
20,34836.0
22,34842.0
20,34842.0
22,34837.0
20,34853.0
22,34854.0
22,34842.0
136920,170603.0
137024,170533.0
136996,170460.0
164829,194383.0
133186,166358.0
166292,194392.0
149514,182325.0
149403,182328.0
149454,182366.0
149409,182327.0
160687,193380.0
162469,194452.0
166609,194377.0
166289,194390.0
160335,193391.0
160814,193415.0
161972,194393.0
165974,194392.0
22,34795.0
131402,164600.0
136971,170546.0
136949,170557.0
136927,170581.0
136924,170616.0
131084,164103.0
166657,194403.0
166432,194390.0
161660,193228.0
164713,194373.0
164484,194370.0
20,34789.0
131402,164600.0
137028,170540.0
164425,194369.0
102387,129134.0
98280,122543.0
20,34013.0
85071,100157.0
24,34127.0
177114,195108.0
109651,141587.0
165880,194449.0
0,34764.0
137025,170800.0
137153,170580.0
163510,194363.0
163254,194391.0
167121,194431.0
163247,194389.0
163254,194392.0
24,32464.0
117200,149133.0
162355,180108.0
184337,206619.0
46,1503.0
165020,194384.0
163648,194366.0
193325,208082.0
198962,210706.0
184542,206849.0
150211,182281.0
181781,205961.0
161806,194399.0
161910,194397.0
169995,194412.0
454,4197.0
166722,194434.0
167166,194475.0
165921,196235.0
128,34915.0
128,34915.0
128,34913.0
164053,194375.0
163894,194384.0
0,34645.0
97668,120052.0
170648,194548.0
170245,194511.0
169833,194459.0
169856,194462.0
169955,194462.0
128,34912.0
128,34915.0
128,34903.0
177396,195102.0
177394,195083.0
170959,195071.0
0,34466.0
171422,194664.0
0,32762.0
122304,154518.0
8,34777.0
166050,194464.0
