Time (s),Tasks #
24.0,6997
22.0,9015
161.0,35
81.0,3314
144.0,875
0.001,12485
142.0,132
10632.0,1
165.0,1103
10597.0,1
61.0,2966
10604.0,2
10626.0,1
167.0,280
10542.0,2
185.0,1276
100.0,95
10616.0,2
197.0,23
10563.0,1
163.0,163
187.0,240
10371.0,1
10595.0,1
177.0,38
132.0,102
10544.0,1
10546.0,1
222.0,8
10593.0,1
10600.0,1
63.0,1072
124.0,758
171.0,94
20.0,19124
169.0,167
38.0,652
8.0,77
406.0,40
410.0,24
4.0,93
216.0,26
342.0,54
214.0,31
10.0,103
16.0,193
18.0,634
79.0,202
77.0,160
146.0,541
148.0,297
102.0,627
122.0,172
85.0,502
83.0,1297
59.0,319
75.0,201
71.0,263
67.0,489
69.0,293
44.0,1392
40.0,6773
42.0,2199
51.0,529
48.0,647
46.0,910
151.0,113
53.0,379
30.0,2155
153.0,86
1255.0,13
1279.0,13
1275.0,7
1302.0,12
1297.0,14
1277.0,14
57.0,346
1293.0,5
26.0,2498
65.0,1010
93.0,133
106.0,297
112.0,87
28.0,2662
89.0,237
110.0,150
87.0,313
55.0,367
73.0,190
95.0,128
116.0,75
108.0,206
120.0,43
97.0,108
104.0,887
183.0,44
275.0,211
318.0,76
338.0,96
126.0,356
277.0,152
212.0,46
157.0,43
175.0,34
236.0,18
226.0,281
293.0,120
328.0,68
302.0,59
232.0,39
297.0,98
155.0,44
279.0,106
424.0,27
255.0,57
383.0,47
263.0,17
289.0,384
295.0,123
208.0,99
189.0,138
202.0,10
230.0,64
191.0,75
234.0,24
210.0,62
259.0,24
340.0,70
300.0,92
253.0,84
271.0,176
238.0,10
261.0,12
344.0,49
283.0,51
204.0,25
306.0,53
173.0,55
334.0,144
361.0,93
273.0,254
240.0,10
265.0,9
206.0,333
244.0,16
193.0,40
134.0,55
257.0,34
242.0,12
336.0,115
140.0,47
320.0,95
128.0,236
248.0,75
179.0,30
322.0,80
359.0,111
310.0,166
348.0,53
130.0,146
291.0,127
220.0,13
802.0,8
502.0,42
402.0,52
575.0,8
1016.0,40
485.0,25
312.0,142
512.0,6
608.0,62
675.0,24
791.0,26
671.0,191
885.0,12
428.0,16
463.0,31
720.0,18
332.0,201
375.0,142
355.0,293
269.0,215
373.0,251
353.0,202
438.0,77
459.0,55
457.0,43
565.0,15
461.0,68
500.0,33
440.0,62
522.0,26
859.0,11
381.0,73
773.0,44
651.0,78
1193.0,4
959.0,7
855.0,53
1100.0,12
324.0,47
646.0,84
583.0,27
785.0,22
404.0,25
993.0,8
895.0,37
961.0,7
808.0,7
379.0,78
181.0,31
661.0,66
906.0,14
948.0,8
597.0,49
642.0,41
1432.0,4
691.0,190
416.0,74
551.0,10
465.0,27
475.0,84
571.0,6
553.0,6
732.0,35
1075.0,2
448.0,19
367.0,82
1159.0,7
548.0,15
755.0,19
677.0,19
973.0,4
377.0,128
422.0,31
606.0,47
636.0,25
806.0,13
453.0,72
446.0,37
510.0,16
638.0,37
618.0,23
400.0,74
816.0,36
1036.0,47
357.0,169
828.0,4
634.0,22
559.0,11
493.0,33
822.0,11
830.0,12
706.0,72
930.0,6
687.0,77
814.0,33
685.0,53
697.0,22
546.0,15
483.0,41
369.0,53
653.0,33
524.0,26
600.0,83
695.0,21
587.0,23
659.0,41
795.0,14
777.0,14
506.0,18
426.0,23
767.0,24
557.0,36
489.0,10
504.0,36
420.0,51
414.0,77
761.0,8
632.0,32
800.0,13
397.0,128
673.0,50
734.0,21
863.0,16
591.0,13
883.0,6
971.0,10
430.0,10
442.0,42
630.0,73
648.0,58
395.0,93
610.0,89
681.0,170
363.0,67
542.0,19
702.0,95
669.0,43
479.0,55
569.0,8
614.0,24
893.0,17
508.0,19
487.0,16
789.0,15
589.0,13
904.0,14
657.0,27
467.0,14
432.0,53
846.0,20
544.0,18
1069.0,3
481.0,62
655.0,24
444.0,39
753.0,107
567.0,10
612.0,35
759.0,4
473.0,39
287.0,184
267.0,311
224.0,14
32.0,905
36.0,661
34.0,648
91.0,151
14.0,100
114.0,78
434.0,121
436.0,56
387.0,38
251.0,90
228.0,103
330.0,200
12.0,61
6.0,96
497.0,36
540.0,15
455.0,105
520.0,21
536.0,37
518.0,36
477.0,61
495.0,114
516.0,51
581.0,51
563.0,14
538.0,20
577.0,169
514.0,7
534.0,6
471.0,21
314.0,117
491.0,11
285.0,40
2.0,500
1991.0,4
2022.0,2
2038.0,10
408.0,19
2014.0,7
2048.0,4
326.0,40
365.0,42
2046.0,6
2042.0,9
2069.0,4
2057.0,3
1973.0,1
218.0,11
2040.0,3
2030.0,2
1985.0,4
316.0,91
308.0,98
195.0,29
200.0,13
389.0,44
351.0,534
281.0,79
246.0,104
118.0,59
138.0,58
136.0,63
412.0,108
640.0,52
3804.0,1
2026.0,2
451.0,14
2255.0,2
2059.0,8
2085.0,5
712.0,76
693.0,60
714.0,28
620.0,79
820.0,14
842.0,7
1683.0,3
1020.0,11
528.0,10
2004.0,3
1395.0,1
1353.0,4
1032.0,16
1451.0,1
763.0,79
2018.0,9
1818.0,3
1218.0,8
530.0,10
2130.0,6
995.0,7
469.0,9
2071.0,2
1351.0,3
2224.0,3
1638.0,10
579.0,92
585.0,24
602.0,143
708.0,82
595.0,8
561.0,12
371.0,386
526.0,13
418.0,55
834.0,48
626.0,43
1200.0,12
391.0,282
1400.0,4
663.0,35
730.0,25
718.0,12
385.0,36
689.0,164
1697.0,3
393.0,134
159.0,21
604.0,24
1130.0,5
1140.0,9
1167.0,8
1104.0,4
1120.0,4
1128.0,6
593.0,7
1136.0,4
1179.0,17
1132.0,4
1142.0,5
1095.0,4
1161.0,9
1079.0,11
1548.0,13
1551.0,8
1589.0,13
1500.0,2
1214.0,6
757.0,15
3218.0,1
2518.0,2
3618.0,1
2520.0,2
3491.0,2
3208.0,1
3510.0,4
346.0,29
716.0,15
710.0,194
624.0,48
1757.0,3
1769.0,3
975.0,9
1861.0,9
1840.0,1
1938.0,7
1944.0,4
877.0,11
977.0,19
1867.0,11
1759.0,5
1502.0,5
1220.0,5
810.0,19
1465.0,4
826.0,16
797.0,13
573.0,7
955.0,8
1328.0,2
1367.0,6
1342.0,12
1389.0,4
1344.0,19
1375.0,7
1391.0,2
769.0,37
1359.0,4
1377.0,9
1373.0,4
1340.0,8
1336.0,8
1334.0,11
1355.0,9
3410.0,1
1153.0,3
1712.0,7
1195.0,4
1704.0,6
1363.0,4
1155.0,6
3495.0,3
3546.0,1
3346.0,1
3181.0,4
1875.0,12
3385.0,6
3567.0,2
1048.0,5
4044.0,1
2710.0,2
2846.0,3
1012.0,24
887.0,18
2757.0,3
838.0,8
2732.0,2
889.0,8
2730.0,3
865.0,21
2728.0,4
920.0,8
928.0,9
2842.0,6
2687.0,7
989.0,3
2804.0,3
2720.0,2
969.0,4
2726.0,1
2697.0,2
2885.0,2
910.0,13
2689.0,3
1026.0,8
2785.0,2
1612.0,11
