Makespan (s),Workflow Response time (s)
40,41.0
35,36.0
43,44.0
36,37.0
59,60.0
54,55.0
44,45.0
42,43.0
38,39.0
89,90.0
74,75.0
45,46.0
41,42.0
47,48.0
34,35.0
72,73.0
75,76.0
70,71.0
85,86.0
69,70.0
75,76.0
65,66.0
76,77.0
54,55.0
44,45.0
72,73.0
51,52.0
55,56.0
42,43.0
59,60.0
97,98.0
102,103.0
89,90.0
101,102.0
90,91.0
88,89.0
94,95.0
89,90.0
91,92.0
75,76.0
109,110.0
85,86.0
76,77.0
79,80.0
80,81.0
80,81.0
80,81.0
75,76.0
72,73.0
70,71.0
78,79.0
72,73.0
81,82.0
73,74.0
78,79.0
84,85.0
72,73.0
87,88.0
89,90.0
87,88.0
70,71.0
84,85.0
156,157.0
112,113.0
103,104.0
143,144.0
97,98.0
124,125.0
98,99.0
90,91.0
102,103.0
154,155.0
104,105.0
108,109.0
94,95.0
148,149.0
99,100.0
109,110.0
119,120.0
178,179.0
122,123.0
152,153.0
105,106.0
97,98.0
88,89.0
94,95.0
95,98.0
96,99.0
83,84.0
84,85.0
95,96.0
87,88.0
91,94.0
85,86.0
83,84.0
86,87.0
188,189.0
187,188.0
167,168.0
169,170.0
146,147.0
127,128.0
163,166.0
147,150.0
127,130.0
150,154.0
110,111.0
127,128.0
182,183.0
158,159.0
140,142.0
141,143.0
115,117.0
117,121.0
134,138.0
155,159.0
108,109.0
156,157.0
170,171.0
140,143.0
125,128.0
143,147.0
136,140.0
128,132.0
132,137.0
132,137.0
159,164.0
136,142.0
151,157.0
134,141.0
156,161.0
126,131.0
146,153.0
143,150.0
161,168.0
148,155.0
136,145.0
146,157.0
142,154.0
119,124.0
124,129.0
108,113.0
138,143.0
122,129.0
132,139.0
148,155.0
96,97.0
126,133.0
130,137.0
147,154.0
138,147.0
153,165.0
129,136.0
143,150.0
153,160.0
137,146.0
137,147.0
141,148.0
142,150.0
138,148.0
196,200.0
197,198.0
193,198.0
191,197.0
185,192.0
189,196.0
168,178.0
168,180.0
167,179.0
164,176.0
163,177.0
156,170.0
165,173.0
170,178.0
160,170.0
157,167.0
167,179.0
169,182.0
171,185.0
162,176.0
150,164.0
194,195.0
180,188.0
162,170.0
174,184.0
172,182.0
168,178.0
166,179.0
177,190.0
160,173.0
174,187.0
173,181.0
162,170.0
167,175.0
175,185.0
161,172.0
174,185.0
155,166.0
159,172.0
172,186.0
167,181.0
172,180.0
179,190.0
158,169.0
171,185.0
169,183.0
167,181.0
150,165.0
158,174.0
147,163.0
156,172.0
165,181.0
160,178.0
146,160.0
161,176.0
165,180.0
159,175.0
150,165.0
173,188.0
154,169.0
159,177.0
154,173.0
155,176.0
158,177.0
158,177.0
157,172.0
159,175.0
153,174.0
153,174.0
153,169.0
148,165.0
152,170.0
157,175.0
156,176.0
157,181.0
190,201.0
192,206.0
194,202.0
192,206.0
202,219.0
196,211.0
191,208.0
190,210.0
173,194.0
186,207.0
176,198.0
178,200.0
168,190.0
191,216.0
176,190.0
203,219.0
183,199.0
185,202.0
192,211.0
209,230.0
167,189.0
178,203.0
208,233.0
159,184.0
183,202.0
177,197.0
193,214.0
171,193.0
165,188.0
178,201.0
153,178.0
159,184.0
190,217.0
153,180.0
184,201.0
181,198.0
183,200.0
215,234.0
185,205.0
190,210.0
176,196.0
172,194.0
163,189.0
171,197.0
201,218.0
200,219.0
183,203.0
185,205.0
175,197.0
194,216.0
172,194.0
188,212.0
163,187.0
194,220.0
187,214.0
173,201.0
178,207.0
160,186.0
169,195.0
165,193.0
212,241.0
178,211.0
192,225.0
159,187.0
170,198.0
233,261.0
235,256.0
258,282.0
250,274.0
227,251.0
251,277.0
253,277.0
239,265.0
242,270.0
239,269.0
233,254.0
217,239.0
253,277.0
231,253.0
248,272.0
242,269.0
267,300.0
264,297.0
280,313.0
250,283.0
214,247.0
236,270.0
246,281.0
237,271.0
234,268.0
259,290.0
242,275.0
266,300.0
258,292.0
224,257.0
221,256.0
235,269.0
227,262.0
257,285.0
257,285.0
270,305.0
232,268.0
239,275.0
291,325.0
270,304.0
280,314.0
295,328.0
297,332.0
292,327.0
251,288.0
243,279.0
238,274.0
245,281.0
275,311.0
289,325.0
258,293.0
263,298.0
253,288.0
258,296.0
265,300.0
284,319.0
296,332.0
289,327.0
284,322.0
285,323.0
256,294.0
275,313.0
270,308.0
271,310.0
269,308.0
269,308.0
276,314.0
278,316.0
275,311.0
308,346.0
295,333.0
294,333.0
307,346.0
296,335.0
288,327.0
290,329.0
292,331.0
291,330.0
284,323.0
288,327.0
291,330.0
293,332.0
276,314.0
276,315.0
278,320.0
275,317.0
276,318.0
272,314.0
290,329.0
284,323.0
276,315.0
290,329.0
285,327.0
289,331.0
282,324.0
279,322.0
287,332.0
289,334.0
276,321.0
275,320.0
288,335.0
287,334.0
267,306.0
282,322.0
288,331.0
281,324.0
312,356.0
274,319.0
300,345.0
280,326.0
304,350.0
284,330.0
283,330.0
277,324.0
278,325.0
283,331.0
290,338.0
277,325.0
279,327.0
276,324.0
283,331.0
288,337.0
275,323.0
288,337.0
275,314.0
302,342.0
293,333.0
306,346.0
314,360.0
293,339.0
286,333.0
305,352.0
283,330.0
294,341.0
360,406.0
381,428.0
323,363.0
362,408.0
283,331.0
285,333.0
338,386.0
301,349.0
292,341.0
371,420.0
293,342.0
330,380.0
312,362.0
302,352.0
327,377.0
340,390.0
329,379.0
370,425.0
362,417.0
356,411.0
399,447.0
322,370.0
326,374.0
365,414.0
373,423.0
345,395.0
356,411.0
359,414.0
366,421.0
353,408.0
348,403.0
341,396.0
356,411.0
349,406.0
288,336.0
328,377.0
323,372.0
324,373.0
320,370.0
342,393.0
312,363.0
318,369.0
351,402.0
356,411.0
361,416.0
369,424.0
300,355.0
283,331.0
326,374.0
371,423.0
305,357.0
328,380.0
353,408.0
361,416.0
333,388.0
339,394.0
298,353.0
359,415.0
368,423.0
363,418.0
300,348.0
327,376.0
292,341.0
357,412.0
353,408.0
363,421.0
357,418.0
341,397.0
357,418.0
361,417.0
355,413.0
355,414.0
357,418.0
356,417.0
355,411.0
351,400.0
400,449.0
398,450.0
406,461.0
393,449.0
370,429.0
371,432.0
371,433.0
367,430.0
362,412.0
405,461.0
387,442.0
379,435.0
380,440.0
376,436.0
396,456.0
370,432.0
371,433.0
376,438.0
391,453.0
382,445.0
369,432.0
369,429.0
374,435.0
378,440.0
374,436.0
378,441.0
358,422.0
361,425.0
363,427.0
370,434.0
361,425.0
368,433.0
379,444.0
386,443.0
378,435.0
377,438.0
374,435.0
379,441.0
388,450.0
383,445.0
377,440.0
378,442.0
361,425.0
375,439.0
363,427.0
368,432.0
381,446.0
372,441.0
361,433.0
381,438.0
374,435.0
374,437.0
368,431.0
372,435.0
373,437.0
371,436.0
372,437.0
364,429.0
369,434.0
371,441.0
362,428.0
365,431.0
370,441.0
358,424.0
378,444.0
366,436.0
368,438.0
366,438.0
362,432.0
364,436.0
358,430.0
374,435.0
