Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000001,0,3920.0,529
10,00000000-0000-0000-0000-000000000000,0,0.0,500
20,00000000-0000-0000-0000-000000000001,0,3920.0,548
20,00000000-0000-0000-0000-000000000000,0,7840.0,519
30,00000000-0000-0000-0000-000000000001,0,9800.0,580
30,00000000-0000-0000-0000-000000000000,0,11760.0,599
40,00000000-0000-0000-0000-000000000001,0,35280.0,774
40,00000000-0000-0000-0000-000000000000,0,39200.0,781
50,00000000-0000-0000-0000-000000000001,0,92120.0,1281
50,00000000-0000-0000-0000-000000000000,0,101920.0,1370
60,00000000-0000-0000-0000-000000000001,0,111720.0,1998
60,00000000-0000-0000-0000-000000000000,0,84280.0,1853
70,00000000-0000-0000-0000-000000000001,0,121520.0,2008
70,00000000-0000-0000-0000-000000000000,0,109760.0,1861
80,00000000-0000-0000-0000-000000000001,0,115640.0,2017
80,00000000-0000-0000-0000-000000000000,0,109760.0,1859
90,00000000-0000-0000-0000-000000000001,0,117600.0,1955
90,00000000-0000-0000-0000-000000000000,0,119560.0,1989
100,00000000-0000-0000-0000-000000000001,0,101920.0,1985
100,00000000-0000-0000-0000-000000000000,0,123480.0,2030
110,00000000-0000-0000-0000-000000000001,0,99960.0,1735
110,00000000-0000-0000-0000-000000000000,0,119560.0,2033
120,00000000-0000-0000-0000-000000000001,0,99960.0,1940
120,00000000-0000-0000-0000-000000000000,0,109760.0,2019
130,00000000-0000-0000-0000-000000000001,0,105840.0,1819
130,00000000-0000-0000-0000-000000000000,0,125440.0,2022
140,00000000-0000-0000-0000-000000000001,0,119560.0,1949
140,00000000-0000-0000-0000-000000000000,0,103880.0,1918
150,00000000-0000-0000-0000-000000000001,0,115640.0,1995
150,00000000-0000-0000-0000-000000000000,0,111720.0,2005
160,00000000-0000-0000-0000-000000000001,0,113680.0,2014
160,00000000-0000-0000-0000-000000000000,0,111720.0,1922
170,00000000-0000-0000-0000-000000000001,0,99960.0,1842
170,00000000-0000-0000-0000-000000000000,0,115640.0,2027
180,00000000-0000-0000-0000-000000000001,0,121520.0,1934
180,00000000-0000-0000-0000-000000000000,0,99960.0,1980
190,00000000-0000-0000-0000-000000000001,0,117600.0,2020
190,00000000-0000-0000-0000-000000000000,0,98000.0,1607
200,00000000-0000-0000-0000-000000000001,0,109760.0,1952
200,00000000-0000-0000-0000-000000000000,0,119560.0,1959
210,00000000-0000-0000-0000-000000000001,0,113680.0,1897
210,00000000-0000-0000-0000-000000000000,0,125440.0,2025
220,00000000-0000-0000-0000-000000000001,0,111720.0,1994
220,00000000-0000-0000-0000-000000000000,0,113680.0,1999
230,00000000-0000-0000-0000-000000000001,0,96040.0,1901
230,00000000-0000-0000-0000-000000000000,0,115640.0,2025
240,00000000-0000-0000-0000-000000000001,0,115640.0,1882
240,00000000-0000-0000-0000-000000000000,0,121520.0,1989
250,00000000-0000-0000-0000-000000000001,0,115640.0,2008
250,00000000-0000-0000-0000-000000000000,0,105840.0,2001
260,00000000-0000-0000-0000-000000000001,0,111720.0,2015
260,00000000-0000-0000-0000-000000000000,0,99960.0,1893
270,00000000-0000-0000-0000-000000000001,0,115640.0,1944
270,00000000-0000-0000-0000-000000000000,0,119560.0,2008
280,00000000-0000-0000-0000-000000000001,0,119560.0,2036
280,00000000-0000-0000-0000-000000000000,0,96040.0,1945
290,00000000-0000-0000-0000-000000000001,0,105840.0,1967
290,00000000-0000-0000-0000-000000000000,0,123480.0,1947
300,00000000-0000-0000-0000-000000000001,0,82320.0,1679
300,00000000-0000-0000-0000-000000000000,0,113680.0,2016
310,00000000-0000-0000-0000-000000000001,0,121520.0,1938
310,00000000-0000-0000-0000-000000000000,0,113680.0,2013
320,00000000-0000-0000-0000-000000000001,0,117600.0,2024
320,00000000-0000-0000-0000-000000000000,0,121520.0,2014
330,00000000-0000-0000-0000-000000000001,0,121520.0,2010
330,00000000-0000-0000-0000-000000000000,0,117600.0,1905
340,00000000-0000-0000-0000-000000000001,0,111720.0,1973
340,00000000-0000-0000-0000-000000000000,0,121520.0,2028
350,00000000-0000-0000-0000-000000000001,0,117600.0,2013
350,00000000-0000-0000-0000-000000000000,0,125440.0,1973
360,00000000-0000-0000-0000-000000000001,0,84280.0,1813
360,00000000-0000-0000-0000-000000000000,0,115640.0,2006
370,00000000-0000-0000-0000-000000000001,0,72520.0,1558
370,00000000-0000-0000-0000-000000000000,0,123480.0,2037
380,00000000-0000-0000-0000-000000000001,0,123480.0,1752
380,00000000-0000-0000-0000-000000000000,0,115640.0,2006
390,00000000-0000-0000-0000-000000000001,0,121520.0,2029
390,00000000-0000-0000-0000-000000000000,0,98000.0,1858
400,00000000-0000-0000-0000-000000000001,0,123480.0,2019
400,00000000-0000-0000-0000-000000000000,0,76440.0,1658
410,00000000-0000-0000-0000-000000000001,0,121520.0,2021
410,00000000-0000-0000-0000-000000000000,0,86240.0,1441
420,00000000-0000-0000-0000-000000000001,0,123480.0,2019
420,00000000-0000-0000-0000-000000000000,0,111720.0,1810
430,00000000-0000-0000-0000-000000000001,0,115640.0,2012
430,00000000-0000-0000-0000-000000000000,0,98000.0,1847
440,00000000-0000-0000-0000-000000000001,0,123480.0,2036
440,00000000-0000-0000-0000-000000000000,0,98000.0,1706
450,00000000-0000-0000-0000-000000000001,0,113680.0,2016
450,00000000-0000-0000-0000-000000000000,0,99960.0,1805
460,00000000-0000-0000-0000-000000000001,0,115640.0,2010
460,00000000-0000-0000-0000-000000000000,0,107800.0,1857
470,00000000-0000-0000-0000-000000000001,0,115640.0,2028
470,00000000-0000-0000-0000-000000000000,0,92120.0,1847
480,00000000-0000-0000-0000-000000000001,0,117600.0,2005
480,00000000-0000-0000-0000-000000000000,0,119560.0,1855
490,00000000-0000-0000-0000-000000000001,0,115640.0,2000
490,00000000-0000-0000-0000-000000000000,0,117600.0,2010
500,00000000-0000-0000-0000-000000000001,0,107800.0,1872
500,00000000-0000-0000-0000-000000000000,0,115640.0,2024
510,00000000-0000-0000-0000-000000000001,0,109760.0,1960
510,00000000-0000-0000-0000-000000000000,0,123480.0,2039
520,00000000-0000-0000-0000-000000000001,0,123480.0,1918
520,00000000-0000-0000-0000-000000000000,0,98000.0,1960
530,00000000-0000-0000-0000-000000000001,0,105840.0,1989
