Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000001,0,0.0,500
10,00000000-0000-0000-0000-000000000000,0,4320.0,534
20,00000000-0000-0000-0000-000000000001,0,8640.0,537
20,00000000-0000-0000-0000-000000000000,0,2160.0,542
30,00000000-0000-0000-0000-000000000001,0,17280.0,599
30,00000000-0000-0000-0000-000000000000,0,6480.0,568
40,00000000-0000-0000-0000-000000000001,0,45360.0,902
40,00000000-0000-0000-0000-000000000000,0,38880.0,710
50,00000000-0000-0000-0000-000000000001,0,105840.0,1445
50,00000000-0000-0000-0000-000000000000,0,116640.0,1353
60,00000000-0000-0000-0000-000000000001,0,90720.0,1768
60,00000000-0000-0000-0000-000000000000,0,116640.0,2033
70,00000000-0000-0000-0000-000000000001,0,103680.0,1906
70,00000000-0000-0000-0000-000000000000,0,114480.0,2024
80,00000000-0000-0000-0000-000000000001,0,114480.0,1925
80,00000000-0000-0000-0000-000000000000,0,90720.0,2000
90,00000000-0000-0000-0000-000000000001,0,112320.0,2008
90,00000000-0000-0000-0000-000000000000,0,116640.0,1957
100,00000000-0000-0000-0000-000000000001,0,112320.0,2038
100,00000000-0000-0000-0000-000000000000,0,82080.0,1884
110,00000000-0000-0000-0000-000000000001,0,114480.0,2039
110,00000000-0000-0000-0000-000000000000,0,99360.0,1761
120,00000000-0000-0000-0000-000000000001,0,114480.0,2033
120,00000000-0000-0000-0000-000000000000,0,105840.0,1961
130,00000000-0000-0000-0000-000000000001,0,86400.0,1916
130,00000000-0000-0000-0000-000000000000,0,112320.0,2026
140,00000000-0000-0000-0000-000000000001,0,88560.0,1553
140,00000000-0000-0000-0000-000000000000,0,112320.0,2022
150,00000000-0000-0000-0000-000000000001,0,84240.0,1717
150,00000000-0000-0000-0000-000000000000,0,116640.0,2049
160,00000000-0000-0000-0000-000000000001,0,108000.0,1749
160,00000000-0000-0000-0000-000000000000,0,114480.0,2030
170,00000000-0000-0000-0000-000000000001,0,112320.0,2051
170,00000000-0000-0000-0000-000000000000,0,114480.0,1926
180,00000000-0000-0000-0000-000000000001,0,103680.0,1761
180,00000000-0000-0000-0000-000000000000,0,116640.0,2039
190,00000000-0000-0000-0000-000000000001,0,114480.0,2008
190,00000000-0000-0000-0000-000000000000,0,105840.0,1986
200,00000000-0000-0000-0000-000000000001,0,112320.0,2031
200,00000000-0000-0000-0000-000000000000,0,82080.0,1733
210,00000000-0000-0000-0000-000000000001,0,105840.0,2030
210,00000000-0000-0000-0000-000000000000,0,97200.0,1790
220,00000000-0000-0000-0000-000000000001,0,116640.0,2039
220,00000000-0000-0000-0000-000000000000,0,79920.0,1819
230,00000000-0000-0000-0000-000000000001,0,112320.0,2035
230,00000000-0000-0000-0000-000000000000,0,82080.0,1534
240,00000000-0000-0000-0000-000000000001,0,118800.0,2015
240,00000000-0000-0000-0000-000000000000,0,114480.0,1817
250,00000000-0000-0000-0000-000000000001,0,103680.0,1974
250,00000000-0000-0000-0000-000000000000,0,105840.0,2031
260,00000000-0000-0000-0000-000000000001,0,114480.0,2024
260,00000000-0000-0000-0000-000000000000,0,105840.0,1959
270,00000000-0000-0000-0000-000000000001,0,114480.0,2031
270,00000000-0000-0000-0000-000000000000,0,108000.0,1926
280,00000000-0000-0000-0000-000000000001,0,110160.0,2021
280,00000000-0000-0000-0000-000000000000,0,114480.0,1811
290,00000000-0000-0000-0000-000000000001,0,95040.0,1744
290,00000000-0000-0000-0000-000000000000,0,105840.0,2041
300,00000000-0000-0000-0000-000000000001,0,101520.0,1862
300,00000000-0000-0000-0000-000000000000,0,116640.0,2029
310,00000000-0000-0000-0000-000000000001,0,110160.0,2054
310,00000000-0000-0000-0000-000000000000,0,92880.0,1832
320,00000000-0000-0000-0000-000000000001,0,105840.0,1974
320,00000000-0000-0000-0000-000000000000,0,118800.0,1904
330,00000000-0000-0000-0000-000000000001,0,116640.0,1965
330,00000000-0000-0000-0000-000000000000,0,112320.0,2033
340,00000000-0000-0000-0000-000000000001,0,101520.0,1884
340,00000000-0000-0000-0000-000000000000,0,108000.0,2030
350,00000000-0000-0000-0000-000000000001,0,99360.0,1911
350,00000000-0000-0000-0000-000000000000,0,114480.0,2048
360,00000000-0000-0000-0000-000000000001,0,82080.0,1684
360,00000000-0000-0000-0000-000000000000,0,114480.0,2029
370,00000000-0000-0000-0000-000000000001,0,101520.0,1718
370,00000000-0000-0000-0000-000000000000,0,112320.0,2038
380,00000000-0000-0000-0000-000000000001,0,97200.0,1844
380,00000000-0000-0000-0000-000000000000,0,116640.0,2046
390,00000000-0000-0000-0000-000000000001,0,97200.0,1904
390,00000000-0000-0000-0000-000000000000,0,114480.0,2034
400,00000000-0000-0000-0000-000000000001,0,116640.0,1783
400,00000000-0000-0000-0000-000000000000,0,114480.0,2038
410,00000000-0000-0000-0000-000000000001,0,92880.0,1898
410,00000000-0000-0000-0000-000000000000,0,112320.0,2028
420,00000000-0000-0000-0000-000000000001,0,116640.0,1894
420,00000000-0000-0000-0000-000000000000,0,114480.0,2033
430,00000000-0000-0000-0000-000000000001,0,90720.0,1852
430,00000000-0000-0000-0000-000000000000,0,108000.0,2029
440,00000000-0000-0000-0000-000000000001,0,90720.0,1743
440,00000000-0000-0000-0000-000000000000,0,105840.0,2035
450,00000000-0000-0000-0000-000000000001,0,110160.0,1979
450,00000000-0000-0000-0000-000000000000,0,114480.0,2012
460,00000000-0000-0000-0000-000000000001,0,110160.0,1919
460,00000000-0000-0000-0000-000000000000,0,101520.0,2014
470,00000000-0000-0000-0000-000000000001,0,103680.0,2017
470,00000000-0000-0000-0000-000000000000,0,103680.0,1960
