Makespan (s),Workflow Response time (s)
33157,33158.0
33154,33158.0
32337,32458.0
28665,35307.0
28620,35371.0
27833,34611.0
28583,35371.0
28526,35316.0
28564,35388.0
27525,34434.0
28395,35328.0
28082,35018.0
27959,34929.0
33137,33282.0
27625,34613.0
27144,34160.0
28307,35379.0
27677,34869.0
27208,34432.0
27608,34868.0
28071,35352.0
28049,35482.0
27414,34878.0
27895,35376.0
35224,35373.0
27377,34871.0
27598,35110.0
27330,34855.0
27824,35374.0
27200,34777.0
27501,35105.0
27530,35387.0
28028,35904.0
26935,35051.0
26490,35371.0
31614,31766.0
25937,34899.0
25893,34886.0
26009,35026.0
26219,35373.0
26152,35375.0
26751,36013.0
26103,35392.0
26842,36260.0
26374,35806.0
25424,34860.0
33194,33351.0
25581,35035.0
25396,34862.0
25386,34862.0
25536,35026.0
25123,34904.0
24969,34873.0
25182,35134.0
24789,34856.0
24984,35127.0
25222,35374.0
35201,35364.0
24833,35012.0
25159,35375.0
24781,35027.0
25053,35378.0
24977,35375.0
25675,36111.0
25641,36095.0
24526,35006.0
24361,34855.0
24613,35124.0
30519,30684.0
23988,34876.0
24190,35131.0
23559,35376.0
23220,35062.0
22989,34902.0
22882,34891.0
23332,35375.0
22924,35006.0
22892,35001.0
22967,35104.0
35189,35366.0
22765,35374.0
22445,35057.0
23503,36282.0
22534,35376.0
23267,36128.0
22353,35233.0
22118,35038.0
22093,35035.0
21962,35108.0
22885,36111.0
35224,35402.0
21964,35235.0
23008,36396.0
21714,35139.0
21829,35378.0
21557,35133.0
21908,35512.0
22700,36537.0
21280,35131.0
21149,35026.0
21491,35395.0
32935,33152.0
21384,35376.0
21235,35238.0
22448,36468.0
21353,35376.0
21318,35376.0
21293,35377.0
22407,36494.0
20910,35021.0
21112,35233.0
21107,35379.0
33150,33155.0
32999,33232.0
35034,35369.0
32589,32933.0
31337,31760.0
33394,33853.0
32061,33757.0
33104,35368.0
33060,35369.0
31513,33861.0
30465,33154.0
32915,32928.0
31063,33894.0
32510,35369.0
30268,33182.0
32435,35375.0
31628,34614.0
32368,35370.0
30154,33211.0
31829,34919.0
31507,34915.0
30436,33856.0
34858,34878.0
31340,34778.0
31364,34919.0
30768,34361.0
30646,34256.0
31740,35369.0
31718,35370.0
31691,35370.0
31209,34915.0
31223,34937.0
29529,33272.0
35303,35360.0
29911,33668.0
29760,33524.0
30838,34616.0
31580,35370.0
31109,34926.0
31105,34940.0
30674,34531.0
30104,33996.0
30332,34230.0
31469,35376.0
34821,34879.0
30908,34861.0
31016,34988.0
29220,33209.0
31004,35023.0
31015,35049.0
30863,35071.0
29515,33754.0
30424,34672.0
30166,34434.0
29636,33910.0
32333,32421.0
30811,35094.0
30803,35099.0
29747,34067.0
30007,34364.0
30733,35099.0
30937,35377.0
30389,34860.0
30868,35370.0
30081,34664.0
29197,33864.0
35278,35371.0
30292,35114.0
29864,34686.0
30243,35114.0
29913,34861.0
29397,34562.0
29927,35130.0
30093,35371.0
30080,35373.0
29781,35121.0
29996,35371.0
34792,34888.0
29969,35373.0
29426,34865.0
28980,35142.0
29300,35465.0
28828,35246.0
28851,35278.0
28375,34868.0
28356,34857.0
28266,34857.0
28243,34855.0
