Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,42,82320.0,1265
10,00000000-0000-0000-0000-000000000001,42,82320.0,1411
20,00000000-0000-0000-0000-000000000000,55,107800.0,1856
20,00000000-0000-0000-0000-000000000001,56,109760.0,1804
30,00000000-0000-0000-0000-000000000000,58,113680.0,1939
30,00000000-0000-0000-0000-000000000001,64,125440.0,2079
40,00000000-0000-0000-0000-000000000000,58,113680.0,1950
40,00000000-0000-0000-0000-000000000001,64,125440.0,2100
50,00000000-0000-0000-0000-000000000000,58,113680.0,1949
50,00000000-0000-0000-0000-000000000001,64,125440.0,2100
60,00000000-0000-0000-0000-000000000000,61,119560.0,1983
60,00000000-0000-0000-0000-000000000001,62,121520.0,2053
70,00000000-0000-0000-0000-000000000000,63,123480.0,2083
70,00000000-0000-0000-0000-000000000001,64,125440.0,2089
80,00000000-0000-0000-0000-000000000000,62,121520.0,2044
80,00000000-0000-0000-0000-000000000001,64,125440.0,2096
90,00000000-0000-0000-0000-000000000000,54,105840.0,1990
90,00000000-0000-0000-0000-000000000001,60,117600.0,2062
100,00000000-0000-0000-0000-000000000000,55,107800.0,1829
100,00000000-0000-0000-0000-000000000001,64,125440.0,2066
110,00000000-0000-0000-0000-000000000000,54,105840.0,1828
110,00000000-0000-0000-0000-000000000001,62,121520.0,2090
120,00000000-0000-0000-0000-000000000000,52,101920.0,1786
120,00000000-0000-0000-0000-000000000001,61,119560.0,2080
130,00000000-0000-0000-0000-000000000000,60,117600.0,1899
130,00000000-0000-0000-0000-000000000001,58,113680.0,2013
140,00000000-0000-0000-0000-000000000000,55,107800.0,1861
140,00000000-0000-0000-0000-000000000001,61,119560.0,2026
150,00000000-0000-0000-0000-000000000000,54,105840.0,1912
150,00000000-0000-0000-0000-000000000001,63,123480.0,2005
160,00000000-0000-0000-0000-000000000000,53,103880.0,1870
160,00000000-0000-0000-0000-000000000001,61,119560.0,2024
170,00000000-0000-0000-0000-000000000000,59,115640.0,1830
170,00000000-0000-0000-0000-000000000001,64,125440.0,2055
180,00000000-0000-0000-0000-000000000000,64,125440.0,1908
180,00000000-0000-0000-0000-000000000001,62,121520.0,2073
190,00000000-0000-0000-0000-000000000000,63,123480.0,2098
190,00000000-0000-0000-0000-000000000001,59,115640.0,2033
200,00000000-0000-0000-0000-000000000000,64,125440.0,2095
200,00000000-0000-0000-0000-000000000001,58,113680.0,1927
210,00000000-0000-0000-0000-000000000000,62,121520.0,2045
210,00000000-0000-0000-0000-000000000001,64,125440.0,1993
220,00000000-0000-0000-0000-000000000000,61,119560.0,2046
220,00000000-0000-0000-0000-000000000001,63,123480.0,2077
230,00000000-0000-0000-0000-000000000000,62,121520.0,2054
230,00000000-0000-0000-0000-000000000001,63,123480.0,2066
240,00000000-0000-0000-0000-000000000000,63,123480.0,1979
240,00000000-0000-0000-0000-000000000001,63,123480.0,1969
250,00000000-0000-0000-0000-000000000000,61,119560.0,2008
250,00000000-0000-0000-0000-000000000001,62,121520.0,1993
260,00000000-0000-0000-0000-000000000000,58,113680.0,1980
260,00000000-0000-0000-0000-000000000001,61,119560.0,2030
270,00000000-0000-0000-0000-000000000000,63,123480.0,1997
270,00000000-0000-0000-0000-000000000001,63,123480.0,2069
280,00000000-0000-0000-0000-000000000000,62,121520.0,2062
280,00000000-0000-0000-0000-000000000001,63,123480.0,2085
290,00000000-0000-0000-0000-000000000000,62,121520.0,2076
290,00000000-0000-0000-0000-000000000001,62,121520.0,2062
300,00000000-0000-0000-0000-000000000000,62,121520.0,2062
300,00000000-0000-0000-0000-000000000001,64,125440.0,2069
310,00000000-0000-0000-0000-000000000000,64,125440.0,2027
310,00000000-0000-0000-0000-000000000001,63,123480.0,2062
320,00000000-0000-0000-0000-000000000000,63,123480.0,2003
320,00000000-0000-0000-0000-000000000001,62,121520.0,2038
330,00000000-0000-0000-0000-000000000000,62,121520.0,2045
330,00000000-0000-0000-0000-000000000001,63,123480.0,2020
340,00000000-0000-0000-0000-000000000000,64,125440.0,2090
340,00000000-0000-0000-0000-000000000001,64,125440.0,2037
350,00000000-0000-0000-0000-000000000000,63,123480.0,2089
350,00000000-0000-0000-0000-000000000001,64,125440.0,2068
360,00000000-0000-0000-0000-000000000000,63,123480.0,2075
360,00000000-0000-0000-0000-000000000001,64,125440.0,2100
370,00000000-0000-0000-0000-000000000000,63,123480.0,2076
370,00000000-0000-0000-0000-000000000001,61,119560.0,2014
380,00000000-0000-0000-0000-000000000000,63,123480.0,2085
380,00000000-0000-0000-0000-000000000001,64,125440.0,2040
390,00000000-0000-0000-0000-000000000000,63,123480.0,2075
390,00000000-0000-0000-0000-000000000001,58,113680.0,1996
400,00000000-0000-0000-0000-000000000000,64,125440.0,2092
400,00000000-0000-0000-0000-000000000001,60,117600.0,1984
410,00000000-0000-0000-0000-000000000000,64,125440.0,2093
410,00000000-0000-0000-0000-000000000001,59,115640.0,1998
420,00000000-0000-0000-0000-000000000000,64,125440.0,2100
420,00000000-0000-0000-0000-000000000001,58,113680.0,1961
430,00000000-0000-0000-0000-000000000000,64,125440.0,2092
430,00000000-0000-0000-0000-000000000001,61,119560.0,1952
440,00000000-0000-0000-0000-000000000000,64,125440.0,2097
440,00000000-0000-0000-0000-000000000001,57,111720.0,1930
450,00000000-0000-0000-0000-000000000000,64,125440.0,2095
450,00000000-0000-0000-0000-000000000001,57,111720.0,1925
460,00000000-0000-0000-0000-000000000000,63,123480.0,2082
460,00000000-0000-0000-0000-000000000001,62,121520.0,1943
470,00000000-0000-0000-0000-000000000000,64,125440.0,2097
470,00000000-0000-0000-0000-000000000001,57,111720.0,1943
480,00000000-0000-0000-0000-000000000000,64,125440.0,2096
480,00000000-0000-0000-0000-000000000001,56,109760.0,1920
490,00000000-0000-0000-0000-000000000000,64,125440.0,2095
490,00000000-0000-0000-0000-000000000001,56,109760.0,1905
500,00000000-0000-0000-0000-000000000000,64,125440.0,2097
500,00000000-0000-0000-0000-000000000001,56,109760.0,1900
510,00000000-0000-0000-0000-000000000000,64,125440.0,2100
510,00000000-0000-0000-0000-000000000001,56,109760.0,1900
520,00000000-0000-0000-0000-000000000000,64,125440.0,2100
520,00000000-0000-0000-0000-000000000001,56,109760.0,1900
530,00000000-0000-0000-0000-000000000000,64,125440.0,2094
530,00000000-0000-0000-0000-000000000001,56,109760.0,1900
540,00000000-0000-0000-0000-000000000000,64,125440.0,2100
540,00000000-0000-0000-0000-000000000001,55,107800.0,1885
550,00000000-0000-0000-0000-000000000000,64,125440.0,2100
550,00000000-0000-0000-0000-000000000001,55,107800.0,1875
560,00000000-0000-0000-0000-000000000000,64,125440.0,2100
560,00000000-0000-0000-0000-000000000001,55,107800.0,1875
570,00000000-0000-0000-0000-000000000000,64,125440.0,2100
570,00000000-0000-0000-0000-000000000001,55,107800.0,1875
580,00000000-0000-0000-0000-000000000000,64,125440.0,2100
580,00000000-0000-0000-0000-000000000001,55,107800.0,1875
590,00000000-0000-0000-0000-000000000000,64,125440.0,2097
590,00000000-0000-0000-0000-000000000001,55,107800.0,1875
600,00000000-0000-0000-0000-000000000000,64,125440.0,2095
600,00000000-0000-0000-0000-000000000001,56,109760.0,1884
610,00000000-0000-0000-0000-000000000000,64,125440.0,2092
610,00000000-0000-0000-0000-000000000001,56,109760.0,1900
620,00000000-0000-0000-0000-000000000000,63,123480.0,2090
620,00000000-0000-0000-0000-000000000001,56,109760.0,1900
630,00000000-0000-0000-0000-000000000000,63,123480.0,2090
630,00000000-0000-0000-0000-000000000001,56,109760.0,1905
640,00000000-0000-0000-0000-000000000000,63,123480.0,2090
640,00000000-0000-0000-0000-000000000001,57,111720.0,1922
650,00000000-0000-0000-0000-000000000000,64,125440.0,2092
650,00000000-0000-0000-0000-000000000001,62,121520.0,1972
660,00000000-0000-0000-0000-000000000000,64,125440.0,2100
660,00000000-0000-0000-0000-000000000001,62,121520.0,2050
670,00000000-0000-0000-0000-000000000000,64,125440.0,2100
670,00000000-0000-0000-0000-000000000001,62,121520.0,2050
680,00000000-0000-0000-0000-000000000000,64,125440.0,2100
680,00000000-0000-0000-0000-000000000001,62,121520.0,2050
690,00000000-0000-0000-0000-000000000000,64,125440.0,2100
690,00000000-0000-0000-0000-000000000001,62,121520.0,2050
700,00000000-0000-0000-0000-000000000000,64,125440.0,2100
700,00000000-0000-0000-0000-000000000001,61,119560.0,2047
710,00000000-0000-0000-0000-000000000000,64,125440.0,2100
710,00000000-0000-0000-0000-000000000001,61,119560.0,2025
720,00000000-0000-0000-0000-000000000000,64,125440.0,2098
720,00000000-0000-0000-0000-000000000001,60,117600.0,2002
730,00000000-0000-0000-0000-000000000000,64,125440.0,2095
730,00000000-0000-0000-0000-000000000001,60,117600.0,2010
740,00000000-0000-0000-0000-000000000000,64,125440.0,2100
740,00000000-0000-0000-0000-000000000001,60,117600.0,2000
750,00000000-0000-0000-0000-000000000000,64,125440.0,2100
750,00000000-0000-0000-0000-000000000001,60,117600.0,2000
760,00000000-0000-0000-0000-000000000000,64,125440.0,2100
760,00000000-0000-0000-0000-000000000001,59,115640.0,1975
770,00000000-0000-0000-0000-000000000000,64,125440.0,2100
770,00000000-0000-0000-0000-000000000001,59,115640.0,1975
780,00000000-0000-0000-0000-000000000000,64,125440.0,2100
780,00000000-0000-0000-0000-000000000001,59,115640.0,1975
790,00000000-0000-0000-0000-000000000000,64,125440.0,2100
790,00000000-0000-0000-0000-000000000001,59,115640.0,1975
800,00000000-0000-0000-0000-000000000000,64,125440.0,2100
800,00000000-0000-0000-0000-000000000001,59,115640.0,1975
810,00000000-0000-0000-0000-000000000000,64,125440.0,2100
810,00000000-0000-0000-0000-000000000001,59,115640.0,1975
820,00000000-0000-0000-0000-000000000000,64,125440.0,2100
820,00000000-0000-0000-0000-000000000001,58,113680.0,1960
830,00000000-0000-0000-0000-000000000000,64,125440.0,2100
830,00000000-0000-0000-0000-000000000001,58,113680.0,1950
840,00000000-0000-0000-0000-000000000000,64,125440.0,2100
840,00000000-0000-0000-0000-000000000001,58,113680.0,1950
850,00000000-0000-0000-0000-000000000000,64,125440.0,2100
850,00000000-0000-0000-0000-000000000001,58,113680.0,1950
860,00000000-0000-0000-0000-000000000000,64,125440.0,2100
860,00000000-0000-0000-0000-000000000001,58,113680.0,1950
870,00000000-0000-0000-0000-000000000000,64,125440.0,2100
870,00000000-0000-0000-0000-000000000001,58,113680.0,1950
880,00000000-0000-0000-0000-000000000000,64,125440.0,2100
880,00000000-0000-0000-0000-000000000001,58,113680.0,1950
890,00000000-0000-0000-0000-000000000000,64,125440.0,2100
890,00000000-0000-0000-0000-000000000001,58,113680.0,1950
900,00000000-0000-0000-0000-000000000000,64,125440.0,2100
900,00000000-0000-0000-0000-000000000001,58,113680.0,1950
910,00000000-0000-0000-0000-000000000000,64,125440.0,2100
910,00000000-0000-0000-0000-000000000001,58,113680.0,1950
920,00000000-0000-0000-0000-000000000000,64,125440.0,2100
920,00000000-0000-0000-0000-000000000001,58,113680.0,1950
930,00000000-0000-0000-0000-000000000000,64,125440.0,2100
930,00000000-0000-0000-0000-000000000001,58,113680.0,1950
940,00000000-0000-0000-0000-000000000000,64,125440.0,2100
940,00000000-0000-0000-0000-000000000001,58,113680.0,1950
950,00000000-0000-0000-0000-000000000000,64,125440.0,2100
950,00000000-0000-0000-0000-000000000001,58,113680.0,1950
960,00000000-0000-0000-0000-000000000000,64,125440.0,2100
960,00000000-0000-0000-0000-000000000001,58,113680.0,1950
970,00000000-0000-0000-0000-000000000000,64,125440.0,2100
970,00000000-0000-0000-0000-000000000001,58,113680.0,1950
980,00000000-0000-0000-0000-000000000000,64,125440.0,2100
980,00000000-0000-0000-0000-000000000001,58,113680.0,1950
990,00000000-0000-0000-0000-000000000000,64,125440.0,2100
990,00000000-0000-0000-0000-000000000001,58,113680.0,1950
1000,00000000-0000-0000-0000-000000000000,64,125440.0,2100
1000,00000000-0000-0000-0000-000000000001,58,113680.0,1950
1010,00000000-0000-0000-0000-000000000000,64,125440.0,2100
1010,00000000-0000-0000-0000-000000000001,58,113680.0,1950
1020,00000000-0000-0000-0000-000000000000,64,125440.0,2100
1020,00000000-0000-0000-0000-000000000001,58,113680.0,1950
