Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
600,00000000-0000-0000-0000-000000000000,1,1960.0,31725
600,00000000-0000-0000-0000-000000000001,1,1960.0,31495
1200,00000000-0000-0000-0000-000000000000,1,1960.0,31738
1200,00000000-0000-0000-0000-000000000001,1,1960.0,31696
1800,00000000-0000-0000-0000-000000000000,1,1960.0,31489
1800,00000000-0000-0000-0000-000000000001,0,0.0,32860
2400,00000000-0000-0000-0000-000000000000,1,1960.0,31827
2400,00000000-0000-0000-0000-000000000001,1,1960.0,31490
3000,00000000-0000-0000-0000-000000000000,1,1960.0,31480
3000,00000000-0000-0000-0000-000000000001,1,1960.0,31497
3600,00000000-0000-0000-0000-000000000000,1,1960.0,31500
3600,00000000-0000-0000-0000-000000000001,1,1960.0,31495
4200,00000000-0000-0000-0000-000000000000,1,1960.0,31500
4200,00000000-0000-0000-0000-000000000001,1,1960.0,31500
4800,00000000-0000-0000-0000-000000000000,1,1960.0,31500
4800,00000000-0000-0000-0000-000000000001,1,1960.0,31499
5400,00000000-0000-0000-0000-000000000000,1,1960.0,31500
5400,00000000-0000-0000-0000-000000000001,1,1960.0,31500
6000,00000000-0000-0000-0000-000000000000,1,1960.0,31500
6000,00000000-0000-0000-0000-000000000001,1,1960.0,31500
6600,00000000-0000-0000-0000-000000000000,1,1960.0,31500
6600,00000000-0000-0000-0000-000000000001,1,1960.0,31500
7200,00000000-0000-0000-0000-000000000000,1,1960.0,31500
7200,00000000-0000-0000-0000-000000000001,1,1960.0,31500
7800,00000000-0000-0000-0000-000000000000,1,1960.0,31500
7800,00000000-0000-0000-0000-000000000001,1,1960.0,31495
8400,00000000-0000-0000-0000-000000000000,1,1960.0,31500
8400,00000000-0000-0000-0000-000000000001,1,1960.0,31500
9000,00000000-0000-0000-0000-000000000000,1,1960.0,31500
9000,00000000-0000-0000-0000-000000000001,1,1960.0,31500
9600,00000000-0000-0000-0000-000000000000,1,1960.0,31500
9600,00000000-0000-0000-0000-000000000001,1,1960.0,31498
10200,00000000-0000-0000-0000-000000000000,1,1960.0,31500
10200,00000000-0000-0000-0000-000000000001,1,1960.0,31499
10800,00000000-0000-0000-0000-000000000000,1,1960.0,31500
10800,00000000-0000-0000-0000-000000000001,1,1960.0,31500
11400,00000000-0000-0000-0000-000000000000,1,1960.0,31510
11400,00000000-0000-0000-0000-000000000001,1,1960.0,31500
12000,00000000-0000-0000-0000-000000000000,1,1960.0,31527
12000,00000000-0000-0000-0000-000000000001,1,1960.0,31500
12600,00000000-0000-0000-0000-000000000000,1,1960.0,31891
12600,00000000-0000-0000-0000-000000000001,1,1960.0,31500
13200,00000000-0000-0000-0000-000000000000,1,1960.0,31500
13200,00000000-0000-0000-0000-000000000001,1,1960.0,31500
13800,00000000-0000-0000-0000-000000000000,1,1960.0,31500
13800,00000000-0000-0000-0000-000000000001,1,1960.0,31500
14400,00000000-0000-0000-0000-000000000000,1,1960.0,31500
14400,00000000-0000-0000-0000-000000000001,1,1960.0,31500
15000,00000000-0000-0000-0000-000000000000,1,1960.0,31500
15000,00000000-0000-0000-0000-000000000001,1,1960.0,31500
15600,00000000-0000-0000-0000-000000000000,1,1960.0,31500
15600,00000000-0000-0000-0000-000000000001,1,1960.0,31500
16200,00000000-0000-0000-0000-000000000000,1,1960.0,31499
16200,00000000-0000-0000-0000-000000000001,1,1960.0,31500
16800,00000000-0000-0000-0000-000000000000,1,1960.0,31500
16800,00000000-0000-0000-0000-000000000001,1,1960.0,31500
17400,00000000-0000-0000-0000-000000000000,1,1960.0,31498
17400,00000000-0000-0000-0000-000000000001,1,1960.0,31500
18000,00000000-0000-0000-0000-000000000000,1,1960.0,31499
18000,00000000-0000-0000-0000-000000000001,1,1960.0,31500
18600,00000000-0000-0000-0000-000000000000,1,1960.0,31492
18600,00000000-0000-0000-0000-000000000001,1,1960.0,31500
19200,00000000-0000-0000-0000-000000000000,2,3920.0,32310
19200,00000000-0000-0000-0000-000000000001,1,1960.0,31500
19800,00000000-0000-0000-0000-000000000000,2,3920.0,32671
19800,00000000-0000-0000-0000-000000000001,1,1960.0,31500
20400,00000000-0000-0000-0000-000000000000,1,1960.0,32138
20400,00000000-0000-0000-0000-000000000001,1,1960.0,31500
21000,00000000-0000-0000-0000-000000000000,2,3920.0,32821
21000,00000000-0000-0000-0000-000000000001,1,1960.0,31500
21600,00000000-0000-0000-0000-000000000000,1,1960.0,32104
21600,00000000-0000-0000-0000-000000000001,1,1960.0,31500
22200,00000000-0000-0000-0000-000000000000,1,1960.0,31490
22200,00000000-0000-0000-0000-000000000001,1,1960.0,31500
22800,00000000-0000-0000-0000-000000000000,2,3920.0,32637
22800,00000000-0000-0000-0000-000000000001,1,1960.0,31500
23400,00000000-0000-0000-0000-000000000000,1,1960.0,33017
23400,00000000-0000-0000-0000-000000000001,1,1960.0,31500
24000,00000000-0000-0000-0000-000000000000,1,1960.0,31660
24000,00000000-0000-0000-0000-000000000001,1,1960.0,31500
24600,00000000-0000-0000-0000-000000000000,1,1960.0,31499
24600,00000000-0000-0000-0000-000000000001,1,1960.0,31521
25200,00000000-0000-0000-0000-000000000000,1,1960.0,31470
25200,00000000-0000-0000-0000-000000000001,1,1960.0,31500
25800,00000000-0000-0000-0000-000000000000,1,1960.0,32909
25800,00000000-0000-0000-0000-000000000001,1,1960.0,31500
26400,00000000-0000-0000-0000-000000000000,1,1960.0,31500
26400,00000000-0000-0000-0000-000000000001,1,1960.0,31500
27000,00000000-0000-0000-0000-000000000000,1,1960.0,31500
27000,00000000-0000-0000-0000-000000000001,1,1960.0,31500
27600,00000000-0000-0000-0000-000000000000,1,1960.0,31493
27600,00000000-0000-0000-0000-000000000001,1,1960.0,31500
28200,00000000-0000-0000-0000-000000000000,1,1960.0,31490
28200,00000000-0000-0000-0000-000000000001,1,1960.0,31500
28800,00000000-0000-0000-0000-000000000000,1,1960.0,31500
28800,00000000-0000-0000-0000-000000000001,1,1960.0,31500
29400,00000000-0000-0000-0000-000000000000,1,1960.0,31500
29400,00000000-0000-0000-0000-000000000001,1,1960.0,31500
30000,00000000-0000-0000-0000-000000000000,1,1960.0,31500
30000,00000000-0000-0000-0000-000000000001,1,1960.0,31500
30600,00000000-0000-0000-0000-000000000000,1,1960.0,31500
30600,00000000-0000-0000-0000-000000000001,1,1960.0,31482
31200,00000000-0000-0000-0000-000000000000,1,1960.0,31500
31200,00000000-0000-0000-0000-000000000001,1,1960.0,31500
31800,00000000-0000-0000-0000-000000000000,1,1960.0,31500
31800,00000000-0000-0000-0000-000000000001,1,1960.0,31500
32400,00000000-0000-0000-0000-000000000000,1,1960.0,31500
32400,00000000-0000-0000-0000-000000000001,1,1960.0,31498
33000,00000000-0000-0000-0000-000000000000,1,1960.0,31500
33000,00000000-0000-0000-0000-000000000001,1,1960.0,31500
33600,00000000-0000-0000-0000-000000000000,1,1960.0,31500
33600,00000000-0000-0000-0000-000000000001,1,1960.0,31500
