Makespan (s),Workflow Response time (s)
83,15560.0
83,16185.0
83,15559.0
83,15558.0
83,15533.0
83,15644.0
83,15659.0
3,4.0
83,15564.0
83,15596.0
83,15617.0
81,15414.0
3,4.0
3,4.0
3,4.0
3,4.0
83,15512.0
40,17367.0
20,16806.0
20,16407.0
40,15997.0
20,15575.0
20,16247.0
20,16220.0
20,16059.0
20,17349.0
40,16038.0
41,16226.0
41,16101.0
61,15476.0
101,16533.0
61,15721.0
61,15992.0
61,15956.0
61,15725.0
61,16229.0
61,15658.0
61,15997.0
61,16150.0
414,21096.0
206,17784.0
226,21076.0
206,16454.0
186,16184.0
206,16199.0
206,19152.0
206,18644.0
206,16436.0
206,17320.0
206,18645.0
206,16392.0
206,17789.0
270,23670.0
1414,31299.0
480,28655.0
498,20973.0
541,19789.0
622,20117.0
390,21653.0
205,24151.0
415,22069.0
172,173.0
194,195.0
471,23843.0
465,24309.0
574,25710.0
504,23779.0
1123,26821.0
913,26462.0
1178,26981.0
499,26572.0
376,25050.0
310,24640.0
874,30821.0
874,32069.0
145,16296.0
105,106.0
2,3.0
2,3.0
2,6.0
394,21535.0
414,20243.0
414,21886.0
1,5.0
1,6.0
1,6.0
1,6.0
1,6.0
1,6.0
1,7.0
1,8.0
1,8.0
415,24505.0
1,8.0
373,21869.0
1,8.0
414,21409.0
373,20849.0
353,21495.0
414,20912.0
105,112.0
333,340.0
1,9.0
414,22092.0
373,20726.0
394,20747.0
414,22680.0
414,21824.0
1,10.0
374,383.0
374,383.0
394,22603.0
2,11.0
2,12.0
2,13.0
414,21739.0
168,180.0
2,15.0
414,22111.0
414,22208.0
414,22122.0
2,16.0
2,18.0
2,19.0
2,21.0
2,22.0
22,44.0
22,45.0
22,67.0
22,68.0
22,85.0
22,85.0
22,90.0
22,91.0
22,108.0
22,108.0
22,113.0
46,138.0
2,109.0
64,173.0
85,194.0
85,195.0
84,197.0
105,219.0
84,223.0
105,279.0
85,259.0
168,349.0
168,363.0
189,385.0
168,364.0
85,283.0
460,680.0
394,20474.0
414,23018.0
168,392.0
85,345.0
85,365.0
85,369.0
478,819.0
414,20767.0
416,20917.0
414,21141.0
206,17326.0
206,18747.0
206,18945.0
186,16888.0
186,16788.0
500,846.0
125,17475.0
543,893.0
145,18438.0
561,925.0
125,16769.0
605,970.0
527,893.0
543,913.0
709,1093.0
551,935.0
583,969.0
23,416.0
23,440.0
23,464.0
23,488.0
23,512.0
43,556.0
1,558.0
1,560.0
818,1379.0
914,19603.0
756,1437.0
569,1389.0
834,16167.0
552,1399.0
1,895.0
2399,3325.0
1,937.0
1,939.0
125,17936.0
1,941.0
1,943.0
1,945.0
1,947.0
1,949.0
206,18096.0
1,951.0
1,953.0
1,955.0
1,957.0
206,18726.0
206,16780.0
226,21262.0
206,17574.0
216,16513.0
1,959.0
206,16995.0
206,16722.0
206,16722.0
125,16785.0
206,16995.0
206,18143.0
206,17328.0
226,20681.0
206,16897.0
206,17013.0
206,18519.0
206,18519.0
206,16912.0
206,16643.0
206,17033.0
206,18540.0
206,17095.0
0,960.0
1,962.0
1,964.0
1,966.0
1,968.0
1,970.0
2,972.0
501,1472.0
208,19142.0
208,18778.0
416,21467.0
208,17810.0
228,21696.0
188,16088.0
230,21378.0
208,15930.0
228,22867.0
208,16701.0
20,991.0
20,993.0
20,1012.0
20,1014.0
20,1033.0
20,1035.0
874,31093.0
874,31968.0
105,1139.0
105,1141.0
105,1199.0
82,1222.0
105,1247.0
82,1282.0
105,1328.0
105,1353.0
82,1365.0
82,1411.0
84,1438.0
82,1448.0
105,1485.0
105,1495.0
105,1505.0
84,1496.0
105,1543.0
105,1544.0
105,1554.0
125,17247.0
105,1578.0
123,15475.0
105,1591.0
105,1601.0
82,1579.0
105,1611.0
82,1626.0
82,1627.0
105,1660.0
82,1661.0
105,1685.0
82,1674.0
394,21471.0
414,22301.0
1,1603.0
414,22154.0
394,20747.0
82,1686.0
374,15230.0
1,1613.0
1,1615.0
82,1698.0
82,1709.0
82,1710.0
105,1766.0
82,1744.0
82,1757.0
105,1791.0
82,1769.0
105,1804.0
82,1792.0
105,1816.0
414,21162.0
82,1827.0
82,1840.0
416,21952.0
394,21491.0
414,20994.0
414,22239.0
414,21162.0
414,21793.0
414,20500.0
414,21577.0
373,22496.0
82,1849.0
105,1875.0
105,1897.0
82,1875.0
206,17104.0
414,21050.0
82,1887.0
82,1899.0
105,1933.0
105,1946.0
82,1932.0
1,1877.0
82,1958.0
82,1960.0
82,1970.0
82,1980.0
82,1982.0
82,2015.0
82,2016.0
82,2029.0
23,1982.0
2,1963.0
1,1965.0
1,1967.0
1,1969.0
1,1971.0
145,2116.0
105,2077.0
1,1982.0
1,1984.0
1,1984.0
1,1984.0
1,1986.0
1,1986.0
1,1986.0
0,1987.0
20,15579.0
20,15663.0
20,15601.0
20,15621.0
20,15642.0
20,15622.0
20,15554.0
20,15665.0
20,16515.0
414,21292.0
82,2069.0
1,1988.0
105,2093.0
82,2071.0
82,2098.0
84,2101.0
82,2112.0
105,2175.0
82,2154.0
105,2183.0
105,2199.0
105,2204.0
84,2186.0
84,2197.0
82,2199.0
105,2260.0
105,2281.0
82,2266.0
82,2269.0
82,2280.0
82,2282.0
480,2680.0
437,2642.0
480,2741.0
437,2704.0
82,2352.0
414,21707.0
86,2367.0
400,22470.0
84,2366.0
84,2367.0
105,2458.0
82,2449.0
82,2450.0
82,2450.0
82,2532.0
82,2533.0
82,2533.0
105,2564.0
82,2548.0
82,2548.0
105,2571.0
82,2615.0
82,2616.0
105,2639.0
82,2631.0
82,2631.0
82,2647.0
105,2677.0
105,2721.0
397,3014.0
105,2737.0
896,31301.0
874,30800.0
872,31194.0
20,17159.0
540,25466.0
878,31450.0
84,2716.0
82,2722.0
105,2748.0
105,2753.0
82,2760.0
105,2786.0
105,2810.0
105,2822.0
105,2827.0
106,18960.0
835,30095.0
84,2807.0
82,2820.0
82,2824.0
82,2831.0
82,2836.0
105,2866.0
105,2892.0
105,2913.0
84,2895.0
123,2944.0
874,32174.0
874,32473.0
835,31636.0
156,2979.0
3734,20877.0
105,2930.0
82,2910.0
105,2937.0
105,2942.0
105,2972.0
105,2998.0
105,3001.0
105,3016.0
105,3019.0
82,3013.0
521,3459.0
82,3025.0
188,20291.0
165,20311.0
750,3695.0
353,3326.0
105,3085.0
105,3104.0
105,3107.0
