Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,0.0,520
10,00000000-0000-0000-0000-000000000001,0,0.0,520
20,00000000-0000-0000-0000-000000000000,44,86240.0,524
20,00000000-0000-0000-0000-000000000001,44,86240.0,524
30,00000000-0000-0000-0000-000000000000,44,86240.0,525
30,00000000-0000-0000-0000-000000000001,44,86240.0,525
40,00000000-0000-0000-0000-000000000000,1,1960.0,641
40,00000000-0000-0000-0000-000000000001,1,1960.0,636
50,00000000-0000-0000-0000-000000000000,1,1960.0,522
50,00000000-0000-0000-0000-000000000001,1,1960.0,522
60,00000000-0000-0000-0000-000000000000,44,86240.0,522
60,00000000-0000-0000-0000-000000000001,44,86240.0,522
70,00000000-0000-0000-0000-000000000000,44,86240.0,525
70,00000000-0000-0000-0000-000000000001,44,86240.0,525
80,00000000-0000-0000-0000-000000000000,10,19600.0,595
80,00000000-0000-0000-0000-000000000001,0,0.0,631
90,00000000-0000-0000-0000-000000000000,1,1960.0,522
90,00000000-0000-0000-0000-000000000001,1,1960.0,522
100,00000000-0000-0000-0000-000000000000,1,1960.0,520
100,00000000-0000-0000-0000-000000000001,44,86240.0,522
110,00000000-0000-0000-0000-000000000000,44,86240.0,522
110,00000000-0000-0000-0000-000000000001,44,86240.0,525
120,00000000-0000-0000-0000-000000000000,44,86240.0,525
120,00000000-0000-0000-0000-000000000001,12,23520.0,577
130,00000000-0000-0000-0000-000000000000,0,0.0,612
130,00000000-0000-0000-0000-000000000001,1,1960.0,520
140,00000000-0000-0000-0000-000000000000,0,0.0,515
140,00000000-0000-0000-0000-000000000001,44,86240.0,522
150,00000000-0000-0000-0000-000000000000,44,86240.0,522
150,00000000-0000-0000-0000-000000000001,44,86240.0,525
160,00000000-0000-0000-0000-000000000000,44,86240.0,524
160,00000000-0000-0000-0000-000000000001,12,23520.0,641
170,00000000-0000-0000-0000-000000000000,34,66640.0,573
170,00000000-0000-0000-0000-000000000001,1,1960.0,517
180,00000000-0000-0000-0000-000000000000,1,1960.0,633
180,00000000-0000-0000-0000-000000000001,44,86240.0,522
190,00000000-0000-0000-0000-000000000000,0,0.0,520
190,00000000-0000-0000-0000-000000000001,44,86240.0,525
200,00000000-0000-0000-0000-000000000000,44,86240.0,524
200,00000000-0000-0000-0000-000000000001,0,0.0,607
210,00000000-0000-0000-0000-000000000000,44,86240.0,525
210,00000000-0000-0000-0000-000000000001,1,1960.0,520
220,00000000-0000-0000-0000-000000000000,1,1960.0,615
220,00000000-0000-0000-0000-000000000001,44,86240.0,522
230,00000000-0000-0000-0000-000000000000,1,1960.0,522
230,00000000-0000-0000-0000-000000000001,44,86240.0,525
240,00000000-0000-0000-0000-000000000000,44,86240.0,522
240,00000000-0000-0000-0000-000000000001,0,0.0,584
250,00000000-0000-0000-0000-000000000000,44,86240.0,525
250,00000000-0000-0000-0000-000000000001,1,1960.0,512
260,00000000-0000-0000-0000-000000000000,1,1960.0,605
260,00000000-0000-0000-0000-000000000001,44,86240.0,522
270,00000000-0000-0000-0000-000000000000,1,1960.0,522
270,00000000-0000-0000-0000-000000000001,44,86240.0,525
280,00000000-0000-0000-0000-000000000000,44,86240.0,522
280,00000000-0000-0000-0000-000000000001,17,33320.0,588
290,00000000-0000-0000-0000-000000000000,44,86240.0,525
290,00000000-0000-0000-0000-000000000001,1,1960.0,531
300,00000000-0000-0000-0000-000000000000,1,1960.0,590
300,00000000-0000-0000-0000-000000000001,1,1960.0,522
310,00000000-0000-0000-0000-000000000000,1,1960.0,522
310,00000000-0000-0000-0000-000000000001,44,86240.0,523
320,00000000-0000-0000-0000-000000000000,44,86240.0,522
320,00000000-0000-0000-0000-000000000001,44,86240.0,525
330,00000000-0000-0000-0000-000000000000,44,86240.0,525
330,00000000-0000-0000-0000-000000000001,12,23520.0,597
340,00000000-0000-0000-0000-000000000000,0,0.0,590
340,00000000-0000-0000-0000-000000000001,1,1960.0,520
350,00000000-0000-0000-0000-000000000000,1,1960.0,522
350,00000000-0000-0000-0000-000000000001,44,86240.0,522
360,00000000-0000-0000-0000-000000000000,44,86240.0,522
360,00000000-0000-0000-0000-000000000001,44,86240.0,525
370,00000000-0000-0000-0000-000000000000,44,86240.0,525
370,00000000-0000-0000-0000-000000000001,7,13720.0,854
380,00000000-0000-0000-0000-000000000000,0,0.0,863
380,00000000-0000-0000-0000-000000000001,0,0.0,518
390,00000000-0000-0000-0000-000000000000,1,1960.0,515
390,00000000-0000-0000-0000-000000000001,1,1960.0,524
400,00000000-0000-0000-0000-000000000000,44,86240.0,522
400,00000000-0000-0000-0000-000000000001,44,86240.0,523
410,00000000-0000-0000-0000-000000000000,44,86240.0,525
410,00000000-0000-0000-0000-000000000001,44,86240.0,525
420,00000000-0000-0000-0000-000000000000,0,0.0,600
420,00000000-0000-0000-0000-000000000001,0,0.0,728
430,00000000-0000-0000-0000-000000000000,1,1960.0,512
430,00000000-0000-0000-0000-000000000001,1,1960.0,522
440,00000000-0000-0000-0000-000000000000,44,86240.0,522
440,00000000-0000-0000-0000-000000000001,44,86240.0,522
450,00000000-0000-0000-0000-000000000000,44,86240.0,525
450,00000000-0000-0000-0000-000000000001,44,86240.0,525
460,00000000-0000-0000-0000-000000000000,25,49000.0,834
460,00000000-0000-0000-0000-000000000001,0,0.0,755
470,00000000-0000-0000-0000-000000000000,1,1960.0,561
470,00000000-0000-0000-0000-000000000001,1,1960.0,515
480,00000000-0000-0000-0000-000000000000,1,1960.0,522
480,00000000-0000-0000-0000-000000000001,44,86240.0,522
490,00000000-0000-0000-0000-000000000000,44,86240.0,522
490,00000000-0000-0000-0000-000000000001,44,86240.0,525
500,00000000-0000-0000-0000-000000000000,42,82320.0,589
500,00000000-0000-0000-0000-000000000001,1,1960.0,846
510,00000000-0000-0000-0000-000000000000,1,1960.0,772
510,00000000-0000-0000-0000-000000000001,1,1960.0,518
520,00000000-0000-0000-0000-000000000000,1,1960.0,520
520,00000000-0000-0000-0000-000000000001,0,0.0,520
