Makespan (s),Workflow Response time (s)
44,20244.0
38,20741.0
48,26141.0
40,7619.0
52,35721.0
50,9011.0
42,30250.0
42,28540.0
42,20710.0
62,50367.0
56,45428.0
38,17584.0
38,10313.0
40,29037.0
32,3731.0
54,58390.0
60,58862.0
52,54216.0
54,41997.0
50,36394.0
54,48841.0
42,33840.0
44,25204.0
36,4924.0
32,2987.0
38,30030.0
34,8103.0
38,4085.0
32,7326.0
42,29755.0
68,40141.0
66,68145.0
54,54515.0
58,64136.0
54,55248.0
48,38230.0
52,29294.0
46,21156.0
54,36714.0
42,29072.0
64,54234.0
46,35619.0
40,18685.0
40,31569.0
42,34694.0
42,30612.0
36,5197.0
36,6439.0
34,5882.0
32,4948.0
38,14485.0
36,11283.0
40,9569.0
36,10333.0
38,7646.0
38,6464.0
34,3384.0
46,27667.0
42,30428.0
42,29397.0
32,7652.0
42,30271.0
86,92552.0
62,65988.0
56,52523.0
66,56379.0
50,36445.0
56,36202.0
50,48716.0
46,38693.0
50,37601.0
66,68801.0
54,52039.0
58,55898.0
50,51373.0
66,61633.0
48,47130.0
56,63431.0
50,32208.0
74,68413.0
56,52042.0
66,50703.0
56,53030.0
42,15156.0
42,17162.0
40,19149.0
36,4466.0
34,5917.0
34,13368.0
36,11660.0
40,11296.0
34,13390.0
32,1764.0
36,15000.0
34,12390.0
38,10352.0
82,84470.0
84,90421.0
70,69239.0
62,61696.0
58,67298.0
50,37779.0
54,42031.0
48,28939.0
44,29082.0
48,31383.0
56,32494.0
60,58660.0
72,78663.0
60,43642.0
58,48617.0
54,50697.0
48,42046.0
46,31720.0
46,42078.0
50,25399.0
54,22804.0
58,49236.0
64,55603.0
50,41346.0
48,38242.0
52,38499.0
46,25023.0
44,22501.0
48,12031.0
42,32351.0
50,25248.0
46,23343.0
46,32112.0
40,24712.0
52,50025.0
46,15504.0
44,30295.0
42,25065.0
52,51198.0
42,14521.0
32,4624.0
34,16289.0
32,9004.0
44,10378.0
40,18719.0
34,632.0
44,11671.0
36,9041.0
40,17609.0
42,23746.0
40,18344.0
34,15166.0
34,7361.0
40,19736.0
34,8118.0
38,20909.0
36,4659.0
38,9981.0
44,41581.0
34,8638.0
32,4115.0
38,16296.0
38,8646.0
34,17396.0
84,90169.0
82,90590.0
78,85569.0
76,85025.0
72,75879.0
74,78890.0
54,56139.0
52,55905.0
52,30463.0
50,45699.0
48,43677.0
40,5931.0
58,31395.0
56,54529.0
50,45030.0
46,24158.0
52,42366.0
52,46916.0
56,42903.0
46,22548.0
40,15668.0
80,86390.0
66,65186.0
52,49633.0
60,62860.0
56,50970.0
54,51428.0
50,37805.0
64,67729.0
48,37628.0
62,53846.0
60,40154.0
52,53070.0
54,56421.0
62,36920.0
48,41587.0
60,41697.0
42,29617.0
48,30851.0
56,50394.0
52,37832.0
60,39229.0
64,54281.0
46,33157.0
58,60391.0
52,31436.0
52,56666.0
36,14522.0
44,16759.0
34,4120.0
40,234.0
50,48112.0
42,312.0
36,560.0
44,26832.0
50,26004.0
44,13084.0
38,9050.0
58,22408.0
42,13411.0
44,23570.0
36,11320.0
40,3002.0
40,6480.0
40,24730.0
42,3245.0
42,27242.0
34,3395.0
34,4150.0
38,13862.0
34,10387.0
36,8140.0
42,19278.0
36,19814.0
40,17183.0
82,83666.0
82,88091.0
86,92126.0
78,83082.0
82,82629.0
80,86145.0
76,83180.0
68,59380.0
58,58742.0
70,73299.0
58,50194.0
62,69512.0
52,28273.0
56,57073.0
60,16974.0
86,92387.0
70,78796.0
74,78125.0
74,75127.0
68,43212.0
52,45874.0
54,41391.0
64,74208.0
42,28220.0
68,75937.0
60,52808.0
64,61318.0
56,55305.0
50,40696.0
50,24299.0
36,1943.0
44,31967.0
46,27943.0
38,5435.0
70,76893.0
70,81234.0
72,79044.0
76,72603.0
68,71241.0
74,76152.0
62,59075.0
56,43948.0
50,47640.0
42,4499.0
82,86213.0
80,84200.0
70,70182.0
70,78267.0
60,59895.0
64,57311.0
58,67767.0
58,39933.0
48,26335.0
54,27801.0
44,1962.0
42,537.0
42,23182.0
44,26145.0
46,26589.0
40,19827.0
48,27291.0
38,2542.0
34,2081.0
42,16957.0
40,22922.0
66,70860.0
86,92204.0
86,91952.0
80,84362.0
78,78577.0
78,85665.0
80,79512.0
76,77852.0
68,74764.0
66,77398.0
84,89580.0
76,82864.0
82,88674.0
82,85586.0
78,83319.0
70,74695.0
74,75737.0
76,84059.0
80,88255.0
60,55959.0
48,35256.0
48,38944.0
54,21817.0
50,27389.0
48,43952.0
74,78302.0
64,67144.0
68,75586.0
70,81843.0
50,43365.0
42,22186.0
44,3429.0
42,28125.0
78,79564.0
78,81703.0
72,66023.0
38,9990.0
40,8679.0
80,85328.0
68,74977.0
78,82225.0
84,91436.0
78,76442.0
74,68821.0
42,19172.0
36,17621.0
40,19743.0
36,6501.0
54,29672.0
58,52826.0
42,8161.0
42,9084.0
36,13863.0
34,10016.0
46,16336.0
52,50420.0
58,48934.0
54,55304.0
52,38993.0
52,38701.0
32,14554.0
46,43689.0
40,28124.0
40,33260.0
36,12046.0
38,7365.0
42,8183.0
46,34741.0
54,19614.0
76,76463.0
60,62675.0
58,63027.0
74,82922.0
60,55022.0
52,50970.0
54,51025.0
56,55361.0
56,54291.0
48,37854.0
52,49681.0
56,63443.0
58,37199.0
40,31742.0
38,20937.0
40,28953.0
38,2726.0
40,29437.0
36,3753.0
54,23384.0
50,16347.0
38,15195.0
56,42422.0
50,42417.0
52,43730.0
48,42095.0
42,16379.0
48,34246.0
52,49393.0
38,27295.0
36,6517.0
46,32208.0
46,13909.0
36,7683.0
46,18732.0
52,44461.0
46,17004.0
54,32825.0
36,14559.0
58,44296.0
46,12701.0
50,19450.0
40,18930.0
40,15701.0
36,15203.0
38,7400.0
40,12428.0
42,29309.0
34,10761.0
34,8681.0
34,10025.0
38,29436.0
34,16027.0
32,5620.0
34,16382.0
48,10788.0
68,68681.0
58,66047.0
72,63770.0
64,49458.0
52,52092.0
48,40190.0
58,64150.0
46,37979.0
56,49811.0
78,83240.0
80,83419.0
84,90424.0
70,34407.0
42,11339.0
42,25706.0
52,34520.0
42,5960.0
44,31765.0
58,36957.0
38,11359.0
46,32365.0
46,23578.0
42,9093.0
48,34420.0
50,32927.0
46,26928.0
48,14603.0
48,34283.0
46,12437.0
86,92300.0
58,49816.0
54,54875.0
62,39007.0
56,45980.0
58,57312.0
46,10808.0
48,39930.0
48,39443.0
42,15238.0
44,24430.0
38,1114.0
38,10055.0
34,14148.0
46,13437.0
56,49284.0
56,53087.0
52,42953.0
52,46583.0
56,53127.0
52,30481.0
48,39641.0
50,41732.0
50,35680.0
50,37652.0
52,41634.0
38,14187.0
44,31589.0
58,61702.0
58,62513.0
44,29481.0
56,36977.0
50,31158.0
54,39985.0
40,12469.0
42,30860.0
36,9121.0
46,25446.0
52,56696.0
46,31497.0
44,6895.0
62,53150.0
44,34556.0
42,35409.0
40,24428.0
40,21169.0
32,5198.0
34,2407.0
34,13446.0
44,32522.0
36,6932.0
32,9126.0
34,8714.0
32,13093.0
38,20802.0
74,61218.0
82,83639.0
78,85104.0
82,90168.0
74,66833.0
50,52859.0
50,44496.0
50,39484.0
46,25751.0
70,70671.0
82,85970.0
68,72865.0
56,61578.0
58,55060.0
54,57959.0
66,71568.0
50,45297.0
50,37200.0
56,57852.0
60,39054.0
56,57368.0
48,31791.0
48,39056.0
56,49868.0
54,52543.0
54,55960.0
52,42470.0
36,17951.0
40,12072.0
40,28504.0
48,23049.0
38,15242.0
46,15285.0
54,59901.0
66,68734.0
56,64398.0
58,53884.0
54,38548.0
54,38748.0
58,31824.0
60,67022.0
52,33304.0
52,51855.0
40,21845.0
50,24479.0
40,26730.0
48,42471.0
56,58894.0
46,40965.0
34,16044.0
60,51208.0
54,22561.0
52,40243.0
46,33307.0
50,22038.0
46,4167.0
46,24009.0
46,956.0
42,23766.0
48,2744.0
46,25251.0
38,5970.0
44,42515.0
44,41391.0
36,5459.0
52,42524.0
40,26511.0
42,25066.0
42,23045.0
40,1270.0
38,3872.0
34,960.0
52,14612.0
78,83479.0
80,83500.0
82,88174.0
80,78815.0
80,86226.0
76,78944.0
80,85347.0
76,79795.0
80,86695.0
66,74275.0
50,43740.0
