Makespan (s),Workflow Response time (s)
7730,25771.0
2399,51001.0
10283,42239.0
9828,36007.0
2307,55494.0
10174,26614.0
6140,6141.0
106,36359.0
5845,38001.0
2466,58727.0
2781,47198.0
2758,49841.0
2715,52750.0
106,35406.0
2590,43450.0
9276,9277.0
104,36215.0
123,37998.0
2307,51396.0
2493,58246.0
94,36050.0
2549,46291.0
112,35690.0
2692,57382.0
2405,57690.0
7025,24679.0
2294,51057.0
9823,18028.0
10522,44222.0
96,34979.0
2418,53420.0
2805,55457.0
9826,26178.0
9189,36657.0
8954,28036.0
2188,55460.0
2729,55410.0
422,38485.0
2145,57640.0
140,35850.0
10416,44607.0
10085,42838.0
2527,46549.0
100,35577.0
7722,34783.0
102,37977.0
2686,51927.0
2723,47331.0
2435,50623.0
2358,53416.0
2297,46080.0
2859,47082.0
2217,55284.0
2609,43782.0
7381,31955.0
8203,8204.0
2576,50494.0
2315,58162.0
2444,59670.0
2813,41299.0
9915,9916.0
102,35299.0
2436,48517.0
102,36110.0
98,35604.0
2521,48144.0
2629,53564.0
2533,54008.0
2571,53066.0
9157,33837.0
100,34903.0
9538,15680.0
104,36320.0
104,35709.0
2364,58483.0
8203,36240.0
187,38062.0
102,36054.0
2687,59059.0
2595,58135.0
2711,52216.0
2084,46720.0
10004,28006.0
2508,40994.0
2475,54652.0
2678,46700.0
7736,17653.0
2203,53271.0
2572,57225.0
94,34998.0
2358,57681.0
98,34882.0
2538,49088.0
2686,41172.0
9021,9022.0
2719,59048.0
100,35196.0
2650,53851.0
2429,55846.0
2789,50934.0
9684,9685.0
1895,48187.0
9455,27467.0
8418,34190.0
2577,52176.0
9499,37506.0
2519,48762.0
100,36421.0
7520,33699.0
6290,34297.0
100,35951.0
5540,32155.0
92,35072.0
2357,48649.0
102,36361.0
2476,56328.0
2750,49833.0
2515,49598.0
96,35095.0
2866,41352.0
94,35373.0
6817,41115.0
7140,33319.0
2251,56260.0
2806,56371.0
89,36097.0
2328,43235.0
9397,18040.0
90,36370.0
2799,58210.0
2360,56118.0
104,36252.0
124,37999.0
2846,52680.0
2307,47917.0
2678,44031.0
2373,45609.0
2472,54689.0
95,36193.0
2835,50034.0
7139,25151.0
6443,16360.0
9349,16940.0
2701,54629.0
8975,8976.0
9034,18011.0
100,35173.0
100,36258.0
2711,49240.0
2682,51200.0
2420,40906.0
2788,55539.0
2506,49838.0
102,35476.0
92,36333.0
2417,51067.0
7942,7943.0
2493,51474.0
7918,15862.0
8187,34802.0
2617,43741.0
2806,52645.0
2803,49504.0
9164,19081.0
104,35278.0
2555,46006.0
2176,44416.0
2676,55322.0
7589,7590.0
2301,57759.0
2754,57384.0
7632,24573.0
6753,16439.0
2786,46528.0
2721,44021.0
7328,16351.0
9031,27060.0
2336,44635.0
2562,53186.0
104,35955.0
8723,18001.0
102,36157.0
2373,40859.0
2594,48601.0
2527,46242.0
2360,53757.0
8641,8642.0
2414,43714.0
7803,41123.0
2331,55752.0
2511,57972.0
2259,48980.0
7600,32752.0
85,36279.0
2809,52651.0
2783,45622.0
96,36147.0
98,35505.0
8460,42298.0
367,37874.0
