Time (s),Tasks #
2.0,821
8.0,313
0.001,541
2569.0,1
4428.0,1
67.0,35
95.0,2
728.0,5
85.0,8
6.0,29
3144.0,1
7.0,522
1255.0,8
33.0,687
9.0,1086
1035.0,8
685.0,5
612.0,9
870.0,7
31.0,384
594.0,8
487.0,7
912.0,11
875.0,7
959.0,17
1061.0,8
1277.0,2
437.0,2
740.0,7
6828.0,1
14.0,6
618.0,11
100.0,5
2832.0,1
4126.0,2
10.0,630
3381.0,1
138.0,2
1.0,1039
987.0,6
77.0,6
2600.0,1
2724.0,3
11.0,32
3.0,35
6116.0,1
2512.0,2
2692.0,2
5691.0,1
985.0,10
2657.0,1
61.0,83
92.0,6
451.0,1
72.0,3
1453.0,1
725.0,4
1022.0,9
425.0,6
459.0,8
731.0,8
722.0,8
600.0,4
1118.0,11
872.0,9
996.0,7
651.0,9
1209.0,6
898.0,2
462.0,7
1224.0,7
885.0,4
3328.0,1
71.0,4
940.0,7
59.0,5
93.0,2
2916.0,3
167.0,2
55.0,5
583.0,8
5.0,25
2675.0,2
2651.0,2
3305.0,1
4193.0,1
2468.0,1
622.0,14
6542.0,1
1633.0,1
66.0,5
161.0,1
5595.0,1
1946.0,1
48.0,3
2788.0,1
1864.0,1
5524.0,1
51.0,8
3074.0,1
2640.0,2
87.0,8
522.0,9
855.0,10
2688.0,1
2685.0,3
2971.0,1
479.0,13
2816.0,1
65.0,3
26.0,237
20.0,983
4.0,48
22.0,21
94.0,2
2712.0,2
809.0,11
2168.0,1
2864.0,1
501.0,4
520.0,7
1242.0,7
675.0,9
664.0,7
888.0,5
822.0,11
631.0,9
975.0,11
446.0,2
533.0,4
1161.0,9
472.0,5
1048.0,7
36.0,426
767.0,6
708.0,4
720.0,6
677.0,6
1083.0,10
673.0,3
955.0,5
834.0,2
34.0,212
957.0,9
1008.0,4
1191.0,8
671.0,3
742.0,8
1126.0,4
897.0,4
644.0,5
904.0,7
993.0,5
779.0,7
979.0,14
824.0,6
1263.0,6
489.0,3
953.0,9
789.0,6
38.0,14
1353.0,4
808.0,4
861.0,12
883.0,12
989.0,4
1108.0,2
1344.0,5
983.0,10
493.0,5
1289.0,4
1279.0,11
589.0,3
1357.0,5
1012.0,12
830.0,3
724.0,5
918.0,9
706.0,3
653.0,13
863.0,1
1330.0,6
512.0,8
1167.0,7
557.0,10
700.0,11
714.0,12
683.0,13
1077.0,7
693.0,5
655.0,11
930.0,6
730.0,4
1395.0,1
606.0,5
997.0,4
1110.0,2
657.0,7
1153.0,6
551.0,11
1165.0,3
812.0,6
924.0,10
969.0,2
895.0,2
1020.0,12
32.0,4
842.0,8
1151.0,7
1120.0,8
942.0,9
1355.0,4
1326.0,3
1202.0,5
1318.0,6
804.0,7
642.0,8
746.0,5
561.0,6
1293.0,4
1334.0,6
900.0,5
1306.0,6
1085.0,6
951.0,12
1026.0,7
483.0,7
628.0,4
777.0,10
536.0,2
1004.0,4
1100.0,10
1146.0,6
781.0,9
961.0,7
826.0,6
1046.0,8
967.0,3
620.0,5
977.0,9
595.0,5
1018.0,9
759.0,7
797.0,3
763.0,2
669.0,2
828.0,3
1336.0,5
661.0,7
1006.0,2
1171.0,2
