No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
0,3920.0,66398.055
0,3920.0,66408.2575
0,5880.0,69671.0625
0,1960.0,62997.497500000005
0,6480.0,71615.75428571428
0,12960.0,81750.03142857141
0,10800.0,77990.98571428569
0,0.0,60000.0
0,3920.0,66000.0
0,3920.0,66000.0
0,5880.0,69000.0
0,1960.0,62999.99999999999
0,4320.0,68447.30571428571
0,10800.0,79759.4742857143
0,8640.0,76135.13428571427
0,0.0,60000.0
0,1960.0,63084.13500000001
0,1960.0,63007.60500000001
0,3920.0,67461.685
0,0.0,62538.2175
0,6480.0,68913.74857142856
0,4320.0,69368.36857142858
0,4320.0,70370.3742857143
0,0.0,60000.0
0,1960.0,63000.0
0,1960.0,62999.337499999994
0,1960.0,65849.4425
0,0.0,60000.0
0,6480.0,70483.17142857143
0,4320.0,66857.14285714284
0,6480.0,67236.39428571428
0,0.0,60000.0
0,1960.0,63174.484999999986
0,1960.0,63197.08999999997
0,0.0,60415.767500000016
0,0.0,59999.99999999997
0,6480.0,70035.55428571429
0,2160.0,66420.84857142856
0,8640.0,73857.34857142862
0,0.0,60000.0
0,1960.0,63000.0
0,1960.0,63000.0
0,0.0,60000.0
0,0.0,60000.0
0,8640.0,72773.11714285711
0,0.0,61161.59142857144
0,6480.0,72132.59714285715
0,0.0,60000.0
0,1960.0,63000.0
0,0.0,60979.5450000001
0,3920.0,62662.64749999996
0,0.0,60000.0
0,4320.0,67975.34857142868
0,0.0,60000.0
0,4320.0,66745.29428571422
0,12960.0,75572.25428571436
0,3920.0,65709.94500000007
0,0.0,60000.0
0,3920.0,66000.0
0,0.0,60000.0
0,2160.0,65947.20000000013
0,0.0,60000.0
0,4320.0,66857.1428571429
0,12960.0,80571.42857142858
0,3920.0,66000.00000000006
0,0.0,60000.0
0,1960.0,65900.82000000007
0,3920.0,64966.015000000014
0,12960.0,77612.57714285748
0,0.0,60005.29142857145
0,4320.0,66857.14285714284
0,8640.0,78641.69714285707
0,1960.0,64974.84999999998
0,0.0,60000.0
0,1960.0,63201.63249999995
0,3920.0,66000.0
0,8640.0,77837.88857142848
0,0.0,60000.0
0,2160.0,64203.49428571435
0,8640.0,71256.50285714283
0,1960.0,63000.0
0,0.0,60000.0
0,1960.0,63000.0
0,1960.0,64139.442500000005
0,12960.0,71425.70571428584
0,0.0,60000.0
0,2160.0,63632.90571428579
0,6480.0,70290.16000000003
0,1960.0,62999.59250000003
0,0.0,60000.0
0,0.0,62209.390000000014
0,1960.0,63000.0
0,6480.0,70495.24571428564
0,0.0,60000.0
0,2160.0,63428.57142857148
0,4320.0,69992.91142857145
0,1960.0,63208.82499999995
0,0.0,60000.0
0,3920.0,61636.625
0,1960.0,63000.0
0,4320.0,69722.96571428562
0,0.0,60000.0
0,12960.0,67757.01714285731
0,2160.0,64686.45999999996
0,1960.0,63000.0
0,7840.0,63156.515000000014
0,3920.0,66000.0
0,1960.0,63000.0
0,2160.0,64146.562857143115
0,0.0,60000.0
0,12960.0,80571.42857142852
0,4320.0,64547.51142857154
0,0.0,62159.29000000004
0,7840.0,72000.0
0,3920.0,66000.0
0,1960.0,63202.34500000009
0,2160.0,63428.57142857148
0,0.0,60000.0
0,8640.0,77238.73714285705
0,4320.0,66857.14285714284
0,3920.0,60024.89249999996
0,5880.0,69208.32000000007
0,1960.0,63395.97250000003
0,1960.0,63000.0
0,17280.0,63509.18285714253
0,21600.0,60123.7771428572
0,6480.0,70886.87999999989
0,4320.0,66857.14285714284
0,1960.0,63173.777500000084
0,3920.0,67330.76750000007
0,1960.0,62999.99999999988
0,1960.0,63000.0
0,6480.0,71252.92285714275
0,12960.0,81386.46571428573
0,6480.0,70482.85714285728
0,2160.0,64195.6657142858
0,1960.0,63000.0
0,3920.0,65999.2350000001
0,0.0,62115.3600000001
0,3920.0,66114.73999999999
0,6480.0,70285.71428571432
0,10800.0,79496.08857142855
0,8640.0,71497.45428571431
0,2160.0,63628.3600000001
0,0.0,60138.0625
0,3920.0,66194.5375000001
0,0.0,60000.0
0,3920.0,66000.0
0,4320.0,66822.3314285716
0,6480.0,74669.42571428558
0,6480.0,71949.62571428576
0,2160.0,63428.57142857136
0,0.0,60000.0
0,3920.0,66202.6000000001
0,0.0,60000.0
0,1960.0,64523.419999999925
0,8640.0,72834.90571428556
0,2160.0,65145.614285714226
0,4320.0,67563.3885714286
0,0.0,62717.568571428536
0,0.0,60000.0
0,1960.0,64522.044999999925
0,0.0,60005.10250000004
0,1960.0,63000.0
0,10800.0,73999.99714285717
0,0.0,63141.59142857138
0,10800.0,69956.49428571435
0,10800.0,64377.76000000024
0,0.0,60000.0
0,3920.0,64571.372500000056
0,0.0,60000.0
0,1960.0,63000.0
0,4320.0,73107.73142857151
0,0.0,60000.0
0,10800.0,77142.85714285704
0,10800.0,77142.85714285704
0,0.0,60000.0
0,1960.0,65746.5850000002
0,0.0,60000.0
0,1960.0,63201.88749999995
0,2160.0,64456.30000000005
0,0.0,60000.0
0,8640.0,76450.37428571424
0,6480.0,73583.28571428568
0,7840.0,64431.62000000011
0,1960.0,63000.0
0,0.0,60000.0
0,1960.0,63000.0
0,8640.0,68481.78571428545
0,4320.0,62734.385714285774
0,4320.0,69085.614285714
0,6480.0,70285.71428571432
0,7840.0,72000.0
0,1960.0,63000.0
0,0.0,60000.0
0,7840.0,63064.17500000005
0,6480.0,72995.23999999999
0,4320.0,66857.14285714296
0,10800.0,73717.54857142805
0,0.0,64250.58857142879
0,7840.0,72000.0
0,1960.0,63211.42749999999
0,0.0,60000.0
0,3920.0,66235.82249999978
0,4320.0,70122.22571428586
0,4320.0,66857.14285714296
0,10800.0,77352.90571428603
0,0.0,60000.0
0,1960.0,66571.68999999994
0,1960.0,63000.0
0,0.0,60000.0
0,1960.0,63472.502499999944
0,6480.0,68379.99714285717
0,2160.0,64612.69999999995
0,2160.0,73157.79142857157
0,0.0,60000.0
