Makespan (s),Workflow Response time (s)
7730,109880.0
2644,212133.0
10283,156297.0
10830,130535.0
2542,232167.0
10546,93928.0
6140,17070.0
106,166892.0
6442,152456.0
2717,245714.0
2781,197700.0
2758,206226.0
2715,219721.0
106,165598.0
2854,179038.0
10225,31048.0
104,166579.0
134,169789.0
2541,214675.0
2748,243357.0
94,166266.0
2809,192575.0
112,165915.0
2692,238098.0
2650,238571.0
7742,91124.0
2528,213520.0
10161,46292.0
10522,164404.0
96,164701.0
2664,222386.0
2805,229624.0
10148,83381.0
10126,146013.0
9869,114219.0
2411,232361.0
2729,229949.0
481,170468.0
2364,242442.0
140,166066.0
10416,169231.0
10085,158814.0
2785,194918.0
100,165802.0
7722,138258.0
102,169757.0
2686,216207.0
2723,198322.0
2683,210991.0
2599,222956.0
2297,192132.0
2873,195598.0
2444,230870.0
2609,181558.0
7381,117262.0
8203,24041.0
2839,209488.0
2549,243888.0
2693,247742.0
2869,176183.0
10928,10929.0
102,165396.0
2436,200577.0
102,166369.0
98,165820.0
2521,200222.0
2629,221687.0
2791,225748.0
2833,220356.0
10092,122196.0
100,164604.0
10218,36130.0
104,166785.0
104,165925.0
2605,245048.0
9041,153881.0
206,169986.0
102,166270.0
2687,246576.0
2595,242996.0
2711,216247.0
2297,197896.0
11024,102149.0
2764,178948.0
2728,227219.0
2678,192724.0
8525,70657.0
2428,224116.0
2833,237808.0
94,164796.0
2358,240077.0
98,164503.0
2797,203897.0
2844,173313.0
9021,25911.0
2719,246077.0
100,165188.0
2650,224490.0
2677,232928.0
2789,210869.0
10673,27744.0
2089,202667.0
10420,104349.0
8418,122638.0
2839,217005.0
10469,148728.0
2776,201099.0
100,167084.0
7520,129717.0
6933,144839.0
100,166167.0
6106,135886.0
92,164889.0
2596,202819.0
102,166983.0
2476,235405.0
2750,206648.0
2770,208079.0
96,164986.0
2866,173335.0
94,165491.0
7514,167775.0
7140,129779.0
2480,235920.0
2806,234974.0
100,166371.0
2566,178750.0
9397,46492.0
102,166995.0
2799,240608.0
2601,234963.0
104,166678.0
124,169779.0
2846,217522.0
2541,198140.0
2678,186949.0
2616,189268.0
2472,227461.0
106,166573.0
2835,208307.0
7139,101068.0
6443,62131.0
9349,37094.0
2701,226818.0
9892,20822.0
9394,55687.0
100,165087.0
100,166680.0
2711,203467.0
2682,211416.0
2666,176002.0
2788,230250.0
2506,208733.0
102,165701.0
104,166880.0
2665,213535.0
8246,8247.0
2748,214165.0
7918,38967.0
8187,137905.0
2858,181609.0
2806,219014.0
2803,205471.0
10100,73232.0
104,165293.0
2815,189765.0
2176,186651.0
2676,228425.0
7589,15837.0
2301,240400.0
2754,237718.0
7632,91014.0
7443,63131.0
2786,190045.0
2864,184474.0
7328,53621.0
9953,112103.0
2574,187049.0
2824,221839.0
104,166171.0
9614,63236.0
102,166474.0
2615,178618.0
2858,200755.0
2784,189834.0
2601,224988.0
8641,16889.0
2660,184270.0
7803,160260.0
2568,233439.0
2766,241338.0
2488,205308.0
7600,119704.0
96,166775.0
2809,219057.0
2783,187258.0
96,166466.0
98,165721.0
9324,165622.0
422,169654.0
