No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
0,9800.0,76268.0925
0,15680.0,85015.6875
0,0.0,60474.490000000005
0,9800.0,76145.645
0,7840.0,73839.23749999999
0,13720.0,83640.2575
0,0.0,60000.0
0,7840.0,74829.03250000002
0,5880.0,70668.01500000001
0,9800.0,77510.10500000001
0,0.0,59999.999999999985
0,3920.0,69831.53749999998
0,5880.0,69393.00499999998
0,7840.0,72762.09500000006
0,0.0,60000.0
0,3920.0,65999.99999999997
0,5880.0,69216.6825
0,7840.0,72596.78000000003
0,0.0,60000.0
0,3920.0,66000.0
0,7840.0,68892.08999999997
0,7840.0,72000.0
0,0.0,60000.0
0,0.0,63760.107499999984
0,3920.0,70120.20750000008
0,3920.0,67964.6474999999
0,3920.0,61173.25750000001
0,0.0,60000.0
0,3920.0,66000.00000000006
0,3920.0,66000.0
0,3920.0,66000.0
0,0.0,60000.00000000006
0,1960.0,64571.78999999992
0,1960.0,65701.63500000001
0,1960.0,65625.10500000004
0,0.0,60000.0
0,3920.0,66054.33500000008
0,1960.0,63000.0
0,1960.0,63000.0
0,11760.0,77692.83749999979
0,3920.0,66000.0
0,1960.0,63000.0
0,1960.0,63196.42749999999
0,11760.0,78000.0
0,3920.0,64436.58250000002
0,1960.0,63174.4850000001
0,1960.0,63000.0
0,7840.0,76471.43499999994
0,1960.0,63130.869999999995
0,1960.0,63000.0
0,1960.0,63000.0
0,5880.0,69704.1875
0,1960.0,63000.0
0,1960.0,63000.0
0,3920.0,65937.65000000002
0,5880.0,69419.28499999992
0,3920.0,65870.40500000003
0,3920.0,66092.44499999983
0,3920.0,66000.0
0,5880.0,68998.26500000001
0,3920.0,65999.99999999988
0,3920.0,66000.0
0,3920.0,66000.0
0,1960.0,66097.6599999998
0,1960.0,64024.44250000012
0,1960.0,64592.34999999986
0,1960.0,63211.177499999874
0,1960.0,63000.0
0,1960.0,63000.0
0,1960.0,63000.0
0,1960.0,63198.62000000011
0,11760.0,74224.16749999998
0,1960.0,63000.0
0,1960.0,62999.59250000003
0,1960.0,63000.0
0,9800.0,76812.60499999998
0,1960.0,63000.0
0,1960.0,63208.82499999995
0,1960.0,63000.0
0,5880.0,70824.64749999996
0,1960.0,63202.34499999997
0,1960.0,63000.0
0,0.0,60101.63500000001
0,5880.0,69413.82500000019
0,1960.0,63000.0
0,13720.0,71582.07250000001
0,1960.0,61801.62750000018
0,5880.0,69000.0
0,1960.0,63000.0
0,13720.0,81000.0
0,1960.0,63000.0
0,1960.0,66376.74249999993
0,7840.0,71734.32499999972
0,9800.0,77733.47249999992
0,0.0,62703.47250000015
0,1960.0,63202.55000000028
0,5880.0,70153.31999999983
0,7840.0,72553.52249999996
0,0.0,60000.0
0,1960.0,63000.0
0,3920.0,68275.76750000007
0,7840.0,72190.8125
0,0.0,60000.0
0,3920.0,63811.47500000009
0,3920.0,65999.2350000001
0,7840.0,72193.87749999994
0,0.0,60000.0
0,3920.0,66000.0
0,3920.0,66194.5375000001
0,5880.0,71493.06000000006
0,0.0,60000.0
0,3920.0,66000.0
0,3920.0,66202.6000000001
0,3920.0,67880.20750000002
0,0.0,60000.0
0,1960.0,64617.40000000014
0,1960.0,65467.044999999925
0,1960.0,65565.20749999979
0,0.0,60000.0
0,3920.0,63169.892500000075
0,5880.0,63710.2975000001
0,7840.0,71988.81500000018
0,11760.0,77024.77500000014
0,1960.0,63020.86999999988
0,3920.0,66145.66500000004
0,7840.0,72000.0
0,9800.0,77919.34000000008
0,1960.0,63000.0
0,3920.0,66000.0
0,3920.0,70772.3525000005
0,5880.0,71772.34999999986
0,0.0,61416.43250000011
0,1960.0,63783.42000000039
0,7840.0,69361.87750000088
0,1960.0,66032.55499999993
0,0.0,60000.0
0,1960.0,63000.0
0,7840.0,72409.6400000006
0,1960.0,63000.0
0,0.0,60000.0
0,1960.0,63000.0
0,9800.0,73399.99750000006
0,0.0,61597.90999999968
0,0.0,60000.0
0,1960.0,63201.887500000186
0,3920.0,68653.32500000019
0,0.0,60000.0
0,0.0,60000.0
0,1960.0,63000.0
0,1960.0,63172.24749999959
0,0.0,60000.0
0,0.0,60000.0
0,0.0,62229.49250000017
0,11760.0,70808.80749999965
0,3920.0,62902.339999999385
0,7840.0,65549.57749999966
0,0.0,60000.0
0,11760.0,78000.0
0,1960.0,65686.58499999996
0,7840.0,72000.0
0,0.0,60000.0
0,9800.0,77426.37999999989
0,1960.0,63000.0
0,3920.0,68755.81999999983
0,0.0,60000.0
0,5880.0,71337.45500000007
0,1960.0,62999.38749999972
0,3920.0,66000.0
0,0.0,60000.0
0,9800.0,74001.0075000003
0,1960.0,63212.04000000004
0,0.0,61796.64000000013
0,0.0,60000.0
0,11760.0,75192.64749999996
0,1960.0,63000.0
0,0.0,60000.0
0,11760.0,67588.34499999974
0,7840.0,74223.8825000003
0,3920.0,64298.82249999931
0,0.0,60000.0
0,9800.0,77728.47250000015
0,1960.0,65212.76249999972
0,3920.0,66000.0
0,0.0,60000.0
0,9800.0,75000.0
0,3920.0,65050.65999999968
0,3920.0,66000.0
0,3920.0,64075.299999999814
0,5880.0,70724.8999999999
0,1960.0,64720.002499999944
0,1960.0,63784.59499999974
0,3920.0,66000.0
0,7840.0,69619.94499999983
0,1960.0,62998.31749999989
0,0.0,62585.61500000022
0,3920.0,66000.0
0,7840.0,72387.0849999995
0,1960.0,63201.42749999976
0,0.0,60000.0
0,1960.0,64035.61499999929
0,5880.0,70338.06249999953
0,1960.0,63000.0
0,0.0,60000.0
0,1960.0,63206.83500000043
0,3920.0,68139.84999999963
0,3920.0,64212.29249999998
0,0.0,60000.0
0,1960.0,63000.0
0,0.0,62406.99749999959
0,3920.0,66000.0
0,0.0,60000.0
0,7840.0,67244.88499999978
0,0.0,60000.0
0,3920.0,66000.0
0,0.0,60000.0
0,7840.0,72000.0
0,0.0,60000.0
0,1960.0,64830.002499999944
0,0.0,60000.0
0,5880.0,70309.59499999974
0,0.0,60000.0
0,1960.0,62999.69499999983
0,0.0,60000.0
0,3920.0,67506.48249999993
0,0.0,60000.0
0,1960.0,63192.95750000002
0,0.0,60000.0
0,3920.0,66218.1625000001
0,0.0,60000.0
0,1960.0,63000.0
0,0.0,60000.0
0,3920.0,65997.85749999993
0,0.0,60000.0
0,0.0,62642.45250000013
0,0.0,60000.0
0,1960.0,65302.247500000056
0,0.0,60000.0
