Makespan (s),Workflow Response time (s)
239,240.0
258,11272.0
12169,2194601.0
7660,1991492.0
234,2055943.0
667,2618276.0
6728,3083978.0
428,2352277.0
397,2296098.0
83,1696422.0
95,1734922.0
95,1735019.0
44,44297.0
2264,141550.0
3863,2878184.0
44,44342.0
8544,3181380.0
53,317241.0
5145,146696.0
141,1088507.0
42,11315.0
69,11385.0
83,44426.0
36,11422.0
55,44482.0
44,11467.0
103,104.0
5965,2612101.0
6278,1679494.0
31,146728.0
25,44508.0
33,317275.0
348,11816.0
35,317311.0
91,1732225.0
215,320.0
8293,1777627.0
110,1756259.0
255,496.0
18,527698.0
16,317328.0
20,611777.0
16,317345.0
70,391.0
72,44581.0
538,930.0
402,12219.0
1185,45767.0
138,146867.0
73,570.0
510,1081.0
989,1920.0
526,612304.0
1866,969000.0
1577,1456147.0
1269,47037.0
2564,808533.0
10,12230.0
118,1160781.0
12,47050.0
109818,3495149.0
65,612370.0
16,317362.0
3175,2853988.0
1354,1236957.0
479,47530.0
10,12241.0
27,47558.0
22,712968.0
1386,975896.0
25,1107.0
1602,2057546.0
1602,2104174.0
3837,1164619.0
277,1088785.0
533,1696956.0
5544,3063528.0
13720,3077249.0
7029,815563.0
2188,1902323.0
1790,1820071.0
156,527855.0
121,146989.0
2166,49725.0
3439,972253.0
292,147282.0
89,1715222.0
194,976091.0
372,612743.0
234,1252894.0
114,713083.0
202,976294.0
214,528070.0
7931,620360.0
212,2013226.0
429,1743708.0
196,147479.0
414,1634322.0
4137,2196978.0
59263,3412603.0
1808,1802488.0
221,813739.0
1699,1346927.0
137,969138.0
50,147530.0
66,612810.0
6431,18673.0
364,1746076.0
197,969336.0
244,18918.0
641,19560.0
657,20218.0
70,49796.0
88,1196.0
273,50070.0
290,147821.0
176382,1982608.0
188,50259.0
64,50324.0
671,1868.0
271,50596.0
2465,2835537.0
41709,1622057.0
129,713213.0
214,1164834.0
166,50763.0
295,317658.0
1985,530056.0
52,147875.0
275,148151.0
166,50930.0
10099,540156.0
11093,3219494.0
3588,2547924.0
55,20274.0
40,50971.0
3725,1753903.0
329,148481.0
1545,319204.0
2016,22291.0
1103,149585.0
20337,2845121.0
1717,151303.0
728,2663526.0
2389,1709645.0
8712,3190093.0
7420,3091399.0
215,613026.0
10660,2698942.0
19268,2824783.0
40,22332.0
77,976372.0
46,860962.0
477,151781.0
53,713267.0
243,1656231.0
45,151827.0
365,2061931.0
2324,1636647.0
2011,1273211.0
2848,1498844.0
46378,2805514.0
6352,1673215.0
818,1803307.0
20,151848.0
102,51074.0
57153,3385330.0
46,51121.0
5070,2704013.0
2490,53612.0
206,613233.0
85,53698.0
76,151925.0
99,53798.0
2072,2331909.0
6210,1919770.0
4330,2215261.0
96,813836.0
21094,1185929.0
1185,1821257.0
2859,1188790.0
2588,1239546.0
860,970197.0
1794,153720.0
592,319797.0
542,713810.0
367,54166.0
592,54759.0
533,154254.0
497,154752.0
6001,866965.0
5359,1278571.0
10630,1666862.0
63,613297.0
472,970670.0
9060,822897.0
117,154870.0
137,540294.0
86,1095157.0
80,996595.0
73,996669.0
216,155087.0
153,613451.0
39,155127.0
276567,596365.0
13951,2210930.0
257,613709.0
52730,3353339.0
24754,2688281.0
237,613948.0
79,970751.0
1502,998172.0
4494,1376578.0
26,864812.0
22,713833.0
1197,23530.0
284,540579.0
402,320834.0
171,321006.0
154,54914.0
1837,1814243.0
4108,1947189.0
7388,822952.0
6806,1095391.0
8018,830916.0
9994,1386573.0
40634,2662797.0
1455,615404.0
166,970919.0
428,2352706.0
151,540731.0
4012,2826881.0
158718,313846.0
262,865075.0
662,998835.0
1787,1784875.0
2332,1681827.0
1658,1734826.0
1041,55956.0
149,976522.0
1614,1699266.0
7934,63891.0
1351,24882.0
39870,580602.0
140411,3239803.0
13822,878898.0
13186,334193.0
131,823084.0
10168,986691.0
14,178492.0
3173,1672852.0
5638,30132.0
5361,1358875.0
6581,1688409.0
1578,180071.0
1036,987728.0
194,823279.0
181,1963175.0
446,867412.0
213140,3067129.0
574,1880966.0
372,823652.0
60862,928276.0
443,879343.0
218,1089004.0
5428,2678630.0
1659,1778769.0
23245,2870799.0
3406,1362282.0
77,580680.0
1946,617351.0
825,2013946.0
153,1890845.0
6727,2822868.0
214,1189005.0
153,1095311.0
11709,2690341.0
398,1947588.0
38,1189044.0
166,1499011.0
2186,1701453.0
1951,1458099.0
277,580958.0
604,879948.0
402,714236.0
10158,2420223.0
2218,2150754.0
1463,1509083.0
5506,2617608.0
1515,1745224.0
7869,187941.0
211,714449.0
10691,74583.0
1832,825485.0
1919,2544335.0
186,617538.0
848,581807.0
10054,84638.0
6527,2759608.0
191,825677.0
311,825989.0
394,1688804.0
123,714573.0
454,85094.0
29973,2576340.0
1167,2601014.0
7338,721912.0
1207,1500219.0
14145,1866807.0
225,617764.0
3502,585310.0
36,1095348.0
3609,1350345.0
42613,2746627.0
8198,1681051.0
19450,2439674.0
9132,1899978.0
10282,2024229.0
1654,989383.0
11190,2055133.0
468,1785344.0
2777,1748854.0
13585,2745034.0
941,1733167.0
1615,990999.0
1162,586473.0
174,334368.0
1108,972028.0
4478,1962993.0
975,335344.0
2329,1191374.0
991,999827.0
1668,1328525.0
262,1660742.0
162,25045.0
64,25110.0
155,880104.0
20069,105164.0
1172,973201.0
503,826493.0
723,827218.0
1053,1096402.0
20,617785.0
14,187956.0
26,880132.0
14,187971.0
38,1191414.0
12,98771.0
20,617806.0
18,586492.0
69,1636717.0
10,25121.0
12,98784.0
2606,337951.0
14,187986.0
358,1278930.0
10,25132.0
222,1279153.0
7232,729145.0
234,1279388.0
12,98797.0
4516,1283905.0
8045,1785674.0
18170,2101227.0
12014,2847552.0
602,1095994.0
2692,2542415.0
178,1000006.0
39953,1279500.0
54875,2407582.0
217,1500437.0
7821,2752857.0
219,1347147.0
93,188080.0
1814,1254709.0
12749,741895.0
30,991030.0
14,188095.0
14,188110.0
5486,1715132.0
1884,1502322.0
2192,1794892.0
1141,1001148.0
2241,2259432.0
487,2410064.0
113,98911.0
4035,1818279.0
222,2055201.0
155,1900134.0
141,25274.0
1701,1363984.0
12,98924.0
20,617827.0
169,1947758.0
397,2296497.0
33821,1225236.0
137,738616.0
37566,864785.0
22481,1301982.0
53,338005.0
325,338331.0
145,617973.0
410,1089415.0
154,1386728.0
1010,2164135.0
2619,1366605.0
506,2055708.0
715,1329241.0
1314,973568.0
4826,1230064.0
1052,831969.0
1072,1367678.0
754,1096749.0
1588,1268301.0
630,1247115.0
2300,1883267.0
6277,2759135.0
2375,1286281.0
4018,2061565.0
9330,1876138.0
2168,2200266.0
2547,2197149.0
176,1458276.0
109,618084.0
9142,3199236.0
9163,3208400.0
7991,3099391.0
8507,1910831.0
2953,1781724.0
533,99458.0
69,1247185.0
3555,1738576.0
405,1430579.0
248,25523.0
61599,3057983.0
1904,1349052.0
26,338358.0
31402,2909587.0
10652,1441232.0
306934,1655987.0
5025,885158.0
8487,2267920.0
84,338443.0
224,1096628.0
474,338918.0
321,1661064.0
81,1694693.0
10253,2023480.0
241,1096871.0
33608,1319890.0
13336,1454569.0
76,586569.0
13100,2036581.0
910,339829.0
3164,994195.0
1723,1638441.0
6911,745528.0
8527,34051.0
77727,962886.0
6197,592767.0
10557,1468834.0
6449,194560.0
502,928779.0
2805,2270726.0
1104,1469939.0
424,1302407.0
1684,833654.0
120393,738478.0
15278,1769182.0
322,742218.0
1736,2284957.0
444,1769628.0
221,1661286.0
664,1303073.0
2161,835816.0
134,1803442.0
71,30204.0
1402,1304476.0
24,835841.0
137,620498.0
299,30504.0
4251,1880391.0
170,620669.0
110,620780.0
1516,2182431.0
3176,33681.0
160,339990.0
358,340349.0
2222,196783.0
1619,101078.0
9693,845535.0
9485,349835.0
14,196798.0
1851,2828733.0
2827,931607.0
3636,104715.0
1512,3381.0
2518,36200.0
9101,601869.0
2746,107462.0
9083,11004.0
5119,201918.0
2638,204557.0
52833,1026035.0
3862,7244.0
73312,178477.0
1487,597853.0
2727,1913559.0
3044,352880.0
728,1622786.0
57415,1566499.0
7422,1890690.0
50101,254659.0
12176,266836.0
81971,702752.0
4707,936315.0
149733,1246484.0
24121,1025270.0
23223,376104.0
16587,392692.0
47282,789501.0
5179,850715.0
51,745580.0
10221,277058.0
39,392732.0
17248,24493.0
29230,1415959.0
4327,2283220.0
729057,4141661.0
1363,852080.0
14712,1653154.0
63313,1088584.0
14821,2257190.0
4834,707587.0
961,1305438.0
12790,610644.0
8203,610073.0
945,1470885.0
1107,1368786.0
145,936461.0
11288,118751.0
8845,1830103.0
605,852686.0
12692,1341934.0
986,119738.0
344,34396.0
3039,1099911.0
18,610093.0
185,745766.0
178,1268480.0
22735,299794.0
10922,1756147.0
157,973726.0
1142,746909.0
30748,2054978.0
1138,937600.0
694,1697651.0
117,392850.0
129,747039.0
43,392894.0
30,994226.0
799,1948558.0
1969,2830703.0
3759,2335669.0
80,747120.0
18,610112.0
71,1659532.0
65,1622852.0
14599,1800274.0
468,1623321.0
76432,469327.0
86795,2996383.0
21124,2083056.0
147,747268.0
34501,2474176.0
24973,2295700.0
50798,2669075.0
154,937755.0
41903,2546366.0
43999,2620340.0
17512,1812405.0
20483,2011976.0
20655,1983831.0
6686,859373.0
51921,2599846.0
21136,2125311.0
27106,2242368.0
30284,2504462.0
41283,2329836.0
30159,2180914.0
36891,2278892.0
283,300078.0
301,300380.0
22557,1852661.0
21848,2013120.0
23309,1943080.0
23466,2078600.0
1422,301803.0
35672,2242000.0
23223,2148535.0
2662,37059.0
1401,121140.0
53,747322.0
7354,1792699.0
135,707723.0
206,1026242.0
239,1089655.0
282,1342218.0
31057,968813.0
1022,37223.0
2468,39529.0
12,121153.0
8,11013.0
192,707916.0
203,121357.0
392,708310.0
423,859797.0
954,1949513.0
59740,1085983.0
164,747487.0
673,302477.0
177,708488.0
2367,2833071.0
167,1268648.0
3885,1258595.0
8265,1957779.0
163,610276.0
117,37341.0
6059,2206326.0
5017,1235082.0
1388,1101300.0
5120,2606135.0
14624,3234119.0
66029,813517.0
6053,1694858.0
247,963134.0
84522,2163124.0
28055,1743278.0
256,1258852.0
854,709343.0
455,1659988.0
153,1502476.0
402,974130.0
139,1258992.0
131,859929.0
1289,790791.0
1733,964868.0
16941,2539164.0
1343,2102571.0
41294,1346734.0
557,2539722.0
3115,1353461.0
7480,1777109.0
2549,1271198.0
1651,1087635.0
4382,1633907.0
143,121501.0
37349,1732043.0
55461,1156762.0
571,709915.0
105705,3172835.0
182,1235265.0
12785,1693838.0
3445,1664732.0
772,1694611.0
3752,1506229.0
3593,2288551.0
5355,1325246.0
16178,2351848.0
4125,2673201.0
13847,1580347.0
65,302543.0
514,1749369.0
1036,2013013.0
151,974282.0
3899,1160662.0
973,122475.0
1194,38536.0
336,1235602.0
56531,2816140.0
145,965014.0
4612,1760872.0
7360,2043942.0
282,860212.0
5124,1628446.0
3213,1250399.0
1832,1091488.0
1265,792057.0
856,995083.0
7133,1745711.0
1609,1326856.0
8460,1769333.0
2259,1252659.0
5881,1421841.0
2890,1345109.0
41106,2731448.0
5801,1707255.0
7941,1429783.0
404,1800679.0
3296,1372083.0
175,1958514.0
490,1660479.0
807,1750177.0
7338,1478224.0
1389,1507619.0
304,995389.0
270,122746.0
369,610646.0
2084,1805527.0
4944,1669677.0
6305,1659460.0
52087,3328176.0
89,1732133.0
24865,3276088.0
24,860237.0
286,792344.0
111,610756.0
17663,3257467.0
123,122870.0
557,1958338.0
50963,520291.0
144,792490.0
168,974451.0
3581,1095070.0
121,792612.0
370,1259363.0
2646,2847768.0
43140,3300608.0
1109,611756.0
1077,1629524.0
1007,521299.0
7348,1266712.0
1479,1696338.0
28704,2192840.0
4946,43483.0
5470,128341.0
5799,134141.0
8662,1991271.0
14054,316598.0
947,2198097.0
1093,996483.0
73,860311.0
2076,136218.0
147,136366.0
174,521474.0
656,710572.0
181,136548.0
133,313980.0
30,996514.0
116,710689.0
1992,2409576.0
696,1806225.0
729,1088365.0
603,860915.0
8542,801155.0
388,1430173.0
117,1345227.0
219,136768.0
148,314129.0
114,39644.0
4764,805920.0
53,710744.0
59113,98758.0
1821,2622162.0
2726,316856.0
1670,612427.0
1362,1783087.0
1888,712633.0
17102,3251222.0
396,316995.0
280,43764.0
6114,527589.0
369,137138.0
491,137630.0
2043,967058.0
57,974509.0
45,316902.0
37,316940.0
49,316990.0
311,712945.0
47,43812.0
128,137759.0
970,138730.0
343,44156.0
33,138764.0
47,805968.0
74,967133.0
17770,1495995.0
35,527625.0
3042,2850812.0
43,317034.0
95,44252.0
3520,2874320.0
3435,320431.0
6451,2753080.0
51,1353513.0
225723,2522222.0
384,139149.0
94,317129.0
84,139234.0
57,317187.0
37,139272.0
53,527679.0
12,139285.0
