Time (s),Tasks #
12.0,248
8.0,31
14.0,259
126.0,14
10.0,131
246.0,4
12169.0,1
306.0,2
4353.0,1
597.0,2
185.0,11
457.0,3
3120.0,1
434.0,3
502.0,2
234.0,9
667.0,2
6728.0,1
428.0,8
397.0,5
83.0,30
95.0,24
18.0,165
2034.0,1
451.0,3
44.0,56
26.0,104
142.0,17
3863.0,1
16.0,229
40.0,57
8544.0,1
34.0,76
22.0,124
814.0,4
532.0,3
771.0,2
2987.0,1
42.0,62
63.0,40
20.0,143
5330.0,1
634.0,1
6200.0,1
77.0,34
61.0,45
32.0,81
36.0,72
91.0,20
53.0,40
320.0,6
114.0,18
7595.0,1
261.0,3
110.0,22
67.0,25
128.0,16
38.0,57
24.0,119
69.0,30
48.0,47
120.0,19
73.0,29
112.0,14
163.0,14
71.0,36
589.0,5
65.0,39
210.0,6
159.0,7
75.0,29
30.0,87
46.0,61
144.0,16
79.0,38
59.0,49
730.0,4
28.0,88
526.0,2
57.0,36
224.0,6
1022.0,2
702.0,3
222.0,16
1216.0,2
2512.0,2
109818.0,1
3175.0,1
459.0,8
228.0,8
853.0,4
416.0,5
604.0,2
728.0,3
626.0,2
1365.0,2
236.0,8
1328.0,1
273.0,6
3728.0,2
93.0,23
55.0,39
104.0,24
100.0,23
89.0,29
153.0,10
5544.0,1
6230.0,1
13720.0,1
304.0,5
1659.0,1
1973.0,1
571.0,5
124.0,11
161.0,10
424.0,3
1524.0,3
893.0,2
1424.0,2
1383.0,1
1032.0,2
1091.0,2
1463.0,1
761.0,2
1255.0,2
1516.0,1
2026.0,1
1177.0,2
1665.0,2
1359.0,2
1371.0,1
1351.0,2
1181.0,1
1789.0,3
804.0,3
953.0,3
693.0,2
553.0,2
106.0,11
200.0,8
348.0,6
1095.0,2
51.0,44
230.0,4
375.0,4
2120.0,2
942.0,2
767.0,1
130.0,12
322.0,8
191.0,10
116.0,20
169.0,11
132.0,10
81.0,22
7871.0,1
212.0,6
326.0,7
102.0,19
97.0,17
336.0,3
316.0,5
3820.0,1
59263.0,1
810.0,2
1675.0,2
1575.0,1
1534.0,1
865.0,2
1208.0,1
1506.0,1
171.0,8
1646.0,1
900.0,1
1481.0,1
3693.0,2
1161.0,3
591.0,1
355.0,5
108.0,18
157.0,10
136.0,10
197.0,8
146.0,14
140.0,16
328.0,3
175628.0,1
283.0,4
2465.0,1
444.0,3
41197.0,1
1061.0,1
863.0,1
218.0,5
1063.0,2
9016.0,1
11093.0,1
614.0,3
1334.0,2
1638.0,1
1071.0,2
1928.0,1
1687.0,1
193.0,7
1444.0,1
271.0,5
204.0,7
138.0,13
134.0,14
12871.0,1
1791.0,1
3263.0,1
7465.0,1
9340.0,1
1514.0,1
87.0,19
8712.0,1
7420.0,1
2010.0,1
2195.0,1
2326.0,2
2414.0,1
2438.0,1
918.0,1
1093.0,2
887.0,1
1038.0,2
3632.0,2
3267.0,1
3316.0,1
3042.0,2
4285.0,1
3297.0,1
3459.0,2
2251.0,1
3395.0,1
2263.0,1
3110.0,1
5022.0,1
3287.0,2
2908.0,2
1893.0,1
1561.0,1
1648.0,3
1818.0,3
5489.0,1
