Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,0.0,500
10,00000000-0000-0000-0000-000000000001,0,0.0,500
20,00000000-0000-0000-0000-000000000000,55,107800.0,500
20,00000000-0000-0000-0000-000000000001,31,60760.0,517
30,00000000-0000-0000-0000-000000000000,55,107800.0,500
30,00000000-0000-0000-0000-000000000001,31,60760.0,525
40,00000000-0000-0000-0000-000000000000,55,107800.0,500
40,00000000-0000-0000-0000-000000000001,31,60760.0,525
50,00000000-0000-0000-0000-000000000000,55,107800.0,500
50,00000000-0000-0000-0000-000000000001,31,60760.0,525
60,00000000-0000-0000-0000-000000000000,55,107800.0,500
60,00000000-0000-0000-0000-000000000001,29,56840.0,957
70,00000000-0000-0000-0000-000000000000,55,107800.0,500
70,00000000-0000-0000-0000-000000000001,29,56840.0,1225
80,00000000-0000-0000-0000-000000000000,21,41160.0,823
80,00000000-0000-0000-0000-000000000001,5,9800.0,878
90,00000000-0000-0000-0000-000000000000,21,41160.0,1025
90,00000000-0000-0000-0000-000000000001,5,9800.0,625
100,00000000-0000-0000-0000-000000000000,12,23520.0,909
100,00000000-0000-0000-0000-000000000001,4,7840.0,611
110,00000000-0000-0000-0000-000000000000,11,21560.0,787
110,00000000-0000-0000-0000-000000000001,4,7840.0,600
120,00000000-0000-0000-0000-000000000000,2,3920.0,755
120,00000000-0000-0000-0000-000000000001,0,0.0,591
130,00000000-0000-0000-0000-000000000000,0,0.0,510
130,00000000-0000-0000-0000-000000000001,1,1960.0,514
140,00000000-0000-0000-0000-000000000000,0,0.0,500
140,00000000-0000-0000-0000-000000000001,1,1960.0,525
150,00000000-0000-0000-0000-000000000000,0,0.0,500
150,00000000-0000-0000-0000-000000000001,1,1960.0,525
160,00000000-0000-0000-0000-000000000000,0,0.0,500
160,00000000-0000-0000-0000-000000000001,1,1960.0,525
170,00000000-0000-0000-0000-000000000000,0,0.0,500
170,00000000-0000-0000-0000-000000000001,1,1960.0,525
180,00000000-0000-0000-0000-000000000000,0,0.0,500
180,00000000-0000-0000-0000-000000000001,1,1960.0,525
190,00000000-0000-0000-0000-000000000000,54,105840.0,509
190,00000000-0000-0000-0000-000000000001,31,60760.0,523
200,00000000-0000-0000-0000-000000000000,54,105840.0,525
200,00000000-0000-0000-0000-000000000001,31,60760.0,525
210,00000000-0000-0000-0000-000000000000,53,103880.0,991
210,00000000-0000-0000-0000-000000000001,31,60760.0,525
220,00000000-0000-0000-0000-000000000000,53,103880.0,1825
220,00000000-0000-0000-0000-000000000001,31,60760.0,525
230,00000000-0000-0000-0000-000000000000,53,103880.0,1825
230,00000000-0000-0000-0000-000000000001,31,60760.0,525
240,00000000-0000-0000-0000-000000000000,53,103880.0,1825
240,00000000-0000-0000-0000-000000000001,31,60760.0,525
250,00000000-0000-0000-0000-000000000000,41,80360.0,1668
250,00000000-0000-0000-0000-000000000001,14,27440.0,620
260,00000000-0000-0000-0000-000000000000,41,80360.0,1525
260,00000000-0000-0000-0000-000000000001,14,27440.0,850
270,00000000-0000-0000-0000-000000000000,25,49000.0,1435
270,00000000-0000-0000-0000-000000000001,7,13720.0,808
280,00000000-0000-0000-0000-000000000000,25,49000.0,1125
280,00000000-0000-0000-0000-000000000001,7,13720.0,675
290,00000000-0000-0000-0000-000000000000,24,47040.0,1122
290,00000000-0000-0000-0000-000000000001,7,13720.0,675
300,00000000-0000-0000-0000-000000000000,16,31360.0,952
300,00000000-0000-0000-0000-000000000001,0,0.0,542
310,00000000-0000-0000-0000-000000000000,7,13720.0,882
310,00000000-0000-0000-0000-000000000001,0,0.0,500
320,00000000-0000-0000-0000-000000000000,6,11760.0,671
320,00000000-0000-0000-0000-000000000001,1,1960.0,502
330,00000000-0000-0000-0000-000000000000,4,7840.0,648
330,00000000-0000-0000-0000-000000000001,1,1960.0,525
340,00000000-0000-0000-0000-000000000000,4,7840.0,600
340,00000000-0000-0000-0000-000000000001,1,1960.0,525
350,00000000-0000-0000-0000-000000000000,4,7840.0,600
350,00000000-0000-0000-0000-000000000001,1,1960.0,525
360,00000000-0000-0000-0000-000000000000,0,0.0,515
360,00000000-0000-0000-0000-000000000001,1,1960.0,525
370,00000000-0000-0000-0000-000000000000,0,0.0,500
370,00000000-0000-0000-0000-000000000001,1,1960.0,525
380,00000000-0000-0000-0000-000000000000,0,0.0,500
380,00000000-0000-0000-0000-000000000001,1,1960.0,525
390,00000000-0000-0000-0000-000000000000,8,15680.0,517
390,00000000-0000-0000-0000-000000000001,8,15680.0,518
400,00000000-0000-0000-0000-000000000000,8,15680.0,525
400,00000000-0000-0000-0000-000000000001,8,15680.0,525
410,00000000-0000-0000-0000-000000000000,8,15680.0,525
410,00000000-0000-0000-0000-000000000001,8,15680.0,525
420,00000000-0000-0000-0000-000000000000,8,15680.0,525
420,00000000-0000-0000-0000-000000000001,8,15680.0,525
430,00000000-0000-0000-0000-000000000000,8,15680.0,525
430,00000000-0000-0000-0000-000000000001,8,15680.0,525
440,00000000-0000-0000-0000-000000000000,8,15680.0,525
440,00000000-0000-0000-0000-000000000001,8,15680.0,525
450,00000000-0000-0000-0000-000000000000,8,15680.0,525
450,00000000-0000-0000-0000-000000000001,8,15680.0,525
460,00000000-0000-0000-0000-000000000000,8,15680.0,525
460,00000000-0000-0000-0000-000000000001,8,15680.0,525
470,00000000-0000-0000-0000-000000000000,8,15680.0,525
470,00000000-0000-0000-0000-000000000001,3,5880.0,551
480,00000000-0000-0000-0000-000000000000,8,15680.0,525
480,00000000-0000-0000-0000-000000000001,3,5880.0,575
490,00000000-0000-0000-0000-000000000000,8,15680.0,525
490,00000000-0000-0000-0000-000000000001,0,0.0,553
500,00000000-0000-0000-0000-000000000000,8,15680.0,525
500,00000000-0000-0000-0000-000000000001,8,15680.0,517
510,00000000-0000-0000-0000-000000000000,8,15680.0,525
510,00000000-0000-0000-0000-000000000001,8,15680.0,525
520,00000000-0000-0000-0000-000000000000,8,15680.0,525
520,00000000-0000-0000-0000-000000000001,8,15680.0,525
530,00000000-0000-0000-0000-000000000000,8,15680.0,525
530,00000000-0000-0000-0000-000000000001,8,15680.0,525
540,00000000-0000-0000-0000-000000000000,8,15680.0,525
540,00000000-0000-0000-0000-000000000001,8,15680.0,525
550,00000000-0000-0000-0000-000000000000,8,15680.0,525
550,00000000-0000-0000-0000-000000000001,8,15680.0,525
560,00000000-0000-0000-0000-000000000000,8,15680.0,525
560,00000000-0000-0000-0000-000000000001,8,15680.0,525
570,00000000-0000-0000-0000-000000000000,8,15680.0,525
570,00000000-0000-0000-0000-000000000001,8,15680.0,525
580,00000000-0000-0000-0000-000000000000,8,15680.0,525
580,00000000-0000-0000-0000-000000000001,8,15680.0,525
590,00000000-0000-0000-0000-000000000000,8,15680.0,525
590,00000000-0000-0000-0000-000000000001,8,15680.0,525
