Makespan (s),Workflow Response time (s)
75,72855.0
75,75144.0
75,72831.0
75,72779.0
75,72755.0
75,73064.0
75,73140.0
3,4.0
75,72907.0
75,72931.0
75,72983.0
73,71739.0
3,4.0
3,8.0
3,8.0
3,12.0
75,72703.0
37,83149.0
18,77690.0
18,75635.0
37,74823.0
18,72969.0
18,75428.0
18,75258.0
18,75030.0
18,83140.0
37,74877.0
37,75239.0
37,75068.0
56,72660.0
56,75862.0
56,73349.0
56,74728.0
56,74668.0
56,73364.0
56,75201.0
56,73216.0
56,74785.0
56,75104.0
376,98559.0
187,84477.0
206,99198.0
187,75616.0
169,75047.0
187,75011.0
187,90022.0
187,87435.0
187,75613.0
187,79540.0
187,87516.0
187,75425.0
187,84601.0
246,114285.0
1283,165298.0
435,150049.0
452,97481.0
454,92189.0
565,93303.0
354,101898.0
150,118954.0
376,104305.0
156,169.0
176,346.0
411,114394.0
359,118108.0
589,126795.0
513,113474.0
1092,131994.0
921,129789.0
1126,133121.0
490,134591.0
435,123554.0
338,121740.0
793,166886.0
793,179124.0
132,75237.0
95,321.0
2,324.0
2,327.0
2,330.0
358,100955.0
376,94034.0
376,102939.0
1,332.0
1,334.0
1,336.0
1,338.0
1,340.0
1,342.0
1,344.0
1,346.0
1,348.0
376,119503.0
1,348.0
339,103162.0
1,350.0
376,100030.0
339,97428.0
321,101234.0
376,97805.0
95,444.0
302,653.0
1,446.0
376,104363.0
339,96651.0
358,96881.0
376,108123.0
376,102652.0
1,448.0
339,788.0
339,993.0
358,107689.0
2,791.0
2,794.0
2,797.0
376,102275.0
152,950.0
2,953.0
376,104682.0
376,105174.0
376,104740.0
2,956.0
2,959.0
2,962.0
2,965.0
2,968.0
20,989.0
20,1010.0
20,1014.0
20,1031.0
20,1035.0
20,1052.0
20,1056.0
20,1073.0
20,1077.0
20,1094.0
20,1098.0
42,1137.0
2,1101.0
59,1161.0
77,1215.0
77,1239.0
76,1292.0
96,1336.0
76,1369.0
96,1433.0
77,1447.0
153,1587.0
153,1601.0
172,1760.0
153,1755.0
77,1833.0
418,2179.0
358,95559.0
376,109397.0
153,1987.0
77,2065.0
77,2143.0
77,2221.0
434,2614.0
376,97028.0
378,97860.0
376,98614.0
187,79597.0
187,87811.0
187,88814.0
169,77279.0
169,76916.0
455,2677.0
113,83254.0
494,3109.0
113,86950.0
510,3188.0
113,76921.0
549,3659.0
479,3668.0
494,4154.0
643,4312.0
501,4656.0
530,4843.0
21,4678.0
21,4700.0
21,4722.0
21,4744.0
21,4766.0
40,4807.0
1,4809.0
1,4811.0
743,5555.0
818,89019.0
686,5530.0
518,6049.0
758,72515.0
501,6057.0
1,6051.0
2776,8834.0
1,8057.0
1,8059.0
113,86495.0
1,8061.0
1,8063.0
1,8065.0
1,8067.0
1,8069.0
187,86683.0
1,8071.0
1,8073.0
1,8075.0
1,8077.0
187,87623.0
187,76746.0
206,100237.0
187,83337.0
187,75801.0
1,8079.0
187,77878.0
187,76330.0
187,76427.0
113,77030.0
187,77957.0
187,86683.0
187,79728.0
206,97088.0
187,77109.0
187,78066.0
187,87059.0
187,87138.0
187,77332.0
187,76050.0
187,78145.0
187,87247.0
187,78254.0
0,8080.0
1,8082.0
1,8084.0
1,8086.0
1,8088.0
1,8090.0
2,8093.0
454,8548.0
189,89701.0
189,88001.0
378,100553.0
189,84667.0
208,102562.0
170,74839.0
210,101166.0
189,74500.0
208,109681.0
189,76142.0
18,8567.0
18,8586.0
18,8605.0
18,8624.0
18,8643.0
18,8662.0
