Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,0.0,500
10,00000000-0000-0000-0000-000000000001,0,0.0,500
20,00000000-0000-0000-0000-000000000000,50,108000.0,500
20,00000000-0000-0000-0000-000000000001,36,77760.0,500
30,00000000-0000-0000-0000-000000000000,50,108000.0,500
30,00000000-0000-0000-0000-000000000001,36,77760.0,500
40,00000000-0000-0000-0000-000000000000,50,108000.0,500
40,00000000-0000-0000-0000-000000000001,36,77760.0,500
50,00000000-0000-0000-0000-000000000000,50,108000.0,500
50,00000000-0000-0000-0000-000000000001,36,77760.0,500
60,00000000-0000-0000-0000-000000000000,50,108000.0,500
60,00000000-0000-0000-0000-000000000001,34,73440.0,1467
70,00000000-0000-0000-0000-000000000000,22,47520.0,590
70,00000000-0000-0000-0000-000000000001,8,17280.0,1364
80,00000000-0000-0000-0000-000000000000,19,41040.0,1046
80,00000000-0000-0000-0000-000000000001,7,15120.0,701
90,00000000-0000-0000-0000-000000000000,12,25920.0,984
90,00000000-0000-0000-0000-000000000001,4,8640.0,680
100,00000000-0000-0000-0000-000000000000,11,23760.0,832
100,00000000-0000-0000-0000-000000000001,4,8640.0,614
110,00000000-0000-0000-0000-000000000000,2,4320.0,796
110,00000000-0000-0000-0000-000000000001,0,0.0,606
120,00000000-0000-0000-0000-000000000000,0,0.0,511
120,00000000-0000-0000-0000-000000000001,1,2160.0,517
130,00000000-0000-0000-0000-000000000000,0,0.0,499
130,00000000-0000-0000-0000-000000000001,1,2160.0,528
140,00000000-0000-0000-0000-000000000000,0,0.0,500
140,00000000-0000-0000-0000-000000000001,1,2160.0,528
150,00000000-0000-0000-0000-000000000000,0,0.0,500
150,00000000-0000-0000-0000-000000000001,1,2160.0,528
160,00000000-0000-0000-0000-000000000000,0,0.0,500
160,00000000-0000-0000-0000-000000000001,1,2160.0,528
170,00000000-0000-0000-0000-000000000000,0,0.0,500
170,00000000-0000-0000-0000-000000000001,0,0.0,527
180,00000000-0000-0000-0000-000000000000,48,103680.0,528
180,00000000-0000-0000-0000-000000000001,37,79920.0,500
190,00000000-0000-0000-0000-000000000000,48,103680.0,528
190,00000000-0000-0000-0000-000000000001,36,77760.0,652
200,00000000-0000-0000-0000-000000000000,48,103680.0,528
200,00000000-0000-0000-0000-000000000001,36,77760.0,1528
210,00000000-0000-0000-0000-000000000000,48,103680.0,528
210,00000000-0000-0000-0000-000000000001,36,77760.0,1528
220,00000000-0000-0000-0000-000000000000,48,103680.0,528
220,00000000-0000-0000-0000-000000000001,36,77760.0,1528
230,00000000-0000-0000-0000-000000000000,38,82080.0,922
230,00000000-0000-0000-0000-000000000001,17,36720.0,1292
240,00000000-0000-0000-0000-000000000000,38,82080.0,1585
240,00000000-0000-0000-0000-000000000001,17,36720.0,985
250,00000000-0000-0000-0000-000000000000,23,49680.0,1337
250,00000000-0000-0000-0000-000000000001,9,19440.0,850
260,00000000-0000-0000-0000-000000000000,23,49680.0,1157
260,00000000-0000-0000-0000-000000000001,9,19440.0,757
270,00000000-0000-0000-0000-000000000000,16,34560.0,1073
270,00000000-0000-0000-0000-000000000001,1,2160.0,677
280,00000000-0000-0000-0000-000000000000,16,34560.0,957
280,00000000-0000-0000-0000-000000000001,0,0.0,500
290,00000000-0000-0000-0000-000000000000,7,15120.0,740
290,00000000-0000-0000-0000-000000000001,0,0.0,500
300,00000000-0000-0000-0000-000000000000,6,12960.0,672
300,00000000-0000-0000-0000-000000000001,1,2160.0,525
310,00000000-0000-0000-0000-000000000000,4,8640.0,614
310,00000000-0000-0000-0000-000000000001,1,2160.0,528
320,00000000-0000-0000-0000-000000000000,3,6480.0,610
320,00000000-0000-0000-0000-000000000001,1,2160.0,528
330,00000000-0000-0000-0000-000000000000,0,0.0,503
330,00000000-0000-0000-0000-000000000001,1,2160.0,528
340,00000000-0000-0000-0000-000000000000,0,0.0,500
340,00000000-0000-0000-0000-000000000001,1,2160.0,528
350,00000000-0000-0000-0000-000000000000,8,17280.0,502
350,00000000-0000-0000-0000-000000000001,0,0.0,518
360,00000000-0000-0000-0000-000000000000,8,17280.0,528
360,00000000-0000-0000-0000-000000000001,8,17280.0,525
370,00000000-0000-0000-0000-000000000000,8,17280.0,528
370,00000000-0000-0000-0000-000000000001,8,17280.0,528
380,00000000-0000-0000-0000-000000000000,8,17280.0,528
380,00000000-0000-0000-0000-000000000001,8,17280.0,528
390,00000000-0000-0000-0000-000000000000,8,17280.0,528
390,00000000-0000-0000-0000-000000000001,8,17280.0,528
400,00000000-0000-0000-0000-000000000000,8,17280.0,528
400,00000000-0000-0000-0000-000000000001,8,17280.0,528
410,00000000-0000-0000-0000-000000000000,8,17280.0,528
410,00000000-0000-0000-0000-000000000001,8,17280.0,528
420,00000000-0000-0000-0000-000000000000,8,17280.0,528
420,00000000-0000-0000-0000-000000000001,8,17280.0,528
430,00000000-0000-0000-0000-000000000000,3,6480.0,568
430,00000000-0000-0000-0000-000000000001,8,17280.0,528
440,00000000-0000-0000-0000-000000000000,3,6480.0,585
440,00000000-0000-0000-0000-000000000001,8,17280.0,528
450,00000000-0000-0000-0000-000000000000,8,17280.0,532
450,00000000-0000-0000-0000-000000000001,8,17280.0,528
460,00000000-0000-0000-0000-000000000000,8,17280.0,528
460,00000000-0000-0000-0000-000000000001,8,17280.0,528
470,00000000-0000-0000-0000-000000000000,8,17280.0,528
470,00000000-0000-0000-0000-000000000001,8,17280.0,528
480,00000000-0000-0000-0000-000000000000,8,17280.0,528
480,00000000-0000-0000-0000-000000000001,8,17280.0,528
490,00000000-0000-0000-0000-000000000000,8,17280.0,528
490,00000000-0000-0000-0000-000000000001,8,17280.0,528
500,00000000-0000-0000-0000-000000000000,8,17280.0,528
500,00000000-0000-0000-0000-000000000001,8,17280.0,528
510,00000000-0000-0000-0000-000000000000,8,17280.0,528
510,00000000-0000-0000-0000-000000000001,8,17280.0,528
520,00000000-0000-0000-0000-000000000000,8,17280.0,528
520,00000000-0000-0000-0000-000000000001,8,17280.0,528
530,00000000-0000-0000-0000-000000000000,8,17280.0,528
530,00000000-0000-0000-0000-000000000001,8,17280.0,528
540,00000000-0000-0000-0000-000000000000,8,17280.0,528
540,00000000-0000-0000-0000-000000000001,8,17280.0,528
550,00000000-0000-0000-0000-000000000000,8,17280.0,528
550,00000000-0000-0000-0000-000000000001,8,17280.0,528
560,00000000-0000-0000-0000-000000000000,8,17280.0,528
560,00000000-0000-0000-0000-000000000001,8,17280.0,528
570,00000000-0000-0000-0000-000000000000,8,17280.0,528
570,00000000-0000-0000-0000-000000000001,8,17280.0,528
580,00000000-0000-0000-0000-000000000000,8,17280.0,528
580,00000000-0000-0000-0000-000000000001,8,17280.0,528
590,00000000-0000-0000-0000-000000000000,8,17280.0,528
590,00000000-0000-0000-0000-000000000001,8,17280.0,528
