Makespan (s),Workflow Response time (s)
83,23696.0
83,24866.0
83,23655.0
83,23628.0
83,23612.0
83,23817.0
83,23823.0
3,4.0
83,23712.0
83,23719.0
83,23739.0
81,23402.0
3,4.0
3,4.0
3,4.0
3,4.0
83,23571.0
40,26340.0
20,25509.0
20,24923.0
40,24704.0
20,23733.0
20,24887.0
20,24867.0
20,24782.0
20,26357.0
40,24745.0
41,24846.0
41,24803.0
61,23507.0
61,25010.0
61,23963.0
61,24663.0
61,24601.0
61,23969.0
61,24865.0
61,23844.0
61,24695.0
61,24844.0
414,32188.0
206,26920.0
226,32297.0
206,25094.0
227,24948.0
206,24902.0
206,29309.0
226,28548.0
206,25074.0
206,26136.0
206,28571.0
206,25051.0
206,26969.0
270,36248.0
1476,47380.0
480,44236.0
498,31958.0
521,30114.0
629,30477.0
390,33159.0
227,37205.0
415,33633.0
172,173.0
194,199.0
474,36401.0
441,37127.0
526,39623.0
504,36347.0
1078,40980.0
910,40501.0
1118,41335.0
416,41092.0
376,38679.0
391,37968.0
874,47361.0
874,49115.0
145,24929.0
105,110.0
2,7.0
2,7.0
2,7.0
394,32802.0
414,30688.0
414,33297.0
1,9.0
1,9.0
1,9.0
1,11.0
1,11.0
1,11.0
1,13.0
1,13.0
1,13.0
415,37621.0
1,15.0
373,33492.0
1,15.0
414,32703.0
373,31873.0
353,32878.0
414,32034.0
105,119.0
333,349.0
1,17.0
414,33660.0
373,31710.0
394,31773.0
414,34665.0
414,33245.0
1,19.0
374,394.0
374,437.0
394,34482.0
2,69.0
2,72.0
2,75.0
414,33191.0
168,244.0
2,113.0
414,33694.0
414,33907.0
414,33708.0
2,116.0
2,119.0
2,122.0
2,122.0
2,125.0
22,145.0
22,148.0
22,168.0
22,171.0
22,191.0
22,194.0
22,196.0
22,214.0
22,217.0
22,219.0
22,222.0
46,261.0
2,220.0
64,284.0
85,306.0
85,308.0
84,329.0
105,367.0
84,369.0
105,412.0
85,394.0
168,498.0
168,518.0
189,557.0
168,538.0
85,480.0
460,855.0
394,31378.0
426,35154.0
168,581.0
85,523.0
85,566.0
85,584.0
478,997.0
414,31811.0
416,32070.0
414,32226.0
206,26153.0
206,28673.0
206,28942.0
186,25493.0
186,25423.0
500,1024.0
125,26466.0
543,1082.0
125,28205.0
561,1119.0
125,25366.0
605,1172.0
527,1109.0
543,1128.0
709,1565.0
551,1549.0
583,1608.0
23,1106.0
23,1130.0
23,1133.0
23,1143.0
23,1152.0
43,1174.0
1,1135.0
1,1137.0
818,1956.0
899,29551.0
756,1900.0
569,1722.0
834,24237.0
552,1725.0
1,1176.0
2399,4008.0
1,1724.0
1,1726.0
125,27707.0
1,1727.0
1,1728.0
1,1729.0
1,1730.0
1,1731.0
206,27872.0
1,1732.0
1,1733.0
1,1734.0
1,1735.0
206,28589.0
206,25424.0
226,32524.0
206,26547.0
206,25097.0
1,1736.0
206,25700.0
206,25281.0
206,25301.0
125,25385.0
206,25716.0
206,27914.0
206,26170.0
226,31653.0
206,25488.0
206,25763.0
206,28290.0
206,28412.0
206,25573.0
206,25217.0
206,25780.0
206,28482.0
206,25799.0
0,1736.0
1,1738.0
1,1738.0
1,1740.0
1,1740.0
1,1742.0
2,1743.0
501,2244.0
208,29151.0
208,28708.0
416,32719.0
208,26984.0
228,33107.0
213,24782.0
230,32771.0
208,24446.0
228,35019.0
208,25240.0
20,1764.0
20,1785.0
20,1806.0
20,1827.0
20,1848.0
20,1869.0
874,47542.0
874,49053.0
105,1975.0
105,2006.0
105,2062.0
82,2058.0
105,2112.0
82,2141.0
105,2168.0
105,2218.0
82,2224.0
82,2251.0
84,2303.0
82,2307.0
105,2350.0
105,2357.0
105,2409.0
84,2392.0
105,2456.0
105,2463.0
105,2498.0
125,26090.0
105,2515.0
123,23544.0
105,2562.0
105,2569.0
82,2581.0
105,2621.0
82,2645.0
82,2652.0
