Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,55,107800.0,500
10,00000000-0000-0000-0000-000000000001,54,105840.0,512
10,00000000-0000-0000-0000-000000000002,31,60760.0,522
10,00000000-0000-0000-0000-000000000003,0,0.0,500
10,00000000-0000-0000-0000-000000000004,0,0.0,500
10,00000000-0000-0000-0000-000000000005,0,0.0,500
10,00000000-0000-0000-0000-000000000006,16,31360.0,512
10,00000000-0000-0000-0000-000000000007,31,60760.0,512
20,00000000-0000-0000-0000-000000000000,55,107800.0,499
20,00000000-0000-0000-0000-000000000001,54,105840.0,525
20,00000000-0000-0000-0000-000000000002,31,60760.0,524
20,00000000-0000-0000-0000-000000000003,8,15680.0,514
20,00000000-0000-0000-0000-000000000004,0,0.0,500
20,00000000-0000-0000-0000-000000000005,8,15680.0,509
20,00000000-0000-0000-0000-000000000006,16,31360.0,525
20,00000000-0000-0000-0000-000000000007,31,60760.0,525
30,00000000-0000-0000-0000-000000000000,55,107800.0,500
30,00000000-0000-0000-0000-000000000001,53,103880.0,1121
30,00000000-0000-0000-0000-000000000002,31,60760.0,525
30,00000000-0000-0000-0000-000000000003,8,15680.0,525
30,00000000-0000-0000-0000-000000000004,8,15680.0,524
30,00000000-0000-0000-0000-000000000005,8,15680.0,525
30,00000000-0000-0000-0000-000000000006,16,31360.0,525
30,00000000-0000-0000-0000-000000000007,31,60760.0,525
40,00000000-0000-0000-0000-000000000000,55,107800.0,500
40,00000000-0000-0000-0000-000000000001,53,103880.0,1825
40,00000000-0000-0000-0000-000000000002,31,60760.0,525
40,00000000-0000-0000-0000-000000000003,8,15680.0,525
40,00000000-0000-0000-0000-000000000004,8,15680.0,525
40,00000000-0000-0000-0000-000000000005,8,15680.0,525
40,00000000-0000-0000-0000-000000000006,16,31360.0,525
40,00000000-0000-0000-0000-000000000007,31,60760.0,525
50,00000000-0000-0000-0000-000000000000,55,107800.0,500
50,00000000-0000-0000-0000-000000000001,53,103880.0,1824
50,00000000-0000-0000-0000-000000000002,29,56840.0,1097
50,00000000-0000-0000-0000-000000000003,8,15680.0,525
50,00000000-0000-0000-0000-000000000004,8,15680.0,525
50,00000000-0000-0000-0000-000000000005,8,15680.0,525
50,00000000-0000-0000-0000-000000000006,15,29400.0,671
50,00000000-0000-0000-0000-000000000007,31,60760.0,525
60,00000000-0000-0000-0000-000000000000,55,107800.0,500
60,00000000-0000-0000-0000-000000000001,53,103880.0,1825
60,00000000-0000-0000-0000-000000000002,29,56840.0,1225
60,00000000-0000-0000-0000-000000000003,8,15680.0,525
60,00000000-0000-0000-0000-000000000004,8,15680.0,525
60,00000000-0000-0000-0000-000000000005,8,15680.0,525
60,00000000-0000-0000-0000-000000000006,15,29400.0,875
60,00000000-0000-0000-0000-000000000007,31,60760.0,525
70,00000000-0000-0000-0000-000000000000,29,56840.0,1046
70,00000000-0000-0000-0000-000000000001,25,49000.0,1565
70,00000000-0000-0000-0000-000000000002,5,9800.0,758
70,00000000-0000-0000-0000-000000000003,8,15680.0,525
70,00000000-0000-0000-0000-000000000004,8,15680.0,525
70,00000000-0000-0000-0000-000000000005,8,15680.0,525
70,00000000-0000-0000-0000-000000000006,6,11760.0,790
70,00000000-0000-0000-0000-000000000007,14,27440.0,652
80,00000000-0000-0000-0000-000000000000,29,56840.0,1225
80,00000000-0000-0000-0000-000000000001,33,64680.0,1134
80,00000000-0000-0000-0000-000000000002,5,9800.0,625
80,00000000-0000-0000-0000-000000000003,8,15680.0,524
80,00000000-0000-0000-0000-000000000004,8,15680.0,524
80,00000000-0000-0000-0000-000000000005,8,15680.0,524
80,00000000-0000-0000-0000-000000000006,6,11760.0,650
80,00000000-0000-0000-0000-000000000007,14,27440.0,850
90,00000000-0000-0000-0000-000000000000,20,39200.0,1064
90,00000000-0000-0000-0000-000000000001,17,33320.0,1079
90,00000000-0000-0000-0000-000000000002,4,7840.0,606
90,00000000-0000-0000-0000-000000000003,8,15680.0,525
90,00000000-0000-0000-0000-000000000004,8,15680.0,525
90,00000000-0000-0000-0000-000000000005,8,15680.0,525
90,00000000-0000-0000-0000-000000000006,4,7840.0,633
90,00000000-0000-0000-0000-000000000007,7,13720.0,791
100,00000000-0000-0000-0000-000000000000,19,37240.0,982
100,00000000-0000-0000-0000-000000000001,17,33320.0,925
100,00000000-0000-0000-0000-000000000002,4,7840.0,600
100,00000000-0000-0000-0000-000000000003,3,5880.0,546
100,00000000-0000-0000-0000-000000000004,8,15680.0,525
100,00000000-0000-0000-0000-000000000005,8,15680.0,525
100,00000000-0000-0000-0000-000000000006,4,7840.0,600
100,00000000-0000-0000-0000-000000000007,7,13720.0,675
110,00000000-0000-0000-0000-000000000000,9,17640.0,908
110,00000000-0000-0000-0000-000000000001,17,33320.0,925
110,00000000-0000-0000-0000-000000000002,0,0.0,571
110,00000000-0000-0000-0000-000000000003,3,5880.0,575
110,00000000-0000-0000-0000-000000000004,8,15680.0,525
110,00000000-0000-0000-0000-000000000005,8,15680.0,525
110,00000000-0000-0000-0000-000000000006,0,0.0,585
110,00000000-0000-0000-0000-000000000007,7,13720.0,675
120,00000000-0000-0000-0000-000000000000,8,15680.0,703
120,00000000-0000-0000-0000-000000000001,9,17640.0,757
120,00000000-0000-0000-0000-000000000002,1,1960.0,519
120,00000000-0000-0000-0000-000000000003,0,0.0,560
120,00000000-0000-0000-0000-000000000004,8,15680.0,525
120,00000000-0000-0000-0000-000000000005,8,15680.0,525
120,00000000-0000-0000-0000-000000000006,0,0.0,500
120,00000000-0000-0000-0000-000000000007,0,0.0,524
130,00000000-0000-0000-0000-000000000000,8,15680.0,700
130,00000000-0000-0000-0000-000000000001,9,17640.0,725
130,00000000-0000-0000-0000-000000000002,1,1960.0,525
130,00000000-0000-0000-0000-000000000003,1,1960.0,517
130,00000000-0000-0000-0000-000000000004,8,15680.0,525
130,00000000-0000-0000-0000-000000000005,8,15680.0,525
130,00000000-0000-0000-0000-000000000006,1,1960.0,509
130,00000000-0000-0000-0000-000000000007,0,0.0,500
140,00000000-0000-0000-0000-000000000000,8,15680.0,700
140,00000000-0000-0000-0000-000000000001,8,15680.0,719
140,00000000-0000-0000-0000-000000000002,1,1960.0,525
140,00000000-0000-0000-0000-000000000003,1,1960.0,525
140,00000000-0000-0000-0000-000000000004,8,15680.0,525
140,00000000-0000-0000-0000-000000000005,8,15680.0,525
140,00000000-0000-0000-0000-000000000006,1,1960.0,524
140,00000000-0000-0000-0000-000000000007,1,1960.0,504
150,00000000-0000-0000-0000-000000000000,8,15680.0,700
150,00000000-0000-0000-0000-000000000001,8,15680.0,700
150,00000000-0000-0000-0000-000000000002,1,1960.0,525
150,00000000-0000-0000-0000-000000000003,1,1960.0,518
150,00000000-0000-0000-0000-000000000004,8,15680.0,525
150,00000000-0000-0000-0000-000000000005,8,15680.0,525
150,00000000-0000-0000-0000-000000000006,1,1960.0,518
150,00000000-0000-0000-0000-000000000007,1,1960.0,525
