Makespan (s),Workflow Response time (s)
24,893293.0
47,881887.0
10778,10779.0
22,883124.0
24,885392.0
235,443.0
233,677.0
379,1057.0
277,658415.0
47,882607.0
24,886488.0
47,882319.0
25,1083.0
47,881577.0
47,881981.0
47,882336.0
45,881667.0
45,881883.0
47,881475.0
47,882025.0
47,881517.0
47,882029.0
24,883976.0
24,956319.0
39,1123.0
561,1685.0
540,2226.0
226,11006.0
294,430318.0
397,431852.0
146,11072.0
232,435301.0
227,11234.0
22,883147.0
24,887449.0
47,882121.0
47,882655.0
47,882789.0
0,11073.0
47,882726.0
47,883078.0
47,883140.0
47,882741.0
47,882837.0
24,884067.0
22,883030.0
47,882964.0
47,882845.0
47,882559.0
0,430815.0
0,430950.0
24,887028.0
47,883195.0
47,882463.0
47,882077.0
47,882240.0
47,882774.0
0,430951.0
0,431156.0
0,430953.0
0,430398.0
0,430320.0
0,430952.0
1,432347.0
0,430371.0
0,430814.0
0,430009.0
47,882916.0
0,431812.0
47,882288.0
0,430859.0
47,881977.0
0,430372.0
289,660912.0
337,432190.0
24,885332.0
292,634577.0
300,450544.0
238,11312.0
45,881929.0
229,11542.0
25,11568.0
24,883856.0
231,11774.0
292,655261.0
25,11594.0
146,11741.0
0,11742.0
289,12032.0
217,11992.0
234,12267.0
0,430767.0
217,12450.0
24,885367.0
41,559917.0
53,883388.0
45,881933.0
0,430956.0
24,905346.0
284,12735.0
47,882367.0
47,882511.0
47,882073.0
24,883659.0
24,887112.0
23,12723.0
0,12724.0
0,12725.0
0,12726.0
22,883501.0
0,12727.0
47,882643.0
47,882192.0
0,12728.0
0,12729.0
47,883436.0
0,12730.0
1255,993167.0
0,12731.0
1447,14183.0
0,12882.0
229,14413.0
0,14333.0
0,431355.0
0,14334.0
0,432398.0
0,431357.0
0,430765.0
24,905321.0
25,14360.0
0,431811.0
0,425883.0
43,14404.0
23,14428.0
0,14414.0
251,782506.0
269,14684.0
289,691789.0
145,14574.0
24,897631.0
24,886153.0
289,716549.0
64,430925.0
253,782536.0
64,426231.0
525,717505.0
0,14575.0
289,741043.0
0,432395.0
0,447367.0
0,430626.0
0,432394.0
4,451988.0
289,717795.0
0,14576.0
0,434784.0
0,433057.0
0,431163.0
25,14602.0
0,430860.0
0,432254.0
269,782818.0
0,430954.0
1293,993223.0
0,14603.0
0,14604.0
0,14605.0
0,14606.0
251,772465.0
289,717968.0
0,14607.0
0,14608.0
44,14653.0
282,753415.0
24,891612.0
289,707261.0
0,14654.0
278,775633.0
10,459916.0
8,458608.0
258,965941.0
47,882572.0
233,964552.0
278,656152.0
281,964937.0
271,664334.0
23,14678.0
20,647702.0
20,864622.0
22,875519.0
0,14679.0
0,14680.0
20,864468.0
30,961273.0
22,873570.0
51,971766.0
20,863495.0
397,510549.0
43,864599.0
45,843083.0
41,821529.0
855,743223.0
300,743819.0
130,979216.0
20,868663.0
22,876334.0
20,864107.0
20,863884.0
20,868894.0
20,867952.0
22,881839.0
20,868873.0
22,881066.0
20,869821.0
22,870896.0
22,873285.0
41,779237.0
43,801523.0
41,782548.0
318,662581.0
186,14867.0
291,635509.0
105,14790.0
107,14898.0
88,14956.0
111,15010.0
112,15069.0
195,622139.0
251,15262.0
269,635411.0
89,15159.0
128,15288.0
126,630054.0
269,633675.0
22,875858.0
41,844601.0
43,796012.0
43,774568.0
41,838362.0
41,800514.0
41,654364.0
277,636556.0
277,645666.0
249,15512.0
279,634836.0
277,636985.0
20,809202.0
41,776512.0
41,791439.0
289,661019.0
21,15310.0
21,15332.0
20,866407.0
333,876021.0
24,886887.0
1254,752694.0
228,15561.0
567,770252.0
0,15513.0
206,15720.0
208,15770.0
257,524403.0
255,686653.0
752,964318.0
257,692719.0
255,679604.0
24,883674.0
1504,17275.0
1370,18646.0
892,18921.0
25,18672.0
459,19381.0
357,19675.0
1327,20709.0
2158,21834.0
1070,21780.0
187,21968.0
643,22478.0
128,879992.0
120,585731.0
159,501422.0
25,21994.0
355,474726.0
408,459026.0
400,656301.0
128,979013.0
128,979142.0
128,978956.0
357,730827.0
319,517890.0
0,21995.0
508,22504.0
320,589167.0
728,523492.0
567,470229.0
573,457229.0
634,455781.0
128,979085.0
128,978884.0
128,978755.0
859,860770.0
849,863248.0
1336,744728.0
0,22479.0
899,556697.0
0,22480.0
125,22606.0
8,458599.0
392,449635.0
106,22611.0
8,458617.0
140,22747.0
0,22612.0
468,661488.0
51,971789.0
460,582062.0
29,22642.0
582,578484.0
2448,469791.0
31,457539.0
41,665240.0
41,637198.0
21,22664.0
25,22690.0
614,23362.0
0,23363.0
249,965297.0
61,648577.0
43,637156.0
0,23363.0
41,626931.0
125,737562.0
416,452871.0
154,23518.0
159,521087.0
422,472839.0
482,465771.0
445,450970.0
142,23506.0
78,23585.0
145,758265.0
126,23645.0
126,23712.0
507,24153.0
22,883241.0
464,24177.0
566,24720.0
