Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,1960.0,522
10,00000000-0000-0000-0000-000000000001,0,1960.0,522
20,00000000-0000-0000-0000-000000000000,0,1960.0,523
20,00000000-0000-0000-0000-000000000001,0,1960.0,524
30,00000000-0000-0000-0000-000000000000,0,1960.0,525
30,00000000-0000-0000-0000-000000000001,0,1960.0,523
40,00000000-0000-0000-0000-000000000000,0,1960.0,523
40,00000000-0000-0000-0000-000000000001,0,1960.0,523
50,00000000-0000-0000-0000-000000000000,0,1960.0,523
50,00000000-0000-0000-0000-000000000001,0,1960.0,525
60,00000000-0000-0000-0000-000000000000,0,1960.0,523
60,00000000-0000-0000-0000-000000000001,0,1960.0,525
70,00000000-0000-0000-0000-000000000000,0,1960.0,523
70,00000000-0000-0000-0000-000000000001,0,1960.0,523
80,00000000-0000-0000-0000-000000000000,0,1960.0,525
80,00000000-0000-0000-0000-000000000001,0,1960.0,523
90,00000000-0000-0000-0000-000000000000,0,1960.0,523
90,00000000-0000-0000-0000-000000000001,0,1960.0,525
100,00000000-0000-0000-0000-000000000000,0,1960.0,523
100,00000000-0000-0000-0000-000000000001,0,1960.0,523
110,00000000-0000-0000-0000-000000000000,0,1960.0,523
110,00000000-0000-0000-0000-000000000001,0,1960.0,523
120,00000000-0000-0000-0000-000000000000,0,0.0,523
120,00000000-0000-0000-0000-000000000001,0,1960.0,523
130,00000000-0000-0000-0000-000000000000,0,1960.0,524
130,00000000-0000-0000-0000-000000000001,0,1960.0,523
140,00000000-0000-0000-0000-000000000000,0,1960.0,523
140,00000000-0000-0000-0000-000000000001,0,1960.0,525
150,00000000-0000-0000-0000-000000000000,0,1960.0,523
150,00000000-0000-0000-0000-000000000001,0,1960.0,523
160,00000000-0000-0000-0000-000000000000,0,1960.0,523
160,00000000-0000-0000-0000-000000000001,0,1960.0,525
170,00000000-0000-0000-0000-000000000000,0,1960.0,523
170,00000000-0000-0000-0000-000000000001,0,1960.0,523
180,00000000-0000-0000-0000-000000000000,0,1960.0,523
180,00000000-0000-0000-0000-000000000001,0,1960.0,523
190,00000000-0000-0000-0000-000000000000,0,1960.0,525
190,00000000-0000-0000-0000-000000000001,0,1960.0,523
200,00000000-0000-0000-0000-000000000000,0,1960.0,523
200,00000000-0000-0000-0000-000000000001,0,1960.0,525
210,00000000-0000-0000-0000-000000000000,0,1960.0,525
210,00000000-0000-0000-0000-000000000001,0,1960.0,525
220,00000000-0000-0000-0000-000000000000,0,1960.0,523
220,00000000-0000-0000-0000-000000000001,0,1960.0,523
230,00000000-0000-0000-0000-000000000000,0,1960.0,523
