Makespan (s),Workflow Response time (s)
10016,50873.0
10299,197362.0
9459,115864.0
2833,573453.0
98,554485.0
8628,8629.0
98,553883.0
2662,605947.0
208,559176.0
8355,310986.0
2711,586957.0
10797,326317.0
10662,338590.0
10286,227379.0
6724,415256.0
6150,515523.0
172,558637.0
8390,287364.0
7345,302630.0
8826,424083.0
2817,568479.0
2805,596776.0
9453,262465.0
96,557872.0
128,557778.0
9779,433863.0
10568,365163.0
7959,545007.0
98,557155.0
8021,549711.0
10333,463304.0
2641,593970.0
2862,578738.0
10459,136474.0
102,555093.0
8207,344801.0
8665,401206.0
8421,242512.0
10502,247967.0
104,558091.0
102,553784.0
2713,584245.0
221,558313.0
2805,574088.0
2295,601354.0
6757,520865.0
10664,437190.0
9045,347636.0
6306,459280.0
7825,552833.0
10149,126014.0
7508,478049.0
7324,408531.0
10887,370662.0
6882,377545.0
10498,253011.0
100,553984.0
100,557649.0
10653,505074.0
122,553057.0
9190,271656.0
152,557066.0
118,553576.0
2627,620227.0
2254,591328.0
7235,166690.0
6538,509372.0
10711,61585.0
7108,351910.0
8961,31323.0
10779,147254.0
98,557775.0
9499,327927.0
6957,354594.0
8020,36929.0
100,555291.0
10024,125892.0
8061,390653.0
9943,71529.0
100,557879.0
94,557056.0
8325,155580.0
2734,608682.0
102,554990.0
2281,599058.0
10877,278973.0
8822,8823.0
8077,279734.0
7643,502833.0
2421,575875.0
331,559976.0
9831,315519.0
2825,611508.0
9063,106404.0
106,557986.0
7201,556913.0
467,559644.0
2803,617599.0
9532,40856.0
9147,226809.0
180,558967.0
8973,106315.0
100,553358.0
10689,197755.0
2594,597865.0
98,553457.0
94,553257.0
100,554184.0
2560,614795.0
7765,382591.0
10084,237464.0
96,555190.0
9774,176465.0
9971,165552.0
100,554685.0
9274,257242.0
7916,295284.0
10099,297464.0
9546,452970.0
98,557971.0
94,557401.0
9381,80911.0
7440,318427.0
8924,217092.0
9661,374825.0
98,554386.0
7576,88491.0
148,558786.0
10846,426525.0
104,553162.0
7417,537047.0
2878,562855.0
2779,619662.0
8848,97340.0
2825,570619.0
10596,187062.0
2727,622390.0
9520,468801.0
9032,514107.0
98,554584.0
100,552934.0
102,554887.0
2417,579116.0
2720,581837.0
6707,234090.0
102,554287.0
7283,522807.0
7235,470540.0
9559,443423.0
98,554784.0
2593,612234.0
2693,565020.0
9361,17991.0
8298,385844.0
9490,217661.0
150,558464.0
2820,600686.0
10328,479130.0
2597,603284.0
6695,392540.0
2805,565661.0
2875,589833.0
2772,567793.0
7359,415678.0
10852,268095.0
8806,487937.0
7410,494420.0
8763,529629.0
2671,592505.0
2658,616882.0
7890,445081.0
9080,399734.0
2726,609640.0
158,557314.0
10275,336593.0
102,557306.0
8959,487009.0
7863,359774.0
150,557552.0
2818,584656.0
9754,541689.0
2764,595270.0
10411,208167.0
8583,408318.0
2714,614223.0
104,553681.0
98,557548.0
2609,576698.0
98,554083.0
2792,581531.0
104,558076.0
10916,28908.0
2779,604134.0
480,622871.0
2802,571282.0
2778,606913.0
8222,305687.0
9657,90569.0
7251,495189.0
9126,531934.0
