Makespan (s),Workflow Response time (s)
239,239.0
258,258.0
12169,12169.0
7660,7660.0
234,234.0
667,667.0
6728,6728.0
428,428.0
397,397.0
83,84.0
95,95.0
95,96.0
44,44.0
2264,2264.0
3863,3863.0
44,44.0
8544,8545.0
53,53.0
5145,5145.0
141,141.0
42,42.0
69,69.0
83,83.0
36,36.0
55,55.0
44,44.0
103,103.0
5965,5966.0
6278,6278.0
31,31.0
25,25.0
33,33.0
348,348.0
35,35.0
91,91.0
215,215.0
8293,8293.0
110,110.0
255,255.0
18,18.0
16,16.0
20,20.0
16,16.0
70,70.0
72,72.0
538,538.0
402,402.0
1185,1185.0
138,138.0
73,73.0
510,511.0
989,990.0
526,526.0
1866,1866.0
1577,1578.0
1269,1269.0
2564,2564.0
10,11.0
118,118.0
12,12.0
109818,109819.0
65,65.0
16,17.0
3175,3175.0
1354,1354.0
479,479.0
10,10.0
27,27.0
22,22.0
1386,1386.0
25,25.0
1602,1602.0
1602,1602.0
3837,3837.0
277,277.0
533,533.0
5544,5544.0
13720,13720.0
7029,7029.0
2188,2188.0
1790,1791.0
156,156.0
121,122.0
2166,2166.0
3439,3440.0
292,292.0
89,89.0
194,194.0
372,372.0
234,234.0
114,114.0
202,202.0
214,214.0
7931,7931.0
212,212.0
429,430.0
196,196.0
414,415.0
4137,4137.0
59263,59263.0
1808,1808.0
221,221.0
1699,1699.0
137,137.0
50,50.0
66,66.0
6431,6431.0
364,364.0
197,197.0
244,244.0
641,641.0
657,657.0
70,70.0
88,88.0
273,273.0
290,290.0
176382,176382.0
188,188.0
64,64.0
671,671.0
271,271.0
2465,2465.0
41709,41709.0
129,129.0
214,214.0
166,166.0
295,296.0
1985,1985.0
52,52.0
275,276.0
166,166.0
10099,10099.0
11093,11093.0
3588,3588.0
55,55.0
40,40.0
3725,3725.0
329,329.0
1545,1545.0
2016,2016.0
1103,1103.0
20337,20337.0
1717,1717.0
728,728.0
2389,2390.0
8712,8712.0
7420,7420.0
215,215.0
10660,10660.0
19268,19268.0
40,40.0
77,77.0
46,46.0
477,477.0
53,53.0
243,243.0
45,45.0
365,365.0
2324,2324.0
2011,2011.0
2848,2848.0
46378,46378.0
6352,6352.0
818,818.0
20,20.0
102,102.0
57153,57153.0
46,46.0
5070,5070.0
2490,2490.0
206,206.0
85,86.0
76,76.0
99,99.0
2072,2073.0
6210,6210.0
4330,4330.0
96,96.0
21094,21094.0
1185,1185.0
2859,2859.0
2588,2588.0
860,860.0
1794,1794.0
592,592.0
542,542.0
367,367.0
592,592.0
533,533.0
497,497.0
6001,6001.0
5359,5359.0
10630,10630.0
63,63.0
472,472.0
9060,9060.0
117,117.0
137,137.0
86,86.0
80,80.0
73,73.0
216,216.0
153,153.0
39,39.0
276567,276567.0
13951,13951.0
257,257.0
52730,52730.0
24754,24754.0
237,237.0
79,79.0
1502,1502.0
4494,4495.0
26,26.0
22,22.0
1197,1197.0
284,284.0
402,402.0
171,171.0
154,154.0
1837,1837.0
4108,4108.0
7388,7388.0
6806,6806.0
8018,8018.0
9994,9994.0
40634,40634.0
1455,1455.0
166,166.0
428,428.0
151,151.0
4012,4012.0
158718,158718.0
262,262.0
662,662.0
1787,1787.0
2332,2332.0
1658,1658.0
1041,1041.0
149,149.0
1614,1615.0
7934,7934.0
1351,1351.0
39870,39870.0
140411,140411.0
13822,13823.0
13186,13186.0
131,131.0
10168,10168.0
14,14.0
3173,3173.0
5638,5638.0
5361,5361.0
6581,6581.0
1578,1578.0
1036,1036.0
194,194.0
181,181.0
446,446.0
213140,213140.0
574,574.0
372,372.0
60862,60862.0
443,443.0
218,218.0
5428,5428.0
1659,1659.0
23245,23245.0
3406,3406.0
77,77.0
1946,1946.0
825,825.0
153,154.0
6727,6727.0
214,214.0
153,153.0
11709,11710.0
398,398.0
38,38.0
166,166.0
2186,2186.0
1951,1951.0
277,277.0
604,604.0
402,402.0
10158,10158.0
2218,2219.0
1463,1463.0
5506,5506.0
1515,1515.0
7869,7869.0
211,211.0
10691,10692.0
1832,1832.0
1919,1919.0
186,186.0
848,848.0
10054,10054.0
6527,6527.0
191,192.0
311,311.0
394,394.0
123,123.0
454,454.0
29973,29973.0
1167,1167.0
7338,7338.0
1207,1207.0
14145,14146.0
225,225.0
3502,3502.0
36,36.0
3609,3609.0
42613,42613.0
8198,8199.0
19450,19450.0
9132,9132.0
10282,10282.0
1654,1655.0
11190,11191.0
468,469.0
2777,2777.0
13585,13585.0
941,941.0
1615,1616.0
1162,1162.0
174,174.0
1108,1108.0
4478,4478.0
975,975.0
2329,2329.0
991,991.0
1668,1668.0
262,262.0
162,162.0
64,64.0
155,155.0
20069,20069.0
1172,1173.0
503,503.0
723,723.0
1053,1053.0
20,21.0
14,14.0
26,26.0
14,14.0
38,38.0
12,12.0
20,21.0
18,18.0
69,69.0
10,10.0
12,12.0
2606,2606.0
14,14.0
358,358.0
10,10.0
222,222.0
7232,7232.0
234,234.0
12,13.0
4516,4516.0
8045,8045.0
18170,18170.0
12014,12014.0
602,603.0
2692,2692.0
178,178.0
39953,39953.0
54875,54875.0
217,217.0
7821,7821.0
219,219.0
93,93.0
1814,1814.0
12749,12749.0
30,30.0
14,14.0
14,14.0
5486,5486.0
1884,1884.0
2192,2192.0
1141,1141.0
2241,2242.0
487,487.0
113,113.0
4035,4035.0
222,222.0
155,156.0
141,141.0
1701,1701.0
12,12.0
20,20.0
169,170.0
397,397.0
33821,33821.0
137,137.0
37566,37567.0
22481,22481.0
53,53.0
325,325.0
145,145.0
410,410.0
154,155.0
1010,1010.0
2619,2619.0
506,506.0
715,715.0
1314,1314.0
4826,4826.0
1052,1052.0
1072,1072.0
754,755.0
1588,1588.0
630,630.0
2300,2300.0
6277,6277.0
2375,2375.0
4018,4018.0
9330,9330.0
2168,2168.0
2547,2547.0
176,176.0
109,109.0
9142,9142.0
9163,9163.0
7991,7991.0
8507,8507.0
2953,2953.0
533,533.0
69,69.0
3555,3555.0
405,405.0
248,248.0
61599,61599.0
1904,1904.0
26,26.0
31402,31402.0
10652,10653.0
306934,306934.0
5025,5025.0
8487,8487.0
84,84.0
224,224.0
474,474.0
321,321.0
81,81.0
10253,10253.0
241,241.0
33608,33608.0
13336,13336.0
76,77.0
13100,13100.0
910,910.0
3164,3165.0
1723,1723.0
6911,6911.0
8527,8527.0
77727,77727.0
6197,6197.0
10557,10557.0
6449,6449.0
502,502.0
2805,2805.0
1104,1104.0
424,424.0
1684,1684.0
120393,120393.0
15278,15278.0
322,322.0
1736,1737.0
444,444.0
221,221.0
664,664.0
2161,2161.0
134,134.0
71,71.0
1402,1402.0
24,24.0
137,137.0
299,299.0
4251,4251.0
170,170.0
110,110.0
1516,1516.0
3176,3176.0
160,160.0
358,358.0
2222,2222.0
1619,1619.0
9693,9693.0
9485,9485.0
14,14.0
1851,1851.0
2827,2827.0
3636,3636.0
1512,1512.0
2518,2518.0
9101,9101.0
2746,2747.0
9083,9083.0
5119,5119.0
2638,2638.0
52833,52833.0
3862,3862.0
73312,73312.0
1487,1487.0
2727,2727.0
3044,3044.0
728,728.0
57415,57415.0
7422,7422.0
50101,50101.0
12176,12176.0
81971,81971.0
4707,4707.0
149733,149733.0
24121,24121.0
23223,23223.0
16587,16587.0
47282,47282.0
5179,5179.0
51,51.0
10221,10221.0
39,39.0
17248,17248.0
29230,29230.0
4327,4327.0
729057,729057.0
1363,1363.0
14712,14712.0
63313,63313.0
14821,14821.0
4834,4834.0
961,961.0
12790,12791.0
8203,8203.0
945,945.0
1107,1107.0
145,145.0
11288,11288.0
8845,8846.0
605,605.0
12692,12692.0
986,986.0
344,344.0
