Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,1,2160.0,525
10,00000000-0000-0000-0000-000000000001,0,0.0,500
20,00000000-0000-0000-0000-000000000000,1,2160.0,528
20,00000000-0000-0000-0000-000000000001,0,0.0,500
30,00000000-0000-0000-0000-000000000000,1,2160.0,528
30,00000000-0000-0000-0000-000000000001,0,0.0,500
40,00000000-0000-0000-0000-000000000000,56,120960.0,525
40,00000000-0000-0000-0000-000000000001,0,0.0,500
50,00000000-0000-0000-0000-000000000000,56,120960.0,528
50,00000000-0000-0000-0000-000000000001,0,0.0,500
60,00000000-0000-0000-0000-000000000000,56,120960.0,528
60,00000000-0000-0000-0000-000000000001,0,0.0,500
70,00000000-0000-0000-0000-000000000000,56,120960.0,528
70,00000000-0000-0000-0000-000000000001,0,0.0,500
80,00000000-0000-0000-0000-000000000000,56,120960.0,528
80,00000000-0000-0000-0000-000000000001,0,0.0,500
90,00000000-0000-0000-0000-000000000000,56,120960.0,528
90,00000000-0000-0000-0000-000000000001,0,0.0,500
100,00000000-0000-0000-0000-000000000000,56,120960.0,528
100,00000000-0000-0000-0000-000000000001,0,0.0,500
110,00000000-0000-0000-0000-000000000000,56,120960.0,528
110,00000000-0000-0000-0000-000000000001,0,0.0,500
120,00000000-0000-0000-0000-000000000000,56,120960.0,528
120,00000000-0000-0000-0000-000000000001,0,0.0,500
130,00000000-0000-0000-0000-000000000000,56,120960.0,528
130,00000000-0000-0000-0000-000000000001,0,0.0,500
140,00000000-0000-0000-0000-000000000000,56,120960.0,528
140,00000000-0000-0000-0000-000000000001,0,0.0,500
150,00000000-0000-0000-0000-000000000000,56,120960.0,528
150,00000000-0000-0000-0000-000000000001,0,0.0,500
160,00000000-0000-0000-0000-000000000000,56,120960.0,528
160,00000000-0000-0000-0000-000000000001,0,0.0,500
170,00000000-0000-0000-0000-000000000000,56,120960.0,528
170,00000000-0000-0000-0000-000000000001,0,0.0,500
180,00000000-0000-0000-0000-000000000000,56,120960.0,528
180,00000000-0000-0000-0000-000000000001,0,0.0,500
190,00000000-0000-0000-0000-000000000000,52,112320.0,674
190,00000000-0000-0000-0000-000000000001,0,0.0,500
