Makespan (s),Workflow Response time (s)
910,911.0
108509,108565.0
107666,108305.0
107665,108215.0
107625,107931.0
78083,78360.0
112243,112495.0
77422,77622.0
75702,77644.0
74720,77364.0
70428,77125.0
70014,77452.0
68604,77091.0
68342,77086.0
68601,77503.0
104221,113626.0
68078,77459.0
68647,78153.0
67234,77756.0
66343,77411.0
66511,78326.0
100634,113520.0
69599,82479.0
99981,113491.0
99976,113453.0
99990,113464.0
99981,113452.0
99981,113449.0
99979,113448.0
68947,82417.0
99899,113497.0
70690,84285.0
99118,113472.0
69345,83690.0
99076,113421.0
71209,85546.0
97393,113394.0
73242,89233.0
96267,113329.0
96287,113341.0
96307,113347.0
96266,113300.0
96304,113339.0
96304,113336.0
75786,92817.0
95770,113334.0
95778,113336.0
95725,113287.0
95761,113321.0
95763,113328.0
76881,94446.0
95014,113317.0
95012,113309.0
76052,94348.0
75221,94384.0
73624,93999.0
92870,113253.0
74646,95018.0
91210,113221.0
91257,113263.0
91209,113206.0
91209,113200.0
74268,96244.0
91209,113223.0
91195,113200.0
91233,113233.0
91169,113159.0
91190,113198.0
74361,96364.0
90078,113189.0
73244,96361.0
73269,96493.0
72942,96532.0
73338,97177.0
72206,96662.0
72090,97382.0
87411,113137.0
87409,113131.0
87410,113149.0
87369,113109.0
87355,113105.0
71615,97365.0
70795,97210.0
86731,113149.0
70999,97405.0
70483,97485.0
69973,97481.0
69097,97226.0
69284,97434.0
69271,97433.0
69227,97899.0
84166,113074.0
84195,113124.0
84197,113124.0
68988,97933.0
68084,97899.0
82457,113118.0
67278,97929.0
67056,98084.0
66290,98117.0
65898,98201.0
65026,98149.0
64499,98191.0
63382,97856.0
63244,98185.0
77497,113022.0
62411,97935.0
62528,98055.0
62220,98088.0
62422,98558.0
76706,113009.0
76722,113028.0
62058,98361.0
61658,98236.0
61755,98338.0
74083,111191.0
61773,98880.0
61544,98897.0
61877,99230.0
61292,99189.0
60277,99024.0
60384,99344.0
73339,112991.0
59788,99429.0
72982,112974.0
72983,112973.0
59457,99556.0
59624,99615.0
58587,99663.0
71833,112965.0
58911,100042.0
68905,111151.0
58146,100386.0
57962,100366.0
57546,100344.0
69759,112952.0
57201,100396.0
69339,112951.0
56125,100070.0
56581,100193.0
55772,100069.0
55284,100414.0
55152,100424.0
54735,100424.0
54738,100427.0
53898,100427.0
53478,100410.0
53497,100428.0
52618,100391.0
52661,100432.0
51853,100431.0
51492,100432.0
51105,100430.0
51092,100417.0
50320,100430.0
50320,100430.0
49537,100433.0
48984,100261.0
48575,100218.0
48063,100219.0
47528,100093.0
47528,100093.0
47712,100300.0
47587,100215.0
47114,100423.0
47073,100424.0
46597,100408.0
58754,112932.0
46271,100448.0
58353,112931.0
45751,100333.0
57965,112932.0
45126,100219.0
45373,100925.0
55449,111141.0
45173,100860.0
45258,100945.0
57177,112920.0
45389,101132.0
44797,100998.0
44618,101103.0
56176,113074.0
44015,100914.0
44033,100933.0
43833,100872.0
43515,100870.0
43548,100911.0
43579,101074.0
43673,101032.0
42694,100947.0
42697,100949.0
42607,100904.0
42607,100905.0
42606,100906.0
42619,100922.0
42272,100941.0
42096,100920.0
42177,101220.0
42185,101239.0
53634,112873.0
41979,101216.0
41977,101210.0
41977,101209.0
41970,101214.0
41962,101214.0
41939,101214.0
41938,101214.0
41859,101214.0
41810,101214.0
41695,101215.0
41695,101215.0
41653,101217.0
41653,101217.0
41593,101217.0
41589,101217.0
41553,101216.0
41440,101217.0
41384,101217.0
41384,101217.0
41274,101177.0
41324,101217.0
41279,101218.0
41243,101218.0
41264,101239.0
41243,101219.0
41037,101222.0
41040,101222.0
41037,101222.0
40997,101225.0
40996,101225.0
40918,101227.0
40897,101228.0
40787,101229.0
40690,101189.0
40714,101229.0
40731,101243.0
40631,101222.0
40595,101222.0
40702,101368.0
40295,101223.0
40316,101243.0
40224,101223.0
40224,101223.0
40181,101222.0
40176,101223.0
40171,101226.0
40159,101227.0
39931,101183.0
38815,101220.0
38814,101219.0
38769,101180.0
37624,101362.0
37277,101341.0
37120,101381.0
36676,101172.0
36294,101319.0
47624,112824.0
36069,101266.0
35995,101265.0
35995,101265.0
47544,112815.0
35974,101243.0
35980,101258.0
47534,112814.0
36002,101281.0
35790,101281.0
35777,101282.0
35690,101237.0
35693,101281.0
35523,101235.0
35061,101295.0
46527,112797.0
46516,112795.0
34958,101247.0
34923,101225.0
35038,101361.0
46247,112790.0
46246,112789.0
35450,101992.0
44506,111066.0
35423,101990.0
46207,112785.0
35454,102031.0
45505,112787.0
34768,102050.0
34707,102091.0
34559,102054.0
34556,102051.0
34556,102053.0
34568,102073.0
34571,102074.0
34507,102053.0
35091,102731.0
35101,102759.0
35128,102789.0
43267,111059.0
34955,102747.0
44983,112782.0
44981,112781.0
34966,102766.0
44959,112781.0
34924,102746.0
34918,102747.0
34917,102747.0
44947,112779.0
44947,112779.0
34960,102791.0
34731,102769.0
34709,102748.0
34701,102748.0
44722,112777.0
34713,102768.0
34693,102748.0
34701,102768.0
34651,102748.0
34653,102749.0
34675,102767.0
34547,102751.0
34530,102751.0
34524,102751.0
34510,102752.0
34496,102752.0
34508,102762.0
34506,102762.0
34412,102768.0
34408,102764.0
34434,102783.0
34413,102764.0
34416,102768.0
34330,102772.0
34344,102772.0
34330,102772.0
34239,102773.0
34243,102773.0
34239,102773.0
34228,102782.0
34230,102782.0
44159,112776.0
34228,102781.0
34157,102784.0
34160,102787.0
34181,102828.0
34138,102784.0
34150,102787.0
33884,102787.0
33862,102788.0
33862,102788.0
33857,102792.0
33853,102792.0
33852,102793.0
33854,102792.0
33841,102795.0
33846,102795.0
33867,102815.0
33707,102799.0
33704,102796.0
43664,112773.0
33689,102799.0
33691,102800.0
33679,102799.0
33687,102799.0
33585,102799.0
33556,102799.0
33556,102800.0
33559,102801.0
33535,102802.0
33445,102843.0
33525,102802.0
33564,102844.0
33215,102823.0
33172,102804.0
33172,102804.0
33150,102803.0
33170,102825.0
33143,102802.0
33140,102799.0
33137,102800.0
33030,102800.0
32993,102780.0
33013,102800.0
33007,102799.0
32971,102779.0
32989,102800.0
32985,102799.0
32938,102799.0
32909,102798.0
32892,102799.0
32887,102798.0
32849,102779.0
32873,102799.0
32820,102777.0
32840,102797.0
32834,102797.0
32772,102798.0
32757,102795.0
32734,102776.0
32757,102796.0
32746,102796.0
32741,102795.0
32688,102774.0
32709,102795.0
32658,102774.0
32691,102815.0
32658,102796.0
32665,102816.0
32620,102795.0
32608,102796.0
32601,102798.0
32579,102798.0
32539,102799.0
32535,102802.0
32508,102802.0
32499,102802.0
32499,102802.0
32471,102810.0
32437,102810.0
42128,112518.0
32392,102788.0
32388,102789.0
32378,102787.0
32398,102808.0
42310,112752.0
42308,112752.0
42224,112752.0
32406,102850.0
32281,102809.0
32213,102789.0
32259,102839.0
42096,112748.0
32225,102881.0
32127,102840.0
42054,112767.0
41794,112508.0
42030,112744.0
42048,112762.0
41793,112507.0
41794,112508.0
42030,112744.0
32167,102881.0
32167,102882.0
41954,112744.0
32106,102897.0
32108,102898.0
32069,102876.0
40349,111163.0
41693,112507.0
41693,112507.0
32051,102875.0
41679,112505.0
32082,102896.0
41673,112507.0
41672,112506.0
41668,112507.0
41660,112507.0
41888,112743.0
32042,102896.0
41852,112742.0
31945,102914.0
32040,102934.0
32044,102934.0
31896,102913.0
41690,112740.0
31841,102892.0
31834,102913.0
31836,102913.0
31787,102914.0
31723,102894.0
31757,102914.0
31740,102914.0
41558,112739.0
31732,102914.0
31711,102894.0
31629,102895.0
31629,102895.0
31668,102934.0
31622,102914.0
39835,111157.0
31572,102893.0
31591,102913.0
31516,102893.0
31547,102913.0
31528,102923.0
31025,102957.0
30984,102921.0
30984,102921.0
31005,102941.0
30984,102921.0
31024,102963.0
30842,102924.0
30842,102924.0
30840,102924.0
30858,102945.0
30828,102923.0
30822,102925.0
30846,102945.0
30820,102926.0
30836,102947.0
30806,102928.0
30806,102928.0
30786,102928.0
30760,102927.0
30764,102927.0
30764,102927.0
30761,102927.0
30743,102927.0
30743,102928.0
30743,102928.0
30740,102928.0
30741,102928.0
30743,102928.0
30742,102928.0
30742,102928.0
30734,102928.0
30734,102928.0
30726,102929.0
30726,102929.0
30723,102929.0
30722,102929.0
30714,102929.0
30719,102929.0
30706,102929.0
30714,102929.0
30706,102929.0
30663,102928.0
30663,102928.0
30663,102928.0
30641,102929.0
30642,102929.0
30641,102929.0
30644,102929.0
30641,102929.0
30702,102969.0
30583,102931.0
30583,102931.0
30583,102931.0
30579,102931.0
30578,102931.0
30578,102931.0
30579,102931.0
30579,102931.0
30577,102931.0
30579,102931.0
30580,102931.0
30580,102931.0
30578,102931.0
30561,102931.0
30562,102931.0
40340,112733.0
30561,102931.0
30562,102931.0
30501,102932.0
30539,102932.0
30500,102932.0
30523,102932.0
30539,102932.0
30538,102932.0
30520,102932.0
30495,102932.0
30511,102932.0
30507,102932.0
30523,102932.0
30468,102932.0
30468,102932.0
30468,102932.0
30468,102932.0
30468,102932.0
30468,102932.0
30468,102932.0
30467,102932.0
30468,102932.0
30458,102932.0
30458,102933.0
30435,102933.0
30434,102933.0
30419,102932.0
30416,102932.0
30417,102932.0
30414,102931.0
30411,102931.0
30409,102929.0
30407,102928.0
30386,102928.0
30159,102928.0
30158,102928.0
30158,102928.0
30158,102928.0
30158,102928.0
30178,102947.0
30156,102927.0
39955,112726.0
29864,102927.0
30167,102938.0
29839,102927.0
29840,102927.0
29823,102927.0
29823,102927.0
29822,102927.0
29821,102927.0
29821,102927.0
29821,102927.0
29819,102927.0
29758,102927.0
29783,102927.0
29758,102927.0
29741,102928.0
29742,102928.0
29740,102927.0
29740,102927.0
29740,102927.0
29711,102936.0
29747,102936.0
29748,102937.0
29694,102937.0
29694,102938.0
29693,102937.0
29693,102937.0
29693,102937.0
29703,102967.0
29674,102938.0
29674,102938.0
29674,102938.0
29670,102938.0
29671,102938.0
29670,102938.0
29672,102939.0
29670,102938.0
29669,102938.0
29656,102939.0
29655,102939.0
29638,102945.0
29660,102945.0
29660,102945.0
29651,102945.0
29644,102945.0
29620,102944.0
29621,102947.0
29622,102947.0
29620,102944.0
29622,102947.0
29602,102947.0
29602,102947.0
29602,102947.0
29631,102978.0
29599,102947.0
29599,102948.0
29609,102959.0
29611,102959.0
29607,102959.0
29607,102959.0
29606,102960.0
29608,102960.0
29597,102965.0
29598,102966.0
29594,102984.0
29590,102965.0
29598,102966.0
29584,102966.0
29575,102988.0
29558,102966.0
29558,102966.0
29560,102966.0
29559,102966.0
29553,102966.0
29570,103000.0
29553,102966.0
29539,102966.0
29539,102966.0
29536,102966.0
29538,102969.0
29538,102969.0
29564,102998.0
29563,102997.0
29564,102998.0
29563,102997.0
29559,103006.0
29559,103005.0
29550,103006.0
29557,103006.0
29554,103006.0
29538,103007.0
29538,103007.0
29518,103007.0
29537,103007.0
29495,102985.0
29494,102985.0
29514,103006.0
29518,103011.0
29517,103010.0
29515,103008.0
29530,103037.0
29500,103003.0
37597,111141.0
37597,111140.0
37597,111140.0
