Makespan (s),Workflow Response time (s)
913,914.0
112292,112354.0
111624,112341.0
116750,117377.0
111587,111970.0
80801,81149.0
117309,118322.0
79496,80458.0
78434,80476.0
77262,80220.0
73027,80022.0
72510,80317.0
71811,79987.0
71503,79982.0
71751,80419.0
108635,117897.0
71138,80376.0
71701,81005.0
70246,80661.0
69330,80349.0
69536,81296.0
104915,117791.0
72694,85565.0
104258,117758.0
104258,117724.0
104272,117735.0
104258,117718.0
104261,117718.0
104258,117714.0
71519,84971.0
104175,117762.0
73781,87365.0
103334,117739.0
72436,86832.0
103277,117691.0
74275,88683.0
101601,117664.0
76508,92564.0
100431,117602.0
100448,117612.0
100466,117616.0
100419,117572.0
100449,117608.0
100448,117605.0
79194,96351.0
99912,117603.0
99921,117609.0
99868,117560.0
99893,117590.0
99902,117601.0
80296,97998.0
99057,117586.0
99057,117578.0
79390,97908.0
78596,97940.0
76974,97590.0
96905,117528.0
78076,98688.0
95185,117494.0
95232,117535.0
95183,117478.0
95185,117474.0
77527,99803.0
94861,117493.0
94850,117473.0
94873,117491.0
94824,117432.0
94861,117467.0
77418,100018.0
93967,117459.0
76522,100015.0
76565,100133.0
76209,100169.0
76460,100753.0
75245,100273.0
75329,101035.0
91219,117407.0
91219,117402.0
91236,117418.0
91203,117385.0
91198,117377.0
74842,101020.0
74174,101043.0
90513,117419.0
74338,101235.0
73798,101290.0
73225,101267.0
72364,101029.0
72334,101031.0
72504,101206.0
72449,101705.0
87728,117353.0
87768,117393.0
87769,117392.0
72122,101743.0
71335,101711.0
86149,117388.0
70409,101636.0
70126,101766.0
69295,101764.0
68781,101820.0
67942,101772.0
67407,101810.0
66290,101522.0
66229,101906.0
80962,117296.0
65356,101689.0
65466,101801.0
65111,101825.0
65254,102247.0
79911,117285.0
79927,117300.0
64697,102068.0
64569,101960.0
64655,102053.0
77426,115394.0
64679,102646.0
64462,102660.0
64765,102963.0
64140,102927.0
63107,102787.0
63306,103205.0
76677,117268.0
62557,103136.0
76276,117249.0
76280,117251.0
61913,103244.0
62328,103300.0
61260,103344.0
74733,117243.0
61334,103843.0
72024,115354.0
60832,104154.0
60394,104135.0
59959,104116.0
72662,117227.0
59594,104160.0
72262,117229.0
58885,103868.0
59005,103972.0
58415,103848.0
57845,104161.0
57424,104167.0
57004,104167.0
57004,104167.0
56196,104172.0
55804,104164.0
55818,104172.0
54973,104149.0
55013,104184.0
54246,104188.0
53793,104188.0
53371,104187.0
53357,104177.0
52541,104188.0
52538,104188.0
51731,104195.0
51174,104040.0
51067,104002.0
50433,104002.0
49877,103887.0
49876,103887.0
50058,104075.0
49851,103998.0
49431,104185.0
49033,104186.0
48627,104169.0
61271,117205.0
48281,104214.0
60887,117208.0
47786,104108.0
60612,117208.0
47390,104005.0
47622,104743.0
59850,117117.0
47420,104682.0
47496,104758.0
59923,117202.0
47648,104927.0
47028,104801.0
46825,104902.0
58870,117358.0
46243,104732.0
46259,104747.0
46012,104693.0
45730,104692.0
45758,104730.0
45730,104876.0
45873,104840.0
44866,104767.0
44869,104769.0
44099,104732.0
44098,104733.0
44097,104734.0
44095,104748.0
43865,104765.0
43619,104745.0
43761,105064.0
43774,105081.0
55637,117155.0
43552,105061.0
43542,105055.0
43518,105053.0
43504,105053.0
43498,105052.0
43485,105052.0
43485,105052.0
43423,105052.0
43257,105052.0
43253,105052.0
43250,105052.0
43197,105052.0
43202,105052.0
43173,105052.0
43170,105052.0
42965,105052.0
42939,105052.0
42938,105052.0
42938,105052.0
42859,105017.0
42896,105052.0
42804,105055.0
42679,105055.0
42698,105073.0
42669,105055.0
42631,105056.0
42632,105056.0
42631,105056.0
42467,105057.0
42463,105058.0
42361,105057.0
42350,105057.0
42331,105058.0
42268,105021.0
42299,105058.0
42163,105070.0
42074,105052.0
42050,105053.0
42165,105185.0
41760,105053.0
41778,105071.0
41751,105054.0
41748,105053.0
41678,105053.0
41677,105053.0
41571,105053.0
41491,105052.0
41434,105010.0
40205,105045.0
40174,105045.0
40088,105007.0
38942,105172.0
38676,105152.0
38477,105187.0
38016,104997.0
37662,105154.0
49354,117106.0
37354,105102.0
37351,105101.0
37366,105116.0
49336,117097.0
37335,105095.0
37296,105096.0
49289,117098.0
37303,105111.0
37142,105111.0
37093,105110.0
36951,105071.0
36971,105109.0
36884,105086.0
36338,105141.0
48257,117093.0
48255,117091.0
36261,105097.0
36212,105077.0
36293,105191.0
47981,117085.0
47968,117072.0
36735,105842.0
47926,117038.0
36727,105839.0
47963,117081.0
36714,105832.0
47186,117079.0
35953,105846.0
35983,105887.0
35775,105856.0
35770,105851.0
35766,105855.0
35778,105874.0
35779,105874.0
35635,105854.0
35631,105862.0
35641,105880.0
36420,106672.0
46637,117033.0
36238,106634.0
46678,117075.0
46677,117073.0
36255,106651.0
46667,117074.0
36224,106633.0
36222,106634.0
36215,106636.0
46634,117066.0
46634,117065.0
36254,106687.0
36034,106668.0
36011,106648.0
36002,106650.0
46401,117069.0
36003,106671.0
35990,106660.0
36005,106680.0
35898,106666.0
35909,106676.0
35929,106684.0
35857,106668.0
35853,106676.0
35844,106676.0
35832,106676.0
35759,106677.0
35769,106677.0
35757,106676.0
35706,106678.0
35715,106677.0
35743,106696.0
35721,106677.0
35721,106677.0
35591,106678.0
35592,106678.0
35591,106678.0
35552,106680.0
35554,106680.0
35554,106683.0
35474,106684.0
35479,106686.0
45813,117068.0
35474,106684.0
35433,106688.0
35432,106688.0
35434,106725.0
35413,106687.0
35432,106688.0
35148,106688.0
35135,106690.0
35133,106690.0
35125,106690.0
35115,106691.0
35114,106691.0
35115,106690.0
35001,106694.0
35006,106693.0
35025,106711.0
34974,106694.0
34974,106694.0
45321,117055.0
34955,106694.0
34959,106694.0
34866,106694.0
34866,106693.0
34836,106694.0
34832,106694.0
34832,106694.0
34833,106694.0
34800,106695.0
34708,106732.0
34709,106695.0
34738,106732.0
34439,106715.0
34419,106697.0
34420,106697.0
34382,106699.0
34401,106724.0
34370,106695.0
34371,106696.0
34274,106697.0
34259,106697.0
34235,106678.0
34253,106696.0
34243,106698.0
34200,106681.0
34191,106700.0
34166,106699.0
34150,106699.0
34144,106700.0
34133,106700.0
34130,106698.0
34038,106685.0
34126,106701.0
34023,106681.0
34036,106698.0
34034,106702.0
34017,106702.0
33999,106697.0
33975,106680.0
34001,106699.0
33993,106700.0
33978,106699.0
33895,106680.0
33909,106697.0
33877,106679.0
33895,106716.0
33870,106697.0
33877,106716.0
33854,106696.0
33836,106696.0
33793,106696.0
33758,106696.0
33752,106696.0
33742,106696.0
33728,106698.0
33691,106698.0
33698,106698.0
33663,106714.0
33647,106713.0
43953,117028.0
33620,106694.0
33607,106693.0
33594,106693.0
33610,106711.0
43894,117040.0
43886,117040.0
43816,117039.0
33592,106748.0
33488,106711.0
33407,106691.0
33456,106742.0
43652,117035.0
33376,106760.0
33324,106740.0
43628,117051.0
43597,117021.0
43607,117032.0
43617,117042.0
43595,117020.0
43595,117020.0
43606,117032.0
33351,106777.0
33349,106777.0
43553,117032.0
33304,106783.0
33304,106783.0
33264,106784.0
43470,116998.0
43491,117019.0
43491,117019.0
33232,106783.0
43452,117018.0
33274,106801.0
43451,117018.0
43447,117018.0
43447,117019.0
43445,117019.0
43453,117033.0
33221,106800.0
43440,117032.0
33142,106808.0
33229,106827.0
33235,106827.0
33055,106808.0
43262,117030.0
33021,106789.0
33017,106807.0
33019,106808.0
32955,106809.0
32907,106792.0
32945,106810.0
32923,106809.0
43108,117029.0
32888,106810.0
32870,106792.0
32799,106792.0
32794,106793.0
32830,106829.0
32782,106811.0
42956,116992.0
32756,106791.0
32773,106810.0
32688,106796.0
32710,106812.0
32716,106826.0
32225,106862.0
32171,106827.0
32173,106827.0
32061,106845.0
32041,106827.0
32074,106863.0
32005,106828.0
31979,106828.0
31974,106828.0
31992,106847.0
31970,106827.0
31971,106830.0
31990,106847.0
31968,106830.0
31983,106848.0
31931,106830.0
31950,106830.0
31902,106831.0
31897,106830.0
31899,106830.0
31899,106830.0
31897,106830.0
31895,106830.0
31894,106830.0
31894,106830.0
31890,106831.0
31891,106831.0
31894,106831.0
31891,106831.0
31893,106831.0
31879,106831.0
31879,106831.0
31877,106831.0
31875,106831.0
31840,106831.0
31829,106832.0
31824,106832.0
31826,106832.0
31824,106832.0
31824,106832.0
31824,106832.0
31809,106831.0
31814,106831.0
31809,106831.0
31796,106831.0
31797,106832.0
31786,106832.0
31798,106832.0
31786,106832.0
31842,106868.0
31730,106832.0
31730,106832.0
31730,106832.0
31725,106832.0
31725,106833.0
31725,106834.0
31725,106832.0
31725,106833.0
31717,106834.0
31729,106835.0
31728,106834.0
31726,106832.0
31723,106835.0
31680,106835.0
31693,106835.0
41846,117023.0
31682,106835.0
31694,106835.0
31639,106836.0
31658,106835.0
31638,106835.0
31656,106836.0
31658,106835.0
31659,106836.0
31655,106835.0
31632,106836.0
31639,106836.0
31639,106836.0
31656,106835.0
31605,106836.0
31605,106836.0
31605,106836.0
31605,106836.0
31601,106837.0
31605,106837.0
31599,106836.0
31587,106837.0
31589,106837.0
31565,106837.0
31563,106837.0
31562,106837.0
31562,106837.0
31561,106837.0
31558,106836.0
31559,106837.0
31554,106835.0
31550,106835.0
31546,106834.0
31531,106833.0
31514,106836.0
31299,106835.0
31298,106834.0
31299,106835.0
31298,106834.0
31298,106834.0
31317,106852.0
31299,106834.0
41481,117016.0
30977,106834.0
31300,106835.0
30928,106834.0
30928,106833.0
30927,106833.0
30927,106833.0
30854,106834.0
30854,106834.0
30853,106834.0
30853,106834.0
30850,106839.0
30834,106840.0
30834,106840.0
30833,106839.0
30833,106841.0
30832,106840.0
30827,106840.0
30823,106841.0
30820,106840.0
30820,106841.0
30821,106841.0
30821,106841.0
30819,106842.0
30812,106842.0
30810,106842.0
30810,106842.0
30812,106842.0
30815,106870.0
30781,106843.0
30788,106843.0
30780,106843.0
