Makespan (s),Workflow Response time (s)
24,78728.0
189879,213469.0
334267,342014.0
22,79887.0
24,79857.0
323897,378397.0
323815,378399.0
379,379.0
323924,378422.0
182060,198354.0
24,79662.0
181444,197057.0
181429,197039.0
195234,227560.0
195251,227579.0
203499,243861.0
203228,242301.0
202566,236655.0
203079,242114.0
203472,243812.0
203617,243404.0
203231,243418.0
24,77989.0
24,77952.0
39,39.0
561,561.0
540,540.0
255572,313006.0
337492,378143.0
345281,378356.0
297630,355437.0
322090,375533.0
298038,355397.0
22,46222.0
24,79870.0
264307,323063.0
273110,333283.0
256213,334341.0
0,79501.0
256462,334616.0
256288,334426.0
256045,334052.0
256206,334254.0
256198,334244.0
24,79526.0
22,78723.0
256280,334417.0
255862,333556.0
256128,334146.0
0,80150.0
0,80150.0
24,78744.0
264237,322557.0
272571,332577.0
267092,326183.0
255871,333718.0
267112,326139.0
0,80122.0
0,80122.0
0,80141.0
0,80149.0
0,80152.0
0,80118.0
203019,242093.0
0,80119.0
0,80146.0
0,80151.0
267092,326183.0
0,80137.0
272571,332577.0
0,80147.0
257916,315719.0
0,80092.0
323015,378521.0
342094,378232.0
24,79526.0
373089,381162.0
344038,378295.0
322681,375495.0
189877,213431.0
237727,293757.0
138661,150750.0
24,78141.0
221756,277288.0
342758,378262.0
125858,135510.0
298148,355317.0
0,79885.0
325546,378324.0
323956,378393.0
221590,276043.0
0,78924.0
323871,378393.0
24,78165.0
273040,333292.0
273104,333291.0
272571,332576.0
0,79425.0
24,79451.0
221796,276320.0
267092,326183.0
265415,324291.0
267128,326139.0
24,79595.0
24,57698.0
256102,334125.0
0,79841.0
0,56113.0
0,79834.0
22,78183.0
0,79885.0
247003,304042.0
273110,333284.0
0,79925.0
0,79820.0
1333,8576.0
0,56151.0
1255,57405.0
0,79868.0
238699,294729.0
0,79539.0
237276,293271.0
0,79792.0
0,80147.0
0,79648.0
0,80061.0
0,80075.0
0,80066.0
24,60384.0
25,59.0
0,80068.0
0,80078.0
317826,376698.0
317372,376696.0
0,79987.0
323088,378489.0
322837,378526.0
323120,378492.0
265491,324190.0
24,77972.0
24,78182.0
323119,378492.0
320497,378567.0
323118,378490.0
320629,378574.0
364250,400191.0
0,79918.0
323177,378489.0
0,80117.0
0,80146.0
0,79985.0
0,80119.0
4,80152.0
323120,378493.0
0,79911.0
0,80117.0
0,79980.0
0,80114.0
25,26.0
0,80067.0
0,80137.0
323110,378488.0
0,80047.0
1293,81234.0
0,79932.0
0,80068.0
0,79986.0
0,79972.0
323079,378495.0
323625,378417.0
0,79942.0
1,78033.0
318383,378539.0
342004,399472.0
24,79885.0
323118,378495.0
0,79925.0
341794,399469.0
10,79969.0
8,79953.0
322595,378628.0
271928,331359.0
322639,378592.0
341792,399468.0
322996,378602.0
323389,378417.0
255150,334947.0
20,79985.0
20,79986.0
22,80046.0
0,79821.0
0,79974.0
20,80099.0
30,79975.0
22,79990.0
51,79892.0
20,80027.0
339892,378213.0
255304,334916.0
271884,331356.0
255903,333551.0
345317,378440.0
324290,378400.0
130,80007.0
20,80092.0
22,80074.0
20,80044.0
20,79893.0
20,80055.0
20,79994.0
22,80003.0
20,80026.0
22,79990.0
20,80045.0
22,80023.0
22,80003.0
255904,333522.0
273093,333281.0
273150,333212.0
326873,378328.0
265529,324255.0
329536,378247.0
297619,355428.0
297371,355440.0
297438,355477.0
297393,355442.0
319114,376662.0
322473,378596.0
330191,378229.0
329537,378242.0
318293,376702.0
319318,376657.0
321565,378555.0
328853,378258.0
22,79905.0
264300,323067.0
272950,333296.0
272894,333304.0
272829,333344.0
255919,333546.0
264231,322555.0
330222,378253.0
329705,378243.0
320906,376307.0
326681,378334.0
326241,378333.0
20,79896.0
264303,323070.0
273086,333283.0
326139,378329.0
212871,259068.0
203207,243393.0
20,78583.0
181974,200177.0
24,79103.0
354154,378608.0
222539,278584.0
328659,378304.0
0,79863.0
255957,333754.0
273339,333345.0
324264,378375.0
323963,378411.0
331158,378244.0
323962,378416.0
323965,378414.0
24,57036.0
225218,281249.0
326856,350314.0
366725,400819.0
9308,15566.0
327098,378285.0
324477,378363.0
384875,402361.0
395286,404930.0
366974,401083.0
298912,355292.0
360631,400132.0
321250,378564.0
321450,378566.0
337749,378132.0
8616,12385.0
330324,378287.0
331194,378289.0
328791,382231.0
128,80044.0
128,80040.0
128,80040.0
324907,378347.0
324782,378378.0
0,79651.0
203558,237801.0
339620,378191.0
338047,378220.0
337224,378219.0
337238,378221.0
337536,378183.0
128,80039.0
128,80044.0
128,80012.0
355112,378587.0
355121,378582.0
339607,378688.0
0,79428.0
340711,378279.0
0,57696.0
247363,303978.0
8,79881.0
328911,378310.0
246198,302522.0
8,79679.0
299579,355185.0
0,79680.0
345339,378434.0
51,79707.0
345337,378428.0
255911,333531.0
345334,378413.0
367056,380285.0
256172,334241.0
256477,334664.0
256474,334673.0
256408,334672.0
220484,274582.0
346103,367573.0
0,79843.0
264521,322712.0
256298,334440.0
256470,334677.0
0,78378.0
220328,273786.0
255911,333756.0
330456,378300.0
221475,276392.0
