Makespan (s),Workflow Response time (s)
44,45.0
38,39.0
56,57.0
51,52.0
96,97.0
125,126.0
68,69.0
62,63.0
58,59.0
164,165.0
128,129.0
112,113.0
74,75.0
114,115.0
55,56.0
147,148.0
142,143.0
136,137.0
154,155.0
136,137.0
149,150.0
132,133.0
149,150.0
126,127.0
119,120.0
136,137.0
125,126.0
121,122.0
107,108.0
132,133.0
155,156.0
197,198.0
160,161.0
252,253.0
169,170.0
184,185.0
235,236.0
217,218.0
168,169.0
143,144.0
279,280.0
169,170.0
142,143.0
157,158.0
158,159.0
159,160.0
249,254.0
224,230.0
246,253.0
236,243.0
156,157.0
139,140.0
185,186.0
139,140.0
143,144.0
268,273.0
222,228.0
170,171.0
230,231.0
271,276.0
237,244.0
254,259.0
345,346.0
290,291.0
268,269.0
315,316.0
279,282.0
306,309.0
281,284.0
269,273.0
305,313.0
330,331.0
280,281.0
282,283.0
250,251.0
321,322.0
298,306.0
313,320.0
320,328.0
359,360.0
300,301.0
330,331.0
281,283.0
301,309.0
287,295.0
299,308.0
305,321.0
309,326.0
282,293.0
288,299.0
296,305.0
289,301.0
301,318.0
283,294.0
286,298.0
284,294.0
405,406.0
369,370.0
373,380.0
380,387.0
347,355.0
345,357.0
394,409.0
374,389.0
357,373.0
386,404.0
307,315.0
327,335.0
412,423.0
373,384.0
347,359.0
354,366.0
334,347.0
328,344.0
359,375.0
377,392.0
306,314.0
358,366.0
387,394.0
345,357.0
336,349.0
341,353.0
369,388.0
340,359.0
350,368.0
364,383.0
393,411.0
346,365.0
383,402.0
364,385.0
392,410.0
350,369.0
371,390.0
369,389.0
390,409.0
380,402.0
380,411.0
396,432.0
382,418.0
340,359.0
341,360.0
326,345.0
369,388.0
348,369.0
357,377.0
385,406.0
299,309.0
375,402.0
376,403.0
385,411.0
383,413.0
401,437.0
379,406.0
381,407.0
389,415.0
382,412.0
379,410.0
383,409.0
381,407.0
383,413.0
432,445.0
423,429.0
419,432.0
421,439.0
419,438.0
418,437.0
403,432.0
460,494.0
527,561.0
417,451.0
523,562.0
457,497.0
396,417.0
400,424.0
407,436.0
403,432.0
516,549.0
418,451.0
542,579.0
522,561.0
409,449.0
421,427.0
415,439.0
398,424.0
413,441.0
424,452.0
422,451.0
427,461.0
539,571.0
415,450.0
531,563.0
404,428.0
402,427.0
398,423.0
444,472.0
399,428.0
426,454.0
389,419.0
410,445.0
423,455.0
527,565.0
404,428.0
413,441.0
394,423.0
514,546.0
432,470.0
524,562.0
513,557.0
523,566.0
500,545.0
543,587.0
559,602.0
570,617.0
423,464.0
526,566.0
429,467.0
507,550.0
439,479.0
550,587.0
493,533.0
538,584.0
563,613.0
653,708.0
639,689.0
598,647.0
422,462.0
522,565.0
642,697.0
644,699.0
541,585.0
514,559.0
523,570.0
555,601.0
589,640.0
662,727.0
496,524.0
559,591.0
487,510.0
552,584.0
694,735.0
644,681.0
683,725.0
686,734.0
671,725.0
686,738.0
681,739.0
680,737.0
671,730.0
686,748.0
413,445.0
680,717.0
589,626.0
656,698.0
686,732.0
697,749.0
671,731.0
676,738.0
693,754.0
667,732.0
679,725.0
675,724.0
680,733.0
669,724.0
663,724.0
675,736.0
648,713.0
661,725.0
677,744.0
657,726.0
681,724.0
673,716.0
672,715.0
695,741.0
681,729.0
691,739.0
674,723.0
672,727.0
669,732.0
667,731.0
693,733.0
692,737.0
679,727.0
681,729.0
672,726.0
682,735.0
671,725.0
680,738.0
