Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,3920.0,529
10,00000000-0000-0000-0000-000000000001,0,0.0,500
20,00000000-0000-0000-0000-000000000000,0,11760.0,568
20,00000000-0000-0000-0000-000000000001,0,0.0,500
30,00000000-0000-0000-0000-000000000000,0,21560.0,699
30,00000000-0000-0000-0000-000000000001,0,0.0,500
40,00000000-0000-0000-0000-000000000000,0,74480.0,1069
40,00000000-0000-0000-0000-000000000001,0,0.0,500
50,00000000-0000-0000-0000-000000000000,0,115640.0,1871
50,00000000-0000-0000-0000-000000000001,0,0.0,500
60,00000000-0000-0000-0000-000000000000,0,113680.0,2018
60,00000000-0000-0000-0000-000000000001,0,0.0,500
70,00000000-0000-0000-0000-000000000000,0,109760.0,2005
70,00000000-0000-0000-0000-000000000001,0,0.0,500
80,00000000-0000-0000-0000-000000000000,0,113680.0,2015
80,00000000-0000-0000-0000-000000000001,0,0.0,500
90,00000000-0000-0000-0000-000000000000,0,117600.0,2000
90,00000000-0000-0000-0000-000000000001,0,0.0,500
100,00000000-0000-0000-0000-000000000000,0,121520.0,2031
100,00000000-0000-0000-0000-000000000001,0,0.0,500
110,00000000-0000-0000-0000-000000000000,0,121520.0,2008
110,00000000-0000-0000-0000-000000000001,0,0.0,500
120,00000000-0000-0000-0000-000000000000,0,121520.0,2028
120,00000000-0000-0000-0000-000000000001,0,0.0,500
130,00000000-0000-0000-0000-000000000000,0,125440.0,2039
130,00000000-0000-0000-0000-000000000001,0,0.0,500
140,00000000-0000-0000-0000-000000000000,0,115640.0,2018
140,00000000-0000-0000-0000-000000000001,0,0.0,500
150,00000000-0000-0000-0000-000000000000,0,125440.0,2022
150,00000000-0000-0000-0000-000000000001,0,0.0,500
160,00000000-0000-0000-0000-000000000000,0,117600.0,2035
160,00000000-0000-0000-0000-000000000001,0,0.0,500
170,00000000-0000-0000-0000-000000000000,0,119560.0,2020
170,00000000-0000-0000-0000-000000000001,0,0.0,500
180,00000000-0000-0000-0000-000000000000,0,121520.0,2019
180,00000000-0000-0000-0000-000000000001,0,0.0,500
190,00000000-0000-0000-0000-000000000000,0,113680.0,2008
190,00000000-0000-0000-0000-000000000001,0,0.0,500
200,00000000-0000-0000-0000-000000000000,0,121520.0,2028
200,00000000-0000-0000-0000-000000000001,0,0.0,500
210,00000000-0000-0000-0000-000000000000,0,121520.0,2014
210,00000000-0000-0000-0000-000000000001,0,0.0,500
220,00000000-0000-0000-0000-000000000000,0,123480.0,2031
220,00000000-0000-0000-0000-000000000001,0,0.0,500
230,00000000-0000-0000-0000-000000000000,0,109760.0,2010
230,00000000-0000-0000-0000-000000000001,0,0.0,500
240,00000000-0000-0000-0000-000000000000,0,121520.0,2015
240,00000000-0000-0000-0000-000000000001,0,0.0,500
250,00000000-0000-0000-0000-000000000000,0,117600.0,2003
250,00000000-0000-0000-0000-000000000001,0,0.0,500
260,00000000-0000-0000-0000-000000000000,0,119560.0,2024
260,00000000-0000-0000-0000-000000000001,0,0.0,500
270,00000000-0000-0000-0000-000000000000,0,123480.0,2023
270,00000000-0000-0000-0000-000000000001,0,0.0,500
280,00000000-0000-0000-0000-000000000000,0,121520.0,2025
280,00000000-0000-0000-0000-000000000001,0,0.0,500
290,00000000-0000-0000-0000-000000000000,0,121520.0,2035
290,00000000-0000-0000-0000-000000000001,0,0.0,500
300,00000000-0000-0000-0000-000000000000,0,119560.0,2029
300,00000000-0000-0000-0000-000000000001,0,0.0,500
310,00000000-0000-0000-0000-000000000000,0,123480.0,2032
310,00000000-0000-0000-0000-000000000001,0,0.0,500
320,00000000-0000-0000-0000-000000000000,0,121520.0,2036
320,00000000-0000-0000-0000-000000000001,0,0.0,500
330,00000000-0000-0000-0000-000000000000,0,115640.0,2018
330,00000000-0000-0000-0000-000000000001,0,0.0,500
340,00000000-0000-0000-0000-000000000000,0,119560.0,2025
340,00000000-0000-0000-0000-000000000001,0,0.0,500
350,00000000-0000-0000-0000-000000000000,0,115640.0,2022
350,00000000-0000-0000-0000-000000000001,0,0.0,500
360,00000000-0000-0000-0000-000000000000,0,119560.0,2023
360,00000000-0000-0000-0000-000000000001,0,0.0,500
370,00000000-0000-0000-0000-000000000000,0,123480.0,2017
370,00000000-0000-0000-0000-000000000001,0,0.0,500
380,00000000-0000-0000-0000-000000000000,0,119560.0,2022
380,00000000-0000-0000-0000-000000000001,0,0.0,500
390,00000000-0000-0000-0000-000000000000,0,121520.0,2019
390,00000000-0000-0000-0000-000000000001,0,0.0,500
400,00000000-0000-0000-0000-000000000000,0,119560.0,2023
400,00000000-0000-0000-0000-000000000001,0,0.0,500
410,00000000-0000-0000-0000-000000000000,0,117600.0,2025
410,00000000-0000-0000-0000-000000000001,0,0.0,500
420,00000000-0000-0000-0000-000000000000,0,121520.0,2036
420,00000000-0000-0000-0000-000000000001,0,0.0,500
430,00000000-0000-0000-0000-000000000000,0,115640.0,2005
430,00000000-0000-0000-0000-000000000001,0,0.0,500
440,00000000-0000-0000-0000-000000000000,0,115640.0,2039
440,00000000-0000-0000-0000-000000000001,0,0.0,500
450,00000000-0000-0000-0000-000000000000,0,117600.0,2026
450,00000000-0000-0000-0000-000000000001,0,0.0,500
460,00000000-0000-0000-0000-000000000000,0,119560.0,2023
460,00000000-0000-0000-0000-000000000001,0,0.0,500
470,00000000-0000-0000-0000-000000000000,0,117600.0,2027
470,00000000-0000-0000-0000-000000000001,0,0.0,500
480,00000000-0000-0000-0000-000000000000,0,123480.0,2009
480,00000000-0000-0000-0000-000000000001,0,0.0,500
490,00000000-0000-0000-0000-000000000000,0,107800.0,2029
490,00000000-0000-0000-0000-000000000001,0,0.0,500
500,00000000-0000-0000-0000-000000000000,0,123480.0,2014
500,00000000-0000-0000-0000-000000000001,0,0.0,500
510,00000000-0000-0000-0000-000000000000,0,113680.0,2006
510,00000000-0000-0000-0000-000000000001,0,0.0,500
