Makespan (s),Workflow Response time (s)
66999,67000.0
67003,67004.0
67004,67005.0
37309,67034.0
36653,67051.0
60059,67001.0
36652,67052.0
37220,67029.0
36855,67113.0
44530,55622.0
37470,67262.0
55581,55582.0
55612,55613.0
55611,55612.0
35640,55619.0
43058,67004.0
36815,67098.0
44661,55619.0
39480,55593.0
49137,55590.0
37292,67029.0
37271,67023.0
66999,67000.0
36623,67052.0
36736,67069.0
55626,55627.0
55592,55593.0
43878,55575.0
36657,67052.0
44014,55620.0
66832,66833.0
37199,67015.0
37306,67025.0
66898,66899.0
36692,67051.0
44199,55624.0
48671,55599.0
48406,55587.0
66995,66996.0
36703,67052.0
36691,67051.0
37222,67014.0
36863,67111.0
37267,67016.0
37068,67023.0
35652,55602.0
55595,55596.0
49471,55607.0
32504,55611.0
43811,55596.0
67000,67001.0
39832,55606.0
39483,55623.0
55589,55590.0
35806,55611.0
55587,55588.0
36680,67053.0
36678,67051.0
55600,55601.0
36726,67063.0
61079,66999.0
36776,67080.0
36719,67060.0
37329,67157.0
37049,67025.0
39315,55627.0
32939,55599.0
67003,67004.0
36245,55605.0
60710,67003.0
67005,67006.0
36656,67053.0
55607,55608.0
35934,55622.0
43995,55612.0
36677,67051.0
67001,67002.0
43965,55571.0
66998,66999.0
36675,67052.0
36620,67056.0
44403,55626.0
37252,67026.0
36691,67051.0
37065,67027.0
55610,55611.0
49143,55612.0
55421,67001.0
54584,66947.0
37118,67023.0
36936,67162.0
55627,55628.0
37321,67054.0
49504,55606.0
36706,67052.0
39096,55590.0
37038,67224.0
37270,67024.0
67001,67002.0
49678,55626.0
36820,67094.0
49356,55623.0
36674,67051.0
55602,55603.0
37180,67015.0
36649,67051.0
36619,67058.0
36679,67050.0
37185,67034.0
43585,55571.0
66895,66896.0
36628,67058.0
67003,67004.0
67002,67003.0
36680,67051.0
61181,67003.0
55292,67004.0
66996,66997.0
67002,67003.0
36649,67052.0
36615,67053.0
61494,67000.0
39697,55586.0
49243,55616.0
55597,55598.0
36656,67052.0
39944,55577.0
36752,67076.0
55604,55605.0
36699,67055.0
39659,55572.0
37309,67026.0
37261,67024.0
60558,67002.0
37296,67028.0
66999,67000.0
37247,67026.0
55616,55617.0
49392,55583.0
36653,67051.0
36680,67055.0
36692,67051.0
37267,67176.0
37236,67026.0
35581,55606.0
36693,67050.0
39332,55586.0
39237,55583.0
55585,55586.0
36660,67055.0
37191,67026.0
37445,67242.0
49963,55609.0
44320,55598.0
55618,55619.0
36777,67082.0
37287,67024.0
55590,55591.0
37188,67023.0
35508,55574.0
37272,67025.0
37312,67027.0
37280,67046.0
39516,55572.0
55571,55572.0
49128,55607.0
39630,55600.0
48948,55596.0
37215,67023.0
37216,67026.0
55280,66999.0
49512,55573.0
37250,67037.0
36783,67078.0
55607,55608.0
36691,67051.0
49234,55587.0
43891,55626.0
36772,67076.0
37300,67038.0
55574,55575.0
37247,67014.0
55620,55621.0
48564,55604.0
37429,67221.0
36700,67053.0
36635,67052.0
37444,67276.0
36651,67055.0
37266,67026.0
36702,67052.0
67001,67002.0
37262,67025.0
37092,67235.0
37270,67025.0
37259,67022.0
44213,55592.0
67003,67004.0
50578,66844.0
49617,55598.0
