Makespan (s),Workflow Response time (s)
38691,38692.0
60556,66958.0
66907,66908.0
66908,66909.0
60502,66990.0
66915,66916.0
63168,66914.0
59970,67035.0
35405,38695.0
60680,67018.0
60677,66970.0
60664,66980.0
60605,66949.0
59969,67034.0
61315,67547.0
66916,66917.0
59965,67034.0
59998,67051.0
60513,67001.0
60613,66934.0
59922,67036.0
60733,66997.0
59974,67036.0
60589,66949.0
60592,66994.0
38700,38701.0
60662,67163.0
66899,66900.0
66907,66908.0
59925,67036.0
60538,66927.0
60701,66974.0
66904,66905.0
66894,66895.0
66908,66909.0
60389,66979.0
60640,66969.0
60241,67236.0
60896,67527.0
59998,67049.0
66901,66902.0
39561,39562.0
60636,66928.0
59943,67038.0
39937,39938.0
59962,67037.0
60608,66968.0
60660,66991.0
60583,66948.0
60542,66979.0
60280,66972.0
60816,67037.0
60392,66955.0
60570,67004.0
38697,38698.0
38700,38701.0
60739,66989.0
60465,66949.0
60619,66977.0
60751,66972.0
66917,66918.0
59963,67040.0
60379,66948.0
59962,67036.0
59936,67039.0
60509,67012.0
60601,67018.0
60664,66950.0
60667,66917.0
66904,66905.0
59945,67036.0
40258,40259.0
59971,67041.0
59967,67036.0
60548,66985.0
66909,66910.0
60044,67091.0
59964,67038.0
61275,67635.0
60493,66935.0
60599,66949.0
60311,67000.0
66914,66915.0
61020,67327.0
61333,67662.0
60590,66958.0
38694,38695.0
60416,66992.0
60729,66979.0
59919,67038.0
60329,66968.0
59933,67036.0
60698,66983.0
60913,67161.0
38692,38693.0
61008,67346.0
59942,67036.0
60591,66993.0
60616,66989.0
60643,66935.0
66915,66916.0
60149,67002.0
66912,66913.0
66911,66912.0
60718,66968.0
66913,66914.0
60710,67004.0
59944,67036.0
66904,66905.0
38693,38694.0
59945,67037.0
62896,66916.0
59917,67038.0
60538,66978.0
59959,67035.0
60428,66967.0
60632,66952.0
60653,66957.0
59923,67036.0
60766,66991.0
59919,67037.0
38688,38689.0
66899,66900.0
60475,67012.0
60723,66993.0
59941,67035.0
60534,67001.0
66915,66916.0
59954,67041.0
60650,66935.0
60564,67001.0
59965,67035.0
59982,67041.0
60690,66938.0
60504,66992.0
60589,66962.0
60587,67017.0
60462,67004.0
59970,67035.0
60718,66968.0
38695,38696.0
63652,66905.0
66904,66905.0
60646,67001.0
38696,38697.0
66916,66917.0
59943,67035.0
59942,67036.0
60642,66994.0
61204,67569.0
60563,66951.0
60681,66973.0
60493,67011.0
59961,67035.0
59964,67034.0
60572,66960.0
66911,66912.0
60670,66991.0
38693,38694.0
38694,38695.0
60774,67004.0
60712,66982.0
60673,66958.0
66898,66899.0
59965,67035.0
60890,67149.0
60218,67002.0
60605,66985.0
66914,66915.0
60499,67182.0
60618,66936.0
38695,38696.0
38692,38693.0
60674,66966.0
60783,67008.0
66901,66902.0
66906,66907.0
60463,66927.0
60711,66969.0
59964,67035.0
66910,66911.0
59956,67034.0
60605,67035.0
60726,66956.0
60648,66940.0
60534,66971.0
38760,38761.0
60552,66944.0
38704,38705.0
60522,66988.0
60676,66980.0
60449,66983.0
38697,38698.0
59927,67038.0
60704,66969.0
60700,66993.0
59925,67036.0
59935,67038.0
38691,38692.0
60182,67206.0
