Time (s),Tasks #
2.0,847
1.0,1013
8.0,818
0.001,541
2569.0,1
4018.0,1
67.0,113
87.0,6
728.0,10
77.0,6
6.0,54
2853.0,1
1383.0,6
36.0,445
10.0,1686
1140.0,10
755.0,7
675.0,8
959.0,13
34.0,221
655.0,12
536.0,8
1006.0,9
965.0,9
1057.0,15
1169.0,6
33.0,668
31.0,375
1408.0,1
481.0,7
816.0,6
6828.0,1
61.0,5
14.0,7
618.0,8
90.0,4
2832.0,2
3744.0,1
3381.0,1
138.0,4
1087.0,5
85.0,9
2865.0,1
3002.0,3
12.0,43
4.0,83
6740.0,1
2512.0,5
2692.0,1
5691.0,1
1085.0,6
2928.0,1
92.0,5
497.0,5
100.0,4
79.0,5
1453.0,1
800.0,6
1126.0,11
469.0,6
506.0,11
806.0,9
795.0,9
661.0,5
1232.0,10
961.0,12
1097.0,12
718.0,12
1332.0,11
989.0,6
510.0,10
1348.0,5
975.0,8
3020.0,2
71.0,5
1036.0,6
59.0,6
3214.0,1
70.0,4
151.0,3
50.0,2
642.0,9
2948.0,2
2922.0,1
3305.0,1
3805.0,1
2468.0,1
685.0,10
6542.0,1
1800.0,1
66.0,6
146.0,5
5595.0,1
1766.0,1
53.0,3
3073.0,1
2055.0,1
6087.0,1
57.0,7
3074.0,1
2910.0,2
575.0,7
942.0,9
2963.0,1
2405.0,1
2685.0,2
2696.0,1
479.0,6
2816.0,1
65.0,2
26.0,243
20.0,2006
22.0,40
24.0,246
94.0,1
2712.0,2
891.0,11
2389.0,1
2864.0,1
553.0,5
573.0,5
1369.0,9
744.0,7
732.0,9
979.0,9
906.0,15
695.0,11
1075.0,9
491.0,2
587.0,9
1279.0,16
520.0,7
1155.0,9
767.0,15
708.0,7
720.0,8
677.0,7
1083.0,11
673.0,7
955.0,5
834.0,7
957.0,8
1008.0,8
1191.0,17
671.0,6
622.0,13
985.0,14
742.0,9
897.0,12
644.0,8
904.0,12
993.0,11
855.0,17
779.0,8
824.0,10
1263.0,6
489.0,9
953.0,8
789.0,14
38.0,16
1353.0,7
808.0,11
861.0,13
883.0,14
1108.0,8
1344.0,8
983.0,10
1161.0,5
493.0,9
1289.0,9
589.0,10
1357.0,8
1012.0,10
830.0,14
724.0,6
918.0,10
706.0,7
653.0,9
863.0,5
1330.0,7
512.0,8
1167.0,13
557.0,9
35.0,23
700.0,8
714.0,11
683.0,9
1077.0,6
693.0,8
930.0,13
730.0,10
1395.0,2
606.0,6
997.0,7
1110.0,7
657.0,10
1153.0,6
551.0,16
1165.0,6
812.0,7
924.0,13
969.0,11
895.0,5
1020.0,14
29.0,5
842.0,7
1151.0,6
1120.0,9
1355.0,11
1326.0,6
1202.0,9
1318.0,14
804.0,12
746.0,7
561.0,12
1293.0,14
583.0,7
1334.0,8
900.0,9
1306.0,9
951.0,7
1026.0,11
483.0,8
628.0,5
777.0,12
1255.0,9
1004.0,10
522.0,6
1100.0,10
1146.0,9
781.0,10
826.0,13
1046.0,11
967.0,12
620.0,9
977.0,9
595.0,9
1018.0,9
759.0,7
797.0,5
763.0,8
669.0,9
828.0,7
1336.0,8
1171.0,7
648.0,5
659.0,8
516.0,5
1197.0,9
867.0,8
1034.0,7
665.0,13
857.0,12
1287.0,10
614.0,9
734.0,8
579.0,7
1148.0,7
912.0,18
1285.0,8
1320.0,12
944.0,8
1032.0,6
1218.0,7
881.0,9
1251.0,6
738.0,14
1179.0,10
1089.0,5
1253.0,10
581.0,6
875.0,4
577.0,6
1095.0,7
820.0,10
487.0,5
567.0,11
571.0,11
1224.0,7
1210.0,11
528.0,15
1226.0,12
893.0,10
502.0,9
689.0,10
514.0,11
681.0,8
716.0,4
1002.0,8
1277.0,5
1381.0,12
783.0,14
1387.0,8
1079.0,12
1379.0,9
1397.0,8
802.0,8
663.0,8
836.0,9
1220.0,9
726.0,6
1324.0,2
1308.0,8
1236.0,10
853.0,12
1361.0,5
1142.0,11
1261.0,6
1351.0,7
1038.0,7
602.0,7
2651.0,1
2034.0,1
2840.0,1
457.0,1
135.0,1
1502.0,1
2738.0,2
869.0,9
51.0,3
2583.0,1
150.0,2
2900.0,3
6448.0,1
2731.0,1
25.0,18
16.0,3
1181.0,5
877.0,11
1059.0,4
848.0,9
612.0,14
928.0,8
916.0,7
1069.0,10
1267.0,5
973.0,7
1044.0,11
1106.0,4
597.0,9
814.0,9
1163.0,6
938.0,10
1157.0,4
948.0,8
1281.0,9
1214.0,9
1302.0,7
1022.0,5
1067.0,6
910.0,10
608.0,11
1189.0,10
859.0,6
1389.0,5
1104.0,7
540.0,6
1297.0,9
532.0,8
697.0,10
761.0,9
1193.0,7
1093.0,9
1365.0,2
638.0,12
751.0,9
632.0,9
1248.0,6
526.0,6
538.0,10
565.0,11
1246.0,7
1175.0,10
1373.0,9
908.0,7
1314.0,4
1340.0,8
504.0,10
1391.0,8
838.0,9
542.0,10
1159.0,7
704.0,5
793.0,8
1073.0,8
1393.0,9
1000.0,12
1132.0,11
787.0,9
846.0,9
773.0,7
475.0,10
471.0,5
1265.0,3
753.0,11
914.0,7
473.0,4
1322.0,6
604.0,8
593.0,9
1244.0,7
646.0,8
920.0,10
785.0,9
844.0,10
871.0,7
1055.0,11
1112.0,8
559.0,4
1042.0,10
1328.0,7
932.0,9
1363.0,7
840.0,9
1040.0,10
1061.0,9
667.0,5
1014.0,6
691.0,11
757.0,10
624.0,10
563.0,2
495.0,4
1071.0,6
1051.0,10
93.0,1
3169.0,1
1593.0,1
3251.0,1
1053.0,2
902.0,9
530.0,7
736.0,7
885.0,8
3364.0,2
6508.0,1
2233.0,1
2737.0,1
112.0,3
2634.0,1
63.0,3
453.0,1
4267.0,1
2932.0,2
2890.0,1
3455.0,1
3040.0,1
129.0,4
3142.0,1
3112.0,1
68.0,1
3940.0,1
88.0,3
48.0,3
2029.0,1
2833.0,1
