Makespan (s),Workflow Response time (s)
69539,73808.0
61042,73860.0
45729,45730.0
73815,73816.0
60946,73885.0
73819,73820.0
64256,73811.0
60098,73931.0
65004,73804.0
61401,74132.0
61200,73871.0
61187,73880.0
61118,73851.0
60096,73930.0
61770,74365.0
73818,73819.0
60090,73930.0
60123,73946.0
60955,73898.0
61135,73836.0
60002,73930.0
61255,73892.0
60099,73931.0
61092,73849.0
61081,73893.0
41515,45741.0
61070,74027.0
73811,73812.0
73808,73809.0
60011,73929.0
61032,73830.0
61228,73874.0
73815,73816.0
73804,73805.0
73815,73816.0
60789,73876.0
61148,73869.0
60414,74131.0
61223,74375.0
60131,73944.0
45738,45739.0
45736,45737.0
61162,73832.0
60046,73932.0
41454,45737.0
60069,73932.0
61102,73867.0
61160,73889.0
61082,73852.0
61001,73874.0
60640,73874.0
61331,73913.0
60808,73858.0
61040,73902.0
40515,45739.0
45741,45742.0
61266,73880.0
60925,73852.0
61112,73873.0
61290,73874.0
73815,73816.0
60063,73932.0
60795,73851.0
60070,73931.0
60019,73932.0
61039,74003.0
61070,73907.0
61196,73854.0
61205,73825.0
73812,73813.0
60047,73931.0
45740,45741.0
60079,73933.0
60081,73935.0
61014,73880.0
45733,45734.0
60182,73985.0
60071,73933.0
61386,74152.0
60963,73838.0
61113,73850.0
60662,73896.0
73820,73821.0
61449,74140.0
61752,74478.0
61084,73860.0
45735,45736.0
60824,73891.0
61256,73875.0
60002,73935.0
60703,73865.0
60021,73930.0
61228,73883.0
61843,74453.0
45732,45733.0
61449,74179.0
60045,73931.0
61080,73891.0
61105,73886.0
61177,73838.0
45732,45733.0
60411,73895.0
45728,45729.0
73814,73815.0
61254,73867.0
45728,45729.0
61231,73912.0
60046,73931.0
68798,73812.0
38993,45735.0
60044,73931.0
64129,73819.0
59993,73932.0
61003,73878.0
60066,73931.0
60847,73862.0
61158,73858.0
61175,73858.0
60011,73935.0
61303,73887.0
59998,73931.0
40685,45740.0
67723,73812.0
60900,73913.0
61243,73889.0
60049,73934.0
60987,73897.0
73813,73814.0
60070,73934.0
61184,73838.0
61028,73900.0
60089,73929.0
60116,73943.0
61241,73841.0
60952,73890.0
61089,73863.0
61051,73900.0
60883,73902.0
60098,73931.0
61252,73869.0
39569,45736.0
65102,73818.0
73814,73815.0
61148,73896.0
73805,73806.0
73816,73817.0
60045,73930.0
60045,73931.0
61154,73893.0
61677,74448.0
61060,73853.0
61217,73876.0
60922,73904.0
60068,73930.0
60088,73930.0
61065,73861.0
73812,73813.0
61186,73887.0
45734,45735.0
45735,45736.0
61312,73901.0
61234,73880.0
61208,73858.0
45736,45737.0
60089,73930.0
61665,74295.0
60517,73896.0
61103,73884.0
68848,73815.0
60817,74046.0
61145,73840.0
41182,45737.0
40622,45736.0
61203,73867.0
61326,73913.0
68535,73812.0
73810,73811.0
60930,73832.0
61245,73869.0
60085,73929.0
73818,73819.0
60075,73930.0
61057,73904.0
61263,73854.0
61178,73843.0
60998,73870.0
45736,45737.0
61048,73847.0
41611,45739.0
60978,73885.0
61195,73882.0
60886,73887.0
40844,45739.0
60006,73932.0
61232,73869.0
61221,73891.0
60012,73931.0
60021,73934.0
45740,45741.0
60334,74101.0
