Makespan (s),Workflow Response time (s)
7014,7015.0
3987,3988.0
9331,9332.0
9828,9829.0
3850,3851.0
9569,9570.0
6304,6305.0
1969,2074.0
6108,6109.0
3578,3579.0
4417,4418.0
4060,4061.0
3857,3858.0
1962,2070.0
4815,4816.0
9276,9277.0
1971,2060.0
2005,2097.0
3854,3855.0
3927,3928.0
1940,2050.0
4995,4996.0
1974,2084.0
3876,3877.0
3873,3874.0
7323,7324.0
3585,3586.0
9220,9221.0
9548,9549.0
1962,2064.0
3838,3839.0
3602,3640.0
9208,9209.0
9189,9190.0
8954,8955.0
3574,3575.0
4362,4363.0
2283,2372.0
4008,4009.0
2005,2099.0
9451,9452.0
9150,9151.0
4455,4456.0
1956,2066.0
7287,7288.0
1968,2061.0
3858,3859.0
4464,4465.0
3951,3952.0
3865,3866.0
4028,4029.0
4763,4764.0
3563,3564.0
4223,4224.0
7166,7167.0
7554,7555.0
4675,4676.0
3819,3820.0
3581,3582.0
5149,5150.0
9915,9916.0
1967,2070.0
3843,3844.0
1980,2072.0
1950,2053.0
3565,3566.0
4128,4129.0
4939,4940.0
4460,4461.0
9157,9158.0
1977,2066.0
9272,9273.0
1966,2057.0
1967,2056.0
4899,4900.0
8203,8204.0
2063,2154.0
1960,2050.0
3890,3927.0
3576,3577.0
4431,4432.0
3592,3593.0
10004,10005.0
4383,4384.0
3582,3583.0
4021,4059.0
7736,7737.0
3558,3559.0
3932,3933.0
1969,2066.0
3841,3842.0
1966,2059.0
5067,5068.0
4946,4947.0
8186,8187.0
3572,3573.0
1951,2056.0
3854,3855.0
4260,4298.0
4158,4159.0
9684,9685.0
3525,3563.0
9455,9456.0
7638,7639.0
3872,3873.0
9499,9500.0
3847,3848.0
1963,2073.0
6824,6825.0
6706,6707.0
1978,2067.0
5676,5677.0
1966,2068.0
3848,3849.0
1958,2061.0
3861,3862.0
4050,4088.0
4051,4052.0
1966,2064.0
4972,4973.0
1953,2047.0
6939,6940.0
6636,6637.0
3565,3566.0
4289,4290.0
1950,2050.0
4841,4842.0
8527,8528.0
1958,2055.0
3863,3864.0
4351,4352.0
1964,2056.0
2003,2093.0
4989,4990.0
3638,3639.0
3917,3918.0
4384,4422.0
4175,4176.0
1972,2061.0
4805,4806.0
6660,6661.0
6247,6248.0
8483,8484.0
3860,3861.0
8975,8976.0
8524,8525.0
1977,2072.0
1969,2067.0
3863,3864.0
4780,4781.0
4688,4689.0
4843,4844.0
3525,3562.0
1945,2055.0
1953,2055.0
4406,4407.0
7482,7483.0
3899,3937.0
7349,7350.0
7525,7526.0
4912,4913.0
4602,4603.0
4589,4590.0
9164,9165.0
1967,2060.0
4035,4072.0
3873,3874.0
3625,3626.0
6887,6888.0
3762,3763.0
4007,4008.0
7226,7227.0
6967,6968.0
4951,4952.0
5036,5037.0
6845,6846.0
9031,9032.0
3863,3864.0
4664,4665.0
1963,2065.0
8723,8724.0
1970,2072.0
4038,4039.0
5086,5087.0
5036,5037.0
4427,4465.0
7840,7841.0
3979,3980.0
7267,7268.0
3846,3847.0
4758,4759.0
3582,3583.0
7160,7161.0
1976,2067.0
4533,4534.0
4371,4372.0
1971,2069.0
1972,2072.0
8460,8461.0
2233,2322.0
