No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
0,125440.0,62997
0,125440.0,224625
0,120960.0,63425
0,120960.0,63425
0,125440.0,62999
0,123480.0,248554
0,120960.0,63428
0,120960.0,63428
0,125440.0,244662
0,125440.0,205036
0,120960.0,63428
0,120960.0,148903
0,125440.0,251866
0,125440.0,251772
0,120960.0,184656
0,120960.0,251733
0,125440.0,251777
0,125440.0,251742
0,120960.0,251925
0,120960.0,251801
0,125440.0,251836
0,125440.0,251912
0,120960.0,251846
0,120960.0,251654
0,125440.0,251733
0,125440.0,251698
0,120960.0,251888
0,120960.0,251791
0,125440.0,251801
0,123480.0,251778
0,120960.0,251887
0,120960.0,251468
0,125440.0,249963
0,125440.0,250108
0,120960.0,249776
0,120960.0,249548
0,123480.0,251847
0,125440.0,251876
0,120960.0,251857
0,120960.0,251809
0,125440.0,251752
0,125440.0,251646
0,120960.0,251648
0,120960.0,251523
0,125440.0,250622
0,125440.0,250269
0,118800.0,250922
0,120960.0,250853
0,125440.0,251530
0,125440.0,251463
0,120960.0,251721
0,120960.0,251557
0,125440.0,251822
0,125440.0,251798
0,120960.0,251853
0,120960.0,251572
0,125440.0,251880
0,125440.0,251722
0,120960.0,251745
0,118800.0,251795
0,23520.0,196156
0,31360.0,199316
0,17280.0,185250
0,12960.0,188429
