Time (s),Tasks #
2.0,1741
7.0,389
0.001,541
2331.0,1
4018.0,1
1.0,119
67.0,67
95.0,8
728.0,5
85.0,9
6.0,28
3144.0,1
8.0,446
1255.0,4
36.0,1112
9.0,886
1035.0,4
10.0,830
685.0,7
612.0,10
959.0,12
34.0,595
594.0,7
536.0,4
1006.0,4
875.0,4
1057.0,15
1169.0,4
1277.0,2
481.0,9
740.0,6
6196.0,1
61.0,54
14.0,7
561.0,12
100.0,4
2570.0,1
3744.0,2
3381.0,1
153.0,4
987.0,6
2865.0,1
3002.0,1
12.0,20
4.0,45
6116.0,1
2769.0,3
2967.0,1
5164.0,1
1085.0,7
2928.0,1
102.0,7
497.0,3
93.0,5
110.0,5
79.0,6
1453.0,1
725.0,4
1022.0,5
425.0,2
506.0,9
806.0,3
795.0,5
661.0,8
1118.0,13
961.0,7
996.0,5
651.0,5
1209.0,6
989.0,5
462.0,6
1224.0,6
885.0,7
3328.0,1
71.0,7
940.0,9
59.0,5
2916.0,2
77.0,6
167.0,3
11.0,25
55.0,3
642.0,12
2675.0,2
2651.0,3
3305.0,1
3805.0,1
2720.0,1
622.0,12
5937.0,1
1800.0,1
3.0,38
73.0,7
161.0,3
5077.0,1
1946.0,1
53.0,4
2788.0,1
2055.0,1
5524.0,1
57.0,5
3074.0,1
5.0,26
2640.0,1
575.0,4
855.0,12
2688.0,1
2437.0,1
2971.0,1
479.0,10
2816.0,1
65.0,5
26.0,486
18.0,1116
20.0,969
104.0,1
2989.0,2
891.0,4
2168.0,1
3157.0,1
501.0,2
520.0,8
655.0,8
1369.0,5
744.0,12
732.0,5
888.0,4
822.0,10
695.0,6
1075.0,13
446.0,1
533.0,3
1279.0,8
1048.0,8
696.0,6
708.0,2
720.0,11
677.0,8
1083.0,11
673.0,2
866.0,4
757.0,9
868.0,5
1008.0,6
1191.0,7
671.0,4
564.0,6
985.0,9
674.0,2
1126.0,8
814.0,12
644.0,8
904.0,6
901.0,7
779.0,10
979.0,10
824.0,12
1263.0,3
444.0,4
953.0,8
789.0,9
38.0,39
1353.0,5
733.0,7
781.0,7
883.0,10
1108.0,3
1344.0,5
983.0,12
1161.0,9
448.0,5
1289.0,5
535.0,7
1357.0,5
918.0,12
830.0,8
724.0,6
833.0,4
640.0,8
592.0,5
863.0,2
1330.0,4
512.0,9
1167.0,7
557.0,5
700.0,11
714.0,13
620.0,9
1077.0,12
629.0,2
844.0,13
675.0,6
662.0,7
1266.0,1
550.0,2
892.0,4
905.0,3
1110.0,3
657.0,9
1046.0,10
500.0,10
742.0,10
1165.0,2
737.0,2
924.0,13
969.0,8
812.0,7
925.0,9
32.0,9
764.0,3
1044.0,9
1120.0,6
942.0,9
1355.0,8
1326.0,5
1202.0,3
1196.0,7
804.0,9
746.0,5
1293.0,5
583.0,5
1334.0,3
816.0,8
1185.0,5
1306.0,5
1203.0,1
951.0,6
1026.0,6
438.0,5
628.0,3
777.0,12
1138.0,8
1318.0,7
911.0,7
522.0,9
998.0,5
1146.0,10
872.0,5
750.0,7
877.0,10
709.0,6
529.0,4
977.0,4
540.0,10
1018.0,9
688.0,4
797.0,3
692.0,5
820.0,9
669.0,7
828.0,4
729.0,3
1336.0,5
600.0,3
1171.0,3
618.0,8
648.0,7
659.0,6
468.0,3
1197.0,5
787.0,8
938.0,9
665.0,7
800.0,5
857.0,9
1168.0,7
614.0,12
734.0,4
579.0,8
826.0,6
1148.0,7
870.0,5
827.0,8
1285.0,3
1198.0,3
944.0,10
967.0,7
937.0,3
1105.0,4
22.0,17
489.0,5
881.0,9
1135.0,3
738.0,14
1179.0,6
1089.0,1
472.0,3
683.0,8
1137.0,5
748.0,2
581.0,6
794.0,4
577.0,10
994.0,3
442.0,1
912.0,15
567.0,4
518.0,11
1111.0,2
1210.0,7
528.0,9
1112.0,13
893.0,5
455.0,4
689.0,7
514.0,12
716.0,6
914.0,8
1002.0,5
1159.0,7
1381.0,8
573.0,1
711.0,9
1387.0,5
1251.0,9
1268.0,5
802.0,5
663.0,6
836.0,4
722.0,10
1220.0,9
1166.0,5
510.0,4
726.0,5
1201.0,2
1308.0,4
1122.0,8
1140.0,11
853.0,7
1361.0,4
609.0,2
1142.0,13
487.0,8
1144.0,7
1351.0,4
1038.0,4
602.0,4
2034.0,1
2840.0,1
457.0,5
148.0,1
1502.0,1
87.0,5
2738.0,1
788.0,6
2846.0,1
165.0,2
2631.0,1
5851.0,1
3010.0,1
28.0,21
16.0,2
887.0,10
1181.0,5
1034.0,4
595.0,3
1059.0,10
848.0,6
555.0,13
928.0,6
831.0,1
1069.0,7
1150.0,3
1106.0,4
542.0,8
474.0,1
1055.0,11
1050.0,2
948.0,9
730.0,3
1281.0,4
1214.0,7
834.0,3
1302.0,4
927.0,3
1062.0,4
783.0,8
1067.0,5
993.0,4
825.0,3
767.0,9
608.0,3
1079.0,12
1389.0,2
1107.0,3
809.0,7
1104.0,5
681.0,7
1297.0,4
532.0,6
861.0,15
697.0,9
761.0,10
589.0,3
1193.0,1
1093.0,5
1365.0,1
751.0,9
632.0,8
1133.0,3
1155.0,6
1232.0,5
477.0,10
1170.0,4
538.0,14
464.0,5
1131.0,6
1066.0,2
1373.0,7
666.0,4
1314.0,2
1216.0,7
504.0,6
1391.0,5
838.0,8
1151.0,5
