No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
0,125440.0,62997
0,125440.0,62997
0,125440.0,62997
0,125440.0,228848
0,125440.0,62999
0,125440.0,62999
0,125440.0,116572
0,125440.0,235944
0,125440.0,63000
0,125440.0,134412
0,125440.0,251615
0,125440.0,244902
0,125440.0,157648
0,123480.0,251724
0,125440.0,251812
0,125440.0,251849
0,125440.0,251820
0,125440.0,251778
0,125440.0,251675
0,125440.0,251819
0,125440.0,251750
0,125440.0,251700
0,125440.0,251882
0,125440.0,251798
0,125440.0,251813
0,125440.0,251781
0,125440.0,251890
0,125440.0,251837
0,123480.0,251807
0,123480.0,251587
0,123480.0,251400
0,119560.0,251477
0,125440.0,250555
0,125440.0,250434
0,125440.0,250025
0,125440.0,250018
0,123480.0,251626
0,125440.0,251616
0,125440.0,251564
0,125440.0,251634
0,123480.0,251376
0,125440.0,251463
0,123480.0,251555
0,125440.0,251357
0,125440.0,250430
0,125440.0,250784
0,125440.0,250344
0,125440.0,250445
0,125440.0,251906
0,125440.0,251924
0,125440.0,251942
0,125440.0,251828
0,123480.0,251852
0,125440.0,251818
0,125440.0,251752
0,125440.0,251838
0,125440.0,251844
0,125440.0,251808
0,125440.0,251633
0,125440.0,251821
0,1960.0,141841
0,1960.0,145694
0,1960.0,144623
0,0.0,138358
