Makespan (s),Workflow Response time (s)
8455,8456.0
8542,8582.0
11349,11350.0
11981,11982.0
7984,7985.0
11887,11888.0
8457,8458.0
7287,7564.0
8836,8837.0
7804,7842.0
8402,8403.0
8581,8582.0
7902,7998.0
7285,7564.0
8633,8634.0
11653,11654.0
7602,7862.0
7726,7988.0
8570,8571.0
7769,7850.0
6881,7162.0
9279,9280.0
7682,7973.0
7828,7903.0
8357,8444.0
10533,10534.0
7766,7804.0
11533,11534.0
11428,11429.0
6717,6989.0
7820,7860.0
7770,7892.0
11656,11657.0
11231,11232.0
11211,11212.0
7996,7997.0
7872,7945.0
8264,8524.0
8420,8458.0
7711,7973.0
11838,11839.0
11906,11907.0
9065,9140.0
6948,7235.0
8584,8585.0
7093,7355.0
7940,7941.0
8517,8518.0
8464,8465.0
7936,7976.0
8368,8443.0
9312,9313.0
7923,7924.0
7850,7925.0
10232,10233.0
10783,10784.0
9701,9762.0
7771,7811.0
7898,7899.0
9629,9630.0
11794,11795.0
7082,7356.0
7766,7804.0
7053,7315.0
7274,7549.0
7769,7844.0
8465,8466.0
9828,9829.0
8417,8492.0
11386,11387.0
7586,7846.0
11825,11826.0
7078,7340.0
7304,7564.0
8931,8969.0
10871,10872.0
8122,8382.0
7303,7563.0
7870,7984.0
7859,7860.0
8505,8506.0
7981,7982.0
11934,11935.0
8445,8483.0
7808,7848.0
7880,7996.0
10677,10678.0
7850,7851.0
8179,8254.0
6168,6434.0
7850,7944.0
7291,7553.0
9670,9671.0
9361,9362.0
10780,10781.0
7773,7850.0
7272,7550.0
7849,7889.0
8348,8487.0
7909,7910.0
11555,11556.0
7790,7908.0
11507,11508.0
10525,10526.0
7823,7892.0
11382,11383.0
7799,7837.0
6947,7236.0
8443,8444.0
8735,8736.0
7686,7946.0
8480,8481.0
5755,6026.0
7932,7933.0
7062,7337.0
7865,7930.0
7816,7942.0
9433,9434.0
7285,7553.0
9060,9098.0
5771,6035.0
8483,8484.0
8461,8462.0
7939,7940.0
7815,7907.0
7575,7845.0
9074,9145.0
11156,11157.0
6886,7152.0
8457,8495.0
8340,8444.0
7290,7552.0
7523,7783.0
8946,8984.0
7802,7803.0
7863,7903.0
7824,7944.0
8409,8498.0
7081,7341.0
8473,8474.0
9931,9932.0
8917,8918.0
11491,11492.0
7948,7986.0
11549,11550.0
10845,10846.0
6752,7018.0
7284,7552.0
7900,7942.0
8452,8492.0
8394,8457.0
9726,9727.0
7678,7792.0
7584,7873.0
7044,7314.0
7804,7896.0
10517,10518.0
8320,8469.0
8874,8875.0
8978,8979.0
8922,8923.0
9255,9256.0
8411,8486.0
11679,11680.0
7601,7863.0
7932,8046.0
8427,8465.0
7809,7810.0
8460,8461.0
7871,7872.0
7834,7835.0
9926,9927.0
8915,8916.0
8553,8628.0
9799,9800.0
8456,8457.0
11588,11589.0
7850,7851.0
7978,7979.0
7726,7997.0
11413,11414.0
7069,7341.0
8299,8300.0
9497,9498.0
9756,9800.0
8322,8446.0
10563,10564.0
8680,8751.0
10597,10598.0
7856,7925.0
8417,8488.0
7790,7859.0
9964,9965.0
6975,7235.0
7961,7999.0
8010,8011.0
7667,7935.0
7719,7989.0
11450,11451.0
8234,8494.0
