Makespan (s),Workflow Response time (s)
812,813.0
40863,40863.0
55765,55983.0
55765,55893.0
58436,59055.0
40236,40822.0
58370,58836.0
39718,40132.0
39324,40151.0
38578,39891.0
37772,39390.0
37552,39688.0
37141,39357.0
36801,39353.0
35929,39563.0
54441,58433.0
35551,39519.0
36350,40491.0
35583,40160.0
34980,39845.0
38291,43510.0
52555,58326.0
37791,43556.0
52264,58307.0
51894,58273.0
51894,58270.0
51889,58267.0
51887,58264.0
51882,58264.0
37111,43495.0
51862,58313.0
38427,44874.0
51460,58293.0
37503,44327.0
51372,58237.0
38769,45622.0
50578,58210.0
42115,49748.0
49998,58148.0
50012,58159.0
50031,58163.0
49993,58118.0
50031,58155.0
50030,58151.0
41041,49164.0
49706,58150.0
49722,58160.0
49672,58111.0
49707,58140.0
49720,58152.0
41629,50059.0
49410,58138.0
49411,58131.0
41253,49969.0
40731,50001.0
39743,49652.0
48160,58079.0
40527,50435.0
47287,58046.0
47332,58086.0
47285,58030.0
47287,58026.0
39980,50704.0
47306,58048.0
47292,58025.0
47363,58104.0
47250,57984.0
47289,58021.0
40092,50818.0
46747,58016.0
39541,50813.0
39625,50931.0
39426,50968.0
39978,51554.0
39480,51538.0
39205,51553.0
45336,57962.0
45338,57958.0
45357,57975.0
45320,57937.0
45317,57932.0
38924,51537.0
38375,51311.0
45034,57970.0
38579,51504.0
38327,51558.0
38008,51550.0
37514,51315.0
37513,51315.0
37670,51489.0
37432,51578.0
43711,57902.0
43748,57944.0
43748,57943.0
37416,51608.0
36894,51606.0
42789,57938.0
36289,51426.0
36196,51556.0
35815,51579.0
35647,51617.0
35163,51568.0
34918,51623.0
34302,51407.0
34489,51840.0
40222,57848.0
34059,51684.0
34167,51794.0
33961,51813.0
33983,51961.0
39829,57839.0
39845,57854.0
33771,51781.0
33621,51676.0
33599,51760.0
38778,57280.0
33461,51961.0
33452,51977.0
33753,52278.0
33357,52241.0
32767,52092.0
33019,52398.0
38025,57817.0
32469,52249.0
37842,57801.0
37842,57799.0
32392,52357.0
32453,52413.0
32038,52560.0
37237,57795.0
32044,52601.0
36053,57196.0
31777,52913.0
31723,52894.0
31354,52879.0
36188,57782.0
31322,52916.0
35854,57781.0
30674,52613.0
30799,52726.0
30434,52593.0
30286,52906.0
30228,52912.0
29909,52914.0
29904,52912.0
29475,52914.0
29382,52894.0
29402,52913.0
28940,52876.0
28978,52914.0
28540,52913.0
28337,52913.0
28110,52911.0
28096,52900.0
27644,52911.0
27641,52911.0
27201,52915.0
27018,52759.0
26926,52720.0
26478,52720.0
26144,52611.0
26142,52610.0
26329,52799.0
26242,52722.0
26068,52910.0
26017,52910.0
25671,52906.0
30496,57758.0
25679,52943.0
30162,57761.0
25237,52836.0
30088,57761.0
25445,53116.0
25046,53071.0
29123,57197.0
24940,53009.0
25010,53086.0
29641,57750.0
25146,53255.0
24796,53129.0
24722,53220.0
29210,57907.0
24352,53053.0
24364,53067.0
24259,53012.0
24179,53009.0
24201,53049.0
24171,53195.0
24314,53157.0
23678,53080.0
23682,53084.0
23634,53043.0
23620,53044.0
23597,53044.0
23609,53056.0
23531,53076.0
23558,53246.0
23426,53219.0
23443,53236.0
27808,57703.0
23321,53215.0
23320,53209.0
23318,53207.0
23316,53207.0
23311,53206.0
23298,53206.0
23298,53206.0
23283,53207.0
23279,53207.0
23279,53207.0
23279,53207.0
23246,53207.0
23258,53207.0
23142,53207.0
23140,53207.0
23053,53208.0
23036,53208.0
23035,53208.0
23035,53208.0
22978,53172.0
23017,53209.0
22989,53209.0
22983,53210.0
23002,53228.0
22983,53210.0
22943,53210.0
22944,53210.0
22942,53210.0
22805,53210.0
22798,53210.0
22759,53212.0
22743,53212.0
22731,53212.0
22690,53175.0
22715,53212.0
22716,53221.0
22680,53206.0
22655,53206.0
22740,53338.0
22481,53205.0
22499,53223.0
22459,53206.0
22458,53206.0
22429,53205.0
22413,53205.0
22391,53205.0
22347,53204.0
22301,53163.0
21807,53196.0
21800,53196.0
21724,53159.0
21291,53324.0
20996,53304.0
20877,53338.0
20641,53177.0
20413,53301.0
24652,57654.0
20206,53205.0
20204,53204.0
20220,53218.0
24642,57645.0
20196,53197.0
20188,53196.0
24632,57641.0
20203,53210.0
20174,53210.0
20162,53208.0
19990,53170.0
20011,53207.0
20052,53263.0
19776,53250.0
24141,57626.0
24141,57625.0
19711,53197.0
19660,53161.0
19750,53265.0
23993,57619.0
23993,57619.0
19641,53266.0
23560,57188.0
19639,53263.0
23987,57615.0
19618,53245.0
23626,57613.0
19275,53262.0
19309,53299.0
19112,53262.0
19112,53262.0
19111,53261.0
19130,53280.0
19130,53280.0
19777,53963.0
19774,53963.0
19792,53981.0
19808,53999.0
22738,57055.0
19647,53964.0
23290,57608.0
23290,57607.0
19661,53978.0
23288,57607.0
19642,53961.0
19639,53962.0
19641,53966.0
23278,57608.0
23278,57608.0
19673,54002.0
19559,53983.0
19536,53963.0
19538,53967.0
23174,57604.0
19555,53986.0
19536,53967.0
19541,53986.0
19502,53966.0
19504,53966.0
19523,53985.0
19495,53966.0
19489,53966.0
19488,53966.0
19480,53966.0
19408,53966.0
19426,53966.0
19408,53966.0
19377,53967.0
19384,53967.0
19396,53986.0
19384,53966.0
19385,53967.0
19352,53967.0
19352,53967.0
19351,53967.0
19340,53969.0
19338,53967.0
19340,53969.0
19259,53968.0
19259,53968.0
22864,57603.0
19259,53968.0
19233,53972.0
19228,53968.0
19256,54009.0
19227,53972.0
19228,53968.0
19100,53980.0
19098,53980.0
19101,53984.0
19100,53984.0
19098,53984.0
19092,53984.0
19099,53984.0
19076,53984.0
19083,53984.0
19102,54003.0
19053,53984.0
19053,53984.0
22665,57602.0
19045,53984.0
19045,53984.0
18971,53984.0
18973,53984.0
18953,53984.0
18950,53984.0
18950,53984.0
18950,53984.0
18933,53984.0
18938,54021.0
18926,53984.0
18961,54022.0
18748,54005.0
18729,53987.0
18729,53987.0
18726,53986.0
18758,54018.0
18723,53984.0
18720,53981.0
18717,53981.0
18710,53981.0
18659,53963.0
18680,53984.0
18676,53980.0
18656,53962.0
18679,53985.0
18610,53983.0
18617,53991.0
18612,53990.0
18606,53991.0
18597,53990.0
18574,53974.0
18591,53992.0
18560,53963.0
18586,53988.0
18581,53991.0
18579,53992.0
18565,53979.0
18545,53961.0
18566,53980.0
18573,53988.0
18549,53987.0
18489,53970.0
18500,53987.0
18471,53969.0
18504,54005.0
18482,53986.0
18488,54005.0
18460,53985.0
18452,53985.0
18443,53985.0
18442,53985.0
18441,53988.0
18437,53987.0
18430,53987.0
18397,53987.0
18398,53987.0
18372,53987.0
18359,53987.0
21909,57547.0
18328,53967.0
18329,53967.0
18326,53966.0
18343,53985.0
21928,57580.0
21928,57580.0
21864,57580.0
18373,54025.0
18273,53990.0
18245,53970.0
18287,54016.0
21804,57576.0
18257,54029.0
18216,54015.0
21791,57592.0
21733,57537.0
21768,57572.0
21785,57589.0
21731,57536.0
21731,57536.0
21767,57572.0
18225,54030.0
18225,54030.0
21743,57572.0
18200,54031.0
18201,54031.0
18174,54012.0
21298,57138.0
21698,57538.0
21695,57538.0
18149,54011.0
21672,57538.0
18187,54029.0
21687,57553.0
21673,57539.0
21671,57537.0
21672,57538.0
21704,57570.0
18163,54029.0
21673,57569.0
18139,54036.0
18158,54055.0
18159,54055.0
18077,54035.0
21577,57567.0
18027,54017.0
18042,54035.0
18042,54035.0
18030,54035.0
18005,54017.0
18028,54037.0
18018,54036.0
21515,57566.0
17983,54037.0
17965,54018.0
17935,54019.0
17934,54019.0
17969,54055.0
17946,54037.0
21023,57128.0
17913,54017.0
17931,54036.0
17883,54018.0
17902,54036.0
17879,54025.0
17658,54076.0
17600,54024.0
17600,54024.0
17618,54041.0
17600,54023.0
17636,54059.0
17543,54024.0
17542,54023.0
17540,54023.0
17558,54041.0
17537,54022.0
17532,54023.0
17555,54041.0
17526,54023.0
17543,54041.0
17507,54024.0
17507,54024.0
17466,54024.0
17460,54023.0
17465,54024.0
17464,54024.0
17464,54024.0
17453,54024.0
17453,54024.0
17453,54024.0
17453,54025.0
17453,54025.0
17453,54024.0
17453,54025.0
17453,54025.0
17451,54025.0
17452,54026.0
17451,54025.0
17452,54026.0
17451,54025.0
17451,54026.0
17449,54026.0
17449,54026.0
17449,54026.0
17449,54026.0
17449,54026.0
17447,54026.0
17447,54026.0
17447,54026.0
17446,54026.0
17446,54026.0
17445,54026.0
17446,54026.0
17447,54028.0
17479,54063.0
17380,54028.0
17380,54028.0
17380,54028.0
17377,54028.0
17376,54029.0
17376,54029.0
17377,54028.0
17377,54028.0
17375,54029.0
17378,54029.0
17378,54029.0
17377,54028.0
17375,54029.0
17364,54029.0
17364,54029.0
20894,57560.0
17364,54029.0
17364,54029.0
17362,54030.0
17364,54030.0
17361,54029.0
17363,54029.0
17363,54029.0
17364,54030.0
17364,54030.0
17358,54029.0
17362,54030.0
17362,54030.0
17364,54030.0
17316,54030.0
17317,54031.0
17316,54030.0
17316,54030.0
17317,54031.0
17316,54030.0
17316,54030.0
17316,54030.0
17317,54031.0
17316,54031.0
17316,54031.0
17307,54031.0
17301,54030.0
17301,54030.0
17297,54030.0
17297,54030.0
17292,54029.0
17291,54029.0
17290,54027.0
17289,54027.0
17287,54028.0
17218,54027.0
17217,54026.0
17217,54027.0
17217,54027.0
17216,54026.0
17235,54044.0
17217,54026.0
20744,57553.0
17075,54026.0
17222,54031.0
17054,54026.0
17054,54025.0
17054,54025.0
17054,54025.0
16980,54026.0
16979,54025.0
16980,54026.0
16979,54026.0
16964,54026.0
16958,54029.0
16962,54030.0
16956,54029.0
16956,54029.0
16957,54030.0
16952,54029.0
16952,54029.0
16934,54029.0
16935,54039.0
16940,54039.0
16941,54040.0
16929,54040.0
16924,54041.0
16924,54041.0
16924,54041.0
16924,54041.0
16942,54062.0
16921,54041.0
16922,54042.0
16922,54042.0
16915,54042.0
16921,54042.0
16920,54042.0
16921,54042.0
16920,54042.0
16914,54042.0
16908,54042.0
16906,54042.0
16899,54046.0
16904,54043.0
16905,54043.0
16907,54046.0
16904,54046.0
16901,54047.0
16899,54045.0
16902,54048.0
16901,54047.0
16902,54048.0
16895,54048.0
16896,54048.0
16895,54048.0
16912,54066.0
16894,54048.0
16895,54049.0
16893,54049.0
16894,54048.0
16898,54067.0
16898,54068.0
16895,54068.0
16895,54068.0
16881,54068.0
16884,54069.0
16884,54078.0
16877,54068.0
