Makespan (s),Workflow Response time (s)
809,810.0
1334,1334.0
16955,16955.0
13396,13396.0
19060,19060.0
14277,14323.0
17531,17690.0
14739,14846.0
14753,14866.0
2070,2185.0
10326,10593.0
12734,13231.0
12274,12764.0
10187,10721.0
12129,12738.0
17738,18439.0
11867,12694.0
13435,14270.0
13276,14253.0
11702,12764.0
14177,15501.0
16870,18342.0
13993,15461.0
16687,18315.0
16687,18281.0
16694,18285.0
16687,18275.0
16686,18272.0
16686,18271.0
11746,13327.0
16774,18387.0
14388,15997.0
16585,18367.0
12037,13810.0
16477,18244.0
14423,16178.0
16319,18217.0
13490,15377.0
15996,18152.0
16016,18164.0
16036,18169.0
15996,18122.0
16036,18161.0
16036,18158.0
13419,15560.0
15822,18156.0
15829,18158.0
15779,18109.0
15817,18143.0
15810,18151.0
13621,15961.0
15740,18144.0
15740,18136.0
13230,15629.0
13030,15627.0
12288,15243.0
15102,18074.0
12615,15576.0
14786,18047.0
14858,18113.0
14786,18032.0
14786,18026.0
12614,15839.0
14824,18050.0
14806,18022.0
14906,18117.0
14780,17981.0
14826,18025.0
12505,15698.0
14807,18016.0
12283,15489.0
12389,15620.0
12474,15864.0
13101,16506.0
12551,15978.0
12392,15971.0
14293,17963.0
14293,17957.0
14313,17975.0
14270,17931.0
14268,17926.0
12293,15958.0
11926,15707.0
14180,17969.0
12143,15920.0
12134,15997.0
12024,15972.0
11643,15699.0
11638,15701.0
11809,15872.0
11836,15988.0
13710,17899.0
13749,17943.0
13745,17943.0
11817,16022.0
11693,15985.0
13498,17937.0
11353,15780.0
11361,15928.0
11218,15953.0
11215,16003.0
11068,15950.0
11041,15991.0
10598,15634.0
10907,16074.0
12555,17847.0
10524,15815.0
10636,15938.0
10632,15951.0
10759,16122.0
12463,17834.0
12483,17853.0
10558,15925.0
10457,15829.0
10376,15767.0
12305,17832.0
10521,16047.0
10283,15831.0
10554,16102.0
10441,16122.0
10100,15966.0
10474,16349.0
11901,17815.0
10265,16167.0
11799,17795.0
11803,17797.0
10285,16286.0
10355,16349.0
10196,16368.0
11580,17789.0
9802,16010.0
11253,17531.0
10081,16354.0
9961,16334.0
9911,16312.0
11355,17777.0
9931,16353.0
11337,17777.0
9578,16018.0
9703,16143.0
9293,16002.0
9549,16341.0
9520,16348.0
9493,16348.0
9495,16350.0
9375,16350.0
9355,16333.0
9375,16353.0
9073,16313.0
9114,16354.0
9006,16353.0
8983,16354.0
8942,16354.0
8917,16341.0
8733,16354.0
8732,16353.0
8637,16360.0
8425,16190.0
8356,16147.0
8153,16150.0
7924,16024.0
7924,16024.0
8120,16231.0
8026,16146.0
8203,16355.0
8285,16468.0
8227,16448.0
9521,17753.0
8256,16487.0
9511,17756.0
8124,16371.0
9373,17756.0
7864,16265.0
7661,16263.0
9121,17754.0
7568,16196.0
7652,16279.0
9118,17747.0
7836,16465.0
7631,16264.0
7737,16389.0
9091,17896.0
7457,16262.0
7416,16219.0
7343,16157.0
7286,16156.0
7377,16258.0
7483,16359.0
7502,16378.0
7281,16293.0
7284,16296.0
7233,16250.0
7233,16250.0
7233,16250.0
7246,16268.0
7214,16285.0
7181,16263.0
7133,16234.0
7147,16254.0
8553,17693.0
7090,16230.0
7090,16224.0
7085,16222.0
7085,16222.0
7083,16221.0
7083,16221.0
7083,16221.0
7083,16221.0
7081,16221.0
7071,16221.0
7071,16221.0
7070,16222.0
7072,16222.0
7067,16222.0
7064,16222.0
7063,16221.0
7063,16221.0
7063,16221.0
7063,16221.0
6992,16181.0
7034,16221.0
7032,16222.0
7033,16223.0
7055,16245.0
7032,16223.0
7027,16224.0
7027,16224.0
7027,16224.0
7017,16226.0
7017,16226.0
7017,16228.0
7015,16226.0
7010,16229.0
6969,16189.0
6990,16229.0
6778,16244.0
6750,16222.0
6750,16222.0
6895,16368.0
6729,16221.0
6750,16242.0
6728,16222.0
6727,16221.0
6721,16221.0
6720,16220.0
6719,16220.0
6718,16219.0
6874,16379.0
6682,16216.0
6682,16216.0
6847,16395.0
6587,16357.0
6538,16336.0
6467,16399.0
6287,16235.0
6332,16326.0
7561,17649.0
6149,16233.0
6149,16232.0
6160,16241.0
7556,17640.0
6141,16223.0
6145,16225.0
7556,17635.0
6156,16233.0
6154,16232.0
6153,16233.0
6076,16182.0
6121,16238.0
6196,16314.0
6003,16267.0
7356,17621.0
7355,17619.0
5925,16189.0
5891,16154.0
5965,16246.0
7309,17613.0
7304,17611.0
5906,16212.0
7304,17613.0
5904,16209.0
7300,17609.0
5987,16296.0
7226,17607.0
5825,16207.0
5866,16248.0
5849,16275.0
5849,16275.0
5847,16277.0
5859,16319.0
5859,16319.0
5836,16297.0
5835,16297.0
5841,16317.0
5846,16322.0
7037,17606.0
5727,16296.0
7033,17602.0
7033,17601.0
5746,16314.0
7020,17602.0
5712,16294.0
5712,16293.0
5713,16294.0
7022,17603.0
7021,17602.0
5753,16333.0
5716,16312.0
5695,16290.0
5694,16291.0
7001,17600.0
5712,16311.0
5692,16291.0
5710,16313.0
