Makespan (s),Workflow Response time (s)
35577,35721.0
11044,11299.0
16197,16490.0
26801,27265.0
234,487.0
667,1216.0
6728,9741.0
428,835.0
397,780.0
83,177.0
95,208.0
95,210.0
16222,16223.0
30475,30911.0
3863,6063.0
16461,16462.0
8544,12120.0
8644,8683.0
35100,35101.0
18321,18370.0
17056,17057.0
25605,25617.0
25685,25699.0
16444,16445.0
9046,9095.0
17193,17194.0
33607,33608.0
15403,18070.0
15461,18343.0
6638,6639.0
6139,6140.0
6734,6735.0
36774,36823.0
6934,6935.0
91,202.0
32845,32886.0
34955,35089.0
110,240.0
29796,29835.0
18,19.0
16,17.0
20,32.0
16,17.0
18261,18310.0
18097,18142.0
33090,33293.0
29913,29962.0
33237,33409.0
19261,19347.0
25270,25271.0
33029,33103.0
38432,38433.0
996,1010.0
23320,23563.0
22945,23176.0
27535,28427.0
20646,20664.0
10,11.0
8924,8969.0
12,13.0
109818,115638.0
8418,8430.0
16,17.0
3175,5081.0
22640,22883.0
27759,28156.0
10,11.0
6585,6586.0
22,36.0
22540,23059.0
6687,6688.0
12398,12651.0
12425,12692.0
22519,22564.0
29847,29886.0
30127,30251.0
5544,8280.0
15298,18202.0
40525,40541.0
13871,14426.0
22890,23384.0
17434,17435.0
29891,29967.0
39495,39515.0
23837,24457.0
30097,30330.0
89,196.0
17921,17956.0
17982,18002.0
10819,11030.0
8834,8875.0
8632,8667.0
10530,10680.0
17483,17559.0
212,435.0
11396,11703.0
31103,31121.0
11463,11785.0
14188,16366.0
59263,65005.0
13396,13996.0
17666,17682.0
13208,13857.0
18243,18288.0
16546,16547.0
17477,17493.0
39761,39779.0
10815,10937.0
17810,17830.0
37194,37243.0
40197,40263.0
40223,40293.0
18201,18232.0
29070,29071.0
37189,37255.0
26932,27024.0
187223,187496.0
31211,31254.0
17829,17843.0
40159,40243.0
37289,37361.0
2465,4229.0
53150,53582.0
18058,18099.0
19446,19538.0
31475,31586.0
27554,27807.0
27713,28511.0
16879,16880.0
27559,27788.0
31464,31575.0
26657,26669.0
11093,15349.0
23901,24703.0
24796,24797.0
16465,16466.0
23799,23927.0
34918,34988.0
18316,18330.0
40738,40882.0
38591,38890.0
30100,33329.0
22127,22275.0
728,1318.0
39047,39344.0
8712,12343.0
7420,10630.0
27219,27371.0
32633,34493.0
37244,39747.0
16188,16189.0
138,169.0
90,108.0
30082,30449.0
8329,8349.0
10697,10892.0
8403,8438.0
454,711.0
39358,39621.0
38872,39204.0
38908,39336.0
57627,58561.0
38955,40773.0
30319,30537.0
31,32.0
26485,26557.0
57153,62808.0
16327,16328.0
15110,17377.0
32221,32430.0
10685,10888.0
16282,16283.0
6730,6731.0
26143,26182.0
12994,14264.0
29972,30159.0
23016,25113.0
18034,18075.0
34947,37103.0
