Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
600,00000000-0000-0000-0000-000000000000,64,125440.0,121201
600,00000000-0000-0000-0000-000000000001,63,123480.0,120105
1200,00000000-0000-0000-0000-000000000000,64,125440.0,125569
1200,00000000-0000-0000-0000-000000000001,64,125440.0,125865
1800,00000000-0000-0000-0000-000000000000,64,125440.0,125983
1800,00000000-0000-0000-0000-000000000001,64,125440.0,125898
2400,00000000-0000-0000-0000-000000000000,64,125440.0,125916
2400,00000000-0000-0000-0000-000000000001,64,125440.0,126000
3000,00000000-0000-0000-0000-000000000000,64,125440.0,125996
3000,00000000-0000-0000-0000-000000000001,64,125440.0,125963
3600,00000000-0000-0000-0000-000000000000,64,125440.0,126000
3600,00000000-0000-0000-0000-000000000001,64,125440.0,125969
4200,00000000-0000-0000-0000-000000000000,64,125440.0,125989
4200,00000000-0000-0000-0000-000000000001,64,125440.0,125985
4800,00000000-0000-0000-0000-000000000000,64,125440.0,125990
4800,00000000-0000-0000-0000-000000000001,64,125440.0,126000
5400,00000000-0000-0000-0000-000000000000,64,125440.0,125981
5400,00000000-0000-0000-0000-000000000001,64,125440.0,126000
6000,00000000-0000-0000-0000-000000000000,64,125440.0,125981
6000,00000000-0000-0000-0000-000000000001,64,125440.0,126000
6600,00000000-0000-0000-0000-000000000000,63,123480.0,125942
6600,00000000-0000-0000-0000-000000000001,64,125440.0,126000
7200,00000000-0000-0000-0000-000000000000,64,125440.0,125821
7200,00000000-0000-0000-0000-000000000001,64,125440.0,125998
7800,00000000-0000-0000-0000-000000000000,64,125440.0,125996
7800,00000000-0000-0000-0000-000000000001,64,125440.0,125976
8400,00000000-0000-0000-0000-000000000000,64,125440.0,125992
8400,00000000-0000-0000-0000-000000000001,63,123480.0,125741
9000,00000000-0000-0000-0000-000000000000,64,125440.0,125979
9000,00000000-0000-0000-0000-000000000001,64,125440.0,125865
9600,00000000-0000-0000-0000-000000000000,64,125440.0,125994
9600,00000000-0000-0000-0000-000000000001,64,125440.0,125778
10200,00000000-0000-0000-0000-000000000000,64,125440.0,125988
10200,00000000-0000-0000-0000-000000000001,64,125440.0,125843
10800,00000000-0000-0000-0000-000000000000,64,125440.0,125988
10800,00000000-0000-0000-0000-000000000001,64,125440.0,125666
11400,00000000-0000-0000-0000-000000000000,64,125440.0,125993
11400,00000000-0000-0000-0000-000000000001,64,125440.0,125799
12000,00000000-0000-0000-0000-000000000000,64,125440.0,125993
12000,00000000-0000-0000-0000-000000000001,64,125440.0,125924
12600,00000000-0000-0000-0000-000000000000,64,125440.0,125995
12600,00000000-0000-0000-0000-000000000001,63,123480.0,125835
13200,00000000-0000-0000-0000-000000000000,64,125440.0,125996
13200,00000000-0000-0000-0000-000000000001,64,125440.0,125887
13800,00000000-0000-0000-0000-000000000000,64,125440.0,125990
13800,00000000-0000-0000-0000-000000000001,64,125440.0,125952
14400,00000000-0000-0000-0000-000000000000,64,125440.0,125989
14400,00000000-0000-0000-0000-000000000001,64,125440.0,125973
