Makespan (s),Workflow Response time (s)
52357,52413.0
55258,55315.0
54694,54751.0
52415,52471.0
52357,52413.0
54924,54981.0
52382,52438.0
52353,52394.0
53855,53912.0
54694,54751.0
52377,52433.0
52356,52412.0
52374,52394.0
52381,52393.0
52377,52393.0
52368,52394.0
52415,52471.0
74,150.0
37,112.0
56,113.0
93,150.0
38,94.0
36,93.0
55,112.0
37,94.0
18,94.0
93,150.0
36824,36881.0
36876,36933.0
36996,37053.0
36988,37045.0
36981,37038.0
44502,44578.0
36967,37024.0
36968,37025.0
36971,37028.0
44502,44578.0
44495,44571.0
36963,37020.0
51212,52138.0
44113,51900.0
44188,51967.0
44088,51899.0
44073,51856.0
44136,51897.0
45362,51892.0
43565,51954.0
43809,51886.0
44169,51930.0
43607,51885.0
43903,51898.0
44101,51891.0
45825,52050.0
32605,53015.0
41346,52246.0
31884,52203.0
52129,52224.0
52241,52336.0
52014,52127.0
51373,51544.0
52037,52151.0
51554,51555.0
51839,51842.0
52058,52210.0
51973,52144.0
51438,52287.0
52108,52260.0
51644,52562.0
51616,52509.0
51681,52605.0
51141,52162.0
51495,52039.0
51713,51977.0
32074,52523.0
31615,52524.0
51236,51519.0
51371,51484.0
52330,52332.0
52306,52344.0
52317,52341.0
33528,52126.0
33516,52139.0
33517,52142.0
36682,36686.0
36648,36653.0
36681,36682.0
36654,36666.0
36683,36689.0
36652,36682.0
36674,36680.0
36643,36692.0
36642,36692.0
33392,52149.0
36676,36679.0
34373,52121.0
36643,36692.0
33469,52165.0
41028,52116.0
33444,52105.0
34524,52165.0
50484,51483.0
34502,52075.0
36676,36687.0
34438,52150.0
33459,52124.0
33434,52127.0
33437,52164.0
33499,52143.0
36644,36693.0
33381,52127.0
33408,52133.0
33369,52126.0
52325,52334.0
52305,52344.0
52317,52342.0
33245,52165.0
43999,51854.0
52300,52347.0
34280,52175.0
33466,52171.0
34527,52181.0
52309,52344.0
52324,52333.0
52306,52344.0
52316,52342.0
52301,52347.0
52312,52387.0
52310,52367.0
52310,52367.0
52313,52389.0
52310,52367.0
52310,52367.0
52310,52367.0
52311,52368.0
52296,52391.0
52312,52388.0
52313,52389.0
56810,56905.0
52324,52339.0
56808,56903.0
56802,56878.0
56713,56770.0
52358,52415.0
56795,56870.0
52357,52414.0
56809,56904.0
56803,56879.0
56813,56889.0
56715,56772.0
56812,56888.0
56812,56869.0
56803,56879.0
56801,56895.0
33405,52127.0
34592,52167.0
56797,56872.0
56804,56880.0
56712,56769.0
55240,55297.0
56813,56870.0
33437,52162.0
33519,52188.0
33494,52159.0
43998,51949.0
44130,51951.0
44117,51905.0
44072,51860.0
43944,51859.0
56799,56874.0
49679,51503.0
56800,56913.0
49391,51515.0
56779,56930.0
50547,51515.0
56804,56877.0
56779,56912.0
56814,56871.0
56815,56891.0
56814,56871.0
56854,56930.0
53660,53736.0
52338,52395.0
52338,52395.0
53659,53735.0
52338,52395.0
54640,54735.0
36684,36685.0
36667,36672.0
56855,56949.0
56908,57002.0
56830,56906.0
56816,56911.0
56844,56938.0
56813,56870.0
36665,36676.0
56847,56923.0
36662,36670.0
36685,36687.0
50609,51504.0
36659,36661.0
36651,36660.0
36653,36658.0
36678,36687.0
36658,36665.0
42199,51925.0
36675,36678.0
36662,36689.0
36665,36670.0
36654,36660.0
44155,51918.0
43910,51955.0
42489,51980.0
43550,51943.0
43931,51954.0
36668,36669.0
44154,51937.0
44086,51917.0
44135,51916.0
50541,51500.0
44118,51935.0
43978,51923.0
44131,51942.0
43976,51929.0
44121,51904.0
42564,51944.0
44075,51904.0
44144,51894.0
43929,51956.0
44176,51924.0
43991,51906.0
44100,51919.0
44130,51887.0
35,47.0
36658,36662.0
36668,36683.0
36654,36663.0
36656,36659.0
36663,36666.0
52321,52342.0
56715,56771.0
43161,51996.0
43581,51986.0
33102,52188.0
43294,52005.0
41765,51999.0
43248,51867.0
43158,52027.0
43579,51961.0
43930,51981.0
43478,51963.0
95,112.0
100,113.0
92,113.0
107,112.0
96,112.0
103,112.0
31976,52520.0
31571,52524.0
50579,51474.0
50506,51476.0
50307,51478.0
50073,51095.0
48125,51482.0
49904,51097.0
50556,51480.0
50610,51484.0
50197,51092.0
50216,51088.0
50033,51101.0
50148,51097.0
50035,51476.0
49786,51482.0
50551,51475.0
50622,51471.0
50252,51480.0
49937,51483.0
48196,51482.0
48020,51500.0
48781,51499.0
50581,51499.0
48877,51498.0
50531,51480.0
49993,51089.0
50439,51482.0
50214,51083.0
49724,51094.0
49986,51479.0
50942,51094.0
50562,51478.0
50068,51089.0
33389,52126.0
34475,52159.0
36644,36693.0
33528,52164.0
33472,52127.0
49776,51095.0
33514,52139.0
36668,36689.0
36650,36657.0
49950,51091.0
49878,51098.0
49907,51100.0
48005,51485.0
49429,51097.0
49952,51099.0
50186,51485.0
49603,51096.0
49788,51484.0
49379,51097.0
50411,51477.0
33544,52175.0
49897,51090.0
49423,51097.0
33116,52182.0
33870,52135.0
33297,52177.0
33315,52165.0
34513,52154.0
33358,52171.0
33239,52178.0
33493,52177.0
33273,52125.0
49881,51099.0
50147,51481.0
50513,51479.0
49995,51092.0
44111,51938.0
33366,52173.0
49349,51098.0
49547,51093.0
50182,51481.0
50532,51476.0
50086,51089.0
36643,36692.0
51059,51084.0
51040,51094.0
49648,51097.0
49755,51096.0
50045,51090.0
49378,51096.0
49799,51098.0
49403,51099.0
52338,52395.0
52314,52343.0
36674,36684.0
36672,36678.0
36634,36656.0
36657,36668.0
56815,56910.0
50492,51485.0
36646,36655.0
36659,36667.0
36655,36671.0
36643,36668.0
36635,36648.0
36653,36677.0
36647,36651.0
0,48.0
18,74.0
18,74.0
18,74.0
18,74.0
18,74.0
18,74.0
18,74.0
18,74.0
18,75.0
33531,52165.0
49951,51096.0
36637,36659.0
50182,51477.0
49747,51092.0
49822,51092.0
50130,51100.0
49922,51094.0
50181,51480.0
50175,51099.0
49499,51493.0
49187,51484.0
50185,51478.0
50110,51101.0
49285,51101.0
49023,51099.0
49123,51497.0
49404,51497.0
50166,51084.0
50078,51099.0
49980,51098.0
49582,51098.0
56814,56890.0
56797,56872.0
56797,56872.0
56814,56890.0
50017,51091.0
33487,52163.0
48604,51474.0
32880,52137.0
48951,51472.0
48504,51101.0
50041,51482.0
50119,51087.0
50216,51087.0
48729,51100.0
48954,51100.0
49866,51092.0
49773,51094.0
50555,51479.0
49999,51096.0
49305,51100.0
49841,51482.0
50190,51085.0
49975,51093.0
50534,51481.0
49996,51093.0
49895,51088.0
48932,51100.0
50026,51479.0
50237,51483.0
52111,52160.0
50478,51479.0
31987,52571.0
32127,52545.0
31931,52502.0
18,94.0
51481,52137.0
31917,52528.0
49427,51101.0
50120,51088.0
50405,51479.0
49857,51479.0
49723,51097.0
50366,51484.0
49890,51481.0
49078,51494.0
49127,51499.0
49249,51492.0
31244,52523.0
48774,51471.0
49916,51088.0
48975,51099.0
50051,51096.0
50481,51100.0
50064,51482.0
50137,51480.0
50288,51483.0
48702,51473.0
48537,51500.0
31337,52531.0
31180,52521.0
31573,52486.0
56807,56883.0
58623,58699.0
50138,51481.0
50092,51085.0
50531,51477.0
49932,51479.0
50514,51480.0
49406,51478.0
50080,51477.0
50506,51476.0
50381,51480.0
50046,51091.0
52155,52206.0
50127,51097.0
49044,51537.0
