Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,0.0,500
10,00000000-0000-0000-0000-000000000001,0,0.0,500
20,00000000-0000-0000-0000-000000000000,0,0.0,500
20,00000000-0000-0000-0000-000000000001,0,0.0,500
30,00000000-0000-0000-0000-000000000000,0,0.0,500
30,00000000-0000-0000-0000-000000000001,0,0.0,500
40,00000000-0000-0000-0000-000000000000,0,0.0,500
40,00000000-0000-0000-0000-000000000001,0,0.0,500
50,00000000-0000-0000-0000-000000000000,0,0.0,500
50,00000000-0000-0000-0000-000000000001,0,0.0,500
60,00000000-0000-0000-0000-000000000000,56,120960.0,508
60,00000000-0000-0000-0000-000000000001,56,120960.0,748
70,00000000-0000-0000-0000-000000000000,56,120960.0,528
70,00000000-0000-0000-0000-000000000001,56,120960.0,1328
80,00000000-0000-0000-0000-000000000000,56,120960.0,527
80,00000000-0000-0000-0000-000000000001,56,120960.0,1468
90,00000000-0000-0000-0000-000000000000,56,120960.0,528
90,00000000-0000-0000-0000-000000000001,56,120960.0,1328
100,00000000-0000-0000-0000-000000000000,56,120960.0,527
100,00000000-0000-0000-0000-000000000001,56,120960.0,1478
110,00000000-0000-0000-0000-000000000000,56,120960.0,528
110,00000000-0000-0000-0000-000000000001,56,120960.0,1328
120,00000000-0000-0000-0000-000000000000,56,120960.0,1358
120,00000000-0000-0000-0000-000000000001,56,120960.0,1517
130,00000000-0000-0000-0000-000000000000,56,120960.0,2100
130,00000000-0000-0000-0000-000000000001,56,120960.0,1385
140,00000000-0000-0000-0000-000000000000,56,120960.0,1687
140,00000000-0000-0000-0000-000000000001,56,120960.0,1337
150,00000000-0000-0000-0000-000000000000,56,120960.0,1585
150,00000000-0000-0000-0000-000000000001,56,120960.0,1471
160,00000000-0000-0000-0000-000000000000,56,120960.0,1841
160,00000000-0000-0000-0000-000000000001,56,120960.0,1385
170,00000000-0000-0000-0000-000000000000,56,120960.0,2100
170,00000000-0000-0000-0000-000000000001,56,120960.0,1385
180,00000000-0000-0000-0000-000000000000,56,120960.0,1584
180,00000000-0000-0000-0000-000000000001,56,120960.0,1326
190,00000000-0000-0000-0000-000000000000,56,120960.0,1585
190,00000000-0000-0000-0000-000000000001,47,101520.0,1561
200,00000000-0000-0000-0000-000000000000,56,120960.0,1585
200,00000000-0000-0000-0000-000000000001,56,120960.0,2042
210,00000000-0000-0000-0000-000000000000,55,118800.0,1893
210,00000000-0000-0000-0000-000000000001,56,120960.0,2100
220,00000000-0000-0000-0000-000000000000,56,120960.0,2099
220,00000000-0000-0000-0000-000000000001,56,120960.0,2100
230,00000000-0000-0000-0000-000000000000,56,120960.0,1921
230,00000000-0000-0000-0000-000000000001,56,120960.0,1833
240,00000000-0000-0000-0000-000000000000,56,120960.0,1585
240,00000000-0000-0000-0000-000000000001,56,120960.0,1328
250,00000000-0000-0000-0000-000000000000,56,120960.0,1585
250,00000000-0000-0000-0000-000000000001,55,118800.0,1796
260,00000000-0000-0000-0000-000000000000,56,120960.0,1761
260,00000000-0000-0000-0000-000000000001,56,120960.0,2099
270,00000000-0000-0000-0000-000000000000,56,120960.0,1903
270,00000000-0000-0000-0000-000000000001,56,120960.0,2100
280,00000000-0000-0000-0000-000000000000,56,120960.0,2100
280,00000000-0000-0000-0000-000000000001,56,120960.0,2100
290,00000000-0000-0000-0000-000000000000,56,120960.0,1715
290,00000000-0000-0000-0000-000000000001,56,120960.0,1524
300,00000000-0000-0000-0000-000000000000,56,120960.0,1585
300,00000000-0000-0000-0000-000000000001,56,120960.0,1434
310,00000000-0000-0000-0000-000000000000,56,120960.0,1585
310,00000000-0000-0000-0000-000000000001,56,120960.0,1999
320,00000000-0000-0000-0000-000000000000,21,45360.0,1922
320,00000000-0000-0000-0000-000000000001,56,120960.0,2100
330,00000000-0000-0000-0000-000000000000,56,120960.0,1947
330,00000000-0000-0000-0000-000000000001,56,120960.0,2100
340,00000000-0000-0000-0000-000000000000,56,120960.0,2024
340,00000000-0000-0000-0000-000000000001,56,120960.0,1987
350,00000000-0000-0000-0000-000000000000,56,120960.0,1585
350,00000000-0000-0000-0000-000000000001,56,120960.0,1328
360,00000000-0000-0000-0000-000000000000,56,120960.0,1585
360,00000000-0000-0000-0000-000000000001,52,112320.0,1656
370,00000000-0000-0000-0000-000000000000,56,120960.0,1658
370,00000000-0000-0000-0000-000000000001,56,120960.0,2085
380,00000000-0000-0000-0000-000000000000,56,120960.0,1903
380,00000000-0000-0000-0000-000000000001,56,120960.0,2100
390,00000000-0000-0000-0000-000000000000,56,120960.0,2100
390,00000000-0000-0000-0000-000000000001,56,120960.0,2100
400,00000000-0000-0000-0000-000000000000,56,120960.0,1818
400,00000000-0000-0000-0000-000000000001,56,120960.0,1678
410,00000000-0000-0000-0000-000000000000,56,120960.0,1585
410,00000000-0000-0000-0000-000000000001,56,120960.0,1328
420,00000000-0000-0000-0000-000000000000,56,120960.0,1585
420,00000000-0000-0000-0000-000000000001,56,120960.0,1950
430,00000000-0000-0000-0000-000000000000,56,120960.0,1864
430,00000000-0000-0000-0000-000000000001,56,120960.0,2100
440,00000000-0000-0000-0000-000000000000,56,120960.0,1903
440,00000000-0000-0000-0000-000000000001,56,120960.0,2100
450,00000000-0000-0000-0000-000000000000,56,120960.0,2100
450,00000000-0000-0000-0000-000000000001,56,120960.0,2100
460,00000000-0000-0000-0000-000000000000,56,120960.0,1613
460,00000000-0000-0000-0000-000000000001,56,120960.0,1370
470,00000000-0000-0000-0000-000000000000,56,120960.0,1585
470,00000000-0000-0000-0000-000000000001,47,101520.0,1543
480,00000000-0000-0000-0000-000000000000,56,120960.0,1585
480,00000000-0000-0000-0000-000000000001,56,120960.0,2044
490,00000000-0000-0000-0000-000000000000,55,118800.0,1873
490,00000000-0000-0000-0000-000000000001,56,120960.0,2100
500,00000000-0000-0000-0000-000000000000,56,120960.0,2099
500,00000000-0000-0000-0000-000000000001,56,120960.0,2100
510,00000000-0000-0000-0000-000000000000,56,120960.0,1921
510,00000000-0000-0000-0000-000000000001,56,120960.0,1833
520,00000000-0000-0000-0000-000000000000,56,120960.0,1585
520,00000000-0000-0000-0000-000000000001,56,120960.0,1328
530,00000000-0000-0000-0000-000000000000,56,120960.0,1585
530,00000000-0000-0000-0000-000000000001,55,118800.0,1796
540,00000000-0000-0000-0000-000000000000,56,120960.0,1761
540,00000000-0000-0000-0000-000000000001,56,120960.0,2099
550,00000000-0000-0000-0000-000000000000,56,120960.0,1903
550,00000000-0000-0000-0000-000000000001,56,120960.0,2100
560,00000000-0000-0000-0000-000000000000,56,120960.0,2100
560,00000000-0000-0000-0000-000000000001,56,120960.0,2100
570,00000000-0000-0000-0000-000000000000,56,120960.0,1715
570,00000000-0000-0000-0000-000000000001,56,120960.0,1524
580,00000000-0000-0000-0000-000000000000,56,120960.0,1585
