Makespan (s),Workflow Response time (s)
851,852.0
39427,39438.0
53793,53997.0
53793,53907.0
56332,56951.0
38901,39485.0
56344,56772.0
38371,38747.0
38343,38768.0
37233,38488.0
36439,37962.0
36259,38290.0
35781,37928.0
35494,37923.0
34763,38136.0
52367,56332.0
34151,38092.0
35025,38980.0
35692,40083.0
33692,38239.0
37032,42024.0
50716,56226.0
37020,42538.0
50089,56206.0
50081,56172.0
50082,56170.0
50068,56166.0
50066,56163.0
50061,56163.0
35826,41924.0
50050,56210.0
36975,43131.0
49647,56193.0
36000,42537.0
49603,56136.0
37460,43981.0
48882,56109.0
40682,47901.0
48221,56044.0
48243,56058.0
48262,56062.0
48220,56016.0
48260,56055.0
48256,56052.0
39586,47387.0
47918,56050.0
47925,56051.0
47877,56003.0
47915,56035.0
47924,56043.0
40136,48253.0
47630,56033.0
47630,56026.0
39763,48154.0
39299,48192.0
38270,47807.0
46405,55967.0
39119,48670.0
45586,55937.0
45632,55979.0
45584,55922.0
45584,55916.0
38628,48945.0
45610,55940.0
45594,55914.0
45626,55941.0
45568,55874.0
45611,55915.0
38625,48924.0
45107,55906.0
38123,48919.0
38161,49050.0
37989,49091.0
38610,49735.0
38400,49715.0
37801,49707.0
43732,55853.0
43732,55847.0
43752,55865.0
43717,55829.0
43710,55822.0
37581,49691.0
37019,49441.0
43432,55863.0
37236,49655.0
37012,49716.0
36704,49696.0
36153,49429.0
36152,49429.0
36349,49629.0
36134,49721.0
42152,55790.0
42199,55837.0
42199,55837.0
36120,49755.0
35573,49732.0
41298,55831.0
35003,49531.0
34922,49675.0
34503,49673.0
34360,49715.0
33901,49662.0
33687,49702.0
32938,49367.0
33390,50099.0
38757,55738.0
32861,49841.0
32985,49966.0
32866,49984.0
32861,50148.0
38414,55725.0
38434,55744.0
32643,49950.0
32757,50105.0
32551,49927.0
37403,55189.0
32289,50073.0
32266,50088.0
32593,50415.0
32220,50382.0
31613,50217.0
31945,50609.0
36686,55706.0
31415,50427.0
36488,55689.0
36488,55688.0
31348,50555.0
31408,50609.0
31283,51039.0
35905,55684.0
30903,50681.0
34811,55094.0
30746,51025.0
30591,51005.0
30539,50983.0
34859,55668.0
30215,51024.0
34789,55667.0
29530,50690.0
29936,50814.0
29312,50669.0
29366,51013.0
29182,51020.0
28941,51020.0
28939,51020.0
28692,51021.0
28331,50999.0
