Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,0,0.0,500
10,00000000-0000-0000-0000-000000000001,0,0.0,500
20,00000000-0000-0000-0000-000000000000,0,0.0,500
20,00000000-0000-0000-0000-000000000001,0,0.0,500
30,00000000-0000-0000-0000-000000000000,0,0.0,500
30,00000000-0000-0000-0000-000000000001,0,0.0,500
40,00000000-0000-0000-0000-000000000000,0,0.0,500
40,00000000-0000-0000-0000-000000000001,0,0.0,500
50,00000000-0000-0000-0000-000000000000,0,0.0,500
50,00000000-0000-0000-0000-000000000001,28,54880.0,500
60,00000000-0000-0000-0000-000000000000,64,125440.0,524
60,00000000-0000-0000-0000-000000000001,64,125440.0,1224
70,00000000-0000-0000-0000-000000000000,64,125440.0,525
70,00000000-0000-0000-0000-000000000001,38,74480.0,1410
80,00000000-0000-0000-0000-000000000000,64,125440.0,523
80,00000000-0000-0000-0000-000000000001,64,125440.0,1233
90,00000000-0000-0000-0000-000000000000,64,125440.0,524
90,00000000-0000-0000-0000-000000000001,64,125440.0,1358
100,00000000-0000-0000-0000-000000000000,64,125440.0,523
100,00000000-0000-0000-0000-000000000001,64,125440.0,1281
110,00000000-0000-0000-0000-000000000000,64,125440.0,525
110,00000000-0000-0000-0000-000000000001,62,121520.0,1273
120,00000000-0000-0000-0000-000000000000,64,125440.0,1702
120,00000000-0000-0000-0000-000000000001,64,125440.0,1558
130,00000000-0000-0000-0000-000000000000,64,125440.0,2100
130,00000000-0000-0000-0000-000000000001,64,125440.0,1475
140,00000000-0000-0000-0000-000000000000,64,125440.0,1058
140,00000000-0000-0000-0000-000000000001,64,125440.0,1294
150,00000000-0000-0000-0000-000000000000,64,125440.0,650
150,00000000-0000-0000-0000-000000000001,64,125440.0,1225
160,00000000-0000-0000-0000-000000000000,64,125440.0,1530
160,00000000-0000-0000-0000-000000000001,64,125440.0,1573
170,00000000-0000-0000-0000-000000000000,64,125440.0,2100
170,00000000-0000-0000-0000-000000000001,64,125440.0,1475
180,00000000-0000-0000-0000-000000000000,63,123480.0,1818
180,00000000-0000-0000-0000-000000000001,64,125440.0,1475
190,00000000-0000-0000-0000-000000000000,64,125440.0,2099
190,00000000-0000-0000-0000-000000000001,64,125440.0,1718
200,00000000-0000-0000-0000-000000000000,64,125440.0,2100
200,00000000-0000-0000-0000-000000000001,64,125440.0,1607
210,00000000-0000-0000-0000-000000000000,64,125440.0,2100
210,00000000-0000-0000-0000-000000000001,64,125440.0,1250
220,00000000-0000-0000-0000-000000000000,64,125440.0,2081
220,00000000-0000-0000-0000-000000000001,64,125440.0,1541
230,00000000-0000-0000-0000-000000000000,64,125440.0,2100
230,00000000-0000-0000-0000-000000000001,64,125440.0,1475
240,00000000-0000-0000-0000-000000000000,60,117600.0,1828
240,00000000-0000-0000-0000-000000000001,64,125440.0,1475
250,00000000-0000-0000-0000-000000000000,64,125440.0,2088
250,00000000-0000-0000-0000-000000000001,64,125440.0,1583
260,00000000-0000-0000-0000-000000000000,64,125440.0,2100
260,00000000-0000-0000-0000-000000000001,64,125440.0,1777
270,00000000-0000-0000-0000-000000000000,64,125440.0,2100
270,00000000-0000-0000-0000-000000000001,64,125440.0,1250
280,00000000-0000-0000-0000-000000000000,63,123480.0,2081
280,00000000-0000-0000-0000-000000000001,64,125440.0,1496
290,00000000-0000-0000-0000-000000000000,64,125440.0,2099
290,00000000-0000-0000-0000-000000000001,64,125440.0,1475
300,00000000-0000-0000-0000-000000000000,55,107800.0,1860
300,00000000-0000-0000-0000-000000000001,64,125440.0,1475
310,00000000-0000-0000-0000-000000000000,64,125440.0,2056
310,00000000-0000-0000-0000-000000000001,64,125440.0,1475
320,00000000-0000-0000-0000-000000000000,64,125440.0,2100
320,00000000-0000-0000-0000-000000000001,64,125440.0,1931
330,00000000-0000-0000-0000-000000000000,64,125440.0,2100
330,00000000-0000-0000-0000-000000000001,64,125440.0,1250
340,00000000-0000-0000-0000-000000000000,60,117600.0,2092
340,00000000-0000-0000-0000-000000000001,64,125440.0,1451
350,00000000-0000-0000-0000-000000000000,64,125440.0,2088
350,00000000-0000-0000-0000-000000000001,64,125440.0,1475
360,00000000-0000-0000-0000-000000000000,19,37240.0,2012
360,00000000-0000-0000-0000-000000000001,64,125440.0,1475
370,00000000-0000-0000-0000-000000000000,64,125440.0,1904
370,00000000-0000-0000-0000-000000000001,64,125440.0,1475
380,00000000-0000-0000-0000-000000000000,64,125440.0,2100
380,00000000-0000-0000-0000-000000000001,64,125440.0,1958
390,00000000-0000-0000-0000-000000000000,64,125440.0,2100
390,00000000-0000-0000-0000-000000000001,64,125440.0,1267
400,00000000-0000-0000-0000-000000000000,64,125440.0,2100
400,00000000-0000-0000-0000-000000000001,64,125440.0,1394
410,00000000-0000-0000-0000-000000000000,64,125440.0,2081
410,00000000-0000-0000-0000-000000000001,64,125440.0,1486
420,00000000-0000-0000-0000-000000000000,64,125440.0,2100
420,00000000-0000-0000-0000-000000000001,64,125440.0,1475
430,00000000-0000-0000-0000-000000000000,64,125440.0,1817
430,00000000-0000-0000-0000-000000000001,64,125440.0,1475
440,00000000-0000-0000-0000-000000000000,64,125440.0,2100
440,00000000-0000-0000-0000-000000000001,64,125440.0,1833
450,00000000-0000-0000-0000-000000000000,64,125440.0,2100
450,00000000-0000-0000-0000-000000000001,64,125440.0,1437
460,00000000-0000-0000-0000-000000000000,64,125440.0,2100
460,00000000-0000-0000-0000-000000000001,64,125440.0,1250
470,00000000-0000-0000-0000-000000000000,64,125440.0,2081
470,00000000-0000-0000-0000-000000000001,64,125440.0,1586
480,00000000-0000-0000-0000-000000000000,64,125440.0,2100
480,00000000-0000-0000-0000-000000000001,64,125440.0,1475
490,00000000-0000-0000-0000-000000000000,63,123480.0,1817
490,00000000-0000-0000-0000-000000000001,64,125440.0,1475
500,00000000-0000-0000-0000-000000000000,64,125440.0,2099
500,00000000-0000-0000-0000-000000000001,64,125440.0,1708
510,00000000-0000-0000-0000-000000000000,64,125440.0,2100
510,00000000-0000-0000-0000-000000000001,64,125440.0,1607
520,00000000-0000-0000-0000-000000000000,64,125440.0,2100
520,00000000-0000-0000-0000-000000000001,64,125440.0,1250
530,00000000-0000-0000-0000-000000000000,64,125440.0,2081
530,00000000-0000-0000-0000-000000000001,64,125440.0,1541
540,00000000-0000-0000-0000-000000000000,64,125440.0,2100
540,00000000-0000-0000-0000-000000000001,64,125440.0,1475
550,00000000-0000-0000-0000-000000000000,60,117600.0,1828
550,00000000-0000-0000-0000-000000000001,64,125440.0,1475
560,00000000-0000-0000-0000-000000000000,64,125440.0,2088
560,00000000-0000-0000-0000-000000000001,64,125440.0,1583
570,00000000-0000-0000-0000-000000000000,64,125440.0,2100
570,00000000-0000-0000-0000-000000000001,64,125440.0,1777
580,00000000-0000-0000-0000-000000000000,64,125440.0,2100
