Time (s),Tasks #
20.0,1229
0.001,8015
18.0,5
40.0,990
289.0,162
373.0,256
332.0,195
81.0,4160
312.0,174
165.0,1067
144.0,1396
185.0,632
167.0,211
124.0,2825
61.0,2458
208.0,946
457.0,254
436.0,329
520.0,87
393.0,226
497.0,137
416.0,439
353.0,175
477.0,155
561.0,10
832.0,3
540.0,21
581.0,11
269.0,288
228.0,719
206.0,16
248.0,453
187.0,320
271.0,89
128.0,68
287.0,20
212.0,153
169.0,72
191.0,69
189.0,80
106.0,389
351.0,33
126.0,252
171.0,47
83.0,942
148.0,97
234.0,22
85.0,211
232.0,40
308.0,24
328.0,11
267.0,17
397.0,80
432.0,20
391.0,35
371.0,18
146.0,212
412.0,30
375.0,90
63.0,955
246.0,12
273.0,14
110.0,57
155.0,42
108.0,73
291.0,127
104.0,4560
330.0,31
293.0,15
314.0,8
91.0,39
132.0,28
112.0,38
334.0,12
134.0,12
87.0,77
255.0,30
102.0,79
275.0,34
277.0,12
661.0,15
406.0,13
704.0,6
297.0,9
424.0,51
361.0,9
683.0,13
404.0,33
667.0,12
340.0,3
383.0,13
620.0,9
363.0,6
663.0,8
600.0,12
385.0,4
426.0,10
642.0,7
318.0,17
577.0,12
538.0,13
597.0,12
214.0,11
640.0,12
516.0,48
557.0,15
495.0,109
446.0,25
744.0,12
579.0,6
706.0,7
785.0,16
765.0,10
257.0,4
742.0,11
763.0,7
681.0,13
395.0,229
310.0,20
22.0,93
59.0,2
42.0,175
377.0,41
355.0,48
420.0,24
357.0,22
606.0,5
624.0,9
67.0,179
418.0,62
379.0,24
438.0,43
46.0,77
359.0,10
336.0,6
440.0,22
422.0,27
479.0,93
130.0,29
687.0,12
500.0,120
65.0,269
400.0,33
402.0,25
442.0,16
444.0,35
381.0,17
689.0,5
461.0,27
467.0,45
469.0,23
1059.0,4
767.0,3
463.0,23
1342.0,2
526.0,17
565.0,11
524.0,31
1187.0,2
502.0,69
669.0,4
475.0,120
451.0,6
1116.0,1
1314.0,1
493.0,28
553.0,21
567.0,8
236.0,8
989.0,2
1159.0,1
1479.0,1
583.0,6
138.0,11
465.0,14
873.0,2
518.0,51
824.0,4
718.0,4
508.0,36
1430.0,4
1369.0,1
1363.0,1
1251.0,1
1018.0,8
244.0,5
569.0,9
651.0,5
522.0,40
546.0,9
610.0,10
1408.0,1
471.0,14
691.0,3
481.0,74
853.0,2
434.0,17
575.0,6
1173.0,2
1057.0,1
844.0,1
512.0,29
979.0,3
1083.0,5
44.0,57
859.0,1
918.0,2
542.0,12
1112.0,1
1014.0,4
1000.0,10
573.0,8
1100.0,1
757.0,2
544.0,8
1414.0,1
810.0,3
548.0,12
804.0,2
1230.0,2
787.0,7
814.0,2
1481.0,2
920.0,2
1459.0,1
1191.0,3
685.0,9
1163.0,2
997.0,8
1042.0,2
504.0,80
1283.0,5
555.0,8
585.0,5
646.0,5
563.0,13
95.0,14
1346.0,2
1336.0,1
1495.0,1
953.0,2
883.0,1
1175.0,2
761.0,1
483.0,67
1051.0,2
806.0,11
410.0,8
1371.0,1
632.0,5
485.0,28
448.0,10
932.0,3
338.0,7
316.0,9
459.0,62
122.0,6
69.0,106
48.0,19
2961.0,1
969.0,2
2765.0,1
730.0,1
571.0,8
510.0,72
2706.0,1
2255.0,2
2761.0,1
1708.0,2
2463.0,1
1787.0,2
2620.0,1
2051.0,1
2589.0,3
1826.0,1
261.0,9
614.0,11
1508.0,2
675.0,9
2269.0,1
773.0,2
2185.0,1
1118.0,1
253.0,21
2591.0,1
1426.0,4
230.0,76
2102.0,1
2667.0,1
1944.0,1
365.0,6
1916.0,1
1093.0,1
181.0,14
995.0,4
1140.0,3
