Makespan (s),Workflow Response time (s)
809,810.0
931,931.0
10652,10652.0
1693,1693.0
11743,11743.0
10814,10814.0
10752,10754.0
10332,10332.0
10352,10352.0
662,662.0
3450,3538.0
9069,9179.0
3771,3872.0
2221,2498.0
5655,5924.0
10714,11044.0
3127,3433.0
9512,9880.0
9078,9484.0
7513,7939.0
8793,9393.0
10297,10940.0
8531,9168.0
10251,10935.0
10249,10901.0
10235,10884.0
10248,10895.0
10248,10892.0
10248,10891.0
7199,7838.0
10294,11016.0
8986,9704.0
10184,10966.0
7222,7995.0
10094,10864.0
9313,10071.0
9996,10837.0
8404,9234.0
9856,10772.0
9876,10784.0
9890,10789.0
9850,10742.0
9890,10781.0
9890,10778.0
8293,9196.0
9707,10776.0
9730,10794.0
9666,10729.0
9706,10763.0
9712,10768.0
8528,9583.0
9653,10762.0
9650,10751.0
8388,9484.0
8185,9333.0
7460,8880.0
9332,10772.0
7692,9121.0
8972,10662.0
9037,10721.0
8972,10647.0
8972,10641.0
7818,9472.0
9002,10665.0
9004,10657.0
9092,10740.0
8962,10600.0
9004,10640.0
7577,9207.0
8981,10631.0
7475,9122.0
7481,9167.0
7676,9367.0
8198,9950.0
7696,9474.0
7622,9459.0
8653,10578.0
8651,10572.0
8670,10597.0
8628,10554.0
8622,10546.0
7526,9448.0
7219,9198.0
8610,10587.0
7441,9406.0
7448,9474.0
7361,9450.0
7050,9192.0
7043,9192.0
7214,9363.0
7274,9463.0
8311,10519.0
8353,10561.0
8355,10561.0
7295,9498.0
7216,9480.0
8205,10555.0
6909,9249.0
6963,9401.0
6875,9443.0
6894,9485.0
6817,9432.0
6787,9476.0
6388,9120.0
6655,9425.0
7626,10466.0
6324,9166.0
6447,9291.0
6415,9308.0
6560,9473.0
7532,10452.0
7552,10471.0
6359,9275.0
6422,9345.0
6326,9248.0
8174,11154.0
6321,9302.0
6295,9316.0
6432,9453.0
6511,9606.0
6238,9445.0
6367,9605.0
7185,10433.0
6187,9423.0
7140,10417.0
7140,10415.0
6264,9542.0
6330,9605.0
6246,9622.0
6993,10407.0
5854,9267.0
6983,10408.0
6191,9608.0
6169,9588.0
6137,9568.0
6956,10418.0
6147,9609.0
6838,10418.0
5672,9272.0
5819,9399.0
5606,9257.0
5880,9597.0
5881,9604.0
5793,9604.0
5792,9605.0
5750,9605.0
5711,9583.0
5732,9604.0
5646,9563.0
5687,9604.0
5676,9606.0
5554,9607.0
5449,9610.0
5440,9601.0
5372,9613.0
5372,9613.0
5333,9616.0
5138,9444.0
5083,9401.0
5103,9487.0
4907,9361.0
4897,9365.0
5084,9572.0
4973,9487.0
5150,9712.0
5109,9715.0
5080,9695.0
5746,10372.0
5108,9733.0
5760,10392.0
4984,9616.0
5744,10392.0
4855,9501.0
4725,9442.0
5590,10373.0
4601,9379.0
4723,9500.0
5590,10367.0
4859,9636.0
4707,9495.0
4737,9560.0
5571,10535.0
4456,9421.0
4477,9440.0
4399,9378.0
4322,9326.0
4401,9417.0
4527,9538.0
4526,9537.0
4405,9452.0
4407,9454.0
4362,9408.0
4362,9408.0
4362,9408.0
4376,9427.0
4334,9443.0
4302,9422.0
4273,9392.0
4294,9412.0
5180,10313.0
4255,9388.0
4255,9382.0
4252,9380.0
4252,9380.0
4247,9379.0
4246,9379.0
4246,9379.0
4235,9380.0
4234,9380.0
4234,9380.0
4234,9380.0
4228,9380.0
4228,9380.0
4224,9380.0
4224,9380.0
4220,9379.0
4215,9379.0
4215,9379.0
4215,9379.0
4174,9339.0
4214,9379.0
4205,9380.0
4205,9380.0
4226,9401.0
4205,9380.0
4204,9380.0
4205,9380.0
4204,9380.0
4196,9381.0
4196,9381.0
4196,9380.0
4195,9380.0
4195,9380.0
4155,9340.0
4193,9380.0
4211,9392.0
4186,9372.0
4184,9372.0
4330,9517.0
4179,9372.0
4199,9392.0
4179,9372.0
4178,9371.0
4175,9371.0
4171,9370.0
4159,9370.0
4159,9369.0
4272,9477.0
3963,9365.0
3962,9365.0
4111,9524.0
4044,9502.0
3998,9480.0
4029,9534.0
3877,9404.0
3840,9461.0
4625,10266.0
3740,9377.0
3736,9377.0
3755,9393.0
4619,10257.0
3733,9369.0
3727,9424.0
4556,10252.0
3692,9386.0
3692,9385.0
3692,9383.0
3650,9340.0
3691,9382.0
3707,9403.0
3630,9381.0
4456,10238.0
4456,10237.0
3551,9332.0
3503,9287.0
3608,9425.0
4415,10231.0
4418,10234.0
3546,9361.0
4484,10298.0
3562,9376.0
4413,10227.0
3571,9384.0
4344,10225.0
3495,9376.0
3534,9415.0
3478,9376.0
3478,9376.0
3478,9375.0
3497,9395.0
3497,9395.0
3461,9374.0
3461,9374.0
3481,9393.0
3500,9414.0
4271,10224.0
3418,9371.0
4270,10223.0
4269,10221.0
3438,9390.0
4269,10221.0
3418,9370.0
3418,9369.0
3418,9369.0
4271,10222.0
4271,10222.0
3459,9409.0
3400,9389.0
3378,9366.0
3379,9367.0
4226,10219.0
3395,9388.0
3375,9368.0
3382,9388.0
3352,9367.0
3352,9367.0
3372,9387.0
3329,9367.0
3318,9367.0
3318,9367.0
3318,9367.0
3317,9367.0
3317,9367.0
3317,9367.0
3314,9367.0
3314,9367.0
3334,9387.0
3314,9367.0
3314,9367.0
3305,9369.0
3305,9369.0
3303,9367.0
3303,9370.0
3303,9370.0
3303,9370.0
3301,9369.0
3303,9369.0
4146,10217.0
3303,9369.0
3298,9369.0
3298,9369.0
3336,9407.0
3298,9369.0
3298,9369.0
3279,9370.0
3279,9370.0
3279,9370.0
3279,9370.0
3278,9371.0
3277,9370.0
3277,9370.0
3270,9371.0
3270,9371.0
3290,9391.0
3260,9371.0
3260,9371.0
4104,10216.0
3259,9371.0
3259,9371.0
3260,9373.0
