Makespan (s),Workflow Response time (s)
24,31404.0
82889,98926.0
155655,165611.0
22,32091.0
24,32073.0
152461,181133.0
152422,181133.0
379,379.0
152486,181158.0
79465,92198.0
24,31952.0
79430,91743.0
79432,91725.0
86812,106330.0
86788,106327.0
91805,114031.0
91449,113383.0
90529,110773.0
91395,113299.0
91803,113996.0
91919,113995.0
91900,113981.0
24,31231.0
24,31205.0
39,39.0
561,561.0
540,540.0
119275,149355.0
158867,181204.0
162066,181616.0
139531,169766.0
151779,179660.0
139700,169751.0
22,24439.0
24,32085.0
122848,153438.0
127864,158750.0
127751,159021.0
0,31811.0
127770,159055.0
127761,159034.0
127705,158925.0
127718,158948.0
127719,158948.0
24,31838.0
22,31399.0
127761,159034.0
127747,158810.0
127715,158941.0
0,32210.0
0,32211.0
24,31411.0
122557,152992.0
127536,158353.0
124327,155017.0
127698,158852.0
124287,154942.0
0,32200.0
0,32200.0
0,32208.0
0,32209.0
0,32212.0
0,32198.0
91341,113276.0
0,32198.0
0,32209.0
0,32211.0
124326,155016.0
0,32205.0
127536,158353.0
0,32209.0
119343,149577.0
0,32184.0
152068,181193.0
160699,181444.0
24,31838.0
174601,184538.0
161173,181514.0
152142,179692.0
82888,98888.0
113482,142901.0
58392,69376.0
24,31290.0
101686,130831.0
161005,181476.0
51756,61993.0
139779,169735.0
0,32083.0
153590,181142.0
152502,181141.0
101543,130200.0
0,31412.0
152446,181131.0
24,31297.0
127838,158753.0
127859,158744.0
127534,158351.0
0,31746.0
24,31769.0
101651,130336.0
124326,155012.0
123348,153985.0
123914,154561.0
24,31900.0
24,30213.0
127683,158909.0
0,32060.0
0,29454.0
0,32050.0
22,31310.0
0,32083.0
114253,144152.0
127863,158749.0
0,32104.0
0,32041.0
47,2741.0
0,29466.0
1255,30721.0
0,32078.0
114333,143753.0
0,31843.0
113045,142450.0
0,32015.0
0,32209.0
0,31936.0
0,32170.0
0,32177.0
0,32173.0
24,30979.0
25,25.0
0,32174.0
0,32179.0
149562,180199.0
149419,180187.0
0,32133.0
152126,181182.0
151932,181166.0
152153,181191.0
124359,154904.0
24,31206.0
24,31312.0
152150,181189.0
