Makespan (s),Workflow Response time (s)
425,426.0
416,417.0
416,417.0
420,421.0
416,417.0
416,417.0
420,421.0
416,417.0
423,424.0
416,417.0
420,421.0
421,422.0
420,421.0
416,417.0
416,417.0
416,417.0
416,417.0
416,417.0
416,417.0
416,417.0
420,421.0
416,417.0
421,422.0
421,422.0
423,424.0
416,417.0
416,417.0
416,417.0
420,421.0
420,421.0
416,417.0
420,421.0
416,417.0
416,417.0
416,417.0
423,424.0
420,421.0
416,417.0
416,417.0
416,417.0
420,421.0
416,417.0
416,417.0
416,417.0
420,421.0
423,424.0
420,421.0
416,417.0
421,422.0
416,417.0
