Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,5,9800.0,530
10,00000000-0000-0000-0000-000000000001,0,0.0,500
20,00000000-0000-0000-0000-000000000000,64,125440.0,1835
20,00000000-0000-0000-0000-000000000001,64,125440.0,524
30,00000000-0000-0000-0000-000000000000,64,125440.0,1920
30,00000000-0000-0000-0000-000000000001,64,125440.0,525
40,00000000-0000-0000-0000-000000000000,64,125440.0,1827
40,00000000-0000-0000-0000-000000000001,64,125440.0,523
50,00000000-0000-0000-0000-000000000000,40,78400.0,1970
50,00000000-0000-0000-0000-000000000001,64,125440.0,525
60,00000000-0000-0000-0000-000000000000,64,125440.0,1780
60,00000000-0000-0000-0000-000000000001,64,125440.0,523
70,00000000-0000-0000-0000-000000000000,64,125440.0,2000
70,00000000-0000-0000-0000-000000000001,64,125440.0,525
80,00000000-0000-0000-0000-000000000000,64,125440.0,1750
80,00000000-0000-0000-0000-000000000001,64,125440.0,523
90,00000000-0000-0000-0000-000000000000,64,125440.0,2000
90,00000000-0000-0000-0000-000000000001,64,125440.0,525
100,00000000-0000-0000-0000-000000000000,64,125440.0,1750
100,00000000-0000-0000-0000-000000000001,64,125440.0,523
110,00000000-0000-0000-0000-000000000000,64,125440.0,2000
110,00000000-0000-0000-0000-000000000001,64,125440.0,525
120,00000000-0000-0000-0000-000000000000,64,125440.0,1750
120,00000000-0000-0000-0000-000000000001,64,125440.0,523
130,00000000-0000-0000-0000-000000000000,64,125440.0,2000
130,00000000-0000-0000-0000-000000000001,64,125440.0,525
140,00000000-0000-0000-0000-000000000000,64,125440.0,1750
140,00000000-0000-0000-0000-000000000001,64,125440.0,523
150,00000000-0000-0000-0000-000000000000,64,125440.0,2000
150,00000000-0000-0000-0000-000000000001,64,125440.0,525
160,00000000-0000-0000-0000-000000000000,64,125440.0,1750
160,00000000-0000-0000-0000-000000000001,64,125440.0,523
170,00000000-0000-0000-0000-000000000000,64,125440.0,2000
170,00000000-0000-0000-0000-000000000001,64,125440.0,525
180,00000000-0000-0000-0000-000000000000,64,125440.0,1707
180,00000000-0000-0000-0000-000000000001,51,99960.0,658
190,00000000-0000-0000-0000-000000000000,64,125440.0,1889
190,00000000-0000-0000-0000-000000000001,64,125440.0,1799
200,00000000-0000-0000-0000-000000000000,64,125440.0,1924
200,00000000-0000-0000-0000-000000000001,64,125440.0,1800
210,00000000-0000-0000-0000-000000000000,64,125440.0,1675
210,00000000-0000-0000-0000-000000000001,64,125440.0,1607
220,00000000-0000-0000-0000-000000000000,64,125440.0,2000
220,00000000-0000-0000-0000-000000000001,64,125440.0,1800
230,00000000-0000-0000-0000-000000000000,64,125440.0,1600
230,00000000-0000-0000-0000-000000000001,64,125440.0,1607
240,00000000-0000-0000-0000-000000000000,64,125440.0,2000
240,00000000-0000-0000-0000-000000000001,64,125440.0,1800
250,00000000-0000-0000-0000-000000000000,64,125440.0,1635
250,00000000-0000-0000-0000-000000000001,64,125440.0,1607
260,00000000-0000-0000-0000-000000000000,64,125440.0,1964
260,00000000-0000-0000-0000-000000000001,64,125440.0,1800
270,00000000-0000-0000-0000-000000000000,29,56840.0,1860
270,00000000-0000-0000-0000-000000000001,13,25480.0,1746
280,00000000-0000-0000-0000-000000000000,64,125440.0,1739
280,00000000-0000-0000-0000-000000000001,64,125440.0,1660
290,00000000-0000-0000-0000-000000000000,64,125440.0,2000
290,00000000-0000-0000-0000-000000000001,64,125440.0,1800
300,00000000-0000-0000-0000-000000000000,64,125440.0,1600
300,00000000-0000-0000-0000-000000000001,64,125440.0,1607
310,00000000-0000-0000-0000-000000000000,64,125440.0,2000
310,00000000-0000-0000-0000-000000000001,64,125440.0,1800
320,00000000-0000-0000-0000-000000000000,59,115640.0,1600
320,00000000-0000-0000-0000-000000000001,64,125440.0,1607
330,00000000-0000-0000-0000-000000000000,64,125440.0,1999
330,00000000-0000-0000-0000-000000000001,64,125440.0,1800
340,00000000-0000-0000-0000-000000000000,64,125440.0,1785
340,00000000-0000-0000-0000-000000000001,64,125440.0,1651
350,00000000-0000-0000-0000-000000000000,64,125440.0,1661
350,00000000-0000-0000-0000-000000000001,64,125440.0,1861
360,00000000-0000-0000-0000-000000000000,64,125440.0,2000
360,00000000-0000-0000-0000-000000000001,15,29400.0,1860
370,00000000-0000-0000-0000-000000000000,64,125440.0,1757
370,00000000-0000-0000-0000-000000000001,64,125440.0,1753
380,00000000-0000-0000-0000-000000000000,64,125440.0,2000
380,00000000-0000-0000-0000-000000000001,64,125440.0,1888
390,00000000-0000-0000-0000-000000000000,0,0.0,1392
390,00000000-0000-0000-0000-000000000001,24,47040.0,1304
400,00000000-0000-0000-0000-000000000000,2,3920.0,922
400,00000000-0000-0000-0000-000000000001,24,47040.0,1110
410,00000000-0000-0000-0000-000000000000,13,25480.0,886
410,00000000-0000-0000-0000-000000000001,64,125440.0,1019
420,00000000-0000-0000-0000-000000000000,12,23520.0,1190
420,00000000-0000-0000-0000-000000000001,5,9800.0,670
