Makespan (s),Workflow Response time (s)
999,1126.0
989,1116.0
1001,1048.0
995,1079.0
1006,1133.0
984,1322.0
1000,1116.0
1000,1116.0
987,1021.0
982,1395.0
1015,1178.0
989,1073.0
979,991.0
998,1071.0
968,991.0
1009,1208.0
1017,1197.0
1003,1179.0
999,1266.0
1005,1089.0
1011,1229.0
1000,1073.0
995,1139.0
989,1062.0
949,950.0
993,1053.0
978,1001.0
983,984.0
972,1006.0
1000,1060.0
1029,1130.0
1016,1249.0
1007,1166.0
1006,1279.0
1008,1171.0
998,1233.0
1002,1212.0
990,1219.0
1013,1099.0
996,1069.0
1002,1311.0
996,1231.0
985,1019.0
992,1063.0
993,1077.0
1000,1060.0
989,1062.0
968,969.0
974,986.0
972,995.0
995,1068.0
975,987.0
994,1080.0
976,988.0
979,991.0
993,1077.0
972,984.0
999,1046.0
994,1157.0
993,1090.0
969,981.0
998,1058.0
996,1453.0
1017,1254.0
1014,1160.0
1009,1324.0
1002,1146.0
990,1322.0
1004,1184.0
1002,1133.0
993,1203.0
987,1400.0
1006,1203.0
1010,1245.0
1002,1161.0
1013,1309.0
997,1139.0
1008,1205.0
998,1271.0
995,1404.0
994,1303.0
1005,1314.0
1013,1161.0
999,1115.0
991,1014.0
991,1088.0
959,960.0
982,1016.0
973,996.0
982,1005.0
990,1117.0
982,1053.0
968,991.0
978,1001.0
972,984.0
978,990.0
992,1453.0
1005,1418.0
1025,1260.0
994,1351.0
1009,1238.0
1004,1165.0
990,1299.0
992,1259.0
1000,1084.0
994,1204.0
1010,1081.0
1013,1191.0
1010,1352.0
999,1310.0
1014,1145.0
1006,1222.0
1004,1116.0
1000,1073.0
994,1170.0
1002,1218.0
1007,1041.0
1000,1286.0
1011,1278.0
1007,1155.0
1002,1099.0
999,1228.0
995,1040.0
994,1028.0
996,1008.0
995,1107.0
1003,1179.0
996,1067.0
989,1199.0
987,1032.0
1004,1146.0
998,1021.0
1000,1131.0
990,1035.0
1005,1149.0
999,1072.0
950,951.0
983,1054.0
972,995.0
987,999.0
992,1104.0
974,1008.0
997,1196.0
981,1004.0
989,1012.0
993,1154.0
992,1039.0
975,1009.0
982,1016.0
998,1099.0
980,1038.0
991,1051.0
968,969.0
992,1108.0
999,1111.0
980,1025.0
951,952.0
995,1068.0
990,1102.0
984,1055.0
994,1455.0
1002,1415.0
1013,1376.0
1009,1368.0
1006,1336.0
1010,1344.0
1013,1176.0
1009,1227.0
992,1303.0
1005,1132.0
996,1172.0
993,1064.0
1013,1084.0
1007,1236.0
995,1243.0
991,1239.0
987,1321.0
1007,1138.0
990,1322.0
990,1257.0
980,1003.0
995,1441.0
1022,1232.0
1009,1172.0
1014,1211.0
996,1307.0
1002,1271.0
1004,1101.0
996,1359.0
1006,1122.0
1002,1311.0
1021,1122.0
1002,1231.0
1006,1184.0
1007,1303.0
1003,1149.0
994,1326.0
995,1107.0
1003,1104.0
1007,1204.0
995,1205.0
1010,1245.0
1017,1176.0
995,1137.0
1000,1315.0
1006,1077.0
1009,1174.0
982,1027.0
995,1122.0
953,954.0
987,1163.0
999,1253.0
990,1183.0
969,981.0
994,1229.0
1004,1051.0
987,999.0
990,1050.0
997,1306.0
992,1119.0
992,1037.0
980,1025.0
992,1104.0
992,1172.0
995,1079.0
987,988.0
1000,1101.0
980,1025.0
981,1026.0
995,1160.0
977,1022.0
975,987.0
997,1109.0
985,1019.0
992,1119.0
1013,1366.0
1004,1407.0
1003,1445.0
1004,1382.0
989,1454.0
1008,1394.0
1003,1383.0
1002,1357.0
1010,1264.0
1018,1287.0
1000,1286.0
1016,1251.0
994,1282.0
1014,1270.0
1012,1035.0
996,1453.0
1002,1357.0
1013,1320.0
994,1399.0
992,1397.0
1006,1262.0
1006,1182.0
