Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
10,00000000-0000-0000-0000-000000000000,64,125440.0,522
10,00000000-0000-0000-0000-000000000001,64,125440.0,522
20,00000000-0000-0000-0000-000000000000,64,125440.0,523
20,00000000-0000-0000-0000-000000000001,64,125440.0,523
30,00000000-0000-0000-0000-000000000000,64,125440.0,523
30,00000000-0000-0000-0000-000000000001,64,125440.0,523
40,00000000-0000-0000-0000-000000000000,64,125440.0,523
40,00000000-0000-0000-0000-000000000001,64,125440.0,523
50,00000000-0000-0000-0000-000000000000,64,125440.0,523
50,00000000-0000-0000-0000-000000000001,64,125440.0,869
60,00000000-0000-0000-0000-000000000000,64,125440.0,523
60,00000000-0000-0000-0000-000000000001,5,9800.0,916
70,00000000-0000-0000-0000-000000000000,64,125440.0,525
70,00000000-0000-0000-0000-000000000001,64,125440.0,649
80,00000000-0000-0000-0000-000000000000,64,125440.0,523
80,00000000-0000-0000-0000-000000000001,64,125440.0,916
90,00000000-0000-0000-0000-000000000000,64,125440.0,523
90,00000000-0000-0000-0000-000000000001,64,125440.0,916
100,00000000-0000-0000-0000-000000000000,64,125440.0,807
100,00000000-0000-0000-0000-000000000001,64,125440.0,879
110,00000000-0000-0000-0000-000000000000,64,125440.0,1750
110,00000000-0000-0000-0000-000000000001,64,125440.0,686
120,00000000-0000-0000-0000-000000000000,64,125440.0,1576
120,00000000-0000-0000-0000-000000000001,64,125440.0,916
130,00000000-0000-0000-0000-000000000000,64,125440.0,1576
130,00000000-0000-0000-0000-000000000001,64,125440.0,879
140,00000000-0000-0000-0000-000000000000,64,125440.0,1750
140,00000000-0000-0000-0000-000000000001,64,125440.0,686
150,00000000-0000-0000-0000-000000000000,64,125440.0,1576
150,00000000-0000-0000-0000-000000000001,64,125440.0,1293
160,00000000-0000-0000-0000-000000000000,64,125440.0,1606
160,00000000-0000-0000-0000-000000000001,64,125440.0,1875
170,00000000-0000-0000-0000-000000000000,64,125440.0,1720
170,00000000-0000-0000-0000-000000000001,64,125440.0,1699
180,00000000-0000-0000-0000-000000000000,64,125440.0,1576
180,00000000-0000-0000-0000-000000000001,15,29400.0,1831
190,00000000-0000-0000-0000-000000000000,64,125440.0,1750
190,00000000-0000-0000-0000-000000000001,64,125440.0,1743
200,00000000-0000-0000-0000-000000000000,64,125440.0,1576
200,00000000-0000-0000-0000-000000000001,64,125440.0,1699
210,00000000-0000-0000-0000-000000000000,15,29400.0,1691
210,00000000-0000-0000-0000-000000000001,64,125440.0,1875
220,00000000-0000-0000-0000-000000000000,64,125440.0,1635
220,00000000-0000-0000-0000-000000000001,64,125440.0,1749
230,00000000-0000-0000-0000-000000000000,64,125440.0,1609
230,00000000-0000-0000-0000-000000000001,64,125440.0,1875
240,00000000-0000-0000-0000-000000000000,64,125440.0,1717
240,00000000-0000-0000-0000-000000000001,64,125440.0,1748
250,00000000-0000-0000-0000-000000000000,49,96040.0,1576
250,00000000-0000-0000-0000-000000000001,63,123480.0,1887
260,00000000-0000-0000-0000-000000000000,64,125440.0,1749
260,00000000-0000-0000-0000-000000000001,64,125440.0,1736
270,00000000-0000-0000-0000-000000000000,64,125440.0,1576
270,00000000-0000-0000-0000-000000000001,64,125440.0,1910
280,00000000-0000-0000-0000-000000000000,64,125440.0,1750
280,00000000-0000-0000-0000-000000000001,64,125440.0,1713
290,00000000-0000-0000-0000-000000000000,49,96040.0,1650
290,00000000-0000-0000-0000-000000000001,63,123480.0,1886
300,00000000-0000-0000-0000-000000000000,64,125440.0,1749
300,00000000-0000-0000-0000-000000000001,64,125440.0,1737
310,00000000-0000-0000-0000-000000000000,64,125440.0,1667
310,00000000-0000-0000-0000-000000000001,64,125440.0,1875
320,00000000-0000-0000-0000-000000000000,64,125440.0,1733
320,00000000-0000-0000-0000-000000000001,64,125440.0,1793
330,00000000-0000-0000-0000-000000000000,45,88200.0,1743
330,00000000-0000-0000-0000-000000000001,64,125440.0,1875
340,00000000-0000-0000-0000-000000000000,64,125440.0,1657
340,00000000-0000-0000-0000-000000000001,63,123480.0,1766
350,00000000-0000-0000-0000-000000000000,64,125440.0,1750
350,00000000-0000-0000-0000-000000000001,64,125440.0,1906
360,00000000-0000-0000-0000-000000000000,64,125440.0,1650
360,00000000-0000-0000-0000-000000000001,64,125440.0,1940
370,00000000-0000-0000-0000-000000000000,64,125440.0,1750
370,00000000-0000-0000-0000-000000000001,64,125440.0,1781
380,00000000-0000-0000-0000-000000000000,34,66640.0,1708
380,00000000-0000-0000-0000-000000000001,64,125440.0,1875
390,00000000-0000-0000-0000-000000000000,64,125440.0,1692
390,00000000-0000-0000-0000-000000000001,63,123480.0,1815
400,00000000-0000-0000-0000-000000000000,64,125440.0,1750
400,00000000-0000-0000-0000-000000000001,64,125440.0,1907
410,00000000-0000-0000-0000-000000000000,64,125440.0,1724
410,00000000-0000-0000-0000-000000000001,64,125440.0,1906
420,00000000-0000-0000-0000-000000000000,64,125440.0,1750
420,00000000-0000-0000-0000-000000000001,64,125440.0,1816
430,00000000-0000-0000-0000-000000000000,45,88200.0,1744
430,00000000-0000-0000-0000-000000000001,64,125440.0,1875
440,00000000-0000-0000-0000-000000000000,64,125440.0,1731
440,00000000-0000-0000-0000-000000000001,49,96040.0,1940
450,00000000-0000-0000-0000-000000000000,64,125440.0,1750
450,00000000-0000-0000-0000-000000000001,64,125440.0,1782
460,00000000-0000-0000-0000-000000000000,64,125440.0,1794
460,00000000-0000-0000-0000-000000000001,64,125440.0,1875
470,00000000-0000-0000-0000-000000000000,64,125440.0,1755
470,00000000-0000-0000-0000-000000000001,64,125440.0,1928
